response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,TXHORSERACE,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,18 to 34,High school,White,Female,White,support,Don't know,Support,oppose,Don't know,Don't know,Unfavorable,Do not believe,Ted Cruz,disagree,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Williamson,Less than 50 percent,Landline,1,0.1953,2.0398,6.305,2.7419,2018-10-03 00:34:58
Dem,65 and older,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,Beto O'Rourke,agree,65 and older,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Austin/Round Rock,85 percent or higher,Cell,0.7778,0.861,0.7845,0.5334,0.745,2018-10-03 00:35:33
Dem,50 to 64,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Bell,50 to 85 percent,Cell,1,0.5703,1.3265,1.5576,1.4185,2018-10-03 00:35:42
Rep,65 and older,Some college or trade school,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Williamson,85 percent or higher,Landline,1,0.9742,1.2364,0.7847,1.2201,2018-10-03 00:36:00
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Austin/Round Rock,85 percent or higher,Cell,1,0.9899,0.7332,0.3927,0.7236,2018-10-03 00:36:17
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,50 to 85 percent,Cell,1,0.6818,0.7321,0.4063,0.7587,2018-10-03 00:36:18
Rep,50 to 64,High school,White,Female,White,support,Approve,Check,oppose,Dems. take House,Don't know,Don't know,Do not believe,Beto O'Rourke,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,Less than 50 percent,Cell,1,0.0794,1.1284,4.0064,1.8869,2018-10-03 00:41:52
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Landline,1,0.9924,0.799,0.283,0.7886,2018-10-03 00:42:37
Dem,50 to 64,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Bell,Less than 50 percent,Landline,1,0.4149,1.3029,2.2057,1.4818,2018-10-03 00:42:44
Rep,65 and older,Bachelors' degree,White,Male,Other,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Landline,1,0.987,0.9719,0.4205,0.9589,2018-10-03 00:43:31
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Austin/Round Rock,85 percent or higher,Landline,1,0.9821,0.6634,0.254,0.6545,2018-10-03 00:43:58
Dem,65 and older,High school,Hispanic,Female,Hispanic,support,Approve,Support,support,Dems. take House,Favorable,Don't know,Don't know,Beto O'Rourke,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Williamson,85 percent or higher,Landline,0.7778,0.8512,1.5592,1.2668,1.5239,2018-10-03 00:45:08
Und,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Don't know,Ted Cruz,agree,30 to 44,Postgraduate Degree,Other,Male,Somewhat likely,Republican,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Austin/Round Rock,Less than 50 percent,Cell,1,0.3975,0.6894,0.9704,0.6179,2018-10-03 00:45:27
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.9929,0.799,0.2828,0.7886,2018-10-03 00:45:46
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,85 percent or higher,Cell,1,0.9394,0.9783,0.4314,0.9679,2018-10-03 00:47:24
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,oppose,Disapp.,Don't know,oppose,Dems. take House,Unfavorable,Unfavorable,Believe,Beto O'Rourke,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,4-year College Grad.,Hispanic,Bell,85 percent or higher,Cell,1,0.884,0.7679,0.4376,0.7504,2018-10-03 00:48:09
Dem,35 to 49,Some college or trade school,White,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,White,Austin/Round Rock,50 to 85 percent,Cell,0.8889,0.7181,1.5611,1.2713,1.5082,2018-10-03 00:48:09
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Do not believe,Ted Cruz,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,85 percent or higher,Landline,1,0.87,1.3745,0.7548,1.3722,2018-10-03 00:49:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Austin/Round Rock,85 percent or higher,Landline,1,0.9887,0.4878,0.2027,0.4814,2018-10-03 00:51:39
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,85 percent or higher,Cell,1,0.8669,0.9601,0.5276,0.959,2018-10-03 00:52:57
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Bell,85 percent or higher,Cell,1,0.9728,0.5184,0.1875,0.5115,2018-10-03 00:53:15
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,disagree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Bell,85 percent or higher,Cell,1,0.9434,0.5087,0.2182,0.5031,2018-10-03 00:54:45
Rep,65 and older,Bachelors' degree,White,Male,Other,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,65 and older,4-year College Grad.,White,Bell,85 percent or higher,Landline,1,0.9286,0.8234,0.3752,0.8156,2018-10-03 00:55:42
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,Asian,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,18 to 39,4-year College Grad.,White,Bell,Less than 50 percent,Landline,1,0.049,1.2219,4.353,2.2963,2018-10-03 00:58:33
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,Ted Cruz,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,85 percent or higher,Landline,1,0.9915,1.3489,0.7476,1.3271,2018-10-03 00:58:57
Und,50 to 64,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Support,support,Don't know,Don't know,Don't know,Don't know,Beto O'Rourke,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Bell,85 percent or higher,Landline,1,0.958,0.8967,0.4363,0.8774,2018-10-03 01:02:53
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Bell,85 percent or higher,Cell,1,0.9518,0.6788,0.3038,0.6709,2018-10-03 01:05:17
Und,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Reps. keep House,Don't know,Don't know,Believe,Ted Cruz,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Unknown,Williamson,85 percent or higher,Landline,1,0.9181,0.8272,0.5342,0.8204,2018-10-03 01:13:50
Und,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Don't know,Don't know,Unfavorable,Unfavorable,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.8944,0.8164,0.3412,0.8122,2018-10-03 01:21:00
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,Ted Cruz,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Williamson,50 to 85 percent,Cell,1,0.6469,1.3548,0.8893,1.3526,2018-10-03 01:24:25
Und,50 to 64,Graduate or Professional Degree,White,Male,White,support,Disapp.,Check,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,Less than 50 percent,Landline,1,0.3226,0.6779,0.7321,0.813,2018-10-03 01:24:34
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,85 percent or higher,Cell,1,0.9827,0.5876,0.2296,0.5797,2018-10-03 01:25:19
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.9933,0.9538,0.4716,0.9415,2018-10-03 01:25:46
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,50 to 85 percent,Cell,1,0.7244,1.1413,0.825,1.171,2018-10-03 01:25:55
Dem,65 and older,Some college or trade school,White,Male,Other,Don't know,Disapp.,Don't know,support,Don't know,Favorable,Don't know,Don't know,Beto O'Rourke,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,or as a member of another political party,Nonwhite,65 and older,No 4-year College Degree,White,Bell,85 percent or higher,Landline,1,0.9622,1.1184,0.5948,1.1043,2018-10-03 01:26:42
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,Ted Cruz,disagree,45 to 64,Some College Educ.,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Williamson,50 to 85 percent,Cell,0.6667,0.6971,1.3026,0.7315,0.819,2018-10-03 01:26:49
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.982,0.8012,0.3508,0.7905,2018-10-03 01:26:58
Rep,35 to 49,Graduate or Professional Degree,White,Male,Other,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Ted Cruz,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Somewhat likely,[DO NOT READ] Refused,Nonwhite,40 to 64,Postgraduate Degree,White,Bell,85 percent or higher,Cell,0.5556,0.9698,0.5184,0.1881,0.4816,2018-10-03 01:27:07
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Landline,1,0.9535,0.9719,0.4353,0.9603,2018-10-03 01:27:07
Und,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,oppose,Approve,Check,oppose,Dems. take House,Don't know,Don't know,Don't know,Beto O'Rourke,agree,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Williamson,50 to 85 percent,Cell,0.5556,0.8239,1.5057,0.9005,1.2403,2018-10-03 01:27:34
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.9843,0.9719,0.4217,0.9543,2018-10-03 01:27:52
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,85 percent or higher,Cell,1,0.9857,1.3489,0.752,1.3309,2018-10-03 01:28:01
Rep,35 to 49,High school,Unknown,Female,White,Don't know,Disapp.,Support,oppose,Reps. keep House,Don't know,Don't know,Believe,Ted Cruz,agree,30 to 44,High School Grad. or Less,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Bell,Less than 50 percent,Cell,0,0.3474,1.0343,1.7842,0.2622,2018-10-03 01:28:19
Rep,50 to 64,High school,Hispanic,Female,Hispanic,support,Disapp.,Support,Don't know,Dems. take House,Unfavorable,Favorable,Do not believe,Beto O'Rourke,disagree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Austin/Round Rock,Less than 50 percent,Cell,0.8889,0.2797,1.2782,3.3088,1.504,2018-10-03 01:28:37
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Austin/Round Rock,85 percent or higher,Cell,1,0.9779,0.6652,0.313,0.6564,2018-10-03 01:28:46
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Austin/Round Rock,50 to 85 percent,Cell,1,0.8478,0.8111,0.408,0.7937,2018-10-03 01:30:52
Und,35 to 49,Bachelors' degree,White,Female,White,Don't know,Disapp.,Check,support,Don't know,Favorable,Favorable,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Other,Female,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Bell,Less than 50 percent,Landline,1,0.2741,0.7978,1.3857,0.8952,2018-10-03 01:31:01
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,4-year College Grad.,Hispanic,Austin/Round Rock,85 percent or higher,Cell,1,0.9728,0.7668,0.3729,0.7567,2018-10-03 01:31:19
Dem,35 to 49,Bachelors' degree,Unknown,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,4-year College Grad.,Unknown,Williamson,85 percent or higher,Cell,1,0.9285,0.7187,0.352,0.7119,2018-10-03 01:31:28
Dem,18 to 34,Bachelors' degree,White,Male,White,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Austin/Round Rock,85 percent or higher,Cell,1,0.9861,1.0188,0.5334,1.0009,2018-10-03 01:32:22
Rep,50 to 64,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,50 to 85 percent,Cell,1,0.5996,1.1036,0.7138,1.1696,2018-10-03 01:33:25
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Don't know,Beto O'Rourke,agree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Bell,Less than 50 percent,Landline,0.3333,0.3706,1.1284,1.6218,0.6416,2018-10-03 01:33:34
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Don't know,Don't know,Don't know,Don't know,Ted Cruz,disagree,30 to 44,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Williamson,Less than 50 percent,Cell,0.1111,0.15,2.0398,8.208,0.4853,2018-10-03 01:34:10
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,Ted Cruz,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,85 percent or higher,Cell,1,0.9144,0.6118,0.2376,0.6071,2018-10-03 01:34:19
Rep,18 to 34,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,Ted Cruz,disagree,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Bell,Less than 50 percent,Landline,0.7778,0.1583,1.7282,6.5268,1.3655,2018-10-03 01:34:19
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Landline,1,0.991,0.9334,0.4349,0.9181,2018-10-03 01:35:13
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,Don't know,Ted Cruz,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Williamson,Less than 50 percent,Landline,1,0.4665,1.3318,1.5353,1.4796,2018-10-03 01:35:40
Rep,18 to 34,High school,White,Male,White,oppose,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Don't know,Ted Cruz,disagree,18 to 29,High School Grad. or Less,Other,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Austin/Round Rock,Less than 50 percent,Landline,1,0.1888,1.6935,5.7942,2.0266,2018-10-03 01:35:58
Rep,65 and older,Bachelors' degree,Asian,Male,White,oppose,Disapp.,Check,oppose,Don't know,Don't know,Favorable,Believe,Beto O'Rourke,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,Williamson,85 percent or higher,Cell,1,0.8517,1.1903,0.8959,1.1918,2018-10-03 01:37:10
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,85 percent or higher,Landline,1,0.9442,0.5876,0.2389,0.5811,2018-10-03 01:37:28
Dem,18 to 34,Grade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,Beto O'Rourke,agree,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Williamson,50 to 85 percent,Cell,1,0.6979,1.8803,1.4726,1.9411,2018-10-03 01:37:46
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,85 percent or higher,Cell,1,0.9532,1.3489,0.7776,1.3194,2018-10-03 01:37:46
Rep,65 and older,Graduate or Professional Degree,Other,Female,Asian,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,Nonwhite,65 and older,Postgraduate Degree,Other Non-White,Bell,85 percent or higher,Cell,1,0.9014,0.6992,0.4725,0.6949,2018-10-03 01:38:31
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Bell,85 percent or higher,Cell,1,0.9906,0.6643,0.2686,0.6556,2018-10-03 01:38:31
Rep,65 and older,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Bell,85 percent or higher,Cell,1,0.9843,1.1645,0.56,1.1489,2018-10-03 01:38:40
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,Beto O'Rourke,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Hispanic,Williamson,85 percent or higher,Cell,1,0.8842,0.9236,0.4618,0.9201,2018-10-03 01:39:16
Rep,18 to 34,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,disagree,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Williamson,50 to 85 percent,Landline,1,0.7959,1.9214,1.4037,1.9427,2018-10-03 01:39:52
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Austin/Round Rock,50 to 85 percent,Cell,1,0.6993,0.7647,0.4094,0.7892,2018-10-03 01:40:19
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,50 to 85 percent,Cell,1,0.6859,0.9588,0.6406,0.952,2018-10-03 01:40:19
Rep,50 to 64,High school,White,Female,Black,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Don't know,Believe,Beto O'Rourke,disagree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Williamson,Less than 50 percent,Cell,1,0.3712,1.3318,1.9293,1.4252,2018-10-03 01:40:55
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,Beto O'Rourke,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Williamson,85 percent or higher,Cell,1,0.9337,1.1089,0.5369,1.0978,2018-10-03 01:41:13
