response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,CLIMATE,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.9121,0.619,0.4047,0.6477
Rep,65 and older,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,>60% Trump,85 percent or higher,Landline,0.4444,0.8839,1.0715,0.8727,1.0579
Rep,50 to 64,Some college or trade school,Unknown,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,<60% Trump,50 to 85 percent,Landline,1,0.7898,1.0606,0.9965,1.1316
Dem,18 to 34,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,18 to 29,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,<60% Trump,Less than 50 percent,Cell,0.7778,0.451,0.84,1.8707,0.704
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Polk,50 to 85 percent,Cell,1,0.7677,0.7272,0.5731,0.7793
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Polk,85 percent or higher,Cell,1,0.9344,1.0883,0.7492,1.1356
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,<60% Trump,50 to 85 percent,Cell,1,0.6199,0.5328,0.6684,0.5917
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.9945,0.619,0.3712,0.6442
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Check,Very or somewhat,oppose,Don't know,Don't know,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.9897,1.0715,0.7794,1.1145
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Des Moines,50 to 85 percent,Cell,1,0.5749,0.8747,0.9243,0.9846
Rep,65 and older,Grade school,White,Male,White,support,Approve,Don't know,Not or not very,oppose,Dems. take House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Des Moines,Less than 50 percent,Landline,1,0.452,1.1223,1.5962,1.2316
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,<60% Trump,85 percent or higher,Cell,1,0.8713,0.5711,0.4152,0.6009
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Not or not very,support,Dems. take House,Unfavorable,Unfavorable,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Polk,Less than 50 percent,Cell,0.7778,0.1071,1.1962,4.528,1.6692
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.9225,0.918,0.4869,0.9592
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.9422,1.2804,1.0576,1.335
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Don't know,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,<60% Trump,Less than 50 percent,Cell,1,0.4166,1.1387,1.9855,1.2635
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Female,White,support,Approve,Support,Very or somewhat,support,Reps. keep House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,>60% Trump,Less than 50 percent,Cell,1,0.459,0.6938,1.1665,0.8151
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Des Moines,Less than 50 percent,Landline,0.4444,0.3941,0.8349,1.364,0.3622
Rep,18 to 34,Some college or trade school,White,Female,White,support,Don't know,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,18 to 29,Some College Educ.,Republican,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,>60% Trump,Less than 50 percent,Cell,0.2222,0.3962,1.017,2.3685,0.4487
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.9841,0.6963,0.3898,0.7242
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Des Moines,85 percent or higher,Landline,1,0.9524,0.941,0.5936,0.9802
Dem,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,Very or somewhat,support,Don't know,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,>60% Trump,50 to 85 percent,Cell,0.2222,0.5987,1.1673,1.2276,0.7423
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Des Moines,50 to 85 percent,Cell,0.5556,0.585,0.5813,0.5665,0.4479
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,>60% Trump,50 to 85 percent,Cell,1,0.704,0.678,0.6195,0.7367
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Other,support,Approve,Don't know,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,Unknown/Non-White,<60% Trump,50 to 85 percent,Cell,1,0.7015,1.0543,0.8054,1.1013
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Polk,50 to 85 percent,Cell,1,0.8167,0.5343,0.4204,0.5672
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Des Moines,50 to 85 percent,Landline,0.7778,0.5986,1.0269,0.9156,0.6754
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.9922,0.6751,0.3259,0.7003
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Des Moines,85 percent or higher,Cell,1,0.8704,0.7741,0.5378,0.7977
Rep,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Favorable,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,<60% Trump,Less than 50 percent,Cell,1,0.435,1.0651,2.4831,1.2648
Rep,50 to 64,High school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,Don't know,Don't know,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,<60% Trump,85 percent or higher,Landline,0.1111,0.8658,1.3633,1.15,0.8232
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,>60% Trump,85 percent or higher,Cell,1,0.9891,1.0577,0.5873,1.1002
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Des Moines,85 percent or higher,Landline,1,0.9136,0.72,0.503,0.7531
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Des Moines,85 percent or higher,Landline,1,0.9896,0.8766,0.5707,0.9119
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Don't know,Disapp.,Check,Not or not very,support,Don't know,Don't know,Don't know,agree,30 to 44,Some College Educ.,Other,Male,Not very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Unknown/Non-White,Des Moines,Less than 50 percent,Cell,1,0.17,1.1614,4.7391,0.9295
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Des Moines,50 to 85 percent,Cell,1,0.7645,1.1274,0.8011,1.209
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,<60% Trump,85 percent or higher,Cell,1,0.9881,0.6425,0.3804,0.6682
Dem,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,support,Approve,Don't know,Not or not very,oppose,Don't know,Favorable,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,>60% Trump,Less than 50 percent,Landline,1,0.4077,0.7069,0.9402,0.7868
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Polk,85 percent or higher,Cell,1,0.9745,0.6043,0.3044,0.6286
Rep,65 and older,High school,White,Female,White,support,Approve,Check,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.9802,1.3418,1.0552,1.3955
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Not or not very,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Polk,85 percent or higher,Landline,1,0.9038,1.0883,0.7745,1.1398
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,85 percent or higher,Cell,1,0.8986,1.0975,0.8279,1.1302
Und,65 and older,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Support,Very or somewhat,oppose,Don't know,Don't know,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Des Moines,85 percent or higher,Cell,1,0.9454,0.8119,0.4284,0.8462
Rep,65 and older,High school,White,Male,White,oppose,Disapp.,Support,Very or somewhat,support,Reps. keep House,Favorable,Favorable,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,50 to 85 percent,Landline,0.8889,0.7717,1.5103,1.1947,1.592
Und,35 to 49,Some college or trade school,White,Male,Other,support,Approve,Don't know,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,18 to 34,White,Polk,50 to 85 percent,Cell,1,0.7827,0.9926,0.9176,1.0606
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,<60% Trump,85 percent or higher,Landline,1,0.8737,0.6425,0.4302,0.6758
Dem,50 to 64,High school,White,Male,White,support,Approve,Support,Very or somewhat,oppose,Reps. keep House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,>60% Trump,50 to 85 percent,Cell,0.8889,0.8483,1.4618,1.1617,1.4858
Und,65 and older,High school,Unknown,Male,White,support,Approve,Support,Very or somewhat,support,Don't know,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Polk,85 percent or higher,Cell,1,0.9797,1.4759,0.9744,1.535
Rep,18 to 34,Some college or trade school,Unknown,Male,[DO NOT READ] Don't know/Refused,support,Approve,Check,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,Unknown/Non-White,Polk,Less than 50 percent,Cell,0.7778,0.2896,1.232,2.938,1.0134
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Des Moines,50 to 85 percent,Landline,1,0.6648,0.9324,0.8393,0.9787
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Polk,85 percent or higher,Landline,1,0.9105,1.152,0.6687,1.2055
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Don't know,Very or somewhat,support,Dems. take House,Favorable,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Des Moines,50 to 85 percent,Cell,1,0.6141,0.773,0.5978,0.8599
Rep,[DO NOT READ] Refused,Grade school,White,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Unfavorable,disagree,30 to 44,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,>60% Trump,50 to 85 percent,Cell,0,0.7085,1.778,2.1269,0.7453
Und,65 and older,High school,White,Female,White,oppose,Approve,Support,Not or not very,support,Dems. take House,Unfavorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Polk,50 to 85 percent,Landline,1,0.8115,1.1088,0.8935,1.1783
Dem,18 to 34,Bachelors' degree,Unknown,Female,Hispanic,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Unknown/Non-White,Polk,85 percent or higher,Cell,1,0.8907,0.967,0.7052,1.0146
Rep,65 and older,High school,Unknown,Female,White,Don't know,Disapp.,Don't know,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,>60% Trump,85 percent or higher,Landline,1,0.9853,1.5118,1.2057,1.5652
Dem,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Unknown/Non-White,<60% Trump,85 percent or higher,Landline,1,0.8562,1.1508,0.9486,1.2137
Dem,65 and older,Bachelors' degree,White,Female,White,support,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Republican,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Polk,50 to 85 percent,Landline,0.6667,0.6938,0.8593,0.5802,0.7291
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Check,Very or somewhat,support,Dems. take House,Unfavorable,Favorable,agree,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Des Moines,50 to 85 percent,Landline,1,0.6427,0.8958,0.8246,0.9433
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,Des Moines,50 to 85 percent,Landline,1,0.8297,0.5694,0.352,0.6032
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,<60% Trump,50 to 85 percent,Cell,1,0.8192,0.9641,0.8066,0.996
Und,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Not or not very,oppose,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Polk,85 percent or higher,Cell,1,0.8946,1.2614,1.0923,1.3227
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Polk,50 to 85 percent,Cell,1,0.6756,0.9832,0.6262,1.0305
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Des Moines,50 to 85 percent,Cell,1,0.8134,0.9544,0.5889,1.0139
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Polk,85 percent or higher,Cell,1,0.9549,1.1645,0.8376,1.2128
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.8826,1.0928,0.6156,1.1479
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,<60% Trump,85 percent or higher,Landline,1,0.9042,0.885,0.767,0.9268
Rep,35 to 49,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,White,Polk,85 percent or higher,Cell,1,0.9645,0.8003,0.5224,0.8329
Und,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Don't know,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,<60% Trump,Less than 50 percent,Cell,0.8889,0.2173,0.875,2.8935,1.1411
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Don't know,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Polk,Less than 50 percent,Cell,1,0.4341,1.2589,2.2238,1.3891
Und,50 to 64,Graduate or Professional Degree,White,Male,Other,Don't know,Don't know,Don't know,Very or somewhat,Don't know,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,50 to 64,White,>60% Trump,50 to 85 percent,Landline,1,0.5852,0.7068,0.6239,0.793
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,>60% Trump,Less than 50 percent,Cell,1,0.3821,1.0916,2.4588,1.3312
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,<60% Trump,85 percent or higher,Cell,1,0.9779,0.9955,0.737,1.0354
Rep,65 and older,Bachelors' degree,Unknown,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,Polk,85 percent or higher,Landline,1,0.9957,1.0168,0.5122,1.0584
Und,35 to 49,Grade school,Asian,Male,Black,oppose,Disapp.,Don't know,Not or not very,support,Dems. take House,Don't know,Unfavorable,agree,30 to 44,High School Grad. or Less,Democratic,Male,Somewhat likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,35 to 49,Unknown/Non-White,Polk,50 to 85 percent,Cell,0.4444,0.725,1.6946,1.8816,1.3272
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,<60% Trump,85 percent or higher,Cell,1,0.8542,0.9827,0.6353,1.0367
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Not or not very,support,Dems. take House,Favorable,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Polk,Less than 50 percent,Cell,0.8889,0.5,1.0126,1.0624,1.1334
Dem,50 to 64,Grade school,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Des Moines,50 to 85 percent,Cell,1,0.7529,1.196,0.9584,1.2423
Und,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Don't know,Favorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,<60% Trump,85 percent or higher,Landline,0.8889,0.9772,0.9955,0.7375,1.025
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,<60% Trump,50 to 85 percent,Cell,1,0.8067,1.0648,1.2752,1.101
