response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,White,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9721,1.5512,1.4645,1.5954,2018-09-13 00:13:35
Rep,35 to 49,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,North,50 to 85 percent,Landline,0.7778,0.5493,0.9192,0.9024,0.971,2018-09-13 00:13:44
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.9536,0.9483,0.6935,0.9667,2018-09-13 00:14:29
Rep,50 to 64,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Dems. take House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Democratic,Male,Not at all likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Auburn/Lewiston,85 percent or higher,Landline,0,0.9345,1.2203,1.1544,0.8314,2018-09-13 00:21:30
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,North,85 percent or higher,Cell,1,0.9819,0.6684,0.3229,0.6872,2018-09-13 00:22:15
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Don't know,support,Support,disagree,Reps. keep House,Favorable,Don't know,disagree,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,50 to 85 percent,Cell,0.8889,0.6269,0.9004,0.8742,0.9124,2018-09-13 00:23:18
Rep,65 and older,High school,White,Male,White,Don't know,agree,Approve,oppose,Support,disagree,Don't know,Don't know,Favorable,disagree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.8638,1.0509,0.8558,1.0709,2018-09-13 00:24:39
Dem,50 to 64,Bachelors' degree,White,Female,White,Don't know,agree,Disapp.,support,Oppose,disagree,Don't know,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9608,0.9345,0.6525,0.9618,2018-09-13 00:26:54
Und,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Don't know,agree,Reps. keep House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9733,0.7788,0.6254,0.8009,2018-09-13 00:29:27
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,1,0.9928,0.5842,0.4134,0.6009,2018-09-13 00:37:49
Dem,50 to 64,Some college or trade school,Other,Male,White,Support,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,South/Central,85 percent or higher,Cell,1,0.9847,1.1283,0.7384,1.1601,2018-09-13 00:45:37
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Bangor Area,85 percent or higher,Landline,1,0.9795,0.6544,0.506,0.6729,2018-09-13 00:50:43
Rep,65 and older,High school,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,North,85 percent or higher,Landline,1,0.9467,1.139,0.8864,1.1606,2018-09-13 00:53:07
Dem,65 and older,Grade school,White,Female,White,Oppose,disagree,Don't know,support,Support,disagree,Don't know,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9547,1.4824,1.1184,1.5264,2018-09-13 00:54:28
Rep,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,North,Less than 50 percent,Landline,1,0.4889,0.7731,1.3184,0.8869,2018-09-13 00:55:31
Rep,35 to 49,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,North,85 percent or higher,Cell,1,0.9571,1.0717,0.7017,1.1033,2018-09-13 00:58:13
Und,50 to 64,Bachelors' degree,Other,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.9869,0.9201,0.5292,0.946,2018-09-13 01:00:55
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,1,0.9911,0.4037,0.2138,0.4152,2018-09-13 01:01:49
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,Don't know,Support,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,Less than 50 percent,Landline,1,0.4296,0.9196,2.0233,1.0823,2018-09-13 01:10:31
Und,35 to 49,High school,White,Male,White,Don't know,disagree,Approve,support,Oppose,agree,Don't know,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,South/Central,50 to 85 percent,Cell,0,0.8456,1.3162,0.9814,0.7015,2018-09-13 01:15:37
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,support,Oppose,agree,Reps. keep House,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,North,Less than 50 percent,Cell,0.7778,0.3412,0.7731,1.8891,0.87,2018-09-13 01:17:23
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9579,0.9977,0.7056,1.0173,2018-09-13 01:17:41
Rep,35 to 49,Bachelors' degree,White,Female,White,Support,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,South/Central,50 to 85 percent,Landline,1,0.7254,0.962,0.6755,1.0285,2018-09-13 01:20:50
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,North,85 percent or higher,Landline,1,0.9704,0.6163,0.3389,0.6339,2018-09-13 01:22:11
Rep,65 and older,High school,White,Male,White,Support,agree,Disapp.,support,Oppose,agree,Reps. keep House,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,85 percent or higher,Cell,1,0.9405,1.3085,1.349,1.349,2018-09-13 01:22:20
Rep,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Don't know,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9684,0.6101,0.3562,0.6276,2018-09-13 01:23:14
Dem,50 to 64,High school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Bangor Area,85 percent or higher,Cell,1,0.9075,1.0499,1.0535,1.0288,2018-09-13 01:28:20
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.933,0.9672,0.6582,0.998,2018-09-13 01:31:43
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.9189,0.7073,0.5092,0.7309,2018-09-13 19:48:33
Dem,18 to 34,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,South/Central,50 to 85 percent,Cell,0.6667,0.8384,1.9025,1.4238,1.7004,2018-09-13 19:55:45
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,North,50 to 85 percent,Landline,1,0.6567,0.6821,0.5654,0.7414,2018-09-13 19:56:30
Rep,50 to 64,Bachelors' degree,White,Male,Other,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.8964,0.755,0.5131,0.7826,2018-09-13 19:59:03
Rep,50 to 64,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Landline,1,0.9909,1.3449,1.0714,1.3786,2018-09-13 20:06:45
Dem,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9785,0.6101,0.3525,0.6274,2018-09-13 20:07:48
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9326,0.5695,0.3282,0.5876,2018-09-13 20:16:52
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Bangor Area,85 percent or higher,Cell,0.8889,0.8784,0.5763,0.3763,0.5797,2018-09-13 20:24:04
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Bangor Area,85 percent or higher,Landline,1,0.896,0.7674,0.63,0.7813,2018-09-13 20:42:13
Dem,18 to 34,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9545,1.4712,1.0166,1.5148,2018-09-13 20:45:40
Dem,65 and older,High school,White,Male,White,Don't know,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.9873,0.8267,0.5674,0.8501,2018-09-13 20:50:13
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.9946,0.6026,0.3383,0.62,2018-09-13 20:50:22
Rep,65 and older,Some college or trade school,White,Female,White,Support,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.9317,0.7952,0.5023,0.8206,2018-09-13 20:51:16
Und,50 to 64,High school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,0.7778,0.8828,1.512,1.2028,1.4168,2018-09-13 20:56:58
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,0.7778,0.9136,1.0453,0.7281,0.9947,2018-09-13 21:04:03
Rep,65 and older,Bachelors' degree,White,Female,Black,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,North,50 to 85 percent,Cell,1,0.8305,0.5645,0.3463,0.5911,2018-09-13 21:05:33
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9907,0.6698,0.3764,0.6889,2018-09-13 21:06:09
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.922,0.9936,0.7059,1.0264,2018-09-13 21:08:15
Dem,65 and older,High school,White,Female,White,Don't know,disagree,Disapp.,Don't know,Don't know,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,White,North,85 percent or higher,Landline,1,0.9725,0.9048,0.5821,0.9306,2018-09-13 21:09:00
Und,35 to 49,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,South/Central,85 percent or higher,Cell,0.4444,0.8662,0.8893,0.4775,0.6966,2018-09-13 21:10:30
Und,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,North,50 to 85 percent,Landline,0.8889,0.5897,0.8177,0.9199,0.8318,2018-09-13 21:11:15
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Bangor Area,50 to 85 percent,Cell,1,0.6564,0.6999,0.6615,0.7608,2018-09-13 21:15:00
Rep,50 to 64,High school,White,Male,White,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,South/Central,Less than 50 percent,Cell,1,0.2049,2.0595,8.6551,2.8528,2018-09-13 21:18:57
Dem,35 to 49,High school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,South/Central,50 to 85 percent,Cell,0.4444,0.5987,1.6732,1.8295,1.0226,2018-09-13 21:21:39
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Cell,1,0.9736,0.9297,0.6831,0.9561,2018-09-13 21:25:06
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.9358,0.8919,0.6806,0.92,2018-09-13 21:25:24
Rep,50 to 64,Some college or trade school,Unknown,Male,Other,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Unknown/Non-White,North,50 to 85 percent,Cell,1,0.7809,0.9729,0.7638,1.028,2018-09-13 21:25:24
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.9986,0.6678,0.3491,0.6872,2018-09-13 21:25:42
Und,50 to 64,Some college or trade school,White,Male,White,Don't know,disagree,Disapp.,support,Support,disagree,Reps. keep House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Bangor Area,85 percent or higher,Cell,0.8889,0.9605,0.9411,0.8183,0.9643,2018-09-13 21:27:30
Und,18 to 34,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,North,Less than 50 percent,Cell,0,0.143,1.6803,8.1876,0.3651,2018-09-13 21:27:39
Dem,35 to 49,Some college or trade school,White,Female,Other,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Auburn/Lewiston,85 percent or higher,Cell,1,0.8707,1.2296,0.9308,1.2791,2018-09-13 21:31:06
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,North,50 to 85 percent,Cell,1,0.8418,0.6688,0.4436,0.6989,2018-09-13 21:34:02
Rep,35 to 49,High school,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Bangor Area,85 percent or higher,Cell,1,0.9919,1.4319,1.181,1.4683,2018-09-13 21:37:38
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Cell,1,0.9943,1.0176,0.676,1.0469,2018-09-13 21:39:17
Rep,65 and older,High school,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Cell,1,0.99,1.0763,0.7711,1.1069,2018-09-13 21:39:35
Rep,50 to 64,High school,White,Female,White,Oppose,disagree,Disapp.,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,South/Central,85 percent or higher,Landline,1,0.9106,1.512,1.166,1.5642,2018-09-13 21:39:35
Und,65 and older,Graduate or Professional Degree,Unknown,Male,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,South/Central,85 percent or higher,Landline,1,0.9957,0.6026,0.3379,0.6202,2018-09-13 21:39:44
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Don't know,agree,Approve,oppose,Don't know,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,Auburn/Lewiston,50 to 85 percent,Cell,1,0.8051,0.9986,0.8998,1.0504,2018-09-13 21:41:05
Rep,65 and older,High school,White,Female,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,South/Central,85 percent or higher,Landline,1,0.9948,1.4824,1.0733,1.5219,2018-09-13 21:45:08
Und,50 to 64,High school,White,Female,White,Don't know,disagree,Disapp.,support,Don't know,disagree,Don't know,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,North,50 to 85 percent,Landline,1,0.8057,1.3038,1.081,1.3712,2018-09-13 21:45:26
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,South/Central,85 percent or higher,Landline,1,0.9876,0.755,0.4657,0.7764,2018-09-13 21:45:35
Rep,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,0.4444,0.9775,0.5631,0.3329,0.5677,2018-09-13 21:46:45
Dem,65 and older,High school,White,Male,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,North,85 percent or higher,Landline,1,0.9373,1.003,0.8014,1.0344,2018-09-13 21:48:06
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North,85 percent or higher,Landline,1,0.9949,0.5132,0.2811,0.528,2018-09-13 21:48:33
Dem,50 to 64,Some college or trade school,White,Female,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,South/Central,85 percent or higher,Cell,1,0.9783,1.066,0.6177,1.0961,2018-09-13 21:48:42
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Auburn/Lewiston,85 percent or higher,Landline,0.8889,0.9787,1.0724,0.9112,1.0995,2018-09-13 21:48:51
Rep,65 and older,High school,White,Male,White,Oppose,disagree,Disapp.,support,Support,disagree,Dems. take House,Don't know,Favorable,disagree,65 and older,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Bangor Area,50 to 85 percent,Landline,0,0.6079,1.4831,2.4335,1.0208,2018-09-13 21:51:06
Dem,50 to 64,Bachelors' degree,Asian,Female,Other,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,Unknown/Non-White,South/Central,85 percent or higher,Cell,0,0.8883,0.964,0.5786,0.5699,2018-09-13 21:52:09
