response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.8146,0.6782,0.3387,0.6945,2018-09-22 23:17:23
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,Don't know,Don't know,Reps. keep House,Don't know,No,Favorable,Support,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ocean,50 to 85 percent,Landline,1,0.7595,1.0174,0.6602,1.0531,2018-09-22 23:22:02
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9721,0.8599,0.4203,0.8625,2018-09-22 23:24:08
Dem,65 and older,High school,White,Female,White,Support,support,Disapp.,Dems. take House,Favorable,Don't know,Unfavorable,Support,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.5332,1.9045,1.7331,2.096,2018-09-22 23:25:56
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Unknown,"Burlington, Clinton",Less than 50 percent,Landline,1,0.3742,0.6219,0.9951,0.7344,2018-09-22 23:27:44
Rep,65 and older,High school,White,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.9699,1.7677,1.0876,1.7733,2018-09-22 23:28:29
Dem,65 and older,Grade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9966,1.6759,0.858,1.6823,2018-09-22 23:29:49
Dem,65 and older,Graduate or Professional Degree,Other,Female,Asian,Oppose,support,Disapp.,Dems. take House,Don't know,Yes,Favorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Other Non-White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9494,1.0388,0.4322,1.0436,2018-09-22 23:29:50
Rep,65 and older,Some college or trade school,White,Female,Other,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9852,1.0726,0.6522,1.0756,2018-09-22 23:30:35
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Landline,1,0.8202,0.8524,0.4015,0.8721,2018-09-22 23:30:53
Rep,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,18 to 29,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,18 to 34,Other Non-White,"Burlington, Trump",Less than 50 percent,Cell,1,0.4669,1.4193,2.312,1.4953,2018-09-22 23:31:11
Und,65 and older,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Oppose,oppose,Don't know,Don't know,Don't know,No,Don't know,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Ocean,85 percent or higher,Landline,1,0.9011,0.9994,0.5934,1.0096,2018-09-22 23:31:56
Dem,65 and older,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",Less than 50 percent,Landline,1,0.3617,1.2905,1.9488,1.5349,2018-09-22 23:36:07
Rep,65 and older,Some college or trade school,Unknown,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Don't know,Support,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Ocean,50 to 85 percent,Landline,1,0.6003,0.9191,0.9917,0.9398,2018-09-22 23:39:52
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.973,0.6617,0.1995,0.6637,2018-09-23 18:48:26
Dem,65 and older,Bachelors' degree,Hispanic,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Other Non-White,"Burlington, Clinton",85 percent or higher,Cell,1,0.9505,1.24,0.5387,1.2456,2018-09-23 18:57:53
Dem,50 to 64,Some college or trade school,White,Male,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Support,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",Less than 50 percent,Cell,1,0.4117,1.1953,1.469,1.3838,2018-09-23 18:58:38
Dem,50 to 64,Bachelors' degree,White,Male,White,Support,Don't know,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.8456,0.7298,0.252,0.7434,2018-09-23 19:02:27
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,65 and older,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,"Burlington, Clinton",85 percent or higher,Landline,1,0.9081,0.6992,0.3451,0.6942,2018-09-23 19:16:03
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Don't know,Support,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.5253,1.1144,1.0434,1.2299,2018-09-23 19:20:24
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Don't know,Oppose,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",50 to 85 percent,Cell,0.8889,0.6632,0.7151,0.3501,0.7046,2018-09-23 19:23:24
Dem,18 to 34,Bachelors' degree,Black,Female,Hispanic,Oppose,Don't know,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Black,"Burlington, Clinton",Less than 50 percent,Cell,1,0.4517,0.6807,0.9974,0.7735,2018-09-23 19:36:55
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Ocean,85 percent or higher,Cell,1,0.9446,0.5501,0.3607,0.5529,2018-09-23 19:56:11
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Ocean,85 percent or higher,Cell,1,0.8626,0.6701,0.4492,0.6808,2018-09-23 19:56:38
Rep,65 and older,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Don't know,Don't know,Oppose,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Ocean,50 to 85 percent,Landline,1,0.6287,1.1606,0.8953,1.2396,2018-09-23 20:01:35
Und,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.8619,0.7562,0.3237,0.7683,2018-09-23 20:04:52
Und,50 to 64,High school,Hispanic,Male,[DO NOT READ] Don't know/Refused,Oppose,oppose,Disapp.,Don't know,Unfavorable,No,Unfavorable,Support,45 to 64,High School Grad. or Less,Democratic,Female,Not at all likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Other Non-White,Ocean,50 to 85 percent,Landline,0,0.5531,2.5668,3.847,0.8369,2018-09-23 20:29:43
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Ocean,85 percent or higher,Cell,1,0.8965,0.6989,0.2833,0.7064,2018-09-23 20:33:52
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.9797,0.9256,0.469,0.9282,2018-09-23 20:50:56
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.9919,0.6617,0.1958,0.6618,2018-09-23 21:09:06
Rep,65 and older,Bachelors' degree,White,Male,White,Don't know,support,Disapp.,Reps. keep House,Don't know,No,Favorable,Support,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Ocean,85 percent or higher,Cell,1,0.932,0.8332,0.3184,0.8386,2018-09-23 21:28:45
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9892,0.9947,0.5955,0.9976,2018-09-23 21:37:58
Rep,50 to 64,High school,Hispanic,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Support,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Other Non-White,Ocean,50 to 85 percent,Cell,1,0.5628,2.6164,3.2266,2.6944,2018-09-23 21:41:43
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.6476,0.7208,0.3976,0.7659,2018-09-23 21:49:11
Dem,65 and older,High school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Ocean,Less than 50 percent,Landline,1,0.2406,2.0708,7.4558,2.6953,2018-09-23 21:49:11
Dem,18 to 34,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Trump",Less than 50 percent,Cell,1,0.3716,1.237,2.7645,1.4629,2018-09-23 21:53:41
Dem,18 to 34,Some college or trade school,Unknown,Male,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,Unknown,Ocean,50 to 85 percent,Cell,1,0.5795,0.7782,1.0084,0.8433,2018-09-23 21:53:59
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,support,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Ocean,50 to 85 percent,Cell,0.8889,0.689,0.9945,0.6216,1.0247,2018-09-23 22:08:15
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.9442,0.774,0.2798,0.778,2018-09-23 22:26:37
Dem,18 to 34,[DO NOT READ] Refused,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Don't know,18 to 29,[DO NOT READ] Don't know/Refused,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Clinton",Less than 50 percent,Cell,0.8889,0.4675,1.1785,1.8306,1.1912,2018-09-23 22:27:49
Und,50 to 64,Bachelors' degree,White,Male,Black,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.9911,0.7169,0.2295,0.7191,2018-09-23 22:34:16
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Oppose,support,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,0.7778,0.8639,0.9071,0.4768,0.9007,2018-09-23 22:51:49
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Don't know,support,Don't know,Reps. keep House,Don't know,No,Favorable,Oppose,18 to 29,Postgraduate Degree,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Ocean,Less than 50 percent,Cell,0.7778,0.2463,0.7057,1.3585,0.5595,2018-09-23 22:53:55
Dem,50 to 64,High school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Ocean,Less than 50 percent,Cell,0.7778,0.3043,2.1438,6.2369,2.1372,2018-09-23 22:54:49
Rep,65 and older,High school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Don't know,Oppose,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Cell,1,0.9636,1.7321,1.2003,1.7234,2018-09-23 23:04:31
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,"Burlington, Clinton",Less than 50 percent,Landline,1,0.4514,1.3264,2.1516,1.5076,2018-09-23 23:06:46
Rep,65 and older,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9834,0.9463,0.4136,0.9443,2018-09-23 23:32:52
Rep,65 and older,Some college or trade school,Unknown,Male,White,Support,support,Disapp.,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,Ocean,50 to 85 percent,Cell,0.6667,0.8465,1.0484,0.7926,0.9177,2018-09-23 23:41:43
Dem,50 to 64,Some college or trade school,White,Male,White,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Ocean,50 to 85 percent,Cell,0.8889,0.5051,1.0749,0.955,0.9281,2018-09-23 23:52:58
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,No,Favorable,Oppose,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,"Burlington, Clinton",Less than 50 percent,Cell,0.7778,0.3947,0.9099,0.9062,0.8881,2018-09-23 23:56:16
Dem,65 and older,Some college or trade school,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,Ocean,85 percent or higher,Landline,1,0.8823,0.8857,0.8434,0.8797,2018-09-23 23:58:40
Und,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Oppose,support,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Unknown,Ocean,Less than 50 percent,Cell,1,0.4401,0.7592,1.4894,0.8672,2018-09-24 00:03:40
Dem,50 to 64,High school,Black,Male,Asian,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Support,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.9882,1.3229,0.9836,1.3215,2018-09-24 00:37:28
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Ocean,50 to 85 percent,Cell,0.8889,0.5892,0.6472,0.7196,0.6422,2018-09-24 00:46:14
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Unfavorable,Oppose,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Ocean,Less than 50 percent,Cell,1,0.3503,0.805,1.0763,0.964,2018-09-24 00:46:32
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9618,0.5885,0.2079,0.5906,2018-09-24 00:48:02
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,oppose,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Ocean,Less than 50 percent,Cell,1,0.4808,0.8424,0.8729,0.9456,2018-09-24 01:25:56
Dem,65 and older,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ocean,50 to 85 percent,Cell,1,0.7884,0.9676,0.3962,0.9957,2018-09-24 01:26:14
Rep,35 to 49,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.8162,0.8255,0.3556,0.8451,2018-09-24 21:31:49
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,oppose,Disapp.,Don't know,Don't know,Yes,Unfavorable,Support,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Ocean,50 to 85 percent,Cell,1,0.7871,1.047,0.9356,1.0777,2018-09-24 21:36:46
Dem,50 to 64,Bachelors' degree,White,Male,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",Less than 50 percent,Cell,1,0.3333,0.9764,1.0972,1.1818,2018-09-24 21:36:55
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.9767,1.0007,0.585,0.9973,2018-09-24 21:37:49
Rep,50 to 64,Graduate or Professional Degree,White,Male,Black,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.9895,0.5998,0.1734,0.6016,2018-09-24 21:45:49
Rep,65 and older,Graduate or Professional Degree,White,Male,Other,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Very likely,or as a member of another political party,Nonwhite,Nonwhite,65 and older,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9557,0.7491,0.2989,0.7449,2018-09-24 21:46:34
Dem,65 and older,[DO NOT READ] Refused,White,Female,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9075,1.0231,0.6298,1.0327,2018-09-24 21:47:01
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Ocean,85 percent or higher,Landline,0.8889,0.9235,0.6848,0.3014,0.685,2018-09-24 21:47:10
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Don't know,Reps. keep House,Don't know,No,Unfavorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,0.6667,0.9783,0.716,0.2179,0.69,2018-09-24 21:48:22
Rep,50 to 64,Some college or trade school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.511,0.9233,0.9203,1.0244,2018-09-24 21:54:22
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Ocean,50 to 85 percent,Cell,1,0.7632,0.5218,0.4087,0.5221,2018-09-24 21:57:58
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Support,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Ocean,85 percent or higher,Landline,1,0.9473,0.7174,0.3446,0.713,2018-09-24 21:59:28
Und,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Approve,Dems. take House,Don't know,No,Don't know,Support,45 to 64,Some College Educ.,Other,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Ocean,Less than 50 percent,Cell,0,0.3239,1.2369,2.6995,0.3987,2018-09-24 22:02:09
Dem,50 to 64,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Burlington, Trump",85 percent or higher,Cell,1,0.932,0.9746,0.6924,0.9809,2018-09-24 22:02:18
Dem,50 to 64,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.8325,0.9424,0.424,0.9621,2018-09-24 22:02:45
Rep,50 to 64,Bachelors' degree,White,Female,Black,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",85 percent or higher,Landline,0.7778,0.9129,0.7016,0.2552,0.6821,2018-09-24 22:03:57
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Oppose,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.804,0.9162,0.2958,0.94,2018-09-24 22:04:24
Rep,65 and older,High school,White,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Cell,1,0.9806,1.7677,1.0758,1.7629,2018-09-24 22:05:18
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Burlington, Clinton",Less than 50 percent,Cell,0.6667,0.3588,0.9099,0.9964,0.8424,2018-09-24 22:05:27
