response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Oppose,Oppose,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Cell,1,0.9963,0.7585,0.5178,0.7712,2018-09-21 21:53:03
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Non-White,Kansas City,50 to 85 percent,Cell,1,0.6356,0.8848,0.8607,0.9554,2018-09-21 21:53:39
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9894,0.878,0.4617,0.8919,2018-09-21 21:54:24
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6634,0.9019,0.7434,0.9667,2018-09-21 21:55:09
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9566,0.8141,0.5348,0.8279,2018-09-21 21:57:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9868,0.7346,0.4045,0.7462,2018-09-21 21:58:09
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9888,1.1517,0.6243,1.17,2018-09-21 21:58:27
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Support,agree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,85 percent or higher,Cell,0.8889,0.9825,0.9751,0.6132,0.9822,2018-09-21 21:59:39
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9958,0.7986,0.4617,0.8118,2018-09-21 21:59:48
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,50 to 85 percent,Cell,1,0.8198,1.0377,0.7322,1.0754,2018-09-21 22:01:00
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9179,0.6948,0.4992,0.7094,2018-09-21 22:02:59
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Disapp.,Don't know,Don't know,Favorable,Support,Support,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,50 to 85 percent,Cell,1,0.7523,0.8675,0.6567,0.9108,2018-09-21 22:03:26
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,85 percent or higher,Cell,1,0.9675,0.7181,0.4806,0.7298,2018-09-21 22:05:50
Und,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,Dems. take House,Unfavorable,Unfavorable,Oppose,Oppose,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,0,0.9003,0.867,0.5169,0.5906,2018-09-21 22:06:35
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Support,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.901,0.8316,0.5158,0.8509,2018-09-21 22:10:11
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,50 to 85 percent,Cell,1,0.7024,1.1754,0.977,1.2478,2018-09-21 22:10:11
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Kansas City,Less than 50 percent,Cell,0.6667,0.199,0.744,2.5069,0.7262,2018-09-21 22:10:29
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.5181,1.0916,1.292,1.2234,2018-09-21 22:13:20
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Well-educ. Trump,50 to 85 percent,Cell,1,0.7398,1.2632,0.8626,1.3298,2018-09-21 22:14:23
Dem,35 to 49,Bachelors' degree,White,Female,Other,oppose,Disapp.,Don't know,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,White,Kansas City,50 to 85 percent,Cell,1,0.8299,1.0885,0.7734,1.0975,2018-09-21 22:24:53
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Approve,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Clinton Precinct,Less than 50 percent,Cell,1,0.1544,0.8241,3.8773,1.2063,2018-09-21 22:26:32
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.598,1.0947,1.0253,1.1949,2018-09-21 22:29:23
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,White,support,Approve,Don't know,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Non-White,Less-educ. Trump,85 percent or higher,Cell,1,0.9133,0.8063,0.4777,0.8237,2018-09-21 22:31:11
Rep,65 and older,High school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Don't know,Support,Don't know,Support,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Cell,1,0.9832,2.1016,1.7405,2.1346,2018-09-21 22:31:20
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Cell,1,0.9923,1.027,0.6107,1.0435,2018-09-21 22:32:09
Dem,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.5354,0.8085,0.9749,0.9006,2018-09-21 22:33:57
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.593,1.2874,1.0178,1.4074,2018-09-21 22:41:00
Dem,65 and older,Some college or trade school,Hispanic,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Non-White,Less-educ. Trump,85 percent or higher,Landline,1,0.8879,0.722,0.55,0.7263,2018-09-21 22:42:21
Und,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Don't know,Favorable,Favorable,Support,Oppose,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,0.8889,0.8272,0.9336,0.5718,0.9264,2018-09-21 22:42:39
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Support,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,1,0.8085,1.0339,0.8423,1.0736,2018-09-21 22:44:00
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.9785,0.8164,0.4789,0.8293,2018-09-21 22:50:22
Dem,50 to 64,Some college or trade school,Black,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,Kansas City,Less than 50 percent,Cell,1,0.3435,0.8949,1.7887,0.8295,2018-09-21 22:50:31
Und,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9957,0.7192,0.4413,0.7311,2018-09-21 22:50:58
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Don't know,disagree,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.9278,0.801,0.5702,0.8057,2018-09-21 22:51:25
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Less-educ. Trump,50 to 85 percent,Cell,1,0.8351,2.005,1.7943,2.0209,2018-09-21 22:53:13
Und,18 to 34,High school,White,Male,Asian,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,White,Kansas City,Less than 50 percent,Cell,0.5556,0.2676,1.9928,6.3331,1.3441,2018-09-21 22:53:40
Dem,65 and older,Bachelors' degree,Black,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Kansas City,85 percent or higher,Landline,1,0.963,1.0577,0.6792,1.0752,2018-09-21 22:55:28
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9933,1.0844,0.5997,1.1019,2018-09-21 22:57:16
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Oppose,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,0.8889,0.9812,0.7542,0.5204,0.7593,2018-09-21 23:00:43
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Oppose,Support,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.7158,1.2411,0.9426,1.3135,2018-09-21 23:01:00
Rep,65 and older,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Unfavorable,Favorable,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,Less than 50 percent,Cell,1,0.4763,0.8003,1.2931,0.9116,2018-09-21 23:02:57
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,1,0.7713,1.0339,0.8829,1.0813,2018-09-21 23:03:42
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6739,1.115,0.9024,1.192,2018-09-21 23:03:42
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Clinton Precinct,85 percent or higher,Landline,1,0.8895,0.8363,0.5278,0.8412,2018-09-21 23:04:00
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Less-educ. Trump,85 percent or higher,Cell,1,0.88,0.9603,0.6381,0.9855,2018-09-21 23:05:12
Dem,35 to 49,Some college or trade school,Hispanic,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Non-White,Less-educ. Trump,50 to 85 percent,Cell,1,0.6878,0.8154,0.7617,0.8687,2018-09-21 23:08:21
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,0.7778,0.9455,0.7192,0.4647,0.6891,2018-09-21 23:10:36
Dem,35 to 49,Some college or trade school,Black,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Non-White,Clinton Precinct,50 to 85 percent,Cell,0.7778,0.5297,0.923,1.1517,0.9673,2018-09-21 23:11:30
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Don't know,Favorable,Unfavorable,Support,Oppose,Support,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Well-educ. Trump,50 to 85 percent,Cell,1,0.781,0.9296,0.6422,0.9704,2018-09-21 23:14:30
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9235,1.0813,0.7043,1.1033,2018-09-21 23:15:31
Dem,65 and older,Bachelors' degree,White,Male,Other,oppose,Disapp.,Reps. keep House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,1,0.9706,0.9215,0.528,0.9362,2018-09-21 23:16:11
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,0.4444,0.8912,0.6805,0.4896,0.6352,2018-09-21 23:16:38
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,50 to 85 percent,Cell,1,0.7442,1.0031,0.826,1.0551,2018-09-21 23:19:38
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,50 to 85 percent,Cell,1,0.8328,1.1754,0.8241,1.2154,2018-09-21 23:20:32
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,85 percent or higher,Cell,1,0.8845,0.7161,0.5739,0.7344,2018-09-21 23:21:35
Dem,35 to 49,Some college or trade school,Black,Male,White,support,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Non-White,Clinton Precinct,Less than 50 percent,Cell,1,0.2855,0.9044,2.2915,1.1469,2018-09-21 23:25:02
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Republican,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,65 and older,Unknown,Clinton Precinct,85 percent or higher,Cell,1,0.9792,0.7676,0.4932,0.7752,2018-09-21 23:26:05
Rep,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9969,1.1672,0.6537,1.1869,2018-09-21 23:29:23
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,0.8889,0.9844,0.7963,0.5099,0.807,2018-09-21 23:31:00
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.8563,0.8755,0.5825,0.9018,2018-09-21 23:31:54
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,50 to 85 percent,Landline,1,0.6106,1.0247,0.9144,1.0594,2018-09-21 23:31:54
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9926,0.7326,0.439,0.7444,2018-09-21 23:33:12
Rep,65 and older,Some college or trade school,White,Female,Other,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.986,0.8009,0.5143,0.8135,2018-09-21 23:34:09
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Less-educ. Trump,85 percent or higher,Cell,1,0.9901,0.7072,0.4377,0.716,2018-09-21 23:37:36
Dem,65 and older,Some college or trade school,Hispanic,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Non-White,Clinton Precinct,85 percent or higher,Landline,1,0.9968,0.8173,0.5705,0.8297,2018-09-21 23:38:30
Und,50 to 64,Graduate or Professional Degree,White,Female,White,support,Disapp.,Don't know,Don't know,Favorable,Support,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Kansas City,50 to 85 percent,Landline,0.6667,0.7441,0.8452,0.6331,0.7975,2018-09-21 23:40:36
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Support,Oppose,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.9762,0.7482,0.4441,0.7601,2018-09-21 23:40:54
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9802,0.7818,0.5163,0.7941,2018-09-21 23:41:57
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Less-educ. Trump,85 percent or higher,Cell,1,0.8543,0.7249,0.4847,0.73,2018-09-21 23:42:51
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Asian,oppose,Disapp.,Dems. take House,Unfavorable,Don't know,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Non-White,Well-educ. Trump,50 to 85 percent,Cell,0.7778,0.5846,1.2014,1.1466,1.1652,2018-09-21 23:47:11
Dem,18 to 34,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Unknown,Well-educ. Trump,50 to 85 percent,Cell,0.4444,0.5337,0.8253,0.8474,0.6944,2018-09-21 23:47:29
Dem,65 and older,Some college or trade school,Black,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Non-White,Kansas City,85 percent or higher,Cell,1,0.9108,0.7857,0.5128,0.8029,2018-09-21 23:48:23
Dem,35 to 49,Graduate or Professional Degree,White,Male,Other,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Support,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Clinton Precinct,50 to 85 percent,Cell,0.6667,0.5494,0.8386,0.9208,0.7807,2018-09-21 23:48:23
Dem,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,0.2222,0.9942,0.7585,0.5188,0.7204,2018-09-21 23:48:59
