response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9082,1.0301,0.4811,1.0096,2018-10-31 00:56:39
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.8497,0.3952,0.8277,2018-10-31 01:02:26
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,18 to 39,White,85 percent or higher,Landline,1,0.8807,1.1711,0.8231,1.1521,2018-10-31 01:04:14
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Rest,18 to 39,White,50 to 85 percent,Landline,1,0.6691,0.9364,0.7284,0.9197,2018-10-31 01:04:41
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,50 to 85 percent,Landline,1,0.8015,0.698,0.4263,0.7098,2018-10-31 01:04:50
Rep,35 to 49,Some college or trade school,Asian,Male,Asian,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Chesterfield,40 to 64,Other Non-White,Less than 50 percent,Cell,1,0.2876,1.082,2.1302,1.3133,2018-10-31 01:05:08
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.9607,0.8101,0.4898,0.7825,2018-10-31 01:06:29
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,0.8889,0.8519,1.0039,0.5326,0.9809,2018-10-31 01:06:56
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.9628,0.5793,0.2849,0.5645,2018-10-31 01:07:50
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.97,0.772,0.3354,0.752,2018-10-31 01:07:59
Und,65 and older,High school,White,Female,White,Approve,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Already voted,[DO NOT READ] Refused,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.7163,1.3196,1.3111,1.375,2018-10-31 01:08:35
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,65 and older,White,50 to 85 percent,Landline,1,0.7422,0.6683,0.281,0.6741,2018-10-31 01:09:29
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.97,0.6397,0.2598,0.6231,2018-10-31 01:09:38
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.8701,1.3748,1.2003,1.3264,2018-10-31 01:10:59
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Rest,18 to 39,White,50 to 85 percent,Landline,1,0.8374,1.1941,0.685,1.1537,2018-10-31 01:11:53
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,50 to 85 percent,Landline,1,0.8465,1.0212,0.594,1.01,2018-10-31 01:12:56
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,50 to 85 percent,Cell,1,0.5863,0.9201,0.8477,0.9662,2018-10-31 01:15:57
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.9031,0.8108,0.3324,0.7817,2018-10-31 01:16:14
Und,[DO NOT READ] Refused,Grade school,White,Male,Hispanic,Disapp.,Don't know,Unfavorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Very likely,or as a member of another political party,Nonwhite,Chesterfield,18 to 39,White,50 to 85 percent,Landline,1,0.8028,1.3764,1.4036,1.3328,2018-10-31 01:18:12
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,40 to 64,White,50 to 85 percent,Landline,1,0.8103,0.9977,0.698,0.9929,2018-10-31 01:19:19
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Chesterfield,40 to 64,Black,50 to 85 percent,Cell,1,0.8187,0.7128,0.3153,0.6895,2018-10-31 01:19:33
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,65 and older,White,50 to 85 percent,Cell,1,0.6144,0.6759,0.4345,0.7038,2018-10-31 01:22:15
Rep,65 and older,Graduate or Professional Degree,Other,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Henrico,65 and older,Other Non-White,85 percent or higher,Landline,1,0.927,1.097,0.5321,1.0727,2018-10-31 01:22:55
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.97,0.8456,0.5108,0.8176,2018-10-31 01:25:10
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.9339,0.7533,0.4097,0.7265,2018-10-31 01:25:15
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Landline,1,0.9403,1.0006,0.619,0.977,2018-10-31 01:25:42
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,18 to 39,White,85 percent or higher,Cell,1,0.8863,0.9005,0.5865,0.8852,2018-10-31 01:26:09
Dem,35 to 49,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Chesterfield,18 to 39,White,85 percent or higher,Landline,1,0.9067,0.9909,0.5081,0.9553,2018-10-31 01:26:49
Und,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.8146,0.966,0.5426,0.9606,2018-10-31 01:28:28
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Landline,1,0.875,1.1568,0.8156,1.1389,2018-10-31 01:37:53
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.9366,0.8515,0.3335,0.8318,2018-10-31 01:39:41
Und,50 to 64,High school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Rest,40 to 64,Black,50 to 85 percent,Landline,1,0.8054,1.3485,1.371,1.1865,2018-10-31 01:41:38
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,50 to 85 percent,Landline,1,0.6084,0.8609,0.6999,0.8981,2018-10-31 01:41:47
Und,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,0.4444,0.6741,1.302,1.3355,0.9263,2018-10-31 01:45:14
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.8519,1.0301,0.5129,1.0343,2018-10-31 01:46:35
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,40 to 64,White,85 percent or higher,Cell,1,0.9172,1.0535,0.7154,1.0313,2018-10-31 20:34:11
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.7541,0.5326,0.3107,0.5359,2018-10-31 20:38:05
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.97,0.7711,0.3506,0.7511,2018-10-31 20:43:47
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,50 to 85 percent,Cell,1,0.5826,1.3814,2.1519,1.4523,2018-10-31 20:50:16
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,White,Less than 50 percent,Cell,1,0.3804,0.7083,1.0656,0.8094,2018-10-31 20:51:55
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,40 to 64,Black,85 percent or higher,Cell,1,0.9135,1.2955,0.86,1.2688,2018-10-31 20:54:55
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,Black,85 percent or higher,Cell,1,0.9647,1.0709,0.5822,1.0435,2018-10-31 21:02:34
Dem,35 to 49,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,Chesterfield,40 to 64,Black,85 percent or higher,Cell,1,0.97,0.6824,0.3216,0.6681,2018-10-31 21:11:25
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,Nonwhite,Chesterfield,40 to 64,Other Non-White,85 percent or higher,Cell,1,0.9081,0.9493,0.5184,0.9152,2018-10-31 21:16:19
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,18 to 39,White,Less than 50 percent,Cell,0.7778,0.0493,1.0796,4.6586,1.6428,2018-10-31 21:18:07
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,18 to 39,Unknown,85 percent or higher,Cell,1,0.9395,2.044,1.0599,1.996,2018-10-31 21:23:40
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,40 to 64,Unknown,50 to 85 percent,Cell,1,0.7695,1.2483,0.6379,1.252,2018-10-31 21:24:43
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,50 to 85 percent,Cell,1,0.8202,0.6038,0.3398,0.584,2018-10-31 21:25:28
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,85 percent or higher,Cell,1,0.8876,1.0509,0.6823,1.0328,2018-10-31 21:28:10
Dem,65 and older,High school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,Other Non-White,85 percent or higher,Cell,1,0.8687,2.3518,2.1724,2.3178,2018-10-31 21:28:46
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Rest,65 and older,White,Less than 50 percent,Landline,1,0.1451,0.8105,2.1952,1.2835,2018-10-31 21:34:01
3,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Landline,1,0.9661,0.9812,0.5086,0.9482,2018-10-31 21:35:40
Dem,18 to 34,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Chesterfield,18 to 39,White,Less than 50 percent,Cell,1,0.2335,0.8319,1.7487,1.0587,2018-10-31 21:42:16
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.97,0.9339,0.4691,0.9029,2018-10-31 21:43:01
Rep,65 and older,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Chesterfield,65 and older,White,Less than 50 percent,Landline,0.8889,0.2155,1.321,4.9568,1.4246,2018-10-31 21:49:01
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Landline,1,0.6316,1.7268,2.1846,1.7895,2018-10-31 21:50:31
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.8897,0.8319,0.395,0.8022,2018-10-31 21:51:52
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.97,0.8456,0.5108,0.8237,2018-10-31 21:52:46
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,85 percent or higher,Cell,1,0.9292,1.1568,0.768,1.1308,2018-10-31 21:52:55
Dem,65 and older,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.9051,0.7366,0.2814,0.7222,2018-10-31 21:55:28
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.9173,0.8108,0.3272,0.7937,2018-10-31 21:56:49
Dem,65 and older,High school,Asian,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,65 and older,Other Non-White,50 to 85 percent,Landline,1,0.8461,1.4504,1.0306,1.4345,2018-10-31 22:00:34
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9221,0.7384,0.2993,0.7224,2018-10-31 22:02:01
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,Unknown,50 to 85 percent,Cell,0.8889,0.5695,0.9539,0.5865,0.9799,2018-10-31 22:03:40
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,40 to 64,White,50 to 85 percent,Cell,1,0.8241,1.1447,1.1783,1.1364,2018-10-31 22:05:19
3,[DO NOT READ] Refused,Some college or trade school,Black,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Chesterfield,40 to 64,Black,Less than 50 percent,Landline,0.4444,0.4166,1.0851,1.5429,0.8587,2018-10-31 22:05:19
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9643,1.3038,0.9678,1.2704,2018-10-31 22:05:19
Und,35 to 49,Bachelors' degree,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,Other Non-White,85 percent or higher,Landline,1,0.97,0.9058,0.38,0.8823,2018-10-31 22:05:28
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Rest,40 to 64,Black,50 to 85 percent,Cell,0.7778,0.552,1.1163,1.0334,0.8936,2018-10-31 22:06:55
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,65 and older,Black,85 percent or higher,Landline,1,0.97,0.6519,0.2409,0.635,2018-10-31 22:09:58
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,85 percent or higher,Landline,1,0.8935,0.8101,0.5266,0.7955,2018-10-31 22:11:10
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.8804,1.0509,0.6879,1.0136,2018-10-31 22:11:55
Dem,65 and older,High school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",Henrico,65 and older,Black,50 to 85 percent,Landline,1,0.7592,1.7085,1.6696,1.7577,2018-10-31 22:14:37
Dem,65 and older,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,65 and older,White,85 percent or higher,Landline,1,0.9382,1.4351,1.1722,1.3843,2018-10-31 22:17:10
Rep,65 and older,Some college or trade school,Hispanic,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Henrico,65 and older,Other Non-White,85 percent or higher,Cell,1,0.9695,1.7216,0.916,1.6771,2018-10-31 22:18:22
Rep,[DO NOT READ] Refused,Bachelors' degree,Black,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",Rest,65 and older,Black,50 to 85 percent,Landline,1,0.8169,0.9045,0.3601,0.875,2018-10-31 22:18:22
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Landline,1,0.8824,0.8131,0.43120000000000003,0.7996,2018-10-31 22:19:49
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,40 to 64,White,85 percent or higher,Landline,1,0.97,0.639,0.2715,0.6224,2018-10-31 22:20:55
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rest,40 to 64,White,85 percent or higher,Cell,1,0.8741,0.8131,0.4353,0.8006,2018-10-31 22:21:04
Dem,18 to 34,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Rest,18 to 39,Black,85 percent or higher,Landline,1,0.9582,1.5148,0.9355,1.4629,2018-10-31 22:21:10
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.97,1.0039,0.4677,0.9707,2018-10-31 22:22:16
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Chesterfield,40 to 64,White,Less than 50 percent,Cell,1,0.2154,0.7633,2.0328,0.9897,2018-10-31 22:22:31
Dem,35 to 49,Graduate or Professional Degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",Rest,40 to 64,Black,50 to 85 percent,Cell,1,0.6556,0.7113,0.4833,0.756,2018-10-31 22:28:07
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,Black,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Chesterfield,40 to 64,White,50 to 85 percent,Cell,1,0.5335,0.6995,0.5219,0.7475,2018-10-31 22:30:58
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,40 to 64,White,Less than 50 percent,Cell,1,0.4034,0.7832,1.0453,0.8842,2018-10-31 22:32:19
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",Rest,65 and older,White,50 to 85 percent,Landline,1,0.7889,0.9309,0.8218,0.9302,2018-10-31 22:32:37
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Chesterfield,40 to 64,Black,85 percent or higher,Cell,1,0.97,0.7527,0.3088,0.7332,2018-10-31 22:32:55
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.97,0.6678,0.2735,0.6505,2018-10-31 22:33:04
