response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,Less than 50 percent,Landline,1,0.4076,0.7723,1.1114,0.8947,2018-10-25 22:52:32
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Rest,85 percent or higher,Landline,1,0.9644,0.74,0.5603,0.7414,2018-10-25 22:56:26
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Landline,1,0.8392,0.8237,0.3855,0.8388,2018-10-25 23:00:38
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.6396,0.8083,0.5267,0.8595,2018-10-25 23:00:47
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9464,1.0454,0.6766,1.049,2018-10-25 23:04:50
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9456,0.6145,0.284,0.6167,2018-10-25 23:05:26
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9309,1.3779,0.6137,1.3848,2018-10-25 23:07:50
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9322,0.5952,0.2841,0.5981,2018-10-25 23:09:47
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8437,0.8567,0.4072,0.8717,2018-10-25 23:10:50
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9038,1.3121,0.8132,1.3231,2018-10-25 23:13:41
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.8376,1.1485,0.7729,1.1698,2018-10-25 23:15:38
Und,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.861,0.7129,0.5319,0.7234,2018-10-25 23:17:41
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Cell,1,0.6454,0.915,0.8708,0.9715,2018-10-25 23:17:59
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.96,0.8348,0.437,0.8367,2018-10-25 23:21:26
3,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.578,1.444,1.2461,1.4805,2018-10-25 23:21:53
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Landline,0.2222,0.6819,0.8268,0.8664,0.3836,2018-10-25 23:22:11
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Landline,0.4444,0.5806,1.5017,1.468,1.2575,2018-10-25 23:22:11
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Landline,1,0.9336,0.6867,0.3968,0.69,2018-10-25 23:24:17
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7088,1.285,1.1835,1.3429,2018-10-25 23:24:53
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.8392,0.8268,0.7056,0.8419,2018-10-25 23:26:41
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,50 to 85 percent,Cell,0.5556,0.5974,0.7772,0.5304,0.5796,2018-10-25 23:27:35
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,0.7778,0.9583,0.8348,0.4377,0.8186,2018-10-25 23:27:53
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.863,0.8099,0.6217,0.8038,2018-10-25 23:34:26
3,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.8066,1.1485,0.8022,1.1762,2018-10-25 23:34:53
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9074,1.1862,0.8841,1.1956,2018-10-25 23:35:29
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9541,1.2401,0.7382,1.2436,2018-10-25 23:35:38
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.8959,0.5864,0.2864,0.5919,2018-10-25 23:36:41
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.9189,0.6766,0.3909,0.681,2018-10-25 23:36:50
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Unknown/Non-White,Rest,50 to 85 percent,Cell,1,0.59,1.4626,1.3984,1.5777,2018-10-25 23:36:59
Rep,50 to 64,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown/Non-White,Rest,50 to 85 percent,Landline,1,0.7024,1.0957,0.8362,1.1468,2018-10-25 23:39:23
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Landline,1,0.8486,1.2292,1.1286,1.2496,2018-10-25 23:41:38
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.802,0.9309,0.6347,0.9541,2018-10-25 23:41:56
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9074,0.4759,0.196,0.4796,2018-10-25 23:42:23
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown/Non-White,Rest,85 percent or higher,Landline,1,0.9105,0.4867,0.2223,0.4903,2018-10-25 23:42:50
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Rest,50 to 85 percent,Landline,1,0.7519,1.9763,1.2966,2.0457,2018-10-25 23:48:30
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,85 percent or higher,Landline,1,0.8716,0.736,0.3371,0.7456,2018-10-25 23:52:15
3,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.8505,0.4805,0.3011,0.4884,2018-10-25 23:52:24
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9154,0.9999,0.7967,1.0068,2018-10-25 23:54:03
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9418,0.8348,0.4453,0.838,2018-10-25 23:54:57
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9508,0.5615,0.2748,0.5632,2018-10-25 23:57:03
Dem,65 and older,High school,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Landline,0.5556,0.8393,1.2124,0.9864,1.0233,2018-10-25 23:58:15
Rep,65 and older,High school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Buffalo Burbs,85 percent or higher,Landline,1,0.9353,1.0237,0.7952,1.0284,2018-10-26 00:02:54
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,85 percent or higher,Landline,1,0.8994,0.6205,0.2977,0.626,2018-10-26 00:05:45
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.7566,1.0109,0.6702,1.0454,2018-10-26 00:16:57
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.779,0.8237,0.4146,0.848,2018-10-26 00:17:06
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.8404,1.2007,0.6761,1.1928,2018-10-26 00:21:18
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8266,1.2292,1.1585,1.2543,2018-10-26 00:21:18
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9446,0.7129,0.4856,0.7155,2018-10-26 00:22:30
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.6042,0.9681,0.8923,1.0398,2018-10-26 00:23:15
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9452,0.5952,0.2803,0.5973,2018-10-26 00:25:12
Dem,50 to 64,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,0.6667,0.9196,0.7801,0.3245,0.7125,2018-10-26 00:26:24
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9039,0.7686,0.4438,0.775,2018-10-26 00:27:27
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Landline,1,0.8381,0.865,0.5956,0.881,2018-10-26 00:29:06
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.8839,0.9999,0.8248,1.0111,2018-10-26 00:31:39
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Buffalo Burbs,Less than 50 percent,Landline,1,0.388,1.0673,2.643,1.2491,2018-10-26 00:33:27
Und,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9224,0.7573,0.4218,0.7618,2018-10-26 00:36:45
Dem,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,Buffalo Burbs,Less than 50 percent,Cell,1,0.4832,1.2539,1.6007,1.1382,2018-10-26 00:40:39
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Don't know,Don't know,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,50 to 85 percent,Landline,1,0.7818,0.6801,0.4219,0.6997,2018-10-26 00:41:24
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9373,0.9484,0.5697,0.9526,2018-10-26 00:51:27
Dem,65 and older,High school,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,1,0.0734,1.2655,5.8614,2.1898,2018-10-26 00:55:57
Dem,65 and older,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Buffalo Burbs,50 to 85 percent,Landline,1,0.8482,1.0082,0.6216,1.025,2018-10-26 01:06:24
Und,50 to 64,Grade school,White,Female,White,Approve,Don't know,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9119,1.4663,1.1187,1.4771,2018-10-26 01:12:24
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9355,0.7129,0.4902,0.7071,2018-10-26 01:15:06
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,Less than 50 percent,Cell,1,0.422,0.8825,0.9522,1.0151,2018-10-26 01:19:58
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9528,0.5533,0.266,0.5549,2018-10-26 01:20:25
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9137,0.4734,0.2725,0.4768,2018-10-26 01:20:34
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.8319,0.7245,0.2866,0.7387,2018-10-26 01:22:31
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Unknown/Non-White,Rest,85 percent or higher,Landline,1,0.9407,0.5859,0.2437,0.5931,2018-10-26 01:23:25
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9457,0.6205,0.2835,0.6227,2018-10-26 01:26:43
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9399,1.0615,0.6158,1.0658,2018-10-26 21:23:13
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9198,0.7876,0.4492,0.7926,2018-10-26 21:26:40
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,50 to 85 percent,Cell,1,0.6255,0.9309,0.8115,0.9464,2018-10-26 21:32:37
Und,50 to 64,High school,White,Female,White,Disapp.,Don't know,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,0.7778,0.8172,1.785,1.124,1.585,2018-10-26 21:38:01
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 34,Unknown/Non-White,Rest,Less than 50 percent,Landline,0.4444,0.2953,2.2193,8.1578,1.357,2018-10-26 21:40:16
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,50 to 85 percent,Cell,0.7778,0.6361,1.1485,1.015,1.1635,2018-10-26 21:40:43
3,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Buffalo Burbs,Less than 50 percent,Landline,0.4444,0.4821,0.891,1.217,0.5901,2018-10-26 21:48:43
Dem,65 and older,High school,Asian,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Buffalo Burbs,85 percent or higher,Cell,1,0.8831,0.9804,0.8971,0.9915,2018-10-26 21:56:26
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown/Non-White,Rest,85 percent or higher,Cell,1,0.9231,0.8537,0.5184,0.8588,2018-10-26 22:01:36
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9533,0.5326,0.2022,0.5341,2018-10-26 22:02:03
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Buffalo Burbs,85 percent or higher,Cell,1,0.9442,0.9434,0.7616,0.9469,2018-10-26 22:03:11
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9315,0.5615,0.2803,0.5643,2018-10-26 22:04:41
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9416,0.7568,0.3871,0.7598,2018-10-26 22:05:30
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown/Non-White,Rest,85 percent or higher,Landline,1,0.9339,0.5859,0.2454,0.5887,2018-10-26 22:10:54
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Cell,1,0.4536,1.2003,1.4197,1.3609,2018-10-26 22:12:06
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Unknown/Non-White,Rest,Less than 50 percent,Cell,1,0.2669,1.3929,5.0627,1.768,2018-10-26 22:17:05
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.8563,0.8457,0.588,0.8395,2018-10-26 22:17:32
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Buffalo Burbs,85 percent or higher,Landline,1,0.9248,0.7979,0.5373,0.8025,2018-10-26 22:20:59
