response,ager,educ,file_race,gender,race_eth,approve,BIRTHRIGHT,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,REVERSERACIS,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9425,0.5906,0.3754,0.5815,2018-11-02 21:37:36
Rep,65 and older,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Cell,1,0.9561,0.6617,0.4628,0.6507,2018-11-02 21:38:21
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.97,0.8256,0.4349,0.8112,2018-11-02 21:38:57
Dem,50 to 64,High school,White,Male,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Favorable,NA,NA,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",50 to 64,White,Small Towns,50 to 85 percent,Landline,1,0.8208,2.1045,1.6351,2.1477,2018-11-02 21:41:03
Dem,35 to 49,Some college or trade school,White,Male,Black,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Democrat,Nonwhite,35 to 49,White,Story,50 to 85 percent,Cell,0.7778,0.6948,1.3406,1.0798,1.1219,2018-11-02 21:41:57
Dem,65 and older,High school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.9394,0.6653,0.9161,2018-11-02 21:42:33
Rep,65 and older,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Don't know,NA,NA,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9125,0.6217,0.4354,0.6142,2018-11-02 21:45:51
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Favorable,Favorable,NA,NA,18 to 29,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Rural,Less than 50 percent,Landline,0.6667,0.4629,0.6835,1.3571,0.6154,2018-11-02 21:46:20
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Story,85 percent or higher,Landline,1,0.9264,0.7043,0.388,0.7013,2018-11-02 21:46:56
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Small Towns,50 to 85 percent,Cell,1,0.8275,1.4684,1.0048,1.4318,2018-11-02 21:47:41
Dem,65 and older,High school,White,Female,White,Approve,NA,NA,NA,Don't know,Favorable,Don't know,NA,NA,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,50 to 85 percent,Landline,1,0.6641,1.2881,1.2454,1.3768,2018-11-02 21:48:35
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,Postgraduate Degree,Democratic,Male,Not at all likely,or as a member of another political party,"White, 4-Year College Grads",65 and older,White,Story,85 percent or higher,Cell,0,0.93,0.5889,0.2409,0.3773,2018-11-02 21:48:44
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,Dutch,85 percent or higher,Landline,1,0.8578,0.7229,0.7907,0.7198,2018-11-02 21:49:02
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Small Towns,50 to 85 percent,Cell,1,0.5327,1.3927,1.5341,1.567,2018-11-02 21:49:11
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Don't know,Don't know,NA,NA,30 to 44,4-year College Grad.,Republican,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 34,White,Small Towns,50 to 85 percent,Cell,1,0.644,0.8511,0.8536,0.9161,2018-11-02 21:49:20
Dem,65 and older,High school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Story,85 percent or higher,Landline,1,0.97,1.1202,0.6765,1.1005,2018-11-02 21:50:59
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,Rural,85 percent or higher,Landline,1,0.8785,0.7373,0.3999,0.7419,2018-11-02 21:51:35
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,18 to 29,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",18 to 34,White,Small Towns,85 percent or higher,Cell,1,0.8915,0.3906,0.2502,0.3919,2018-11-02 21:52:11
Rep,65 and older,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.9457,0.6884,0.4693,0.6828,2018-11-02 21:52:56
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Don't know,Don't know,NA,NA,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Story,85 percent or higher,Landline,1,0.9347,0.8891,0.4108,0.8838,2018-11-02 21:54:35
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rural,85 percent or higher,Landline,1,0.97,0.7004,0.3236,0.6882,2018-11-02 21:56:41
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,NA,NA,NA,Dems. take House,Don't know,Unfavorable,NA,NA,65 and older,Some College Educ.,Other,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Rural,85 percent or higher,Landline,1,0.8856,1.0151,0.6048,1.0198,2018-11-02 21:57:26
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rural,85 percent or higher,Landline,1,0.97,1.2049,0.6326,1.175,2018-11-02 21:59:23
Rep,65 and older,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.8544,0.682,0.4712,0.6794,2018-11-02 21:59:41
Dem,65 and older,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,NA,NA,NA,Dems. take House,Don't know,Unfavorable,NA,NA,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,Rural,85 percent or higher,Landline,1,0.9528,0.4747,0.231,0.4702,2018-11-02 21:59:59
Rep,50 to 64,High school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Rural,85 percent or higher,Landline,1,0.949,1.459,1.1059,1.4463,2018-11-02 22:04:27
Rep,65 and older,High school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.97,1.0949,0.8373,1.0757,2018-11-02 22:05:12
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Cell,1,0.9678,0.8166,0.4408,0.8024,2018-11-02 22:06:15
Dem,65 and older,High school,White,Male,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,50 to 85 percent,Landline,1,0.8285,1.3401,1.0045,1.365,2018-11-02 22:06:24
Rep,65 and older,Grade school,White,Male,White,Approve,NA,NA,NA,Dems. take House,Favorable,Favorable,NA,NA,65 and older,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Cell,0.5556,0.91,1.1285,0.813,1.0448,2018-11-02 22:07:54
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,White,Small Towns,Less than 50 percent,Cell,1,0.3262,0.798,2.1745,0.9503,2018-11-02 22:10:36
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Unfavorable,NA,NA,45 to 64,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rural,85 percent or higher,Landline,1,0.8555,0.8715,0.5924,0.8818,2018-11-02 22:11:48
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Unfavorable,NA,NA,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Small Towns,85 percent or higher,Cell,1,0.9575,1.0043,0.7046,0.9875,2018-11-02 22:11:57
Dem,35 to 49,High school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,30 to 44,High School Grad. or Less,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",35 to 49,White,Rural,50 to 85 percent,Landline,1,0.7467,1.7187,1.8164,1.7899,2018-11-02 22:12:51
Rep,65 and older,High school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Don't know,NA,NA,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Dutch,50 to 85 percent,Landline,1,0.7028,1.4359,1.8055,1.5155,2018-11-02 22:13:18
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Rural,85 percent or higher,Cell,1,0.8908,0.7475,0.6354,0.7406,2018-11-02 22:17:33
Und,65 and older,Some college or trade school,White,Male,White,Don't know,NA,NA,NA,Don't know,Don't know,Don't know,NA,NA,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Story,50 to 85 percent,Landline,1,0.8296,1.1601,0.6362,1.1605,2018-11-02 22:17:42
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Rural,Less than 50 percent,Landline,1,0.4996,1.1032,1.3114,1.2605,2018-11-02 22:19:03
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Dutch,85 percent or higher,Cell,1,0.9044,0.9994,0.9074,0.9719,2018-11-02 22:25:30
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Rural,Less than 50 percent,Cell,1,0.3204,0.7801,1.9923,0.8498,2018-11-02 22:25:30
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rural,85 percent or higher,Cell,1,0.8912,0.8199,0.645,0.8124,2018-11-02 22:27:27
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Dutch,85 percent or higher,Cell,1,0.9091,0.9994,0.9028,0.9878,2018-11-02 22:27:45
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,NA,NA,NA,Don't know,Don't know,Don't know,NA,NA,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Small Towns,Less than 50 percent,Cell,0.7778,0.3584,0.798,1.9806,0.5171,2018-11-02 22:28:21
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,NA,NA,NA,Reps. keep House,Favorable,Favorable,NA,NA,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.8956,0.6217,0.4433,0.6156,2018-11-02 22:31:08
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rural,50 to 85 percent,Cell,1,0.7813,1.4355,0.9577,1.4044,2018-11-02 22:31:12
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Rural,50 to 85 percent,Landline,1,0.8319,1.2578,0.8834,1.28,2018-11-02 22:32:11
Rep,65 and older,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9041,0.6217,0.4393,0.622,2018-11-02 22:33:41
Rep,65 and older,High school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.9888,0.7493,0.9715,2018-11-02 22:34:53
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,NA,NA,NA,Don't know,Favorable,Unfavorable,NA,NA,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Rural,Less than 50 percent,Cell,1,0.2619,0.7801,2.4339,1.0543,2018-11-02 22:38:47
Rep,65 and older,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9168,0.6468,0.4349,0.6454,2018-11-02 22:39:41
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Small Towns,Less than 50 percent,Cell,1,0.3923,0.8302,1.8169,0.9508,2018-11-02 22:43:08
Und,65 and older,High school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Cell,1,0.9056,1.1285,0.8169,1.1159,2018-11-02 22:43:44
Rep,50 to 64,High school,Unknown,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,Unknown/Non-White,Dutch,85 percent or higher,Landline,1,0.927,2.2107,2.0489,2.201,2018-11-02 22:43:53
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Story,85 percent or higher,Cell,1,0.9137,1.1863,0.6819,1.1719,2018-11-02 22:46:02
Und,35 to 49,High school,White,Female,White,Approve,NA,NA,NA,Don't know,Unfavorable,Unfavorable,NA,NA,30 to 44,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rural,Less than 50 percent,Landline,1,0.4369,1.8545,4.2453,2.0777,2018-11-02 22:46:20
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Support,Support,agree,Dems. take House,Favorable,Unfavorable,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.948,0.5906,0.3733,0.5856,2018-11-02 22:46:45
Dem,65 and older,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Favorable,Unfavorable,NA,NA,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9254,0.6217,0.4295,0.6133,2018-11-02 22:49:38
Rep,65 and older,High school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9443,0.9888,0.7692,0.9734,2018-11-02 22:50:05
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Unfavorable,NA,NA,18 to 29,Postgraduate Degree,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Small Towns,Less than 50 percent,Cell,0,0.3067,0.6673,1.4133,0.1614,2018-11-02 22:51:35
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rural,85 percent or higher,Landline,1,0.8721,0.907,0.691,0.9011,2018-11-02 22:53:05
Rep,65 and older,Bachelors' degree,White,Female,White,Don't know,NA,NA,NA,Reps. keep House,Favorable,Favorable,NA,NA,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.7849,0.4383,0.7711,2018-11-02 22:53:32
Rep,65 and older,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Cell,1,0.97,0.6217,0.4104,0.6108,2018-11-02 22:53:59
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown/Non-White,Dutch,50 to 85 percent,Landline,1,0.6357,1.0801,0.8818,1.166,2018-11-02 22:54:44
Und,65 and older,Some college or trade school,White,Female,White,Approve,Support,Oppose,agree,Don't know,Don't know,Don't know,disagree,agree,65 and older,Some College Educ.,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,Less than 50 percent,Landline,0,0.0731,1.009,4.6433,0.2019,2018-11-02 22:56:12
Und,65 and older,High school,Other,Male,White,Disapp.,NA,NA,NA,Don't know,Don't know,Don't know,NA,NA,65 and older,High School Grad. or Less,Republican,Male,Not very likely,Republican,"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Rural,85 percent or higher,Cell,0,0.8558,1.4719,1.1302,0.8837,2018-11-02 22:56:50
Rep,65 and older,High school,White,Female,White,Approve,Support,Support,agree,Reps. keep House,Don't know,Favorable,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9661,0.9888,0.7523,0.9717,2018-11-02 23:00:08
Rep,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,NA,NA,NA,Reps. keep House,Unfavorable,Don't know,NA,NA,45 to 64,4-year College Grad.,Other,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,35 to 49,White,Small Towns,50 to 85 percent,Cell,0.8889,0.6627,1.5105,1.3262,1.4577,2018-11-02 23:00:44
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.8166,0.4398,0.8023,2018-11-02 23:04:48
3,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,NA,NA,NA,Reps. keep House,Favorable,Unfavorable,NA,NA,30 to 44,[DO NOT READ] Don't know/Refused,Other,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,18 to 34,White,Rural,50 to 85 percent,Cell,1,0.7094,0.7347,0.7192,0.7738,2018-11-02 23:05:15
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Oppose,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,disagree,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Dutch,85 percent or higher,Landline,1,0.9687,0.942,0.7365,0.9304,2018-11-02 23:11:14
Dem,18 to 34,Some college or trade school,White,Female,White,Approve,Support,Support,disagree,Reps. keep House,Favorable,Don't know,disagree,agree,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Small Towns,50 to 85 percent,Cell,1,0.8043,0.7395,0.6521,0.7222,2018-11-02 23:13:47
Dem,65 and older,Bachelors' degree,White,Female,White,Don't know,Support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.7457,0.3899,0.7326,2018-11-02 23:13:56
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Support,Oppose,agree,Don't know,Don't know,Favorable,disagree,agree,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.8623,0.6217,0.4599,0.628,2018-11-02 23:14:50
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Unknown/Non-White,Small Towns,85 percent or higher,Landline,1,0.9424,1.7633,0.9591,1.7159,2018-11-02 23:22:22
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Support,Support,disagree,Reps. keep House,Favorable,Favorable,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Small Towns,85 percent or higher,Cell,1,0.9009,1.0043,0.748,0.9937,2018-11-02 23:25:04
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Rural,50 to 85 percent,Cell,1,0.7601,1.0249,0.9567,1.0388,2018-11-02 23:25:13
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Rural,50 to 85 percent,Cell,1,0.7497,1.3642,1.0499,1.3857,2018-11-02 23:31:04
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,disagree,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 34,White,Small Towns,85 percent or higher,Cell,1,0.875,0.4112,0.2856,0.4,2018-11-03 00:00:26
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Don't know,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Cell,1,0.962,0.6468,0.4151,0.6358,2018-11-03 00:05:59
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Oppose,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,disagree,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown/Non-White,Rural,85 percent or higher,Landline,1,0.8681,0.9757,0.6146,0.9842,2018-11-03 00:10:38
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,18 to 29,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Story,Less than 50 percent,Cell,1,0.4509,0.7476,0.8816,0.876,2018-11-03 00:28:24
