response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,file_race_noblack,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Unfavorable,oppose,support,no,agree,agree,agree,45 to 64,4-year College Grad.,Other,Male,Not very likely,or as a member of another political party,"White, 4-Year College Grads",Unknown,Costa Mesa/North,50 to 85 percent,Cell,0.3333,0.5196,0.8515,1.101,0.4507,2018-09-05 02:12:10
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,Other,Approve,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,Don't know,agree,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.8733,0.6669,0.505,0.6929,2018-09-05 02:12:46
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,disagree,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8438,1.1281,0.8151,1.1776,2018-09-05 03:15:22
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.9631,0.5223,0.305,0.537,2018-09-05 02:02:16
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Landline,1,0.9889,0.8186,0.4899,0.8411,2018-09-05 02:09:28
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.74,0.8378,0.7158,0.8606,2018-09-05 03:26:37
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Approve,agree,Dems. take House,Favorable,Unfavorable,support,support,no,agree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Hispanic,Laguna Beach/South,85 percent or higher,Cell,0,0.9885,0.6615,0.4517,0.6591,2018-09-05 02:05:16
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Landline,1,0.9909,0.6639,0.4474,0.6821,2018-09-05 02:00:37
Rep,18 to 34,High school,White,Male,White,Disapp.,Don't know,Don't know,Don't know,Don't know,Favorable,support,support,no,agree,disagree,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Laguna Beach/South,Less than 50 percent,Cell,0.6667,0.4626,0.4906,1.0339,0.462,2018-09-05 02:00:37
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,Don't know,Don't know,no,disagree,agree,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,White,Laguna Beach/South,85 percent or higher,Cell,1,0.969,0.9005,0.652,0.9255,2018-09-05 03:33:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9511,0.9258,0.5516,0.9527,2018-09-05 02:12:37
Dem,50 to 64,Bachelors' degree,Unknown,Female,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.971,0.9084,0.6735,0.9267,2018-09-05 03:28:52
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9843,0.9969,0.7072,1.0241,2018-09-05 02:01:04
Dem,35 to 49,Bachelors' degree,Asian,Male,Asian,Disapp.,Disapp.,agree,Dems. take House,Unfavorable,Unfavorable,Don't know,Don't know,no,disagree,disagree,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Asian,Laguna Beach/South,50 to 85 percent,Cell,0.8889,0.5648,1.7926,2.0668,1.9451,2018-09-05 02:17:44
Dem,50 to 64,Some college or trade school,White,Male,Other,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,White,Laguna Beach/South,85 percent or higher,Cell,1,0.908,1.2442,0.8473,1.2864,2018-09-05 02:17:53
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Unfavorable,support,support,yes,disagree,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.4617,0.3612,0.5729,0.3904,2018-09-05 02:21:11
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9457,1.2559,0.7905,1.293,2018-09-05 02:21:38
Und,65 and older,Some college or trade school,White,Male,Hispanic,Disapp.,Disapp.,disagree,Dems. take House,Don't know,Don't know,oppose,Don't know,no,disagree,agree,disagree,30 to 44,Some College Educ.,Democratic,Male,Not at all likely,[DO NOT READ] Refused,Nonwhite,White,Laguna Beach/South,Less than 50 percent,Cell,0,0.1715,0.6553,2.6413,0.1456,2018-09-05 02:29:53
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,support,support,no,disagree,disagree,disagree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,Hispanic,Costa Mesa/North,Less than 50 percent,Cell,0.8889,0.1888,0.8236,3.0096,0.9556,2018-09-05 03:35:03
Rep,18 to 34,High school,White,Male,Hispanic,Approve,Approve,agree,Reps. keep House,Don't know,Favorable,oppose,support,yes,Don't know,disagree,agree,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,Nonwhite,White,Laguna Beach/South,Less than 50 percent,Cell,1,0.2415,0.727,2.7879,0.6949,2018-09-05 02:24:11
Rep,65 and older,High school,White,Female,White,Approve,Approve,agree,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,yes,agree,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Costa Mesa/North,85 percent or higher,Cell,1,0.8763,2.1149,2.0333,2.1964,2018-09-05 02:16:41
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Don't know,oppose,Don't know,yes,agree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Costa Mesa/North,50 to 85 percent,Landline,1,0.844,1.0291,0.8512,1.0486,2018-09-05 02:17:08
Dem,18 to 34,High school,Hispanic,Male,Hispanic,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,no,agree,agree,disagree,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.6626,0.6796,0.9706,0.7369,2018-09-05 02:18:02
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Favorable,Unfavorable,support,Don't know,no,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9325,0.9969,0.7465,1.0277,2018-09-05 02:26:53
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Approve,agree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,disagree,agree,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Costa Mesa/North,85 percent or higher,Landline,1,0.9817,1.5427,1.0329,1.5847,2018-09-05 02:17:26
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9545,0.6225,0.3932,0.6404,2018-09-05 02:21:02
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,Don't know,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.4108,0.586,0.9689,0.6953,2018-09-05 02:28:14
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,Approve,agree,Reps. keep House,Don't know,Favorable,support,support,yes,disagree,disagree,disagree,18 to 29,Some College Educ.,Republican,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,Costa Mesa/North,Less than 50 percent,Cell,0.4444,0.2052,0.5589,1.8776,0.2645,2018-09-05 02:19:59
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Laguna Beach/South,85 percent or higher,Cell,1,0.98,0.8218,0.5674,0.8443,2018-09-05 02:22:05
Rep,50 to 64,Some college or trade school,White,Female,Other,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,White,Costa Mesa/North,85 percent or higher,Landline,1,0.9671,1.576,1.0305,1.6198,2018-09-05 02:24:20
Und,65 and older,Grade school,Hispanic,Male,Hispanic,Disapp.,Approve,disagree,Dems. take House,Don't know,Don't know,Don't know,support,no,agree,agree,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Hispanic,Costa Mesa/North,50 to 85 percent,Cell,0.6667,0.5339,1.1697,1.8483,1.1943,2018-09-05 02:35:50
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,agree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.8843,1.1345,0.7674,1.1768,2018-09-05 02:41:32
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,agree,Don't know,18 to 29,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Newport Beach,85 percent or higher,Cell,1,0.9525,0.4243,0.2992,0.4321,2018-09-05 02:42:26
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Newport Beach,Less than 50 percent,Cell,0.7778,0.1017,0.7291,2.8088,1.0151,2018-09-05 02:31:38
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,White,Laguna Beach/South,85 percent or higher,Cell,1,0.916,0.8396,0.5966,0.854,2018-09-05 02:45:35
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,Don't know,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Newport Beach,Less than 50 percent,Cell,0.5556,0.1833,1.0573,4.0158,0.7114,2018-09-05 02:34:11
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,White,Costa Mesa/North,85 percent or higher,Cell,1,0.8745,0.8555,0.6205,0.8887,2018-09-05 02:42:44
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,oppose,oppose,yes,agree,agree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9122,1.0143,0.7209,1.0481,2018-09-05 02:31:47
Dem,18 to 34,Some college or trade school,Asian,Male,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,support,support,no,disagree,disagree,disagree,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Asian,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.8889,0.4812,1.1325,1.8596,1.1696,2018-09-05 02:44:05
Dem,65 and older,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Disapp.,agree,Dems. take House,Don't know,Don't know,Don't know,oppose,no,agree,agree,agree,65 and older,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,Asian,Huntington Beach/Fountain Valley,85 percent or higher,Cell,0.7778,0.9954,2.101,1.4646,2.1497,2018-09-05 02:34:02
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,Don't know,Reps. keep House,Don't know,Favorable,support,support,no,Don't know,disagree,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Landline,0.7778,0.902,1.1105,0.7653,1.1041,2018-09-05 02:35:32
Rep,50 to 64,High school,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Laguna Beach/South,85 percent or higher,Cell,1,0.967,2.0498,1.8013,2.1068,2018-09-05 02:37:29
Dem,18 to 34,Bachelors' degree,White,Female,Asian,Disapp.,Don't know,agree,Dems. take House,Don't know,Favorable,support,support,no,disagree,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.783,0.4555,0.4259,0.4661,2018-09-05 02:31:38
Dem,65 and older,High school,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Favorable,Unfavorable,oppose,support,no,agree,agree,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9697,1.7939,1.7709,1.8435,2018-09-05 02:31:38
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,oppose,oppose,no,disagree,agree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9902,1.4934,1.4105,1.5345,2018-09-05 02:35:05
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,support,no,agree,agree,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9729,1.2293,0.7817,1.2544,2018-09-05 02:42:53
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,Don't know,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9697,0.6782,0.4495,0.697,2018-09-05 02:44:05
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.9929,0.7415,0.4766,0.7621,2018-09-05 02:40:47
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Landline,1,0.9593,1.0989,0.6944,1.13,2018-09-05 02:33:44
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,Don't know,Don't know,Unfavorable,oppose,support,yes,agree,agree,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.3723,0.4323,0.8797,0.5235,2018-09-05 03:48:04
Dem,35 to 49,Some college or trade school,White,Male,Hispanic,Disapp.,Disapp.,Don't know,Dems. take House,Don't know,Unfavorable,support,support,yes,disagree,disagree,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,White,Costa Mesa/North,85 percent or higher,Cell,1,0.8774,0.7332,0.5095,0.7614,2018-09-05 02:49:54
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Landline,1,0.9889,0.92,0.628,0.9416,2018-09-05 02:43:02
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.9838,1.5229,0.9485,1.5644,2018-09-05 03:59:46
Rep,35 to 49,Grade school,White,Male,Other,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,High School Grad. or Less,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,Nonwhite,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.7778,0.4175,1.7787,3.6361,1.3473,2018-09-05 02:47:21
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Favorable,support,support,no,disagree,agree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Not at all likely,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0,0.2852,0.3612,0.9275,0.0894,2018-09-05 02:58:09
Rep,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9857,0.9062,0.5415,0.931,2018-09-05 02:58:27
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,disagree,agree,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Costa Mesa/North,50 to 85 percent,Cell,1,0.6352,0.7038,0.6613,0.7687,2018-09-05 02:48:33
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,support,no,disagree,disagree,agree,18 to 29,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.8618,0.5079,0.3713,0.5172,2018-09-05 02:44:12
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.7778,0.3741,0.9802,1.6568,1.0873,2018-09-05 02:46:45
Rep,18 to 34,High school,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,support,no,agree,disagree,agree,18 to 29,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Laguna Beach/South,85 percent or higher,Cell,1,0.894,0.7718,0.739,0.7994,2018-09-05 02:51:51
Und,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Approve,agree,Don't know,Don't know,Don't know,support,support,yes,disagree,agree,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.5904,1.2005,1.4414,1.3283,2018-09-05 02:51:51
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.971,0.9005,0.6507,0.9254,2018-09-05 02:52:09
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,agree,Reps. keep House,Don't know,Don't know,oppose,support,yes,agree,agree,disagree,65 and older,Postgraduate Degree,Republican,Female,Not very likely,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,0.7778,0.8713,1.0891,0.7892,0.9528,2018-09-05 02:51:15
Rep,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,White,Costa Mesa/North,85 percent or higher,Landline,1,0.9806,1.1705,0.7079,1.2024,2018-09-05 02:53:12
Rep,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Hispanic,Laguna Beach/South,85 percent or higher,Cell,1,0.9622,1.3584,0.9151,1.3966,2018-09-05 02:56:21
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,support,support,no,Don't know,agree,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Costa Mesa/North,85 percent or higher,Landline,1,0.8507,1.2837,0.9251,1.3385,2018-09-05 04:14:47
Rep,50 to 64,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Disapp.,agree,Reps. keep House,Don't know,Don't know,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,Asian,Costa Mesa/North,85 percent or higher,Cell,0.8889,0.8916,2.0437,1.467,2.0553,2018-09-05 02:48:15
Und,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Reps. keep House,Don't know,Don't know,oppose,Don't know,no,Don't know,disagree,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Laguna Beach/South,50 to 85 percent,Landline,1,0.6944,1.4468,1.4485,1.4941,2018-09-05 03:02:37
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.9601,0.6277,0.3941,0.6454,2018-09-05 02:47:12
Dem,65 and older,High school,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,oppose,no,Don't know,disagree,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9821,1.4989,1.4121,1.5397,2018-09-05 03:13:25
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,no,agree,disagree,agree,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Cell,1,0.9576,0.7899,0.5149,0.8047,2018-09-05 03:07:07
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Favorable,support,support,no,disagree,disagree,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Laguna Beach/South,50 to 85 percent,Cell,1,0.6562,0.4513,0.523,0.4685,2018-09-05 03:10:16
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Approve,agree,Reps. keep House,Favorable,Favorable,oppose,support,yes,Don't know,agree,disagree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Laguna Beach/South,50 to 85 percent,Cell,1,0.6037,1.2247,1.3322,1.3496,2018-09-05 03:13:25
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Unknown,Costa Mesa/North,85 percent or higher,Cell,1,0.9871,1.376,0.9818,1.4136,2018-09-05 03:14:55
