response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,1,0.7676,0.8101,0.7528,0.8457,2018-10-13 20:04:52
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Rest of Araphahoe,Less than 50 percent,Cell,1,0.4779,0.9959,1.6057,1.0569,2018-10-13 20:07:07
4,18 to 34,Bachelors' degree,White,Male,White,Don't know,Don't know,Unfavorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,1,0.5278,0.8789,1.0891,0.9791,2018-10-13 20:07:43
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.9501,0.6212,0.4217,0.6305,2018-10-13 20:08:19
Dem,65 and older,Graduate or Professional Degree,Other,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.0816,0.7453,1.0874,2018-10-13 20:11:55
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,Unknown,Aurora,85 percent or higher,Landline,1,0.8546,0.9132,0.7106,0.9173,2018-10-13 20:12:13
Und,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,50 to 85 percent,Landline,1,0.6163,1.0124,1.1636,1.0429,2018-10-13 20:16:43
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Don't know,Don't know,Don't know,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,0.8889,0.6837,1.086,1.1438,1.1316,2018-10-13 20:17:46
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Douglas,85 percent or higher,Landline,1,0.965,1.3303,0.9632,1.3374,2018-10-13 20:24:22
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Douglas,85 percent or higher,Landline,1,0.965,1.3463,1.0198,1.3536,2018-10-13 20:26:55
Rep,50 to 64,Bachelors' degree,Hispanic,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Hispanic,Douglas,50 to 85 percent,Landline,1,0.5987,1.9757,2.334,2.1505,2018-10-13 20:36:29
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,50 to 85 percent,Landline,1,0.8035,0.8777,0.7514,0.8843,2018-10-13 20:44:35
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.7875,0.5311,0.7983,2018-10-13 20:44:35
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.2032,0.7824,1.2198,2018-10-13 20:52:06
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,1.0124,0.7835,1.0264,2018-10-13 20:58:42
Rep,65 and older,[DO NOT READ] Refused,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,[DO NOT READ] Don't know/Refused,White,Aurora,85 percent or higher,Landline,1,0.965,1.0312,0.6859,1.0368,2018-10-13 21:05:22
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Not very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,White,Aurora,85 percent or higher,Landline,0,0.9247,0.779,0.5385,0.562,2018-10-13 21:17:40
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Douglas,85 percent or higher,Landline,1,0.965,1.1199,0.8685,1.1353,2018-10-13 21:23:13
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Douglas,50 to 85 percent,Cell,1,0.7874,1.4563,1.1865,1.5143,2018-10-13 22:35:25
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,White,Rest of Araphahoe,Less than 50 percent,Cell,1,0.3639,1.0099,2.0611,1.2119,2018-10-14 18:48:47
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.7626,0.5009,0.7667,2018-10-14 18:53:26
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.7476,0.8805,0.6528,0.923,2018-10-14 18:59:44
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Aurora,50 to 85 percent,Cell,1,0.6142,0.8204,0.771,0.8889,2018-10-14 19:03:36
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Douglas,85 percent or higher,Cell,0.4444,0.965,1.3827,1.018,1.343,2018-10-14 19:07:03
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Other Non-White,Aurora,85 percent or higher,Landline,1,0.965,1.0356,0.8359,1.0412,2018-10-14 19:18:02
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9539,0.8307,0.5623,0.8429,2018-10-14 19:20:06
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9112,1.3036,0.8656,1.3287,2018-10-14 19:25:21
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Don't know,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.9292,0.9739,0.704,0.9905,2018-10-14 19:25:48
Dem,65 and older,Some college or trade school,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.523,1.1823,1.544,2018-10-14 19:31:03
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.9514,0.5955,0.9565,2018-10-14 19:34:44
Und,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.2385,0.9438,1.2555,2018-10-14 19:38:20
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.2237,0.8915,1.2405,2018-10-14 19:41:02
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Aurora,85 percent or higher,Landline,1,0.965,0.7384,0.493,0.7486,2018-10-14 19:42:14
Dem,50 to 64,Bachelors' degree,Black,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Other Non-White,Adams,85 percent or higher,Cell,1,0.965,0.903,0.6803,0.9155,2018-10-14 19:44:47
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.8833,0.577,0.8955,2018-10-14 19:44:47
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Adams,85 percent or higher,Landline,1,0.9099,0.9817,0.9113,1.0008,2018-10-14 19:46:35
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.965,0.9154,0.6128,0.928,2018-10-14 19:48:41
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,Unknown,Adams,85 percent or higher,Landline,1,0.8692,0.923,0.7573,0.9464,2018-10-14 19:48:49
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Douglas,85 percent or higher,Cell,1,0.8671,1.9145,1.5774,1.922,2018-10-14 19:53:55
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,White,Aurora,Less than 50 percent,Cell,1,0.3938,0.5641,1.1754,0.6659,2018-10-14 19:55:25
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.2237,0.8915,1.2405,2018-10-14 19:58:34
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Douglas,85 percent or higher,Landline,1,0.965,1.4587,1.0654,1.4787,2018-10-14 20:00:13
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.2237,0.8915,1.2405,2018-10-14 20:03:35
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.8461,0.5629,0.8578,2018-10-14 20:05:13
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Adams,85 percent or higher,Cell,1,0.965,0.7558,0.6551,0.7599,2018-10-14 20:05:31
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.2237,0.8915,1.2405,2018-10-14 20:07:37
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Aurora,85 percent or higher,Landline,1,0.965,0.6856,0.4777,0.695,2018-10-14 20:07:47
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.719,0.4939,0.7228,2018-10-14 20:14:23
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Douglas,85 percent or higher,Landline,1,0.965,1.5138,1.0788,1.5346,2018-10-14 20:18:32
Rep,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,0.8321,0.6303,0.8435,2018-10-14 20:26:11
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,Hispanic,Rest of Araphahoe,50 to 85 percent,Cell,1,0.704,1.444,1.2828,1.5285,2018-10-14 20:27:23
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,4-year College Grad.,White,Adams,85 percent or higher,Landline,1,0.8839,0.7956,0.6194,0.8139,2018-10-14 20:27:41
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.6633,0.9433,0.893,0.9648,2018-10-14 20:29:38
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.6691,0.4285,0.6727,2018-10-14 20:35:27
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.3036,0.8174,1.3215,2018-10-14 20:37:42
Rep,65 and older,High school,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Adams,85 percent or higher,Landline,1,0.9001,1.0233,0.9106,1.0445,2018-10-14 20:38:00
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.9622,0.8005,0.5981,0.8046,2018-10-14 20:39:30
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.2385,0.9438,1.2555,2018-10-14 20:45:21
3,65 and older,Graduate or Professional Degree,White,Male,Other,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,65 and older,Postgraduate Degree,White,Aurora,85 percent or higher,Landline,1,0.965,0.719,0.4939,0.7289,2018-10-14 20:47:18
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.0773,0.6984,1.0921,2018-10-14 20:52:33
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,No 4-year College Degree,White,Aurora,Less than 50 percent,Cell,0,0.3713,0.8727,2.0196,0.6116,2018-10-14 20:53:09
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.1889,0.739,1.2052,2018-10-14 20:56:18
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.8575,0.9911,0.8559,1.018,2018-10-14 20:56:27
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Other Non-White,Aurora,Less than 50 percent,Cell,0.8889,0.4256,0.9592,1.9924,1.0738,2018-10-14 21:01:33
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Adams,85 percent or higher,Landline,1,0.965,0.5513,0.4122,0.5542,2018-10-14 21:01:42
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.6691,0.466,0.6727,2018-10-14 21:03:46
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,0.8795,0.5949,0.8916,2018-10-14 21:04:10
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.7682,0.7336,0.5647,0.7412,2018-10-14 21:04:33
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Aurora,85 percent or higher,Landline,1,0.965,0.9836,0.6495,0.9971,2018-10-14 21:04:46
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Landline,1,0.965,1.0523,0.8281,1.0668,2018-10-14 21:05:13
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.9793,0.7184,0.9845,2018-10-14 21:11:07
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9452,0.7038,0.4895,0.7147,2018-10-14 21:12:37
Rep,[DO NOT READ] Refused,High school,Unknown,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,Unknown,Adams,85 percent or higher,Landline,1,0.8842,0.9875,0.9492,1.0103,2018-10-14 21:13:01
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.0339,0.7372,1.0482,2018-10-14 21:13:13
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Aurora,50 to 85 percent,Cell,1,0.6617,0.6233,0.5752,0.6667,2018-10-14 21:15:52
Dem,35 to 49,Some college or trade school,Other,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Other Non-White,Rest of Araphahoe,85 percent or higher,Landline,1,0.965,1.3801,1.1174,1.3991,2018-10-14 21:16:01
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Adams,85 percent or higher,Landline,1,0.965,0.7554,0.5659,0.7594,2018-10-14 21:16:55
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Aurora,Less than 50 percent,Cell,1,0.4929,0.8256,1.2632,0.9317,2018-10-14 21:17:04
Dem,35 to 49,Bachelors' degree,White,Female,Black,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Not at all likely,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,White,Aurora,85 percent or higher,Cell,0.4444,0.9,0.9154,0.657,0.6786,2018-10-14 21:17:31
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.965,0.8182,0.5532,0.8226,2018-10-14 21:18:27
