response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,Unknown,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.9645,0.7805,0.4008,0.7639,2018-10-18 23:32:35
Dem,35 to 49,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.5079,1.2372,1.5352,1.3402,2018-10-18 23:33:13
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 39,Other Non-White,"Rest, Trump",Less than 50 percent,Cell,0.6667,0.0778,0.8312,3.6628,0.8703,2018-10-18 23:33:31
Und,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Black,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,NA,NA,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Democratic,Male,Very likely,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Black,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.8607,0.8796,0.5455,0.8526,2018-10-18 23:37:07
Und,18 to 34,Some college or trade school,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 39,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.6484,1.3215,1.1698,1.3692,2018-10-18 23:37:52
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.8893,1.0608,0.3517,1.0468,2018-10-18 23:40:07
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,0.666,0.2331,0.6516,2018-10-18 23:42:22
Und,50 to 64,High school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Black,"Rest, Clinton",85 percent or higher,Landline,1,0.8681,1.6282,1.0354,1.6118,2018-10-18 23:44:46
Und,65 and older,Grade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,"Rest, Clinton",85 percent or higher,Landline,1,0.8826,1.5594,0.9014,1.5404,2018-10-18 23:45:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Clinton",Less than 50 percent,Landline,1,0.4454,0.6095,0.6291,0.6774,2018-10-18 23:46:34
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.955,0.8838,0.5516,0.857,2018-10-18 23:47:19
Dem,18 to 34,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,Black,"Virginia Beach, Trump",Less than 50 percent,Landline,0.8889,0.0388,1.4288,5.3667,2.5418,2018-10-18 23:48:39
Dem,[DO NOT READ] Refused,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,1.534,0.8111,1.5008,2018-10-18 23:49:24
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.5912,0.1888,0.5784,2018-10-18 23:52:06
Dem,65 and older,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,White,"Virginia Beach, Clinton",Less than 50 percent,Landline,1,0.237,0.6605,1.1905,0.8412,2018-10-18 23:55:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.279,0.5473,1.0259,0.6069,2018-10-18 23:56:36
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,"Virginia Beach, Clinton",Less than 50 percent,Cell,0.3333,0.1875,1.6422,7.8264,0.6552,2018-10-18 23:56:45
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,1.1391,0.7528,1.1144,2018-10-18 23:58:51
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9037,0.8477,0.374,0.8349,2018-10-19 00:01:10
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Black,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9654,1.0858,0.3944,1.0626,2018-10-19 00:01:15
Dem,18 to 34,Some college or trade school,White,Female,Hispanic,Don't know,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9244,1.3756,0.9563,1.3514,2018-10-19 00:01:33
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9454,0.6173,0.2186,0.605,2018-10-19 00:01:51
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9027,0.8477,0.3744,0.835,2018-10-19 00:02:58
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.6743,0.9699,0.7659,0.9561,2018-10-19 00:04:19
Und,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.8879,0.8838,0.5931,0.8724,2018-10-19 00:06:43
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.2088,1.1042,2.5419,1.4484,2018-10-19 00:06:52
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Rest, Clinton",Less than 50 percent,Landline,1,0.3817,0.7716,0.8588,0.8849,2018-10-19 00:09:57
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8882,1.1908,0.5337,1.1753,2018-10-19 00:11:13
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Unknown,"Rest, Trump",50 to 85 percent,Landline,1,0.7524,0.5602,0.1774,0.5664,2018-10-19 00:11:27
Dem,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Reps. keep House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,40 to 64,White,"Rest, Clinton",85 percent or higher,Landline,1,0.8985,0.9612,0.6074,0.9309,2018-10-19 00:13:46
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",85 percent or higher,Landline,1,0.9557,0.7664,0.2661,0.7505,2018-10-19 00:13:55
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.4118,0.7716,0.7963,0.8712,2018-10-19 00:14:40
Und,35 to 49,Some college or trade school,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,Black,"Rest, Clinton",50 to 85 percent,Cell,1,0.5066,0.8147,0.7941,0.883,2018-10-19 00:15:34
Und,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,Unknown,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.9679,0.9691,0.4918,0.9482,2018-10-19 00:18:42
Und,35 to 49,High school,Unknown,Female,White,Approve,Don't know,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,Unknown,"Virginia Beach, Trump",Less than 50 percent,Landline,1,0.1254,1.4029,6.8717,2.0798,2018-10-19 00:21:33
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.8467,1.1278,0.674,1.1202,2018-10-19 00:23:21
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9221,1.8979,1.2899,1.838,2018-10-19 00:24:06
Rep,35 to 49,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Other Non-White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.7975,1.6095,1.0935,1.6126,2018-10-19 00:24:15
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,0.666,0.2331,0.6516,2018-10-19 00:25:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9588,0.9591,0.4017,0.939,2018-10-19 00:26:57
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Cell,0.8889,0.9232,1.0899,0.5838,1.0633,2018-10-19 00:28:09
Rep,35 to 49,Some college or trade school,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,Other Non-White,"Rest, Trump",50 to 85 percent,Landline,0.7778,0.7201,1.27,1.2305,1.1848,2018-10-19 00:28:27
Rep,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9646,0.8465,0.4835,0.8284,2018-10-19 00:29:12
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.9629,0.61240000000000006,0.2267,0.5942,2018-10-19 00:29:21
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.1514,1.2589,7.2648,1.1928,2018-10-19 00:29:30
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9177,0.7628,0.4239,0.6874,2018-10-19 00:29:39
Und,18 to 34,Bachelors' degree,Other,Male,White,Disapp.,Don't know,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",18 to 39,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,0.6667,0.8642,1.2304,0.7656,1.0605,2018-10-19 00:30:06
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Black,"Rest, Trump",85 percent or higher,Landline,1,0.9472,0.6183,0.1938,0.6059,2018-10-19 00:31:45
Rep,35 to 49,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,Other Non-White,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.3266,1.0037,3.309,1.19,2018-10-19 00:32:48
Dem,50 to 64,High school,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,Black,"Virginia Beach, Clinton",50 to 85 percent,Landline,0,0.5071,1.4643,1.5639,0.9039,2018-10-19 00:33:06
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,65 and older,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.8778,0.4513,0.8524,2018-10-19 00:34:09
Und,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Unknown,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Don't know,Don't know,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Unknown,"Rest, Trump",50 to 85 percent,Cell,1,0.5231,0.775,0.558,0.8349,2018-10-19 00:35:48
Dem,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,65 and older,Black,"Rest, Clinton",Less than 50 percent,Landline,1,0.498,1.0358,1.3454,1.1263,2018-10-19 00:35:48
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.7334,0.1944,0.7175,2018-10-19 00:35:57
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9151,1.1379,0.6653,1.1191,2018-10-19 00:36:51
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Unknown,"Rest, Clinton",85 percent or higher,Cell,1,0.9342,0.4668,0.1273,0.458,2018-10-19 00:38:30
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 39,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9536,1.4102,1.1277,1.3673,2018-10-19 00:38:48
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",50 to 85 percent,Cell,1,0.6542,0.8725,0.4007,0.8626,2018-10-19 00:39:06
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9594,0.6562,0.207,0.6366,2018-10-19 00:41:21
Rep,50 to 64,Some college or trade school,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9003,0.9165,0.5489,0.9031,2018-10-19 00:42:42
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Clinton",85 percent or higher,Landline,1,0.9508,0.6379,0.2107,0.6184,2018-10-19 00:43:18
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,18 to 39,White,"Rest, Clinton",50 to 85 percent,Cell,0.7778,0.5419,1.376,0.8307,1.2879,2018-10-19 00:43:27
Rep,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,NA,NA,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Other,Male,Very likely,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.5278,0.9436,1.013,0.9548,2018-10-19 00:43:45
Rep,18 to 34,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,18 to 39,White,"Rest, Clinton",Less than 50 percent,Landline,1,0.1163,0.9137,4.9576,1.187,2018-10-19 00:44:48
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.5221,0.139,0.507,2018-10-19 00:46:09
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9656,0.6827,0.2845,0.6681,2018-10-19 00:56:37
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.8108,1.6402,1.183,1.5943,2018-10-19 00:58:07
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,"Rest, Clinton",50 to 85 percent,Landline,1,0.5818,1.0163,0.817,1.0734,2018-10-19 01:01:16
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,0.6356,0.2531,0.6219,2018-10-19 01:02:01
Und,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Black,"Rest, Trump",85 percent or higher,Landline,1,0.9575,1.1568,0.6432,1.1327,2018-10-19 01:02:10
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.8801,0.8778,0.4971,0.8674,2018-10-19 01:04:06
Und,35 to 49,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Other Non-White,"Rest, Trump",50 to 85 percent,Landline,1,0.559,1.2987,0.8825,1.3055,2018-10-19 01:06:12
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9017,0.6082,0.2012,0.5992,2018-10-19 01:06:12
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.8558,0.892,0.3352,0.8847,2018-10-19 01:09:03
Und,65 and older,Bachelors' degree,White,Male,Other,Disapp.,Don't know,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9256,0.8929,0.3716,0.877,2018-10-19 01:09:03
Rep,35 to 49,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,White,"Rest, Clinton",85 percent or higher,Cell,1,0.8755,0.7752,0.2913,0.7665,2018-10-19 01:11:36
Und,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Other Non-White,"Rest, Trump",85 percent or higher,Landline,0.6667,0.9234,0.7043,0.3551,0.6755,2018-10-19 01:16:15
Dem,65 and older,High school,White,Female,White,Approve,Don't know,Favorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.622,1.8564,1.7488,1.9375,2018-10-19 01:16:42
Dem,65 and older,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Cell,1,0.9413,0.8305,0.2724,0.8047,2018-10-19 01:17:00
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.97,0.9943,0.3467,0.9728,2018-10-19 01:18:39
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9542,0.9356,0.3321,0.9163,2018-10-19 01:21:21
Dem,65 and older,High school,White,Female,Black,Approve,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Landline,0.7778,0.9493,1.6547,1.0027,1.5809,2018-10-19 01:21:39
