response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
3,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Trump",50 to 85 percent,Cell,0.6667,0.5526,0.6211,0.5197,0.5494,2018-10-30 01:13:34
Rep,50 to 64,Graduate or Professional Degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,"Dallas, Trump",50 to 85 percent,Cell,1,0.8105,0.6615,0.3646,0.665,2018-10-30 01:13:43
Rep,65 and older,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,0.958,0.6584,0.9295,2018-10-30 01:16:31
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,1.0427,0.5749,1.0116,2018-10-30 01:17:33
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Favorable,Unfavorable,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,Postgraduate Degree,Hispanic,"Dallas, Clinton",85 percent or higher,Cell,0,0.8727,0.7292,0.4233,0.609,2018-10-30 01:17:40
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.7439,0.3766,0.718,2018-10-30 01:21:18
Dem,50 to 64,Some college or trade school,Unknown,Male,Black,Don't know,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Unknown,"Dallas, Clinton",85 percent or higher,Cell,0.8889,0.97,1.0259,0.4427,0.9867,2018-10-30 01:22:37
Und,35 to 49,Bachelors' degree,White,Male,Black,Approve,Don't know,Favorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Other,Male,Not very likely,[DO NOT READ] Refused,Nonwhite,40 to 64,4-year College Grad.,White,"Rest, Trump",Less than 50 percent,Landline,0.3333,0.0809,0.8202,2.6106,0.3127,2018-10-30 01:22:57
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Unfavorable,Unfavorable,Don't know,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9244,1.3394,0.8867,1.3109,2018-10-30 01:23:06
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,1.1604,0.8016,1.1258,2018-10-30 01:23:33
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,1.1574,0.8478,1.1229,2018-10-30 01:24:27
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.0135,0.5536,0.9832,2018-10-30 01:25:39
Und,35 to 49,Graduate or Professional Degree,White,Male,Other,Don't know,Don't know,Favorable,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,"Rest, Clinton",50 to 85 percent,Cell,1,0.5157,0.589,0.6039,0.6277,2018-10-30 01:26:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Don't know,Don't know,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Already voted,or as a member of another political party,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.4766,0.4698,0.5458,0.5336,2018-10-30 01:30:07
Rep,50 to 64,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,[DO NOT READ] Don't know/Refused,White,"Rest, Trump",Less than 50 percent,Cell,1,0.3297,0.7199,1.4634,0.8404,2018-10-30 01:35:15
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.582,0.3478,0.5618,2018-10-30 01:36:35
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9556,0.878,0.5331,0.854,2018-10-30 01:36:36
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.0161,0.5235,0.9858,2018-10-30 01:37:03
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Don't know,Favorable,Favorable,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,"Dallas, Clinton",Less than 50 percent,Landline,1,0.4395,1.2004,1.289,1.3909,2018-10-30 01:38:15
Dem,18 to 34,Some college or trade school,Unknown,Male,Asian,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Unknown,"Rest, Trump",Less than 50 percent,Cell,0.7778,0.2495,0.9842,1.9371,0.9629,2018-10-30 01:38:33
Und,[DO NOT READ] Refused,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,Ted Cruz,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Hispanic,"Rest, Clinton",Less than 50 percent,Cell,1,0.3664,0.9058,1.729,1.0339,2018-10-30 01:39:18
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.6157,0.2924,0.5943,2018-10-30 01:42:00
3,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,1.0206,0.5868,0.9901,2018-10-30 01:44:48
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,1.1424,0.6884,1.1083,2018-10-30 01:46:45
Und,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Clinton",50 to 85 percent,Landline,1,0.8124,1.414,1.4075,1.394,2018-10-30 01:50:38
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.9326,0.5716,0.9048,2018-10-30 01:50:57
3,[DO NOT READ] Refused,Some college or trade school,Unknown,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,40 to 64,No 4-year College Degree,Unknown,"Rest, Trump",Less than 50 percent,Cell,1,0.2787,0.8037,1.1329,0.9736,2018-10-30 01:51:51
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Already voted,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9335,0.958,0.6842,0.9359,2018-10-30 01:53:12
Rep,50 to 64,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Already voted,or as a member of another political party,Nonwhite,40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9317,1.2045,0.6773,1.1771,2018-10-30 01:56:21
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Republican,Female,Already voted,Democrat,[DO NOT READ] Don't know/Refused,65 and older,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9379,1.5137,1.0274,1.4774,2018-10-30 01:59:12
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,0.8889,0.97,1.0328,0.5737,0.9933,2018-10-30 02:04:19
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,"Rest, Clinton",Less than 50 percent,Cell,1,0.3655,0.6613,1.1178,0.7551,2018-10-30 02:05:04
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,1.3488,0.8956,1.3086,2018-10-30 02:06:16
Dem,18 to 34,Grade school,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,High School Grad. or Less,Other,Female,Not very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Other Non-White,"Rest, Trump",Less than 50 percent,Landline,0.4444,0.294,1.41,3.3869,0.658,2018-10-30 02:07:10
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.3429,0.7989,1.3028,2018-10-30 02:10:37
Rep,35 to 49,Some college or trade school,Black,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Other Non-White,"Rest, Trump",50 to 85 percent,Cell,1,0.5478,1.0922,0.9311,1.1992,2018-10-30 02:12:52
Dem,65 and older,High school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.8833,1.2903,1.1434,1.2332,2018-10-30 02:13:19
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,1.3746,0.928,1.3336,2018-10-30 02:14:22
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.3685,0.8278,1.3277,2018-10-30 02:19:25
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.9136,1.0135,0.5878,0.9941,2018-10-30 02:23:26
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.9114,0.4262,0.8798,2018-10-30 02:26:53
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,1.0427,0.5749,1.0116,2018-10-30 02:27:49
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,Beto O'Rourke,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,[DO NOT READ] Don't know/Refused,Unknown,"Rest, Trump",50 to 85 percent,Landline,1,0.6018,1.1718,1.1165,1.2137,2018-10-30 02:36:29
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,"Rest, Clinton",85 percent or higher,Cell,1,0.875,1.2562,1.2126,1.2008,2018-10-30 22:29:57
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.959,1.2903,1.0532,1.2543,2018-10-30 22:30:51
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",Less than 50 percent,Cell,1,0.1923,1.084,3.1074,1.5691,2018-10-30 22:34:36
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.2275,0.6741,1.1909,2018-10-30 22:40:50
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Male,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Democratic,Female,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Other Non-White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9432,0.9954,0.6085,0.9705,2018-10-30 22:43:54
3,18 to 34,Some college or trade school,Unknown,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,Beto O'Rourke,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Unknown,"Rest, Trump",Less than 50 percent,Landline,1,0.2845,1.3008,2.5932,1.5685,2018-10-30 22:48:35
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,Don't know,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,1.2581,0.8114,1.2144,2018-10-30 22:51:28
Und,18 to 34,Bachelors' degree,White,Male,Other,Disapp.,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,White,"Rest, Clinton",50 to 85 percent,Cell,0.4444,0.523,1.1783,1.6883,0.767,2018-10-30 23:04:26
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.8773,1.1357,0.9048,1.1232,2018-10-30 23:09:29
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,0.8195,0.4731,0.795,2018-10-30 23:10:59
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,0.582,0.3478,0.5577,2018-10-30 23:12:38
Und,18 to 34,High school,Hispanic,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,Don't know,18 to 29,High School Grad. or Less,Other,Male,Not at all likely,[DO NOT READ] Refused,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,"Dallas, Trump",Less than 50 percent,Cell,0,0.1119,0.8942,3.7755,0.1785,2018-10-30 23:15:32
Und,65 and older,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,4-year College Grad.,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.1027,0.5581,1.0698,2018-10-30 23:22:21
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,or as a member of another political party,Nonwhite,40 to 64,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.5321,0.2934,0.5162,2018-10-30 23:23:42
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.7491,0.3991,0.7268,2018-10-30 23:24:27
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,0.5668,0.2615,0.54990000000000006,2018-10-30 23:26:15
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.5033,1.0319,1.4585,2018-10-30 23:27:09
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.5033,1.0319,1.4585,2018-10-30 23:32:45
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.7921,0.3875,0.7646,2018-10-30 23:38:36
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,"Rest, Clinton",50 to 85 percent,Cell,1,0.7964,0.9695,0.7403,0.9783,2018-10-30 23:40:24
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,1.3837,0.8382,1.3424,2018-10-30 23:42:30
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.7769,0.4697,0.7538,2018-10-30 23:42:30
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,0.8195,0.4731,0.795,2018-10-30 23:44:27
Dem,18 to 34,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,White,"Dallas, Clinton",Less than 50 percent,Cell,1,0.3085,0.9068,2.0605,1.1517,2018-10-30 23:44:45
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Trump",50 to 85 percent,Cell,1,0.7711,0.8293,0.5494,0.7978,2018-10-30 23:44:54
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,65 and older,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Landline,1,0.97,1.3781,0.8774,1.3204,2018-10-30 23:49:22
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",50 to 85 percent,Cell,1,0.552,1.5318,1.6114,1.6117,2018-10-30 23:54:55
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Other,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Rest, Trump",50 to 85 percent,Cell,1,0.6068,0.763,0.6607,0.818,2018-10-30 23:59:34
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,"Dallas, Clinton",85 percent or higher,Landline,1,0.9638,1.6647,0.9844,1.6168,2018-10-31 00:10:38
Dem,50 to 64,Graduate or Professional Degree,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,0.7488,0.4608,0.7265,2018-10-31 00:17:44
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,Hispanic,"Dallas, Clinton",85 percent or higher,Landline,1,0.8771,1.3517,0.9464,1.3368,2018-10-31 00:29:35
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Hispanic,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,Don't know,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,Hispanic,"Rest, Trump",Less than 50 percent,Landline,1,0.3259,0.5394,0.8659,0.6313,2018-10-31 00:36:38
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",50 to 85 percent,Cell,1,0.8327,1.5164,1.1054,1.5158,2018-10-31 00:38:26
