response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIAWI1,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Lean Trump,Unknown,Rest,Less than 50 percent,Cell,1,0.071,1.4562,10,2.5776,2018-09-12 01:40:16
Dem,65 and older,Grade school,White,Female,White,Disapp.,Approve,disagree,disagree,disagree,Reps. keep House,Favorable,Unfavorable,Oppose,Oppose,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Landline,0.8889,0.9813,1.1063,0.7924,1.1213,2018-09-12 01:41:01
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Lean Trump,White,Racine/Kenosha Cty.,50 to 85 percent,Cell,1,0.8079,1.0329,0.7356,1.0732,2018-09-12 01:43:25
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,Don't know,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.8636,0.7836,0.5792,0.8065,2018-09-12 01:43:25
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9904,0.7137,0.4964,0.7229,2018-09-12 01:43:34
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Don't know,agree,disagree,Don't know,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Rest,85 percent or higher,Cell,1,0.9147,0.9937,0.5227,0.9998,2018-09-12 01:44:37
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Probably Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.8485,1.0953,0.5544,1.13,2018-09-12 01:44:37
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Don't know,Don't know,Support,Support,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Probably Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.6191,1.1515,0.8934,1.1893,2018-09-12 01:44:46
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Approve,agree,agree,agree,Reps. keep House,Unfavorable,Don't know,Support,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Lean Clinton,Unknown,Racine/Kenosha City,85 percent or higher,Cell,1,0.9897,0.7119,0.3463,0.7235,2018-09-12 01:45:24
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9953,0.8622,0.4425,0.8768,2018-09-12 01:46:36
Dem,35 to 49,Bachelors' degree,Hispanic,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Probably Trump,Non-White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9599,1.6733,0.5449,1.702,2018-09-12 01:47:39
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Favorable,Unfavorable,Oppose,Oppose,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9725,0.7824,0.741,0.7896,2018-09-12 01:48:15
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9881,0.984,0.5238,1,2018-09-12 01:48:24
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,Unknown,Racine/Kenosha City,85 percent or higher,Landline,1,0.9915,1.0908,0.7054,1.1087,2018-09-12 01:48:24
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Lean Trump,Unknown,Rest,85 percent or higher,Cell,1,0.9916,0.7509,0.6066,0.7609,2018-09-12 01:48:33
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9688,0.9067,0.3704,0.9217,2018-09-12 01:49:09
Und,35 to 49,Some college or trade school,White,Female,Black,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Republican,Nonwhite,Nonwhite,35 to 49,Probably Clinton,White,Racine/Kenosha Cty.,50 to 85 percent,Cell,0.5556,0.5556,0.7313,0.8541,0.5439,2018-09-12 01:50:57
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Support,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Lean Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.5273,0.9066,0.9661,1.0131,2018-09-12 01:51:06
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Approve,disagree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,0.7778,0.9367,0.8145,0.5725,0.8194,2018-09-12 01:53:03
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Approve,disagree,Don't know,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Milwaukee Suburbs,50 to 85 percent,Landline,1,0.7131,0.8387,0.8089,0.8548,2018-09-12 01:53:30
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Lean Clinton,White,Rest,50 to 85 percent,Cell,1,0.8446,0.7219,0.5537,0.7276,2018-09-12 01:53:57
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Lean Trump,White,Rest,50 to 85 percent,Cell,1,0.5741,0.9937,1.2264,1.0931,2018-09-12 01:54:15
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Oppose,Support,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9459,0.6852,0.5025,0.6977,2018-09-12 01:54:15
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9921,0.8637,0.463,0.8779,2018-09-12 01:55:09
Und,35 to 49,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,0,0.9644,0.8723,0.523,0.6645,2018-09-12 01:56:21
Dem,65 and older,Some college or trade school,White,Female,Asian,Disapp.,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Oppose,Support,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Lean Clinton,White,Rest,85 percent or higher,Landline,1,0.9918,0.6195,0.4095,0.6297,2018-09-12 01:56:39
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.8501,0.7816,0.6066,0.8062,2018-09-12 01:58:27
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.923,0.8714,0.5136,0.8768,2018-09-12 01:58:45
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Disapp.,disagree,disagree,disagree,Don't know,Don't know,Don't know,Oppose,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.8962,1.014,0.6177,1.0203,2018-09-12 01:59:39
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Don't know,Oppose,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.918,0.7453,0.4577,0.7613,2018-09-12 02:00:24
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,White,Racine/Kenosha City,50 to 85 percent,Cell,1,0.8482,0.6904,0.3816,0.7123,2018-09-12 02:05:39
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9518,0.8847,0.7651,0.9004,2018-09-12 02:06:15
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Rest,85 percent or higher,Cell,1,0.943,0.8927,0.7746,0.9093,2018-09-12 02:06:51
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.8953,1.1977,0.5822,1.227,2018-09-12 02:07:09
Dem,35 to 49,Some college or trade school,White,Male,Black,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Lean Trump,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9293,1.1619,0.6916,1.1853,2018-09-12 02:10:54
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.886,0.8131,0.6197,0.8183,2018-09-12 02:13:45
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9909,0.5825,0.3539,0.592,2018-09-12 02:16:29
Dem,18 to 34,Some college or trade school,Other,Female,White,Disapp.,Don't know,disagree,disagree,disagree,Dems. take House,Don't know,Don't know,Support,Support,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,Lean Clinton,Non-White,Milwaukee Suburbs,50 to 85 percent,Cell,0.5556,0.5107,1.1378,0.9948,0.8313,2018-09-12 02:16:47
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,Unknown,Racine/Kenosha City,Less than 50 percent,Cell,1,0.4344,0.9273,2.8619,1.0762,2018-09-12 02:17:41
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9443,0.8622,0.4634,0.8782,2018-09-12 02:18:44
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Lean Trump,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.8888,1.1619,0.7206,1.1914,2018-09-12 02:19:20
Dem,50 to 64,High school,Black,Female,Black,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Probably Clinton,Non-White,Racine/Kenosha City,50 to 85 percent,Cell,1,0.7634,1.98,1.3763,2.075,2018-09-12 02:19:38
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9433,0.8415,0.6401,0.8472,2018-09-12 02:20:41
Rep,35 to 49,Some college or trade school,White,Male,Hispanic,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,35 to 49,Probably Trump,White,Rest,85 percent or higher,Cell,1,0.8955,1.2738,0.6806,1.3049,2018-09-12 02:21:17
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Lean Clinton,Unknown,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9199,0.4745,0.3791,0.4846,2018-09-12 02:22:02
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,disagree,agree,disagree,Dems. take House,Don't know,Don't know,Support,Oppose,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.993,0.5375,0.3742,0.5449,2018-09-12 02:24:44
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,agree,disagree,disagree,Reps. keep House,Favorable,Don't know,Oppose,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Milwaukee Suburbs,50 to 85 percent,Cell,0.7778,0.6568,0.8387,0.8735,0.8596,2018-09-12 02:25:29
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Unfavorable,Unfavorable,Support,Support,30 to 44,4-year College Grad.,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Probably Trump,White,Rest,85 percent or higher,Cell,1,0.857,1.2116,0.5889,1.2204,2018-09-12 02:25:29
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Don't know,agree,agree,agree,Dems. take House,Don't know,Don't know,Support,Oppose,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,White,Rest,50 to 85 percent,Cell,0.6667,0.724,0.6265,0.4659,0.5901,2018-09-12 02:27:08
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Support,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9819,0.8309,0.3949,0.8443,2018-09-12 02:27:17
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Landline,0.8889,0.8753,0.7035,0.4623,0.7156,2018-09-12 02:27:26
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Support,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,Lean Clinton,White,Rest,50 to 85 percent,Cell,0.7778,0.5667,0.7837,0.728,0.761,2018-09-12 02:30:11
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Don't know,Oppose,Support,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.8552,0.8824,0.8736,0.9095,2018-09-12 02:30:56
Dem,65 and older,Grade school,White,Female,Hispanic,Disapp.,Don't know,agree,agree,Don't know,Dems. take House,Don't know,Don't know,Support,Support,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,0.8889,0.8911,1.4752,1.1898,1.4986,2018-09-12 02:32:35
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9183,0.6827,0.4116,0.6973,2018-09-12 02:32:53
Rep,65 and older,High school,Unknown,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,65 and older,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Trump,Unknown,Rest,85 percent or higher,Cell,1,0.9449,1.5905,0.9907,1.6015,2018-09-12 02:37:05
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Don't know,Support,65 and older,Postgraduate Degree,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, 4-Year College Grads",White,65 and older,Lean Clinton,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9912,0.4953,0.2835,0.4961,2018-09-12 02:37:32
Rep,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Don't know,Oppose,Support,30 to 44,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9939,0.9359,0.4064,0.9492,2018-09-12 02:37:32
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Rest,85 percent or higher,Cell,1,0.9719,1.0785,0.6709,1.0962,2018-09-12 02:37:32
Dem,50 to 64,High school,Unknown,Female,White,Don't know,Approve,disagree,disagree,Don't know,Don't know,Favorable,Don't know,Oppose,Oppose,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,Unknown,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9654,1.4988,1.1175,1.5114,2018-09-12 02:38:16
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,30 to 44,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,35 to 49,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9225,1.2592,0.6816,1.2855,2018-09-12 02:38:26
Rep,35 to 49,Some college or trade school,White,Male,Black,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,35 to 49,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9387,1.2592,0.6708,1.2675,2018-09-12 02:38:44
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,disagree,agree,Don't know,Dems. take House,Unfavorable,Unfavorable,Support,Support,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9982,0.8622,0.4414,0.8774,2018-09-12 02:38:53
Rep,35 to 49,High school,White,Female,White,Approve,Approve,disagree,disagree,agree,Reps. keep House,Don't know,Favorable,Support,Support,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Lean Trump,White,Rest,85 percent or higher,Cell,1,0.9906,1.9096,1.2897,1.9344,2018-09-12 02:39:11
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,Probably Clinton,Non-White,Racine/Kenosha City,Less than 50 percent,Cell,1,0.4008,1.6607,3.8251,1.9591,2018-09-12 02:40:41
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Trump,Unknown,Rest,85 percent or higher,Cell,1,0.9031,0.8789,0.5226,0.8994,2018-09-12 02:42:02
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,65 and older,Some College Educ.,Other,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9918,0.8165,0.5661,0.83,2018-09-12 02:42:38
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Don't know,Support,Support,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Lean Clinton,White,Rest,85 percent or higher,Cell,1,0.8729,0.6713,0.4025,0.69,2018-09-12 02:43:14
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Approve,disagree,disagree,disagree,Reps. keep House,Favorable,Favorable,Oppose,Oppose,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Racine/Kenosha City,Less than 50 percent,Cell,0.6667,0.1999,1.1541,7.2909,1.3066,2018-09-12 02:48:20
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Disapp.,disagree,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,65 and older,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Lean Clinton,White,Rest,50 to 85 percent,Cell,1,0.5278,0.6878,0.739,0.7232,2018-09-12 02:49:50
