response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,Less than 50 percent,Cell,0.3333,0.0616,0.8249,3.9909,0.2529,2018-11-02 00:49:17
Und,65 and older,High school,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,Inner Bluegrass,65 and older,White,85 percent or higher,Cell,1,0.9737,1.4949,0.92,1.5174,2018-11-02 00:52:35
Rep,50 to 64,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9888,0.8972,0.5973,0.913,2018-11-02 00:53:47
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.8985,0.9509,0.4865,0.9725,2018-11-02 00:56:56
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Cell,1,0.9362,1.1526,0.9905,1.1735,2018-11-02 00:57:05
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,50 to 85 percent,Landline,1,0.6956,0.7687,0.6041,0.8168,2018-11-02 00:57:05
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Not at all likely,Democrat,Nonwhite,Nonwhite,Fayette,18 to 39,White,Less than 50 percent,Cell,0.5556,0.2111,0.9384,2.9386,0.3871,2018-11-02 00:58:35
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9852,0.8054,0.4485,0.8174,2018-11-02 01:00:41
Dem,35 to 49,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,40 to 64,White,85 percent or higher,Cell,1,0.9648,0.6498,0.4147,0.66,2018-11-02 01:07:42
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,White,50 to 85 percent,Landline,1,0.5905,1.6696,1.7066,1.8251,2018-11-02 01:09:03
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9733,0.9703,0.7156,0.9782,2018-11-02 01:12:30
Dem,65 and older,High school,White,Female,White,Don't know,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,Less than 50 percent,Landline,1,0.3676,1.1291,2.1602,1.3545,2018-11-02 01:12:58
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Fayette,40 to 64,White,Less than 50 percent,Cell,0.7778,0.166,0.9341,3.9019,0.7576,2018-11-02 01:13:16
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9685,1.0574,0.5424,1.0737,2018-11-02 01:16:15
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,Fayette,40 to 64,Black,50 to 85 percent,Cell,1,0.6985,1.0233,1.1293,0.9536,2018-11-02 01:18:55
Und,65 and older,Graduate or Professional Degree,Black,Female,Black,Don't know,Don't know,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Fayette,65 and older,Black,85 percent or higher,Landline,1,0.9816,0.8375,0.4667,0.8455,2018-11-02 01:19:58
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,50 to 85 percent,Cell,1,0.5552,0.7687,0.7569,0.885,2018-11-02 01:22:58
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,18 to 39,White,50 to 85 percent,Cell,1,0.5942,1.2237,0.8244,1.3361,2018-11-02 01:27:19
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Rest,40 to 64,White,85 percent or higher,Landline,1,0.9624,0.6454,0.4139,0.6556,2018-11-02 01:28:13
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9793,0.8454,0.4146,0.858,2018-11-02 01:31:40
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,White,85 percent or higher,Landline,1,0.9815,0.7741,0.3325,0.7856,2018-11-02 01:48:17
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Fayette,40 to 64,White,50 to 85 percent,Cell,1,0.573,0.8378,0.5532,0.8715,2018-11-02 01:50:59
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9725,1.196,0.7465,1.2056,2018-11-02 01:52:02
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,18 to 39,White,85 percent or higher,Landline,1,0.9699,1.0971,0.6671,1.1138,2018-11-02 01:52:56
Rep,65 and older,Bachelors' degree,Unknown,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,Inner Bluegrass,65 and older,Unknown,Less than 50 percent,Landline,1,0.0905,0.6096,2.5993,0.8632,2018-11-02 02:11:34
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,White,85 percent or higher,Landline,1,0.868,0.8229,0.5085,0.8577,2018-11-02 02:15:10
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9616,0.7242,0.3824,0.7357,2018-11-02 02:17:54
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,White,50 to 85 percent,Landline,1,0.8308,0.79990000000000006,0.685,0.8267,2018-11-02 02:30:21
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,65 and older,Black,85 percent or higher,Landline,1,0.977,0.7695,0.587,0.781,2018-11-02 03:08:49
Dem,65 and older,Some college or trade school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,65 and older,Black,85 percent or higher,Landline,1,0.9786,1.0072,0.6634,1.0222,2018-11-02 03:14:13
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,White,Less than 50 percent,Landline,1,0.4264,0.6857,1.6316,0.7978,2018-11-02 03:17:55
Und,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Landline,1,0.8952,0.8079,0.5184,0.8267,2018-11-02 03:45:44
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Landline,1,0.99,0.9185,0.2945,0.9324,2018-11-02 03:50:31
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9789,1.0098,0.585,1.0249,2018-11-02 03:53:31
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,18 to 39,White,85 percent or higher,Landline,1,0.977,0.9492,0.6329,0.9634,2018-11-02 04:08:48
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,40 to 64,Unknown,50 to 85 percent,Cell,1,0.5438,0.5992,0.6212,0.627,2018-11-02 04:09:15
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9251,0.8054,0.4776,0.821,2018-11-02 04:16:36
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Landline,1,0.9947,0.8448,0.4532,0.858,2018-11-02 04:28:59
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,85 percent or higher,Landline,1,0.9683,0.6972,0.4669,0.7116,2018-11-02 04:36:11
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Landline,1,0.9658,0.8825,0.3671,0.8962,2018-11-02 04:51:26
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9849,0.9338,0.4931,0.9477,2018-11-02 04:53:50
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9961,0.8852,0.3739,0.8993,2018-11-02 05:00:53
Rep,50 to 64,Some college or trade school,Black,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,Black,85 percent or higher,Cell,1,0.9703,0.8572,0.79,0.8703,2018-11-02 05:11:11
Dem,35 to 49,Bachelors' degree,White,Female,Black,Don't know,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),Nonwhite,Nonwhite,Fayette,40 to 64,White,Less than 50 percent,Cell,0,0.1927,0.7385,3.324,0.1652,2018-11-02 21:34:45
Und,50 to 64,Grade school,White,Male,White,Don't know,Don't know,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Cell,0.5556,0.8761,1.1996,0.8704,1.1343,2018-11-02 21:35:21
Und,18 to 34,High school,White,Male,White,Disapp.,Don't know,Don't know,Don't know,18 to 29,High School Grad. or Less,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Fayette,18 to 39,White,Less than 50 percent,Landline,0,0.2585,1.8734,5.3959,0.446,2018-11-02 21:41:21
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,0.8889,0.8922,0.793,0.6319,0.788,2018-11-02 21:44:47
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,Fayette,65 and older,White,50 to 85 percent,Cell,1,0.7336,0.8879,0.5566,0.9592,2018-11-02 21:45:32
Dem,35 to 49,Bachelors' degree,Asian,Female,Asian,Don't know,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Fayette,40 to 64,Other Non-White,85 percent or higher,Cell,1,0.988,1.2692,0.9152,1.2882,2018-11-02 22:04:27
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Fayette,18 to 39,White,50 to 85 percent,Landline,1,0.5655,1.3609,1.0411,1.4177,2018-11-02 22:07:27
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Rest,18 to 39,White,Less than 50 percent,Landline,0.5556,0.2521,0.9104,4.1498,0.6114,2018-11-02 22:08:30
Rep,35 to 49,High school,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Cell,1,0.8695,1.1996,0.877,1.2321,2018-11-02 22:20:06
Dem,18 to 34,Grade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Fayette,18 to 39,White,85 percent or higher,Landline,1,0.9476,2.1208,1.1939,2.1331,2018-11-02 22:20:51
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,Unknown,85 percent or higher,Cell,1,0.859,0.8286,0.523,0.8524,2018-11-02 22:35:02
Und,65 and older,High school,White,Female,White,Don't know,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Fayette,65 and older,White,50 to 85 percent,Landline,0.5556,0.7081,1.4915,0.9924,1.3548,2018-11-02 22:42:14
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,18 to 39,White,85 percent or higher,Landline,1,0.9638,1.2339,0.7229,1.2532,2018-11-02 22:43:26
Und,65 and older,High school,Black,Female,Black,Don't know,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Fayette,65 and older,Black,85 percent or higher,Landline,1,0.9549,1.4956,1.117,1.505,2018-11-02 22:43:35
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,18 to 39,White,85 percent or higher,Cell,1,0.989,1.141,0.5975,1.1582,2018-11-02 22:44:11
Dem,50 to 64,Some college or trade school,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Fayette,40 to 64,Black,Less than 50 percent,Cell,0.7778,0.1184,0.8252,4.752,0.9328,2018-11-02 22:45:50
Dem,65 and older,Bachelors' degree,Asian,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,65 and older,Other Non-White,85 percent or higher,Landline,1,0.9783,1.1629,0.6689,1.1733,2018-11-02 22:45:59
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9721,0.9338,0.4996,0.948,2018-11-02 22:47:14
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,85 percent or higher,Cell,1,0.9656,0.9309,0.4789,0.9454,2018-11-02 22:51:44
Dem,18 to 34,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,18 to 39,Black,50 to 85 percent,Cell,1,0.7109,0.9173,0.8527,0.934,2018-11-02 22:53:50
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Fayette,40 to 64,White,50 to 85 percent,Cell,0.7778,0.5575,0.8906,0.7691,0.8642,2018-11-02 22:56:41
Dem,50 to 64,High school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,1,0.9124,1.3322,1.0636,1.3601,2018-11-02 22:58:02
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Rest,40 to 64,White,85 percent or higher,Cell,1,0.9823,0.6763,0.335,0.6829,2018-11-02 22:58:38
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9004,0.9573,0.4877,0.962,2018-11-02 22:59:59
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,85 percent or higher,Landline,0.2222,0.9429,0.9309,0.4904,0.7867,2018-11-02 23:00:53
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Landline,1,0.8753,1.1996,0.8711,1.2062,2018-11-02 23:01:20
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,18 to 39,White,50 to 85 percent,Cell,1,0.7443,1.3609,0.791,1.4301,2018-11-02 23:01:29
Dem,18 to 34,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 39,White,50 to 85 percent,Landline,1,0.6912,0.999,0.9151,1.0626,2018-11-02 23:01:47
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Landline,1,0.9806,0.8079,0.4733,0.82,2018-11-02 23:04:11
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Fayette,18 to 39,White,50 to 85 percent,Cell,1,0.7223,1.232,0.6814,1.301,2018-11-02 23:06:44
5,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Fayette,65 and older,White,50 to 85 percent,Landline,1,0.8369,1.4915,0.8396,1.5021,2018-11-02 23:06:44
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,1,0.989,0.8972,0.5971,0.9107,2018-11-02 23:07:29
Rep,18 to 34,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Fayette,18 to 39,Black,85 percent or higher,Landline,1,0.9443,1.3111,1.1509,1.3185,2018-11-02 23:07:57
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9578,0.7511,0.4371,0.7632,2018-11-02 23:08:15
Dem,50 to 64,Graduate or Professional Degree,White,Male,Other,Approve,Don't know,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,Nonwhite,Nonwhite,Rest,40 to 64,White,50 to 85 percent,Landline,1,0.7261,0.6401,0.3857,0.6753,2018-11-02 23:08:41
Und,[DO NOT READ] Refused,High school,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,18 to 39,White,Less than 50 percent,Landline,0.4444,0.389,1.6543,3.3149,0.9601,2018-11-02 23:09:17
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,White,Less than 50 percent,Landline,1,0.1161,0.782,3.06,1.2257,2018-11-02 23:09:53
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,18 to 39,White,50 to 85 percent,Landline,1,0.5664,2.0207,1.708,2.2257,2018-11-02 23:10:12
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,40 to 64,White,85 percent or higher,Cell,1,0.979,0.6763,0.3361,0.6864,2018-11-02 23:13:11
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,1,0.9816,0.7511,0.4265,0.7623,2018-11-02 23:14:23
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,85 percent or higher,Landline,1,0.9317,0.9309,0.4963,0.9482,2018-11-02 23:16:49
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,40 to 64,White,85 percent or higher,Landline,1,0.9919,1.0574,0.5296,1.0736,2018-11-02 23:16:58
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,18 to 39,White,50 to 85 percent,Cell,0.7778,0.6569,0.9993,0.5847,0.9668,2018-11-02 23:17:43
