response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedd,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Don't know,No,Don't know,Support,30 to 44,Postgraduate Degree,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 44,Non-White,North King County,50 to 85 percent,Landline,0.6667,0.5983,1.7643,2.0217,1.3859
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9839,0.5952,0.3164,0.5929
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,White,North King County,85 percent or higher,Landline,1,0.9712,1.0009,0.5292,0.9973
Dem,65 and older,Some college or trade school,White,Female,White,Support,Don't know,Disapp.,Don't know,Favorable,No,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Cell,0.7778,0.799,0.7218,0.46,0.7143
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Favorable,Oppose,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 44,Unknown,North King County,50 to 85 percent,Cell,1,0.7072,1.692,1.7097,1.7597
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,45 to 64,White,South King County,50 to 85 percent,Cell,1,0.7663,0.7713,0.446,0.7664
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Support,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,Unknown,Pierce,Less than 50 percent,Cell,1,0.1891,0.8533,2.0744,1.1669
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.947,0.8064,0.446,0.805
Und,65 and older,Some college or trade school,Unknown,Female,White,Support,Don't know,Don't know,Reps. keep House,Don't know,No,Unfavorable,Support,65 and older,Some College Educ.,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,South King County,Less than 50 percent,Landline,0,0.3266,1.0346,1.9068,0.2591
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.9861,0.8359,0.4284,0.8327
Dem,65 and older,Some college or trade school,Unknown,Female,White,Oppose,support,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown,Pierce,85 percent or higher,Landline,1,0.8636,0.7369,0.5182,0.7435
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.993,0.686,0.3485,0.6836
Rep,50 to 64,Some college or trade school,White,Female,White,Support,Don't know,Don't know,Reps. keep House,Favorable,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,45 to 64,White,Eastern Wash.,85 percent or higher,Landline,0.7778,0.9904,0.7661,0.4573,0.7572
Rep,50 to 64,High school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,South King County,50 to 85 percent,Cell,1,0.7687,1.9219,1.9557,1.9723
Und,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Support,Don't know,Disapp.,Dems. take House,Don't know,No,Don't know,Support,30 to 44,Some College Educ.,Other,Male,Not at all likely,Democrat,Nonwhite,Nonwhite,18 to 44,Non-White,North King County,Less than 50 percent,Cell,0,0.1543,1.5371,6.0344,0.3264
Rep,65 and older,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Pierce,85 percent or higher,Cell,1,0.9543,0.9687,0.5582,0.9663
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Don't know,Don't know,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,Pierce,Less than 50 percent,Cell,0.7778,0.488,0.6841,0.6016,0.71
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Support,support,Don't know,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 44,Unknown,South King County,85 percent or higher,Cell,1,0.958,1.2426,0.958,1.2392
Dem,65 and older,Bachelors' degree,Asian,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Non-White,North King County,85 percent or higher,Cell,1,0.9955,1.0489,0.4849,1.0456
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,support,Disapp.,Dems. take House,Favorable,No,Favorable,Support,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Pierce,50 to 85 percent,Cell,0.4444,0.7234,0.7161,0.4572,0.5367
Rep,18 to 34,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Support,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 44,White,North King County,50 to 85 percent,Cell,1,0.7321,1.4814,1.3042,1.532
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Oppose,support,Don't know,Reps. keep House,Don't know,Yes,Don't know,Oppose,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 44,White,Pierce,Less than 50 percent,Cell,1,0.2019,0.8855,2.57,1.0571
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,White,South King County,50 to 85 percent,Cell,0.8889,0.6641,0.9166,0.5758,0.9427
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 44,White,South King County,85 percent or higher,Cell,1,0.9884,0.8538,0.619,0.8473
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,45 to 64,Non-White,North King County,50 to 85 percent,Cell,1,0.5612,1.6265,1.0991,1.7612
Rep,65 and older,High school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Support,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Cell,1,0.6164,1.4104,1.7084,1.5016
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Favorable,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,White,South King County,85 percent or higher,Cell,1,0.9801,0.7898,0.4297,0.7867
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Eastern Wash.,50 to 85 percent,Cell,1,0.7603,0.9644,0.6803,0.9913
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,45 to 64,Non-White,South King County,50 to 85 percent,Cell,1,0.6285,1.2834,0.8043,1.3617
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Landline,1,0.9914,0.8125,0.396,0.807
Rep,35 to 49,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,Pierce,50 to 85 percent,Cell,1,0.7538,0.8511,0.5742,0.8761
Dem,35 to 49,Bachelors' degree,White,Male,White,Support,Don't know,Don't know,Dems. take House,Don't know,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",White,45 to 64,White,North King County,85 percent or higher,Landline,0.7778,0.869,0.8422,0.3862,0.7597
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,45 to 64,White,Pierce,85 percent or higher,Landline,1,0.9678,0.7333,0.421,0.7251
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,South King County,50 to 85 percent,Cell,1,0.7751,1.0777,0.7045,1.1045
Rep,65 and older,Some college or trade school,Unknown,Female,White,Support,Don't know,Don't know,Don't know,Don't know,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,South King County,85 percent or higher,Landline,1,0.9681,1.109,0.7633,1.1052
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 44,White,South King County,50 to 85 percent,Cell,1,0.6451,1.3845,1.3759,1.4624
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",White,45 to 64,White,South King County,50 to 85 percent,Cell,0.8889,0.6283,1.1777,0.8684,1.027
Dem,65 and older,Some college or trade school,White,Male,Hispanic,Support,support,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,South King County,85 percent or higher,Cell,1,0.9662,0.7537,0.3474,0.7512
Und,50 to 64,Some college or trade school,White,Female,Hispanic,Support,Don't know,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,45 to 64,White,Pierce,50 to 85 percent,Cell,1,0.7922,0.8511,0.5465,0.8694
Rep,65 and older,Some college or trade school,Unknown,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Eastern Wash.,85 percent or higher,Landline,1,0.9892,0.915,0.6582,0.9082
Rep,35 to 49,Some college or trade school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 44,White,Eastern Wash.,85 percent or higher,Landline,0.7778,0.9223,0.9842,0.9337,0.9522
Dem,65 and older,Some college or trade school,White,Male,White,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North King County,85 percent or higher,Landline,1,0.9817,0.8064,0.3678,0.8032
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Pierce,85 percent or higher,Landline,1,0.9712,0.617,0.3206,0.6148
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,White,Eastern Wash.,85 percent or higher,Cell,1,0.9841,0.7718,0.3657,0.7688
Dem,65 and older,Some college or trade school,White,Male,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,North King County,85 percent or higher,Landline,1,0.9925,0.8064,0.3638,0.8036
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9655,0.7537,0.3477,0.7512
Rep,65 and older,High school,White,Female,White,Don't know,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.979,1.1632,1.0657,1.1587
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,South King County,85 percent or higher,Landline,1,0.9918,0.9401,0.4522,0.9339
Dem,18 to 34,High school,White,Male,White,Don't know,oppose,Disapp.,Don't know,Don't know,Yes,Unfavorable,Support,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,18 to 44,White,Pierce,Less than 50 percent,Cell,0.7778,0.1269,1.1211,6.7733,1.2316
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,45 to 64,White,South King County,50 to 85 percent,Cell,1,0.7555,0.9136,0.4387,0.9401
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 44,White,Pierce,85 percent or higher,Cell,1,0.9591,0.9421,0.6906,0.9394
Rep,35 to 49,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 44,White,Pierce,50 to 85 percent,Cell,1,0.6723,1.1949,1.0457,1.2532
Und,18 to 34,Bachelors' degree,White,Male,White,Support,support,Approve,Don't know,Unfavorable,Yes,Unfavorable,Oppose,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 44,White,South King County,85 percent or higher,Cell,1,0.9844,1.0113,0.6027,1.0073
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9633,0.5063,0.2647,0.5047
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,45 to 64,White,Pierce,85 percent or higher,Landline,1,0.9123,0.7388,0.3549,0.7286
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,45 to 64,White,South King County,85 percent or higher,Landline,1,0.989,0.6645,0.3253,0.6596
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 44,White,Pierce,85 percent or higher,Landline,1,0.8794,0.9421,0.7532,0.9482
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,45 to 64,Unknown,North King County,85 percent or higher,Landline,0.8889,0.9953,1.0427,0.5672,1.0384
Dem,50 to 64,High school,White,Female,[DO NOT READ] Don't know/Refused,Oppose,Don't know,Disapp.,Don't know,Favorable,Yes,Unfavorable,Support,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,45 to 64,White,South King County,50 to 85 percent,Landline,1,0.6367,1.9219,2.3611,2.0346
Rep,35 to 49,Bachelors' degree,White,Male,White,Support,Don't know,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,4-year College Grad.,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,18 to 44,White,Pierce,85 percent or higher,Cell,1,0.9014,1.0295,0.7342,1.033
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,45 to 64,Unknown,South King County,85 percent or higher,Cell,1,0.978,0.9745,0.5366,0.9649
Dem,18 to 34,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 44,White,Pierce,Less than 50 percent,Cell,1,0.4118,0.8789,1.5857,1.0108
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.8852,0.8422,0.4436,0.847
Und,65 and older,High school,White,Female,White,Support,Don't know,Don't know,Dems. take House,Don't know,No,Don't know,Support,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Cell,1,0.6251,1.1868,1.5056,1.2604
Rep,50 to 64,High school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.9127,1.6335,1.5514,1.6111
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,White,Eastern Wash.,Less than 50 percent,Cell,1,0.4185,0.6079,0.6388,0.6968
Dem,50 to 64,High school,Hispanic,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,45 to 64,Non-White,Eastern Wash.,85 percent or higher,Landline,1,0.9617,1.3682,1.133,1.364
Dem,50 to 64,High school,White,Male,White,Don't know,oppose,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Pierce,Less than 50 percent,Landline,1,0.137,1.1248,5.863,1.6623000000000001
Dem,50 to 64,Some college or trade school,White,Male,Other,Support,Don't know,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,45 to 64,White,North King County,85 percent or higher,Landline,1,0.9901,0.8359,0.3648,0.8299
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Oppose,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,45 to 64,White,South King County,85 percent or higher,Landline,1,0.8625,0.6645,0.3731,0.6706
Rep,65 and older,High school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Cell,1,0.8228,1.4104,1.2798,1.4327
Rep,35 to 49,Bachelors' degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 44,White,Pierce,50 to 85 percent,Landline,1,0.7045,1.1949,0.9979,1.2434
Rep,35 to 49,Bachelors' degree,White,Female,White,Support,support,Disapp.,Reps. keep House,Don't know,No,Don't know,Support,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 44,White,Pierce,50 to 85 percent,Cell,0.8889,0.7165,1.1949,1.1479,1.217
Dem,35 to 49,Some college or trade school,White,Female,White,Support,Don't know,Don't know,Dems. take House,Don't know,No,Unfavorable,Support,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,South King County,Less than 50 percent,Cell,1,0.2005,0.8662,2.161,0.8144
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,45 to 64,White,Pierce,85 percent or higher,Landline,1,0.8748,0.617,0.3559,0.6215
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,45 to 64,White,North King County,85 percent or higher,Landline,1,0.9919,0.711,0.349,0.7085
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,Don't know,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9684,0.529,0.2927,0.5271
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,South King County,85 percent or higher,Landline,1,0.9586,1.1173,0.61240000000000006,1.1141
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 44,White,South King County,50 to 85 percent,Cell,1,0.8104,1.1738,0.9098,1.195
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Support,Don't know,Don't know,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,North King County,85 percent or higher,Landline,1,0.9773,1.0059,0.5775,0.9959
Und,65 and older,Bachelors' degree,White,Female,Other,Support,Don't know,Approve,Dems. take House,Don't know,Yes,Don't know,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,65 and older,White,South King County,Less than 50 percent,Landline,1,0.1951,0.6532,1.4667,0.7846
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Don't know,Don't know,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,45 to 64,Non-White,Pierce,Less than 50 percent,Cell,1,0.3699,0.6925,0.7437,0.7486
Rep,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Democratic,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,45 to 64,White,South King County,85 percent or higher,Landline,1,0.9928,0.7813,0.3956,0.7764
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.9831,0.686,0.352,0.6833
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,support,Disapp.,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,45 to 64,White,Eastern Wash.,85 percent or higher,Landline,1,0.899,0.6516,0.4127,0.6541
