response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,18 to 34,Some college or trade school,Unknown,Male,White,support,Don't know,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,Unknown,Rest,85 percent or higher,Cell,1,0.911,0.844,0.6732,0.8669
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Favorable,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,0.8889,0.8206,0.4748,0.3354,0.4881
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Erie,85 percent or higher,Landline,0.8889,0.8901,0.9745,0.4913,0.9946
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Disapp.,Check,support,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Erie,50 to 85 percent,Landline,1,0.826,0.5981,0.3479,0.6223
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Erie,Less than 50 percent,Cell,1,0.3633,1.1698,2.0915,1.4151
Rep,65 and older,High school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.987,1.5975,1.1615,1.6309
Und,[DO NOT READ] Refused,High school,White,Female,White,oppose,Approve,Support,oppose,Dems. take House,Unfavorable,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,50 to 85 percent,Landline,1,0.7438,2.4141,1.7379,2.552
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Don't know,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Erie,Less than 50 percent,Cell,1,0.4558,1.6506,3.1121,1.9062
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Don't know,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Non-White,Erie,85 percent or higher,Landline,1,0.8582,1.1703,1.0492,1.2112
Rep,65 and older,[DO NOT READ] Refused,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,agree,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,0.4444,0.9501,0.9956,0.9366,0.9839
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Republican,Female,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Butler,85 percent or higher,Landline,1,0.941,0.5938,0.3515,0.6006
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Do not believe,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Erie,85 percent or higher,Landline,1,0.9931,1.1836,0.5592,1.2055
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Erie,Less than 50 percent,Landline,1,0.1296,2.7954,9.3727,4.2909
Rep,18 to 34,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Check,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 34,White,Erie,50 to 85 percent,Cell,1,0.5053,1.9955,3.0471,2.2585
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,support,Don't know,Check,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown,Erie,50 to 85 percent,Landline,0.8889,0.642,1.1563,0.7016,1.2243
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Erie,85 percent or higher,Cell,1,0.9414,1.7844,1.0741,1.8048
Rep,65 and older,High school,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Erie,85 percent or higher,Landline,1,0.9489,2.5022,1.7918,2.5592
Rep,65 and older,High school,White,Female,White,support,Don't know,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,disagree,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,0.7778,0.5784,0.997,1.0811,0.9721
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Erie,85 percent or higher,Cell,1,0.9286,1.3949,1.0063,1.4297
Rep,65 and older,Bachelors' degree,Other,Male,Other,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,Non-White,Rest,50 to 85 percent,Cell,1,0.8261,1.0359,1.1225,1.0778
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Erie,85 percent or higher,Cell,1,0.9066,1.3664,0.5617,1.4042
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Butler,50 to 85 percent,Landline,1,0.7167,0.4959,0.4573,0.5274
Dem,50 to 64,Some college or trade school,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Erie,85 percent or higher,Cell,1,0.9157,1.1999,0.8457,1.2317
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,support,Don't know,Check,support,Don't know,Favorable,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Unknown,Erie,85 percent or higher,Landline,1,0.9859,0.8363,0.5054,0.8537
Rep,18 to 34,Some college or trade school,White,Male,White,oppose,Approve,Check,oppose,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Erie,Less than 50 percent,Cell,0.1111,0.3283,1.288,3.2998,0.4743
Und,18 to 34,Some college or trade school,White,Female,White,support,Disapp.,Check,support,Reps. keep House,Favorable,Favorable,Don't know,agree,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Erie,Less than 50 percent,Cell,1,0.4192,2.0303,5.1059,2.3842
Rep,35 to 49,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,support,Don't know,Support,oppose,Reps. keep House,Don't know,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.8033,0.7736,0.5691,0.7853
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,30 to 44,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Landline,0.7778,0.6797,0.6852,0.6254,0.5301
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Butler,50 to 85 percent,Cell,1,0.6746,0.4971,0.3561,0.534
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Erie,85 percent or higher,Landline,1,0.9935,1.1836,0.559,1.2088
Dem,65 and older,High school,Unknown,Female,White,Don't know,Disapp.,Don't know,Don't know,Dems. take House,Don't know,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Erie,85 percent or higher,Landline,1,0.9888,2.1415,1.1718,2.1864
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),Nonwhite,50 to 64,White,Rest,85 percent or higher,Cell,1,0.8671,0.8895,0.5588,0.8998
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Erie,85 percent or higher,Cell,1,0.984,1.5966,0.7568,1.6298
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9952,0.457,0.238,0.4668
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,85 percent or higher,Landline,1,0.9862,2.4895,1.419,2.5304
Dem,65 and older,High school,White,Female,White,support,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,85 percent or higher,Cell,1,0.9817,2.4895,1.4254,2.5414
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.952,0.4505,0.21560000000000001,0.4559
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Erie,85 percent or higher,Cell,1,0.8874,0.9584,0.5808,0.9689
Dem,50 to 64,Some college or trade school,White,Male,Other,support,Approve,Support,oppose,Reps. keep House,Favorable,Unfavorable,Do not believe,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,Erie,85 percent or higher,Cell,1,0.9863,1.1769,0.5598,1.2014
Dem,65 and older,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Favorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Rest,85 percent or higher,Landline,1,0.9697,0.4816,0.2932,0.4918
Rep,65 and older,High school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,Don't know,agree,65 and older,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,0,0.1242,0.9857,4.2248,0.2098
Rep,18 to 34,High school,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Erie,Less than 50 percent,Cell,0.7778,0.122,4.1833,10,4.736
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,support,Don't know,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Erie,85 percent or higher,Cell,1,0.9792,0.9584,0.5282,0.9784
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Erie,85 percent or higher,Cell,1,0.8825,2.0744,1.382,2.1389
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Erie,50 to 85 percent,Cell,1,0.8129,2.7872,1.4617,2.9066
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Erie,85 percent or higher,Landline,1,0.9804,1.7109,0.9638,1.7465
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.99,0.6541,0.4988,0.6679
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9819,0.5276,0.2226,0.5358
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,support,Approve,Don't know,support,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Rest,85 percent or higher,Cell,1,0.9887,0.6455,0.2465,0.6591
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest,50 to 85 percent,Landline,1,0.6431,0.9169,1.1999,0.9478
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Erie,85 percent or higher,Cell,1,0.9933,1.3751,0.8114,1.4044
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Erie,85 percent or higher,Landline,1,0.9928,0.8321,0.4155,0.8498
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Check,Don't know,Reps. keep House,Unfavorable,Unfavorable,Do not believe,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Cell,1,0.0331,0.6377,2.5582,1.3589
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Erie,85 percent or higher,Cell,1,0.9881,1.3751,0.8156,1.3983
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Butler,85 percent or higher,Landline,1,0.9807,0.5041,0.316,0.5118
Und,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Check,oppose,Reps. keep House,Favorable,Don't know,Don't know,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Erie,Less than 50 percent,Cell,0.8889,0.4123,0.8671,1.3798,0.9835
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Erie,85 percent or higher,Cell,1,0.9898,1.2028,0.7055,1.2281
Rep,35 to 49,Some college or trade school,Unknown,Male,White,support,Approve,Support,Don't know,Reps. keep House,Favorable,Favorable,Do not believe,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Rest,50 to 85 percent,Landline,1,0.8435,0.7775,0.6573,0.7873
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Erie,85 percent or higher,Cell,1,0.9073,1.1856,0.662,1.2183
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Erie,85 percent or higher,Landline,1,0.9345,1.1386,0.6829,1.1663
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Erie,85 percent or higher,Landline,1,0.9838,1.1224,0.5604,1.1458
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Erie,50 to 85 percent,Cell,1,0.6995,1.6354,1.0718,1.7462
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Butler,50 to 85 percent,Landline,1,0.8069,1.2112,0.9431,1.2292
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,85 percent or higher,Landline,1,0.8997,2.4895,1.5536,2.5607
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Erie,50 to 85 percent,Landline,1,0.7443,0.8706,0.6901,0.9202
Dem,65 and older,High school,White,Male,White,Don't know,Don't know,Don't know,Don't know,Dems. take House,Favorable,Favorable,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,85 percent or higher,Cell,0.5556,0.8813,2.454,1.3639,2.1729
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,85 percent or higher,Landline,1,0.9827,2.8673,1.7989,2.9271
Und,50 to 64,Some college or trade school,White,Male,White,support,Disapp.,Don't know,support,Don't know,Don't know,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,0.4444,0.5487,0.6268,0.5173,0.3055
Rep,65 and older,Some college or trade school,Asian,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Non-White,Rest,85 percent or higher,Landline,1,0.988,1.0931,1.3631,1.1116
Dem,18 to 34,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,White,Erie,50 to 85 percent,Cell,1,0.8416,4.2312,3.4267,4.3907
Rep,50 to 64,Some college or trade school,Unknown,Female,White,support,Approve,Don't know,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Unknown,Rest,85 percent or higher,Landline,1,0.9802,0.564,0.3088,0.5726
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,85 percent or higher,Cell,1,0.9153,1.0193,0.6544,1.0464
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9597,0.5339,0.354,0.5456
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9791,0.7595,0.4665,0.7753
Rep,35 to 49,High school,Unknown,Female,White,oppose,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,30 to 44,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Rest,50 to 85 percent,Landline,1,0.7844,1.9263,1.9172,1.9583
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Erie,50 to 85 percent,Landline,1,0.8411,1.3334,0.8856,1.3838
Und,35 to 49,High school,Unknown,Female,[DO NOT READ] Don't know/Refused,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,30 to 44,High School Grad. or Less,Other,Female,Not at all likely,Republican,[DO NOT READ] Don't know/Refused,35 to 49,Unknown,Erie,Less than 50 percent,Cell,0,0.3234,2.264,5.8744,0.5791
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown,Erie,85 percent or higher,Landline,1,0.9916,0.9655,0.4626,0.9859
Dem,50 to 64,Bachelors' degree,Hispanic,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Non-White,Rest,85 percent or higher,Cell,1,0.8641,1.0708,0.8436,1.1071
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9897,0.4505,0.2081,0.4599
Und,50 to 64,High school,White,Female,White,support,Approve,Support,Don't know,Don't know,Don't know,Don't know,Do not believe,disagree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,1,0.979,1.871,1.2495,1.8989
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Do not believe,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,50 to 85 percent,Landline,1,0.7983,0.9744,0.5982,1.0189
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9807,0.7613,0.3425,0.7772
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Erie,50 to 85 percent,Landline,1,0.8033,1.9385,1.5949,2.0251
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Disapp.,Don't know,Don't know,Dems. take House,Don't know,Don't know,Don't know,agree,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Butler,50 to 85 percent,Landline,0.4444,0.591,0.4858,0.5929,0.3195
