response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Don't know,Oppose,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 73/74,Less than 50 percent,Cell,0.6667,0.1439,1.0736,4.515,0.7957,2018-09-22 19:26:13
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.976,1.1154,0.7098,1.1366,2018-09-22 19:28:55
Rep,50 to 64,Some college or trade school,Unknown,Female,Asian,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,No 4-year College Degree,Unknown,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4118,1.2283,1.8256,1.4449,2018-09-22 19:35:31
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,oppose,Approve,Reps. keep House,Don't know,Yes,Don't know,Oppose,18 to 29,4-year College Grad.,Republican,Male,Not at all likely,Republican,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Assembly Dist. 68,Less than 50 percent,Cell,0,0.0424,1.3624,4.3593,0.2861,2018-09-22 19:36:16
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Don't know,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9467,0.8326,0.5591,0.85,2018-09-22 19:37:28
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,0.5556,0.4498,1.138,1.4777,0.6753,2018-09-22 19:41:22
Und,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Oppose,Don't know,Approve,Reps. keep House,Don't know,No,Unfavorable,Oppose,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9427,0.8336,0.5958,0.8514,2018-09-22 19:51:32
Dem,35 to 49,Some college or trade school,Unknown,Male,Other,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,No 4-year College Degree,Unknown,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2527,1.0578,2.3982,1.3832,2018-09-22 19:52:17
Rep,65 and older,Bachelors' degree,White,Male,Other,Don't know,Don't know,Disapp.,Reps. keep House,Don't know,Don't know,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9733,1.0563,0.6143,1.069,2018-09-22 19:52:35
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.986,0.7805,0.4797,0.7953,2018-09-22 19:55:44
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Oppose,Don't know,Disapp.,Don't know,Don't know,Yes,Don't know,Support,18 to 29,Some College Educ.,Other,Male,Not very likely,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,Hispanic,Irvine,50 to 85 percent,Cell,0.3333,0.7778,0.8211,0.7474,0.5471,2018-09-22 20:02:52
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.975,0.8398,0.518,0.8557,2018-09-22 20:04:58
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Irvine,85 percent or higher,Landline,1,0.8991,0.8958,0.6287,0.9197,2018-09-22 20:05:52
Und,18 to 34,Some college or trade school,Asian,Female,Asian,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,Other Non-White,Assembly Dist. 68,50 to 85 percent,Cell,0.7778,0.834,1.1851,1.0454,1.1971,2018-09-22 20:09:37
Rep,65 and older,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9204,0.8662,0.5242,0.8868,2018-09-22 20:13:58
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.541,0.951,0.9661,1.0605,2018-09-22 20:14:43
Und,18 to 34,Some college or trade school,White,Female,White,Support,Don't know,Don't know,Reps. keep House,Don't know,No,Unfavorable,Oppose,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 73/74,Less than 50 percent,Cell,0.5556,0.4654,1.1101,1.6772,0.7992,2018-09-22 20:19:52
Rep,50 to 64,Some college or trade school,Asian,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Other Non-White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9767,1.297,0.9539,1.3133,2018-09-22 20:20:28
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8592,0.8357,0.5218,0.8631,2018-09-22 20:27:58
Rep,35 to 49,Some college or trade school,White,Female,White,Oppose,Don't know,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9655,0.8026,0.5025,0.8182,2018-09-22 20:28:43
Rep,35 to 49,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Don't know,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9567,0.7996,0.5987,0.8078,2018-09-22 20:32:48
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.972,1.1154,0.7127,1.1287,2018-09-22 20:42:42
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Support,support,Don't know,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9265,0.6875,0.3752,0.7034,2018-09-22 20:43:54
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9844,1.0563,0.6073,1.0762,2018-09-22 20:44:48
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,18 to 29,4-year College Grad.,Republican,Male,Not at all likely,or as a member of another political party,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Assembly Dist. 68,50 to 85 percent,Cell,0.4444,0.7097,0.9859,0.6775,0.5642,2018-09-22 20:46:33
Dem,65 and older,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,65 and older,4-year College Grad.,Hispanic,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9485,1.061,0.7351,1.083,2018-09-22 20:59:00
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,Yes,Favorable,Support,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Irvine,85 percent or higher,Cell,1,0.8876,0.9325,0.7992,0.9409,2018-09-22 21:03:09
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Don't know,Favorable,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,[DO NOT READ] Don't know/Refused,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9621,0.9989,0.8969,1.0186,2018-09-22 21:03:45
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.8537,0.8605,0.5536,0.8894,2018-09-22 21:08:06
Rep,65 and older,Bachelors' degree,White,Male,Asian,Support,support,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8766,1.0603,0.5777,1.092,2018-09-22 21:08:33
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9455,0.9112,0.6981,0.9304,2018-09-22 21:16:52
Rep,18 to 34,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,0.7778,0.9177,0.7442,0.4538,0.7503,2018-09-22 21:26:19
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Irvine,50 to 85 percent,Cell,1,0.7755,1.0019,0.7159,1.0502,2018-09-22 21:29:10
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Oppose,Don't know,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Assembly Dist. 68,85 percent or higher,Cell,1,0.9617,0.77,0.467,0.7783,2018-09-22 21:34:44
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Don't know,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9614,1.0563,0.6219,1.0771,2018-09-22 21:43:08
Rep,35 to 49,High school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,High School Grad. or Less,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.8628,0.7179,0.5247,0.7409,2018-09-22 21:55:07
Rep,35 to 49,Bachelors' degree,White,Male,Black,Support,support,Approve,Reps. keep House,Don't know,No,Don't know,Oppose,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.897,0.9304,0.49,0.9554,2018-09-22 22:12:28
Und,[DO NOT READ] Refused,High school,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,No,Don't know,Support,30 to 44,High School Grad. or Less,Republican,Male,Not very likely,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,0.4444,0.8656,0.7414,0.5681,0.5751,2018-09-22 22:12:37
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Unfavorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Assembly Dist. 68,Less than 50 percent,Landline,0.6667,0.4266,1.1306,1.3051,1.0574,2018-09-22 22:14:34
Und,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Don't know,Don't know,Yes,Don't know,Support,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,0.8889,0.2125,1.3198,3.6559,1.4922,2018-09-22 22:21:44
Rep,18 to 34,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Oppose,support,Disapp.,Reps. keep House,Unfavorable,No,Unfavorable,Oppose,18 to 29,Some College Educ.,Other,Male,Very likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,18 to 34,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9722,0.7056,0.3923,0.714,2018-09-22 22:23:32
Rep,18 to 34,High school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Support,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,0.7778,0.1617,1.0552,3.5278,1.3347,2018-09-22 22:33:03
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Cell,1,0.9902,0.8395,0.528,0.8554,2018-09-22 22:36:12
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Oppose,oppose,Approve,Dems. take House,Unfavorable,No,Unfavorable,Support,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,4-year College Grad.,Hispanic,Assembly Dist. 68,Less than 50 percent,Cell,0.4444,0.2462,1.2959,2.6737,0.7928,2018-09-22 22:40:15
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,Don't know,Approve,Reps. keep House,Don't know,No,Don't know,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4363,1.5299,1.6131,1.6526,2018-09-22 22:40:33
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,support,Approve,Don't know,Don't know,No,Favorable,Oppose,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2026,1.0776,2.8317,1.315,2018-09-22 22:43:51
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,support,Approve,Reps. keep House,Favorable,No,Unfavorable,Oppose,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9714,0.8629,0.5864,0.8731,2018-09-22 22:49:27
Rep,35 to 49,Bachelors' degree,White,Female,Asian,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,4-year College Grad.,White,Irvine,85 percent or higher,Cell,1,0.9206,0.9984,0.6386,1.0222,2018-09-22 22:52:18
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,Hispanic,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.8421,0.8176,0.6309,0.8467,2018-09-22 22:57:42
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,0.8889,0.9451,0.6494,0.3977,0.6594,2018-09-22 23:00:33
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9907,0.7429,0.3703,0.757,2018-09-22 23:01:54
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Assembly Dist. 68,50 to 85 percent,Cell,0.8889,0.5019,0.9546,0.8821,0.9742,2018-09-22 23:03:31
Rep,35 to 49,Graduate or Professional Degree,Other,Female,White,Don't know,Don't know,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Other Non-White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.8115,1.1547,0.9793,1.2021,2018-09-22 23:06:31
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Support,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.8868,0.8557,0.6132,0.88,2018-09-22 23:11:10
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Unknown,Assembly Dist. 73/74,50 to 85 percent,Cell,0.7778,0.5327,0.7886,1.1382,0.8284,2018-09-22 23:14:19
Rep,65 and older,Bachelors' degree,White,Male,Other,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,65 and older,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9811,1.0603,0.5161,1.0744,2018-09-22 23:18:53
Dem,[DO NOT READ] Refused,Some college or trade school,Other,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Favorable,Yes,Favorable,Support,30 to 44,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,Other Non-White,Irvine,Less than 50 percent,Cell,0.3333,0.2575,1.7926,5.8362,1.3494,2018-09-22 23:18:53
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.7841,0.9044,0.6289,0.9464,2018-09-22 23:21:08
Dem,18 to 34,Bachelors' degree,White,Female,White,Oppose,support,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2089,1.3641,3.3208,1.8637,2018-09-22 23:24:53
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Irvine,50 to 85 percent,Cell,1,0.8326,1.0019,0.6668,1.0131,2018-09-22 23:26:14
Rep,65 and older,High school,Unknown,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Support,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Irvine,85 percent or higher,Cell,1,0.9121,0.9623,0.8164,0.9708,2018-09-22 23:26:32
Rep,35 to 49,Some college or trade school,White,Female,Other,Support,support,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Republican,Nonwhite,35 to 49,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,0.5556,0.626,0.8686,0.8525,0.6674,2018-09-22 23:27:08
Rep,50 to 64,High school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4315,1.3198,1.8007,1.4278,2018-09-22 23:32:40
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Disapp.,Reps. keep House,Don't know,No,Don't know,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 73/74,Less than 50 percent,Cell,1,0.2748,1.6095,3.5039,1.864,2018-09-22 23:37:10
Und,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Unfavorable,Support,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Postgraduate Degree,Other Non-White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9717,0.9906,0.6773,1.0095,2018-09-22 23:37:55
Dem,[DO NOT READ] Refused,High school,White,Female,White,Support,Don't know,Don't know,Dems. take House,Don't know,No,Don't know,Support,18 to 29,High School Grad. or Less,Democratic,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Irvine,50 to 85 percent,Cell,0.4444,0.5789,0.8865,1.2051,0.6266,2018-09-23 18:53:23
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Assembly Dist. 68,50 to 85 percent,Cell,0.7778,0.5847,0.9318,1.1194,0.7862,2018-09-23 20:33:34
Dem,18 to 34,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.5018,1.0125,1.1572,1.1452,2018-09-23 20:37:11
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 73/74,Less than 50 percent,Cell,1,0.4992,1.5242,1.6648,1.6177,2018-09-23 20:46:26
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9367,0.8243,0.5851,0.8424,2018-09-23 20:47:38
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9669,1.0847,0.7468,1.0969,2018-09-23 20:48:59
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Unknown,Assembly Dist. 68,85 percent or higher,Landline,1,0.9894,0.8425,0.5781,0.8585,2018-09-23 20:53:47
Dem,18 to 34,Bachelors' degree,White,Male,Other,Oppose,oppose,Don't know,Dems. take House,Favorable,No,Unfavorable,Oppose,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,4-year College Grad.,White,Assembly Dist. 68,50 to 85 percent,Cell,0.8889,0.6739,0.9348,0.6533,0.9813,2018-09-23 20:56:11
