response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Male,Asian,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Other Non-White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9813,0.5154,0.1686,0.5154,2018-09-17 14:27:15
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,50 to 64,Hispanic,Ventura/Simi Valley,Less than 50 percent,Cell,0.8889,0.311,1.2,1.4927,1.0248,2018-09-17 14:27:24
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Approve,support,Support,Don't know,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Santa Clarita,85 percent or higher,Landline,1,0.9644,1.5394,0.9301,1.5406,2018-09-17 14:27:42
Rep,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Don't know,Don't know,agree,18 to 29,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Hispanic,Santa Clarita,50 to 85 percent,Cell,1,0.7495,0.3637,0.1631,0.3634,2018-09-17 14:28:45
Dem,65 and older,High school,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Santa Clarita,85 percent or higher,Landline,1,0.9803,2.578,1.8239,2.5781,2018-09-17 14:29:03
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,disagree,Approve,Don't know,Don't know,disagree,Don't know,Don't know,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Hispanic,Rest of LA County,50 to 85 percent,Cell,1,0.6007,0.54990000000000006,0.29,0.5607,2018-09-17 14:29:03
Und,50 to 64,High school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,0.7778,0.1183,1.9773,9.2632,1.6116,2018-09-17 14:29:12
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Support,disagree,Don't know,support,Oppose,agree,Don't know,Unfavorable,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Unknown,Rest of LA County,85 percent or higher,Landline,0.7778,0.8786,0.8555,0.4687,0.7782,2018-09-17 14:29:21
Rep,65 and older,Some college or trade school,White,Female,Asian,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9747,0.9676,0.5473,0.9678,2018-09-17 14:29:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest of LA County,85 percent or higher,Landline,0,0.9636,0.9264,0.3686,0.8673,2018-09-17 14:30:15
Dem,50 to 64,Bachelors' degree,White,Male,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Landline,1,0.8628,1.0475,0.5365,1.0612,2018-09-17 14:30:15
Dem,65 and older,Some college or trade school,Other,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Other Non-White,Santa Clarita,85 percent or higher,Landline,1,0.9827,1.0172,0.6328,1.0172,2018-09-17 14:31:00
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9843,1.0086,0.4252,1.0087,2018-09-17 14:31:00
Rep,65 and older,Some college or trade school,Asian,Female,Other,Support,Don't know,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Other Non-White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9323,0.9794,0.6021,0.983,2018-09-17 14:31:09
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Rest of LA County,85 percent or higher,Landline,1,0.8752,0.9851,0.4455,0.9759,2018-09-17 14:31:18
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,Hispanic,Santa Clarita,85 percent or higher,Cell,1,0.9689,0.9021,0.3939,0.9025,2018-09-17 14:31:27
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.2668,0.4821,1.1621,0.6112,2018-09-17 14:36:39
Und,18 to 34,High school,Hispanic,Male,Hispanic,Oppose,agree,Approve,oppose,Oppose,agree,Don't know,Unfavorable,Unfavorable,agree,30 to 44,High School Grad. or Less,Other,Male,Not at all likely,[DO NOT READ] Refused,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Landline,0,0.0686,0.8433,3.1488,0.1718,2018-09-17 14:38:00
Rep,35 to 49,High school,Hispanic,Female,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Hispanic,Lancaster/Palmdale,50 to 85 percent,Landline,1,0.6446,1.292,1.2425,1.3703,2018-09-17 14:38:00
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,oppose,Support,disagree,Dems. take House,Unfavorable,Favorable,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.5443,0.315,0.2135,0.2859,2018-09-17 14:38:54
Und,65 and older,Bachelors' degree,Asian,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,65 and older,Other Non-White,Lancaster/Palmdale,85 percent or higher,Cell,0.7778,0.9726,0.4881,0.291,0.4847,2018-09-17 14:39:03
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Asian,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,Nonwhite,50 to 64,Hispanic,Rest of LA County,85 percent or higher,Landline,1,0.8836,0.7002,0.3305,0.6935,2018-09-17 14:39:57
Dem,65 and older,High school,Hispanic,Female,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9436,1.1966,0.7321,1.1857,2018-09-17 14:41:27
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,Unknown,Santa Clarita,50 to 85 percent,Landline,1,0.5412,1.2834,1.501,1.4046,2018-09-17 14:41:45
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,0.8889,0.3816,0.6314,1.0667,0.711,2018-09-17 14:41:45
Dem,18 to 34,Some college or trade school,Other,Female,Other,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Other Non-White,Santa Clarita,Less than 50 percent,Cell,1,0.1172,0.9058,3.9721,1.2013,2018-09-17 14:44:36
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,agree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,35 to 49,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,0.7778,0.0363,0.7696,2.1985,1.0313,2018-09-17 14:44:36
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Hispanic,Ventura/Simi Valley,85 percent or higher,Landline,1,0.872,0.4569,0.1633,0.4527,2018-09-17 14:45:39
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9825,0.9676,0.543,0.9676,2018-09-17 14:45:57
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,Don't know,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9106,1.1631,0.6586,1.1703,2018-09-17 14:46:51
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.1563,1.7147,6.1844,2.4638,2018-09-17 14:47:27
Dem,[DO NOT READ] Refused,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.7306,1.064,0.6401,1.105,2018-09-17 14:47:36
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Santa Clarita,50 to 85 percent,Landline,1,0.7754,1.6033,0.923,1.6496,2018-09-17 14:48:03
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Hispanic,Rest of LA County,85 percent or higher,Cell,1,0.8675,0.5228,0.2599,0.5293,2018-09-18 01:04:32
Rep,35 to 49,Some college or trade school,Other,Female,Asian,Oppose,disagree,Don't know,support,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,35 to 49,Other Non-White,Santa Clarita,50 to 85 percent,Cell,0.7778,0.716,1.2003,1.0749,1.1449,2018-09-18 01:10:23
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Postgraduate Degree,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,Nonwhite,35 to 49,Hispanic,Rest of LA County,50 to 85 percent,Cell,1,0.8139,0.5862,0.2161,0.531,2018-09-18 01:18:47
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Santa Clarita,Less than 50 percent,Cell,1,0.4654,1.5819,1.8327,1.6629,2018-09-18 01:21:37
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.2031,0.5475,1.3931,0.7392,2018-09-18 01:30:19
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Rest of LA County,Less than 50 percent,Cell,1,0.467,1.3063,1.7421,1.4707,2018-09-18 01:41:53
Dem,18 to 34,Some college or trade school,Other,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,Other Non-White,Santa Clarita,85 percent or higher,Cell,1,0.8807,0.5481,0.3382,0.543,2018-09-18 01:50:27
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,Santa Clarita,85 percent or higher,Cell,1,0.902,0.802,0.3134,0.8078,2018-09-18 01:55:24
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,Hispanic,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.8347,0.5918,0.2792,0.5873,2018-09-18 02:05:08
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Don't know,agree,Disapp.,support,Don't know,agree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Other Non-White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.8464,0.4899,0.16,0.4977,2018-09-18 02:16:05
Rep,65 and older,Bachelors' degree,Other,Female,White,Oppose,disagree,Don't know,support,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Other Non-White,Santa Clarita,85 percent or higher,Cell,1,0.9667,0.8258,0.5396,0.8263,2018-09-18 02:19:00
Dem,35 to 49,Bachelors' degree,Hispanic,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Hispanic,Santa Clarita,85 percent or higher,Cell,1,0.9585,0.6541,0.2906,0.6548,2018-09-18 02:22:00
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Don't know,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.199,0.4736,1.083,0.6425,2018-09-18 02:24:24
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown,Santa Clarita,85 percent or higher,Cell,1,0.8505,0.7955,0.3931,0.8075,2018-09-18 02:37:47
Rep,18 to 34,High school,Unknown,Female,White,Support,agree,Approve,support,Oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,18 to 29,High School Grad. or Less,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,Unknown,Ventura/Simi Valley,50 to 85 percent,Cell,0.2222,0.525,1.2735,1.8184,0.6032,2018-09-18 02:41:50
Dem,50 to 64,Some college or trade school,White,Female,Other,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Santa Clarita,85 percent or higher,Cell,1,0.9665,1.5821,0.9011,1.5831,2018-09-18 02:44:59
Und,18 to 34,Some college or trade school,White,Male,Hispanic,Oppose,agree,Don't know,support,Oppose,disagree,Reps. keep House,Don't know,Unfavorable,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,White,Ventura/Simi Valley,50 to 85 percent,Cell,0.8889,0.7787,0.8256,0.4856,0.8359,2018-09-18 02:46:02
Dem,65 and older,Graduate or Professional Degree,Black,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Other Non-White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9394,0.3775,0.1714,0.3786,2018-09-18 02:49:09
Rep,18 to 34,High school,White,Male,White,Oppose,disagree,Approve,oppose,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,disagree,18 to 29,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.8749,1.3376,0.8807,1.3526,2018-09-18 02:51:51
Dem,50 to 64,Some college or trade school,White,Male,Hispanic,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),Nonwhite,65 and older,White,Lancaster/Palmdale,85 percent or higher,Cell,0,0.9669,0.8391,0.385,0.6366,2018-09-18 02:54:42
Und,35 to 49,Bachelors' degree,White,Female,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Santa Clarita,85 percent or higher,Cell,1,0.9215,1.1868,0.7793,1.1926,2018-09-18 02:56:57
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Don't know,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Ventura/Simi Valley,Less than 50 percent,Cell,0,0.3122,1.0485,1.051,0.2597,2018-09-18 03:09:57
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Cell,1,0.9504,1.2844,0.7684,1.2868,2018-09-18 03:18:08
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.5662,1.2021,1.0323,1.3047,2018-09-18 03:25:47
Rep,18 to 34,High school,White,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Santa Clarita,85 percent or higher,Cell,1,0.9047,1.4772,1.0373000000000001,1.4627,2018-09-18 03:28:02
Dem,65 and older,Bachelors' degree,Unknown,Female,Other,Oppose,agree,Disapp.,support,Don't know,agree,Dems. take House,Favorable,Favorable,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Unknown,Rest of LA County,50 to 85 percent,Cell,1,0.6778,0.9623,0.8227,1.0119,2018-09-18 03:29:50
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,Hispanic,Rest of LA County,85 percent or higher,Landline,1,0.9597,0.9034,0.3942,0.9043,2018-09-18 14:08:08
Dem,[DO NOT READ] Refused,High school,Hispanic,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Hispanic,Ventura/Simi Valley,50 to 85 percent,Landline,1,0.5676,1.7337,1.6891,1.8808,2018-09-18 14:09:20
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Don't know,agree,Reps. keep House,Don't know,Favorable,disagree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Lancaster/Palmdale,50 to 85 percent,Landline,1,0.6037,0.704,0.5035,0.7175,2018-09-18 14:09:29
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Support,agree,Approve,oppose,Oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9626,0.6196,0.2524,0.6202,2018-09-18 14:09:56
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Don't know,agree,Approve,support,Don't know,disagree,Reps. keep House,Don't know,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9464,0.8391,0.3932,0.8409,2018-09-18 14:11:35
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.3876,1.4001,2.0218,1.6368,2018-09-18 14:11:44
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9779,0.932,0.4209,0.9321,2018-09-18 14:14:17
Dem,50 to 64,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9446,0.9944,0.5483,0.9968,2018-09-18 14:14:26
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,Don't know,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.988,1.0009,0.5177,1.0011,2018-09-18 14:15:56
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,[DO NOT READ] Don't know/Refused,Oppose,disagree,Don't know,Don't know,Don't know,disagree,Don't know,Don't know,Favorable,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,50 to 64,Unknown,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9197,0.6407,0.4574,0.644,2018-09-18 14:16:41
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Landline,1,0.8537,0.7007,0.2347,0.7109,2018-09-18 14:16:50
Rep,35 to 49,Bachelors' degree,Black,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,Other Non-White,Santa Clarita,50 to 85 percent,Landline,0.7778,0.807,0.7455,0.5048,0.7141,2018-09-18 14:17:26
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Cell,1,0.9648,1.2844,0.757,1.2853,2018-09-18 14:18:38
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Rest of LA County,50 to 85 percent,Cell,1,0.7657,1.3568,1.008,1.3535,2018-09-18 14:18:56
