response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,East,85 percent or higher,Cell,1,0.8832,1.083,0.6184,1.0916,2018-09-15 19:15:44
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,West,Less than 50 percent,Cell,1,0.3856,0.6952,1.4098,0.812,2018-09-15 19:16:02
Rep,65 and older,Some college or trade school,White,Female,Other,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,White,West,85 percent or higher,Landline,1,0.9784,0.5202,0.2961,0.5192,2018-09-15 19:16:11
Und,65 and older,High school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Non-White,West,85 percent or higher,Landline,1,0.9591,2.0987,0.9014,2.0968,2018-09-15 19:19:02
Dem,65 and older,High school,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,oppose,Don't know,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,Non-White,East,50 to 85 percent,Landline,1,0.6986,2.0547,1.5081,2.0604,2018-09-15 19:19:11
Und,50 to 64,Grade school,Hispanic,Female,Hispanic,Oppose,disagree,Approve,oppose,Oppose,agree,Dems. take House,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,East,Less than 50 percent,Cell,0.5556,0.1114,1.8883,7.6762,2.1039,2018-09-15 19:20:41
Rep,65 and older,Bachelors' degree,White,Female,White,Don't know,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Landline,1,0.9773,0.7033,0.398,0.702,2018-09-15 19:23:23
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Landline,1,0.9731,0.3681,0.1818,0.3675,2018-09-15 19:24:08
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,West,Less than 50 percent,Cell,1,0.469,0.7767,0.893,0.814,2018-09-15 19:26:59
Rep,65 and older,Some college or trade school,White,Male,White,Support,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Cell,1,0.984,0.6281,0.2966,0.6239,2018-09-15 19:27:08
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9894,0.4047,0.1606,0.404,2018-09-15 19:31:20
Dem,65 and older,High school,White,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,East,Less than 50 percent,Landline,1,0.3552,1.1601,1.937,1.3785,2018-09-15 19:31:29
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Support,disagree,Disapp.,support,Support,agree,Dems. take House,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Non-White,West,85 percent or higher,Cell,0.8889,0.8827,2.244,1.1016,2.1915,2018-09-15 19:32:04
Rep,65 and older,Some college or trade school,Unknown,Female,White,Oppose,agree,Approve,support,Oppose,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,East,85 percent or higher,Landline,0.7778,0.8562,0.6528,0.6497,0.6453,2018-09-15 19:33:16
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,East,85 percent or higher,Landline,1,0.9796,0.6716,0.346,0.6703,2018-09-15 19:33:34
Und,65 and older,High school,White,Female,White,Don't know,Don't know,Approve,oppose,Support,agree,Reps. keep House,Don't know,Unfavorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,East,85 percent or higher,Landline,1,0.9097,1.2321,0.763,1.2374,2018-09-15 19:33:43
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Dona Ana,85 percent or higher,Cell,1,0.9604,0.7548,0.1835,0.7541,2018-09-15 19:33:52
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,West,50 to 85 percent,Cell,1,0.7811,1.0427,0.7142,1.0694,2018-09-15 19:35:22
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Don't know,Disapp.,support,Don't know,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,50 to 64,Non-White,West,85 percent or higher,Landline,0.6667,0.9697,1.013,0.4849,0.9621,2018-09-15 19:45:25
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Dona Ana,50 to 85 percent,Cell,0.8889,0.5831,1.0844,0.7533,1.0716,2018-09-15 19:46:10
Dem,65 and older,Grade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Non-White,Dona Ana,50 to 85 percent,Landline,1,0.6654,2.7277,1.4272,2.7474,2018-09-15 19:47:30
Und,65 and older,Some college or trade school,White,Male,Hispanic,Oppose,Don't know,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,[DO NOT READ] Refused,Nonwhite,65 and older,White,Dona Ana,85 percent or higher,Cell,1,0.8839,0.8832,0.3345,0.8731,2018-09-15 19:52:36
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Cell,1,0.984,0.6223,0.2872,0.6211,2018-09-15 19:56:12
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,East,50 to 85 percent,Cell,1,0.8054,0.9587,0.502,0.9788,2018-09-15 19:56:39
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,East,85 percent or higher,Landline,0.8889,0.8682,0.7181,0.4381,0.7179,2018-09-15 19:58:27
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,West,50 to 85 percent,Landline,1,0.559,1.2807,1.2891,1.3904,2018-09-15 19:59:57
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Oppose,Don't know,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9895,0.6114,0.3048,0.6103,2018-09-15 20:06:34
Rep,65 and older,Some college or trade school,White,Male,White,Support,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9788,0.7383,0.3103,0.7326,2018-09-15 20:07:37
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,West,Less than 50 percent,Cell,1,0.3727,1.419,2.4802,1.6692,2018-09-15 20:10:37
Und,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Dona Ana,85 percent or higher,Cell,1,0.923,0.7371,0.2469,0.7391,2018-09-15 20:12:25
Rep,50 to 64,High school,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,East,50 to 85 percent,Cell,1,0.8077,1.7589,1.0284,1.745,2018-09-15 20:14:04
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Landline,1,0.9735,0.4119,0.153,0.4112,2018-09-15 20:15:25
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Non-White,East,50 to 85 percent,Cell,1,0.8115,1.2088,0.734,1.2327,2018-09-15 20:15:52
Rep,65 and older,Some college or trade school,Other,Male,White,Don't know,disagree,Don't know,oppose,Oppose,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Non-White,East,85 percent or higher,Landline,0.4444,0.9629,1.0129,0.5047,0.9839,2018-09-15 20:18:16
Rep,65 and older,High school,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,East,Less than 50 percent,Landline,0.6667,0.4445,1.1709,1.6003,1.0719,2018-09-15 20:20:10
Dem,65 and older,High school,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,East,85 percent or higher,Landline,1,0.8526,1.4739,0.7933,1.4585,2018-09-15 20:20:28
Dem,18 to 34,High school,Hispanic,Female,Hispanic,Support,agree,Don't know,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Non-White,Dona Ana,Less than 50 percent,Cell,1,0.2354,2.169,6.0881,2.8238,2018-09-15 20:21:31
Dem,65 and older,High school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Male,Not very likely,Democrat,Nonwhite,65 and older,Non-White,Dona Ana,Less than 50 percent,Cell,0.3333,0.2009,1.9416,4.5552,0.7964,2018-09-15 20:22:07
Dem,65 and older,Graduate or Professional Degree,Other,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Non-White,East,85 percent or higher,Landline,1,0.8678,0.5553,0.2904,0.561,2018-09-15 20:26:37
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Not very likely,Democrat,Nonwhite,18 to 34,Non-White,West,Less than 50 percent,Cell,0.4444,0.2092,0.833,3.162,0.3837,2018-09-15 20:28:43
Und,50 to 64,Graduate or Professional Degree,Hispanic,Male,[DO NOT READ] Don't know/Refused,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Non-White,Dona Ana,85 percent or higher,Landline,1,0.9946,0.9517,0.2596,0.9504,2018-09-15 20:29:01
Rep,50 to 64,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,West,Less than 50 percent,Cell,1,0.4634,1.6915,1.4584,1.7755,2018-09-15 20:29:37
Rep,65 and older,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,East,50 to 85 percent,Cell,1,0.6498,1.645,1.1345,1.7387,2018-09-15 20:30:49
Dem,50 to 64,Some college or trade school,Hispanic,Male,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Non-White,West,Less than 50 percent,Cell,1,0.2794,0.9627,1.7175,1.2055,2018-09-15 20:32:08
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,East,Less than 50 percent,Cell,1,0.4801,0.4913,0.6024,0.549,2018-09-15 20:32:35
Dem,65 and older,Some college or trade school,White,Male,White,Don't know,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Cell,1,0.9752,0.7514,0.2918,0.75,2018-09-15 20:33:38
Und,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Don't know,Favorable,Don't know,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Landline,1,0.9797,0.5202,0.2957,0.5192,2018-09-15 20:37:32
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,White,East,50 to 85 percent,Cell,1,0.6154,1.004,0.7529,1.0713,2018-09-15 20:38:44
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Dona Ana,50 to 85 percent,Cell,1,0.7493,0.6912,0.2449,0.6892,2018-09-15 20:39:11
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Dona Ana,50 to 85 percent,Landline,1,0.6342,0.8088,0.4867,0.8585,2018-09-15 20:39:38
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Dona Ana,50 to 85 percent,Cell,1,0.5356,0.8088,0.5753,0.8851,2018-09-15 20:40:59
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Non-White,West,Less than 50 percent,Cell,0.6667,0.1654,0.8408,4.1322,0.6081,2018-09-15 20:42:47
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Oppose,disagree,Don't know,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,Nonwhite,65 and older,White,West,85 percent or higher,Landline,1,0.984,0.6223,0.2872,0.6211,2018-09-15 20:47:01
Rep,50 to 64,Bachelors' degree,White,Female,Asian,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,White,East,85 percent or higher,Cell,1,0.9145,0.908,0.4813,0.9114,2018-09-15 20:50:01
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Oppose,disagree,Don't know,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,West,50 to 85 percent,Landline,1,0.5897,0.8884,0.569,0.9552,2018-09-15 20:50:19
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,West,85 percent or higher,Cell,1,0.9623,0.5193,0.2262,0.5187,2018-09-15 20:56:19
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9918,0.4887,0.1614,0.4879,2018-09-15 20:58:34
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,West,50 to 85 percent,Cell,1,0.8103,0.8321,0.4206,0.8488,2018-09-15 20:59:10
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Support,disagree,Disapp.,support,Support,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Unknown,West,50 to 85 percent,Landline,1,0.5107,0.6455,0.5043,0.6692,2018-09-15 21:02:17
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,agree,Disapp.,oppose,Oppose,disagree,Don't know,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Not at all likely,Independent (No party),Nonwhite,50 to 64,Non-White,Dona Ana,85 percent or higher,Cell,0,0.8573,1.4377,0.5745,0.7638,2018-09-15 21:03:47
Rep,65 and older,High school,White,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Landline,1,0.984,1.1524,0.6069,1.1501,2018-09-15 21:04:41
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown,East,85 percent or higher,Cell,1,0.9312,1.2869,0.7897,1.2891,2018-09-15 21:07:41
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9886,0.5846,0.1579,0.5836,2018-09-15 21:09:11
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Non-White,Dona Ana,85 percent or higher,Landline,1,0.9755,0.6105,0.2322,0.6093,2018-09-15 21:11:35
Dem,50 to 64,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,East,85 percent or higher,Landline,1,0.8663,1.0372,0.43120000000000003,1.0481,2018-09-15 21:13:23
Dem,65 and older,High school,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Landline,1,0.8853,1.3785,0.6571,1.3891,2018-09-15 21:14:35
Dem,65 and older,Some college or trade school,Unknown,Male,White,Oppose,agree,Disapp.,oppose,Support,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,West,85 percent or higher,Cell,1,0.9818,0.8819,0.4792,0.8756,2018-09-15 21:15:02
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Landline,1,0.9909,0.4974,0.1515,0.4965,2018-09-15 21:24:31
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,East,85 percent or higher,Landline,1,0.9022,0.7012,0.5481,0.7049,2018-09-15 21:25:43
Rep,65 and older,High school,White,Female,White,Support,disagree,Don't know,support,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,50 to 85 percent,Landline,1,0.8115,1.4977,0.8084,1.5274,2018-09-15 21:28:43
Dem,35 to 49,Some college or trade school,White,Female,Black,Oppose,agree,Disapp.,Don't know,Oppose,agree,Dems. take House,Favorable,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,35 to 49,White,East,50 to 85 percent,Cell,1,0.5314,1.344,1.4278,1.3868,2018-09-15 21:32:40
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Dona Ana,85 percent or higher,Landline,1,0.9918,0.5683,0.2568,0.5656,2018-09-15 21:34:37
Rep,65 and older,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9479,0.6114,0.318,0.6115,2018-09-15 21:44:13
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Don't know,oppose,Oppose,disagree,Reps. keep House,Favorable,Don't know,agree,65 and older,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,50 to 85 percent,Cell,0.6667,0.5795,1.0142,0.6736,0.9286,2018-09-15 21:45:25
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Favorable,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,West,Less than 50 percent,Landline,1,0.3792,0.7636,0.8585,0.8949,2018-09-15 21:46:28
Dem,65 and older,High school,Hispanic,Female,Hispanic,Oppose,Don't know,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,West,85 percent or higher,Landline,1,0.9783,1.7381,0.8774,1.7347,2018-09-15 21:47:09
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Dona Ana,50 to 85 percent,Landline,1,0.5702,0.5354,0.2828,0.5479,2018-09-15 21:48:30
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,West,50 to 85 percent,Landline,1,0.6746,0.5712,0.291,0.5998,2018-09-15 21:53:27
