response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,4-year College Grad.,Hispanic,Costa Mesa/North,85 percent or higher,Cell,1,0.8938,0.7641,0.5455,0.7519,2018-10-30 04:09:21
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Asian,Disapp.,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Republican,Nonwhite,35 to 49,4-year College Grad.,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9528,0.7646,0.4142,0.7472,2018-10-30 04:14:27
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Asian,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,Other Non-White,Costa Mesa/North,85 percent or higher,Cell,1,0.9282,1.418,0.6015,1.3892,2018-10-30 04:28:38
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9021,0.5364,0.2714,0.5335,2018-10-31 00:45:12
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,0.9226,0.5484,0.9005,2018-10-31 00:53:09
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.8791,0.4914,0.3683,0.475,2018-10-31 01:02:08
Dem,18 to 34,Some college or trade school,Asian,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,No 4-year College Degree,Other Non-White,Laguna Beach/South,Less than 50 percent,Cell,0.8889,0.3865,1.2498,3.1314,1.2531,2018-10-31 01:10:23
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Newport Beach,85 percent or higher,Cell,1,0.97,1.0598,0.5912,1.0398,2018-10-31 01:12:38
Dem,35 to 49,Some college or trade school,Asian,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,Other Non-White,Laguna Beach/South,50 to 85 percent,Cell,1,0.5715,1.6371,2.2705,1.7307,2018-10-31 01:15:11
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.97,1.2299,1.0023,1.2066,2018-10-31 01:15:11
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,Unknown,Costa Mesa/North,50 to 85 percent,Cell,1,0.678,1.1624,0.8378,1.1925,2018-10-31 01:23:04
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,0.6781,0.5183,0.6619,2018-10-31 01:23:17
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,18 to 34,4-year College Grad.,Hispanic,Costa Mesa/North,50 to 85 percent,Cell,1,0.5256,0.8898,0.935,0.9555,2018-10-31 01:25:23
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9468,1.344,1.0104,1.3242,2018-10-31 01:25:41
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,0.6439,0.4231,0.6285,2018-10-31 01:26:22
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Newport Beach,85 percent or higher,Landline,1,0.97,0.8471,0.5214,0.8269,2018-10-31 01:27:16
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Unknown,Newport Beach,85 percent or higher,Cell,1,0.8603,1.7162,1.258,1.6971,2018-10-31 01:28:50
Und,35 to 49,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Newport Beach,Less than 50 percent,Cell,0.8889,0.424,1.1721,1.5464,1.1638,2018-10-31 01:29:08
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9668,0.8095,0.5297,0.7946,2018-10-31 01:31:50
Dem,65 and older,Bachelors' degree,Unknown,Female,Other,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,1.0931,0.6268,1.067,2018-10-31 01:32:08
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Newport Beach,85 percent or higher,Cell,1,0.97,1.186,0.6501,1.1636,2018-10-31 01:33:11
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.97,0.5932,0.4505,0.5819,2018-10-31 01:36:59
Dem,65 and older,Graduate or Professional Degree,Asian,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Other Non-White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,1.3381,0.8314,1.3127,2018-10-31 01:41:56
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Laguna Beach/South,Less than 50 percent,Cell,1,0.3534,0.8791,1.4972,1.0893,2018-10-31 01:42:41
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9546,0.7729,0.5471,0.7603,2018-10-31 01:44:38
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.6667,0.3352,0.7148,1.3712,0.646,2018-10-31 01:45:05
Und,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Newport Beach,50 to 85 percent,Cell,1,0.8382,1.7846,1.4673,1.8015,2018-10-31 01:45:23
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Postgraduate Degree,Other Non-White,Costa Mesa/North,85 percent or higher,Landline,1,0.9598,0.7897,0.5832,0.7713,2018-10-31 01:47:29
Rep,65 and older,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,Nonwhite,65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,1.211,0.9541,1.188,2018-10-31 01:48:10
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9187,0.966,0.4878,0.9333,2018-10-31 01:51:32
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.2519,0.8585,1.8797,0.9661,2018-10-31 01:55:31
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.97,0.6211,0.3796,0.6062,2018-10-31 01:57:50
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Newport Beach,85 percent or higher,Landline,1,0.8727,0.7446,0.5312,0.7349,2018-10-31 02:01:26
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Newport Beach,85 percent or higher,Cell,1,0.97,1.7041,1.238,1.6718,2018-10-31 02:04:53
Rep,35 to 49,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,35 to 49,No 4-year College Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,1.2692,1.0623,1.2297,2018-10-31 02:06:50
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Don't know,30 to 44,Some College Educ.,Republican,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0,0.1447,1.1269,5.4909,0.2327,2018-10-31 02:06:59
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.3678,0.9446,2.2775,1.0893,2018-10-31 02:08:02
Dem,50 to 64,Graduate or Professional Degree,White,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Costa Mesa/North,50 to 85 percent,Cell,0.8889,0.698,0.8222,0.6892,0.823,2018-10-31 02:13:26
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8072,0.7338,0.5894,0.7322,2018-10-31 02:16:22
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,Postgraduate Degree,Other Non-White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9688,0.9373,0.631,0.9197,2018-10-31 02:16:31
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.8869,0.6993,0.55,0.6758,2018-10-31 02:18:01
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,Hispanic,Newport Beach,Less than 50 percent,Cell,1,0.3556,1.1528,1.3489,1.2278,2018-10-31 02:18:37
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Laguna Beach/South,50 to 85 percent,Cell,1,0.8456,0.9084,0.9321,0.9004,2018-10-31 02:30:15
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,35 to 49,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.97,0.5862,0.3997,0.5751,2018-10-31 02:30:28
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.1494,1.2134,6.058,1.4995,2018-10-31 02:31:09
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.923,0.5506,0.3648,0.5451,2018-10-31 02:33:33
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,or as a member of another political party,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Costa Mesa/North,50 to 85 percent,Cell,1,0.7543,1.0126,0.8042,1.0454,2018-10-31 02:42:33
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,Hispanic,Approve,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.9334,0.5197,0.3459,0.5134,2018-10-31 02:46:15
Rep,50 to 64,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Costa Mesa/North,Less than 50 percent,Cell,1,0.4054,0.8311,1.1248,0.8686,2018-10-31 02:49:09
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8494,0.8144,0.579,0.8198,2018-10-31 02:49:45
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.97,0.8577,0.6406,0.8414,2018-10-31 02:50:03
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,1.3146,0.7597,1.2737,2018-10-31 02:51:48
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9692,1.344,0.987,1.312,2018-10-31 02:52:00
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,50 to 85 percent,Landline,1,0.8322,1.5156,1.2989,1.5323,2018-10-31 02:53:39
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Newport Beach,85 percent or higher,Landline,1,0.97,1.1697,0.6885,1.1418,2018-10-31 02:54:33
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9591,1.4667,1.054,1.4417,2018-10-31 02:56:30
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.9691,0.5932,0.451,0.582,2018-10-31 03:00:19
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.6045,0.7338,0.7871,0.7679,2018-10-31 03:01:45
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Newport Beach,85 percent or higher,Cell,1,0.97,1.5354,1.1978,1.5063,2018-10-31 03:04:40
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Costa Mesa/North,50 to 85 percent,Cell,1,0.7136,0.959,0.8568,1.0022,2018-10-31 03:06:19
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Newport Beach,85 percent or higher,Landline,1,0.97,0.5383,0.3993,0.5254,2018-10-31 03:13:53
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.8529,0.6211,0.4317,0.6149,2018-10-31 03:23:21
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Newport Beach,50 to 85 percent,Cell,1,0.547,1.0748,1.2035,1.1938,2018-10-31 03:27:33
Rep,50 to 64,Graduate or Professional Degree,Other,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Already voted,or as a member of another political party,[DO NOT READ] Don't know/Refused,50 to 64,Postgraduate Degree,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.8562,0.8997,0.5822,0.9043,2018-10-31 03:29:59
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.0732,0.8939,2.9957,1.5081,2018-10-31 03:31:20
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.5906,1.2883,1.4432,1.2841,2018-10-31 03:31:38
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.6346,0.6304,0.629,0.6764,2018-10-31 03:32:50
Rep,35 to 49,High school,Hispanic,Male,Hispanic,Don't know,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Costa Mesa/North,50 to 85 percent,Cell,0.8889,0.8015,1.2181,1.0833,1.1611,2018-10-31 03:34:11
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.9419,0.4497,0.3494,0.4435,2018-10-31 03:37:56
Dem,65 and older,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,4-year College Grad.,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.97,1.4588,0.9037,1.4312,2018-10-31 03:44:14
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9452,0.8704,0.4588,0.8578,2018-10-31 03:48:58
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.97,0.6073,0.4029,0.5958,2018-10-31 03:49:16
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9137,0.9934,0.6423,0.9598,2018-10-31 03:51:49
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8405,0.8089,0.5585,0.8025,2018-10-31 03:52:25
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,1.344,0.9862,1.3186,2018-10-31 03:53:37
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,0.6681,0.4153,0.6522,2018-10-31 03:55:43
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.8536,0.8714,0.5687,0.8626,2018-10-31 03:58:07
Rep,50 to 64,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,50 to 64,No 4-year College Degree,White,Laguna Beach/South,85 percent or higher,Cell,1,0.9187,1.2494,0.9516,1.2071,2018-10-31 04:02:18
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Newport Beach,85 percent or higher,Cell,1,0.8848,0.7446,0.5239,0.7336,2018-10-31 04:02:18
