response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_party_model,file_race_white,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,18 to 34,Unknown,White,50 to 85 percent,Cell,0.8889,0.6786,0.856,1.0733,0.9012,2018-09-10 20:24:48
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,disagree,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9846,1.1613,0.8733,1.1877,2018-09-10 20:22:42
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,35 to 49,Probably Clinton,White,85 percent or higher,Landline,1,0.9381,1.0121,0.772,1.0381,2018-09-10 20:24:21
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,agree,yes,agree,agree,45 to 64,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,50 to 64,Probably Clinton,White,50 to 85 percent,Landline,1,0.7019,0.7442,0.853,0.6991,2018-09-10 20:31:24
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,no,agree,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,Unknown,White,85 percent or higher,Landline,1,0.9671,0.7277,0.517,0.7446,2018-09-10 20:30:21
Rep,18 to 34,High school,Hispanic,Female,Hispanic,Approve,support,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,18 to 29,High School Grad. or Less,Other,Female,Not very likely,Republican,Nonwhite,Nonwhite,Rest,18 to 34,Unknown,Non-White,50 to 85 percent,Cell,0.2222,0.6027,0.7523,1.0645,0.3916,2018-09-10 20:31:24
Dem,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Unfavorable,agree,no,agree,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,Probably Trump,White,50 to 85 percent,Cell,1,0.7859,0.8274,0.8661,0.8688,2018-09-10 20:23:09
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9967,1.0716,0.6695,1.0971,2018-09-10 20:31:42
Rep,50 to 64,High school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,no,agree,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,50 to 64,Unknown,White,85 percent or higher,Landline,1,0.9432,1.4139,1.3159,1.4495,2018-09-10 20:23:09
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,agree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,35 to 49,Unknown,Unknown,85 percent or higher,Cell,1,0.9172,1.0688,0.8337,1.0989,2018-09-10 20:26:18
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Minn. Exurbs,35 to 49,Probably Trump,White,50 to 85 percent,Cell,1,0.7052,0.845,0.74,0.9027,2018-09-10 20:24:48
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,50 to 64,Probably Clinton,White,85 percent or higher,Landline,1,0.8584,0.9795,1.0305,1.0154,2018-09-10 20:26:27
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Cell,1,0.9697,0.9254,0.6577,0.9467,2018-09-10 20:31:15
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9869,0.6997,0.4475,0.7126,2018-09-10 20:26:27
Rep,65 and older,High school,Unknown,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,Unknown,85 percent or higher,Landline,1,0.8813,1.2898,1.1661,1.3065,2018-09-10 20:23:36
Dem,65 and older,Graduate or Professional Degree,White,Female,Other,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,yes,disagree,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Cell,1,0.9789,0.7131,0.5145,0.7293,2018-09-10 20:23:36
Dem,50 to 64,High school,White,Male,White,Disapp.,support,agree,Don't know,Favorable,Don't know,disagree,yes,Don't know,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,Unknown,White,50 to 85 percent,Cell,1,0.786,0.927,0.9727,0.9733,2018-09-10 20:21:39
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,yes,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Iron Range,18 to 34,Probably Clinton,White,85 percent or higher,Cell,1,0.889,0.9925,0.7879,1.0243,2018-09-10 20:25:51
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,support,agree,Reps. keep House,Favorable,Don't know,agree,yes,agree,agree,65 and older,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.9252,0.8628,0.6092,0.8738,2018-09-10 20:24:30
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,agree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9869,0.953,0.8391,0.9746,2018-09-10 20:27:48
Dem,65 and older,High school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,no,agree,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9736,1.6288,1.3008,1.6661,2018-09-10 20:18:48
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,agree,yes,agree,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Unknown,White,50 to 85 percent,Cell,1,0.7197,0.8429,0.873,0.8974,2018-09-10 20:19:51
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9923,0.9421,0.8153,0.9638,2018-09-10 20:30:57
Und,65 and older,Some college or trade school,White,Female,White,Don't know,support,disagree,Don't know,Don't know,Don't know,disagree,no,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9945,1.1954,0.9552,1.2233,2018-09-10 20:28:06
Dem,50 to 64,Grade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,yes,disagree,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,50 to 64,Probably Trump,White,85 percent or higher,Cell,0.7778,0.8941,2.1,1.7356,2.1251,2018-09-10 20:27:12
Und,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,Don't know,no,disagree,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9925,0.9153,0.7378,0.9364,2018-09-10 20:27:21
Rep,65 and older,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9968,0.9421,0.8116,0.9645,2018-09-10 20:17:27
Dem,65 and older,Graduate or Professional Degree,White,Female,Black,Disapp.,support,disagree,Dems. take House,Favorable,Don't know,disagree,yes,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.9843,0.7202,0.4958,0.7365,2018-09-10 20:21:57
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,no,disagree,disagree,18 to 29,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 34,Probably Trump,White,50 to 85 percent,Cell,0.3333,0.5204,0.8745,1.3881,0.4611,2018-09-10 20:31:24
Rep,35 to 49,Graduate or Professional Degree,White,Female,Other,Disapp.,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,Nonwhite,Nonwhite,Rest,35 to 49,Probably Trump,White,85 percent or higher,Cell,1,0.8732,0.8149,0.7005,0.8256,2018-09-10 20:19:24
Rep,65 and older,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Landline,1,0.9136,0.9757,0.8422,1.0036,2018-09-10 20:24:21
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Don't know,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9821,0.7202,0.4969,0.7365,2018-09-10 20:31:06
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,Don't know,no,agree,disagree,18 to 29,Some College Educ.,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,Unknown,Unknown,Less than 50 percent,Cell,0.2222,0.4214,0.7317,1.458,0.3241,2018-09-10 20:28:15
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,oppose,disagree,Dems. take House,Unfavorable,Unfavorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9771,1.0778,0.8599,1.1023,2018-09-10 20:28:42
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,50 to 64,Unknown,Unknown,85 percent or higher,Landline,1,0.9836,1.0522,0.8537,1.0708,2018-09-10 20:30:39
Und,65 and older,Some college or trade school,White,Male,White,Don't know,support,agree,Don't know,Don't know,Don't know,disagree,no,agree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Landline,0.1111,0.9238,0.9757,0.833,0.9152,2018-09-10 20:26:36
Rep,50 to 64,High school,White,Male,White,Approve,Don't know,agree,Reps. keep House,Don't know,Don't know,agree,yes,agree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,50 to 64,Most Trump,White,50 to 85 percent,Cell,1,0.8039,1.563,1.3843,1.6356,2018-09-10 20:29:09
Rep,65 and older,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Cell,1,0.9235,0.9757,0.8332,1.0024,2018-09-10 20:19:06
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Unfavorable,agree,no,agree,disagree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,Most Trump,White,50 to 85 percent,Cell,1,0.8149,1.1453,1.0833,1.1637,2018-09-10 20:20:36
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,yes,disagree,disagree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,Unknown,Unknown,50 to 85 percent,Landline,0.5556,0.5424,0.71,1.0535,0.5286,2018-09-10 20:30:57
Und,65 and older,Some college or trade school,White,Female,White,Don't know,support,disagree,Don't know,Don't know,Don't know,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9846,1.1481,0.9893,1.1742,2018-09-10 20:24:39
Und,50 to 64,Grade school,Asian,Female,Asian,Disapp.,Don't know,disagree,Don't know,Don't know,Don't know,agree,no,disagree,agree,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,or as a member of another political party,Nonwhite,Nonwhite,Minn. Exurbs,50 to 64,Unknown,Non-White,50 to 85 percent,Cell,1,0.5002,0.8574,1.1754,0.795,2018-09-10 20:27:57
Dem,18 to 34,Some college or trade school,White,Male,Other,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,disagree,no,agree,disagree,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,Iron Range,18 to 34,Unknown,White,85 percent or higher,Cell,1,0.9087,1.0945,1.0719,1.1082,2018-09-10 20:31:42
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,agree,no,agree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9904,0.8383,0.5151,0.8575,2018-09-10 20:24:12
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,support,Don't know,Dems. take House,Favorable,Unfavorable,agree,no,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9596,0.9259,0.7811,0.9478,2018-09-10 20:26:36
Und,35 to 49,High school,White,Female,White,Approve,support,disagree,Don't know,Don't know,Don't know,agree,no,agree,agree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Minn. Exurbs,35 to 49,Probably Trump,White,Less than 50 percent,Cell,0,0.398,1.5475,3.2643,0.4294,2018-09-10 20:17:09
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,disagree,yes,disagree,disagree,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Iron Range,50 to 64,Probably Clinton,White,85 percent or higher,Landline,0.7778,0.8874,0.9795,0.9968,0.9149,2018-09-10 20:29:00
Und,35 to 49,Some college or trade school,Unknown,Female,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,Probably Trump,Unknown,Less than 50 percent,Cell,1,0.4222,0.8685,1.8241,0.9458,2018-09-10 20:17:09
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,yes,disagree,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9775,0.8446,0.5814,0.8638,2018-09-10 20:22:15
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Don't know,agree,yes,agree,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Minn. Exurbs,35 to 49,Most Trump,White,85 percent or higher,Cell,1,0.9475,1.3507,0.9014,1.3842,2018-09-10 20:26:45
Dem,65 and older,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,disagree,no,agree,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9966,1.3757,1.166,1.4083,2018-09-10 20:22:33
Dem,50 to 64,High school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,50 to 64,Unknown,White,85 percent or higher,Landline,1,0.8618,1.3737,1.3036,1.4234,2018-09-10 20:26:36
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Don't know,Unfavorable,Unfavorable,agree,no,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,Rest,35 to 49,Probably Trump,White,85 percent or higher,Landline,0,0.9322,0.9763,0.7578,0.6561,2018-09-10 20:29:36
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,Unknown,Unknown,85 percent or higher,Cell,1,0.9795,0.6609,0.4442,0.676,2018-09-10 20:20:09
Dem,65 and older,Grade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,agree,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,50 to 85 percent,Landline,1,0.7006,1.0679,1.1134,1.1419,2018-09-10 20:27:03
Dem,35 to 49,High school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,agree,disagree,30 to 44,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,35 to 49,Unknown,White,85 percent or higher,Cell,1,0.9603,1.5122,1.3729,1.5341,2018-09-10 20:23:09
Dem,65 and older,High school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,agree,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9208,1.3654,1.133,1.4032,2018-09-10 20:24:21
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Iron Range,35 to 49,Unknown,White,50 to 85 percent,Cell,1,0.7787,0.6061,0.536,0.6373,2018-09-10 20:19:24
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,Don't know,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,50 to 64,Unknown,White,85 percent or higher,Landline,1,0.9709,0.8681,0.6252,0.8881,2018-09-10 20:21:39
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,65 and older,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,50 to 85 percent,Landline,1,0.8381,0.7313,0.6479,0.7421,2018-09-10 20:30:30
Dem,65 and older,High school,White,Female,White,Don't know,support,agree,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9762,1.3757,1.1904,1.407,2018-09-10 20:25:15
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,yes,agree,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,50 to 64,Unknown,Unknown,85 percent or higher,Landline,1,0.9407,1.1832,0.7193,1.2133,2018-09-10 20:31:42
Rep,18 to 34,Bachelors' degree,White,Male,White,Disapp.,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Rest,18 to 34,Most Trump,White,85 percent or higher,Cell,0.8889,0.8634,1.046,0.8328,1.072,2018-09-10 20:21:39
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,agree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,50 to 64,Unknown,White,85 percent or higher,Landline,1,0.9938,0.7246,0.5288,0.7414,2018-09-10 20:26:00
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,35 to 49,Probably Trump,White,85 percent or higher,Cell,1,0.9906,0.9763,0.7132,0.9987,2018-09-10 20:20:18
Dem,50 to 64,High school,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,Don't know,yes,disagree,disagree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,Probably Trump,White,85 percent or higher,Landline,0.8889,0.9372,1.4445,1.3137,1.4519,2018-09-10 20:26:00
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,no,agree,agree,65 and older,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9058,1.0293,0.7554,1.0423,2018-09-10 20:23:18
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,18 to 34,Unknown,White,Less than 50 percent,Cell,1,0.3205,0.6734,1.9733,0.7637,2018-09-10 20:19:24
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.9933,0.8383,0.5136,0.8577,2018-09-10 20:22:33
Und,65 and older,High school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.8718,1.4054,1.3221,1.454,2018-09-10 20:17:45
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,50 to 64,Probably Clinton,Unknown,50 to 85 percent,Landline,1,0.7529,1.0747,1.0819,1.1359,2018-09-10 20:20:54
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.9408,1.0028,0.8736,1.0283,2018-09-10 20:27:30
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,no,agree,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9904,0.9153,0.7393,0.9362,2018-09-10 20:31:33
Dem,65 and older,High school,White,Male,White,Don't know,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9887,1.3365,1.0638,1.367,2018-09-10 20:23:18
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,yes,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.8577,1.0322,1.0587,1.0702,2018-09-10 20:30:12
