response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,support,Approve,Don't know,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Non-White,Rest,85 percent or higher,Cell,1,0.9136,0.9882,0.7843,0.9976
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Kane,85 percent or higher,Landline,1,0.9637,0.735,0.3389,0.7499
Dem,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,support,Disapp.,Check,Don't know,Don't know,Don't know,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Kane,85 percent or higher,Landline,1,0.9843,1.3042,0.4983,1.3296
Rep,65 and older,Some college or trade school,Unknown,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Kane,85 percent or higher,Landline,1,0.9169,0.8848,0.6203,0.9069
Dem,50 to 64,Some college or trade school,White,Female,Hispanic,oppose,Disapp.,Check,Don't know,Don't know,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9757,0.9635,0.6544,0.9824
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,White,Kane,85 percent or higher,Cell,1,0.9857,0.8808,0.3713,0.894
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Will/DuPage/Lake,85 percent or higher,Landline,1,0.9465,0.691,0.284,0.706
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,support,Approve,Support,oppose,Reps. keep House,Don't know,Unfavorable,Do not believe,Don't know,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Rest,50 to 85 percent,Cell,1,0.7231,1.0006,1.0232,1.022
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest,Less than 50 percent,Cell,0.7778,0.3956,0.9328,1.2745,1.0189
Und,50 to 64,Some college or trade school,White,Female,White,support,Approve,Don't know,oppose,Reps. keep House,Don't know,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9542,1.0466,0.7363,1.0215
Dem,50 to 64,High school,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9717,1.3923,1.0602,1.4199
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Cell,0.8889,0.9797,0.9635,0.6517,0.9732
Rep,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Don't know,Reps. keep House,Unfavorable,Don't know,Believe,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Kane,Less than 50 percent,Cell,1,0.4117,1.1093,1.2749,1.2087
Und,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Will/DuPage/Lake,Less than 50 percent,Cell,0.3333,0.0718,0.7928,2.8061,0.3201
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.9709,0.9285,0.5325,0.9469
Dem,18 to 34,Bachelors' degree,White,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,White,Kane,Less than 50 percent,Cell,0.5556,0.0778,1.3888,5.532,0.9518
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9294,0.7938,0.4591,0.8124
Dem,65 and older,Some college or trade school,White,Female,White,support,Disapp.,Check,support,Reps. keep House,Don't know,Don't know,Don't know,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Cell,0.7778,0.6653,0.857,0.7252,0.8329
Dem,35 to 49,Some college or trade school,White,Male,White,Don't know,Disapp.,Check,oppose,Dems. take House,Don't know,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.8851,0.7193,0.499,0.7404
Dem,35 to 49,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Unknown,Kane,Less than 50 percent,Cell,0.6667,0.3874,1.0384,2.0469,0.9746
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,White,support,Approve,Support,oppose,Don't know,Don't know,Don't know,Don't know,disagree,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Kane,85 percent or higher,Landline,1,0.9201,0.6817,0.1314,0.6882
Dem,50 to 64,Bachelors' degree,White,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,White,Kane,85 percent or higher,Cell,1,0.98,1.2166,0.5129,1.2334
Und,35 to 49,Bachelors' degree,White,Female,White,Don't know,Don't know,Support,oppose,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Will/DuPage/Lake,Less than 50 percent,Cell,0.4444,0.3288,1.1217,2.1706,0.5648
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,Less than 50 percent,Cell,0.6667,0.2502,0.7022,1.9065,0.6751
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Rest,50 to 85 percent,Cell,1,0.5911,0.9286,0.8188,1.0195
Und,18 to 34,High school,White,Male,White,oppose,Approve,Support,support,Reps. keep House,Don't know,Don't know,Don't know,agree,18 to 29,High School Grad. or Less,Other,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Rest,Less than 50 percent,Cell,0.1111,0.048,1.4632,10.02,0.3493
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.968,0.9064,0.433,0.9245
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,Kane,85 percent or higher,Cell,1,0.9729,1.0131,0.5434,1.0331
Rep,50 to 64,Some college or trade school,White,Male,White,oppose,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest,Less than 50 percent,Cell,0.7778,0.3493,1.0962,2.0391,1.0979
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Cell,0.4444,0.9476,0.8589,0.3979,0.8293
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Rest,50 to 85 percent,Cell,0.7778,0.8211,0.9781,1.0133,0.9562
Und,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Kane,85 percent or higher,Cell,1,0.9863,0.6681,0.2255,0.6811
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Will/DuPage/Lake,85 percent or higher,Landline,1,0.9857,0.7843,0.5005,0.7996
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Do not believe,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Rest,85 percent or higher,Cell,1,0.9676,0.9437,0.7917,0.9625
Und,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Kane,85 percent or higher,Landline,1,0.9893,0.653,0.2527,0.6659
Rep,65 and older,High school,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Kane,85 percent or higher,Landline,1,0.924,1.0458,0.6906,1.071
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,support,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Will/DuPage/Lake,85 percent or higher,Cell,0.7778,0.989,0.7778,0.3551,0.7861
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Favorable,Don't know,Do not believe,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Kane,Less than 50 percent,Cell,1,0.3886,0.7664,0.896,0.9129
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Don't know,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9893,0.6071,0.2251,0.619
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9754,0.7143,0.447,0.7284
Rep,65 and older,High school,Unknown,Female,White,support,Approve,Support,Don't know,Don't know,Don't know,Don't know,Do not believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Rest,85 percent or higher,Landline,1,0.9766,1.1209,0.9382,1.1429
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown,Will/DuPage/Lake,85 percent or higher,Cell,1,0.8529,1.4538,1.2256,1.5038
Rep,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Reps. keep House,Don't know,Favorable,Believe,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,0.8889,0.6136,0.857,0.7863,0.8622
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Unfavorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Landline,1,0.9217,0.9987,0.6949,1.0082
Dem,50 to 64,High school,White,Female,[DO NOT READ] Don't know/Refused,oppose,Don't know,Check,oppose,Dems. take House,Favorable,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Rest,85 percent or higher,Landline,0.4444,0.9669,1.2818,0.9681,1.2742
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9838,1.1585,0.5614,1.1753
Und,35 to 49,Bachelors' degree,White,Female,White,support,Disapp.,Check,oppose,Reps. keep House,Favorable,Unfavorable,Do not believe,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Kane,50 to 85 percent,Cell,1,0.6031,1.0339,0.7535,1.131
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9739,0.8894,0.3684,0.9069
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Kane,85 percent or higher,Landline,1,0.9904,0.8405,0.3369,0.8571
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Cell,1,0.9776,0.9194,0.5953,0.9374
Und,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,Believe,agree,30 to 44,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Kane,Less than 50 percent,Landline,1,0.0818,0.8804,3.6866,0.5654
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Landline,1,0.9442,0.8694,0.4272,0.8885
Dem,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9668,0.6817,0.4111,0.6898
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Check,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Will/DuPage/Lake,50 to 85 percent,Cell,1,0.8183,0.8291,0.3635,0.8626
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Reps. keep House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Will/DuPage/Lake,50 to 85 percent,Landline,1,0.7362,1.1731,0.6844,1.2405
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Kane,50 to 85 percent,Cell,1,0.7234,1.0577,0.5588,1.1216
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Kane,85 percent or higher,Landline,1,0.991,0.6232,0.23,0.6355
Rep,35 to 49,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Rest,85 percent or higher,Landline,1,0.9723,1.0273,0.9013,1.0476
Und,35 to 49,Bachelors' degree,Unknown,Female,White,Don't know,Disapp.,Check,support,Don't know,Don't know,Unfavorable,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Rest,85 percent or higher,Landline,1,0.9875,1.045,0.6841,1.0655
Dem,65 and older,Some college or trade school,Unknown,Female,White,support,Disapp.,Check,oppose,Don't know,Favorable,Unfavorable,Do not believe,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown,Will/DuPage/Lake,85 percent or higher,Landline,1,0.978,0.8734,0.641,0.8851
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Kane,50 to 85 percent,Landline,1,0.7071,0.9,0.6211,0.958
Rep,35 to 49,High school,Unknown,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Do not believe,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,Unknown,Rest,50 to 85 percent,Cell,1,0.6095,1.4871,2.0292,1.6237
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Kane,Less than 50 percent,Landline,1,0.1692,1.1631,4.7302,1.6717
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Cell,0.2222,0.8677,0.8894,0.4134,0.6321
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,oppose,Don't know,Don't know,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Non-White,Kane,Less than 50 percent,Cell,1,0.3093,1.5995,5.3797,2.0004
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Don't know,Believe,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,18 to 34,White,Kane,50 to 85 percent,Cell,1,0.7545,1.0027,0.8137,1.0563
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.9798,0.6973,0.3608,0.7109
Dem,35 to 49,Bachelors' degree,Other,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Non-White,Will/DuPage/Lake,Less than 50 percent,Cell,1,0.3543,1.352,3.1938,1.5055
Dem,18 to 34,Bachelors' degree,Unknown,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,Unknown,Will/DuPage/Lake,50 to 85 percent,Cell,1,0.8346,1.5069,1.3606,1.5635
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Kane,85 percent or higher,Cell,1,0.9012,0.901,0.3612,0.9254
Dem,18 to 34,Bachelors' degree,White,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Rest,50 to 85 percent,Cell,1,0.8438,1.1761,0.8528,1.2184
Rep,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Support,oppose,Reps. keep House,Don't know,Don't know,Believe,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Will/DuPage/Lake,Less than 50 percent,Cell,1,0.2339,1.1401,4.5224,1.0839
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Don't know,Favorable,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9117,0.9987,0.7025,1.0243
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.9793,0.8787,0.3425,0.8958
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Kane,85 percent or higher,Cell,1,0.9563,1.3042,0.5128,1.3313
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Unknown,Rest,85 percent or higher,Cell,1,0.917,1.4319,0.9471,1.4677
Und,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Kane,85 percent or higher,Cell,1,0.9184,0.9877,0.513,1.0122
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Check,support,Reps. keep House,Don't know,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Will/DuPage/Lake,85 percent or higher,Landline,1,0.8802,0.776,0.545,0.7993
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Kane,50 to 85 percent,Cell,1,0.819,1.29,0.5928,1.3421
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Will/DuPage/Lake,50 to 85 percent,Cell,1,0.7428,1.0695,0.7398,1.09
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Kane,Less than 50 percent,Cell,1,0.3503,1.1021,2.4966,1.3418
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Kane,85 percent or higher,Cell,1,0.9868,0.8405,0.3381,0.8569
