response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,1.1534,0.7228,1.1195,2018-11-01 01:10:29
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9195,1.2451,0.7546,1.208,2018-11-01 01:11:12
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,Unknown,North King County,85 percent or higher,Cell,1,0.97,1.0018,0.5098,0.9723,2018-11-01 01:11:30
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Don't know,Don't know,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,18 to 39,Unknown,South King County,50 to 85 percent,Cell,1,0.8014,0.9467,0.6376,0.9544,2018-11-01 01:11:31
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,50 to 85 percent,Landline,1,0.5029,0.7322,0.587,0.821,2018-11-01 01:11:58
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Don't know,Don't know,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,40 to 64,Non-White,Eastern Wash.,Less than 50 percent,Cell,1,0.3779,0.7406,0.855,0.7734,2018-11-01 01:14:58
Rep,18 to 34,High school,White,Male,White,Disapp.,Don't know,Don't know,Favorable,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,North King County,85 percent or higher,Landline,0.8889,0.938,1.8591,1.7154,1.764,2018-11-01 01:15:35
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Landline,1,0.9584,1.2618,0.5875,1.2272,2018-11-01 01:16:01
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.97,1.3244,1.2146,1.2789,2018-11-01 01:16:38
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Reps. keep House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,Unknown,Eastern Wash.,Less than 50 percent,Cell,1,0.4042,0.7447,0.8163,0.8817,2018-11-01 01:18:17
Rep,[DO NOT READ] Refused,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Don't know,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,18 to 39,Non-White,North King County,50 to 85 percent,Cell,1,0.753,1.2593,0.7735,1.2564,2018-11-01 01:18:52
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Landline,1,0.9288,0.797,0.5076,0.7797,2018-11-01 01:19:20
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.97,1.2451,0.7159,1.2085,2018-11-01 01:20:04
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9691,1.7314,1.4352,1.6807,2018-11-01 01:26:31
Rep,35 to 49,Some college or trade school,Other,Male,White,Don't know,Don't know,Favorable,Favorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Republican,"White, No 4-Year College Degree",White,18 to 39,Non-White,South King County,85 percent or higher,Cell,1,0.9646,1.0601,0.7031,1.0299,2018-11-01 01:28:10
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,South King County,85 percent or higher,Landline,1,0.9567,1.1744,0.7217,1.1426,2018-11-01 01:29:40
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9491,1.3142,0.7742,1.2803,2018-11-01 01:31:10
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.8672,0.9246,0.6532,0.9169,2018-11-01 01:31:55
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.97,0.6295,0.4634,0.611,2018-11-01 01:32:22
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.97,0.6679,0.2387,0.6482,2018-11-01 01:32:59
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Cell,1,0.8812,0.7272,0.3291,0.7188,2018-11-01 01:33:17
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Landline,1,0.97,1.2606,0.6089,1.2235,2018-11-01 01:40:47
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.8661,0.6789,0.5376,0.6636,2018-11-01 01:41:14
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.97,1.04,0.5369,1.0094,2018-11-01 01:44:05
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Landline,1,0.8122,0.7032,0.3342,0.707,2018-11-01 01:46:39
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Pierce,Less than 50 percent,Landline,1,0.2726,0.8203,2.4796,0.9989,2018-11-01 01:47:15
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,Pierce,Less than 50 percent,Landline,1,0.364,0.9654,1.5811,1.1742,2018-11-01 01:51:54
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Republican,Nonwhite,Nonwhite,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.97,0.7272,0.3001,0.7058,2018-11-01 01:52:39
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,65 and older,Non-White,South King County,85 percent or higher,Cell,1,0.9216,1.4158,0.833,1.3533,2018-11-01 01:54:45
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Eastern Wash.,85 percent or higher,Landline,1,0.97,0.4378,0.1782,0.4228,2018-11-01 01:55:48
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.9446,0.9981,0.5949,0.9732,2018-11-01 01:56:42
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,North King County,50 to 85 percent,Cell,1,0.5431,1.2075,1.3794,1.202,2018-11-01 01:58:03
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,0.9424,0.5234,0.9033,2018-11-01 01:59:33
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.97,1.0631,0.4888,1.0318,2018-11-01 01:59:33
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Other,Male,Already voted,Republican,"White, 4-Year College Grads",White,18 to 39,White,South King County,50 to 85 percent,Cell,1,0.6441,0.7692,0.7198,0.8137,2018-11-01 02:01:03
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.97,1.1692,0.6937,1.1291,2018-11-01 02:01:03
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.8702,2.4267,2.1228,2.4048,2018-11-01 02:01:24
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,50 to 85 percent,Landline,1,0.5932,0.9343,0.8385,1.0073,2018-11-01 02:02:03
Und,18 to 34,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Eastern Wash.,Less than 50 percent,Landline,1,0.2942,0.5539,1.1085,0.7129,2018-11-01 02:04:27
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,Unknown,South King County,85 percent or higher,Cell,1,0.9589,0.8975,0.6407,0.8728,2018-11-01 02:04:48
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,Unknown,South King County,50 to 85 percent,Cell,1,0.8345,1.2753,0.8867,1.2748,2018-11-01 02:05:15
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,18 to 39,White,Eastern Wash.,Less than 50 percent,Cell,1,0.223,0.5539,1.4591,0.7063,2018-11-01 02:05:32
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,Unknown,Pierce,85 percent or higher,Cell,1,0.8513,0.6404,0.5437,0.6375,2018-11-01 02:08:45
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9581,0.6295,0.469,0.6123,2018-11-01 02:09:06
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,South King County,85 percent or higher,Cell,1,0.8808,0.8739,0.5537,0.8522,2018-11-01 02:09:33
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.97,0.8159,0.4279,0.7919,2018-11-01 02:09:42
Dem,18 to 34,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,18 to 39,Unknown,South King County,50 to 85 percent,Landline,1,0.7526,1.0308,0.8585,1.0533,2018-11-01 02:13:09
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,South King County,Less than 50 percent,Cell,1,0.4783,1.353,1.6024,1.5359,2018-11-01 02:13:45
Dem,50 to 64,High school,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,Non-White,South King County,85 percent or higher,Cell,1,0.97,2.2743,1.9489,2.2073,2018-11-01 02:14:48
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,50 to 85 percent,Cell,1,0.832,1.1154,0.7879,1.1156,2018-11-01 02:15:26
Und,18 to 34,High school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Already voted,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 39,White,North King County,85 percent or higher,Landline,1,0.9552,2.2536,1.9142,2.193,2018-11-01 02:15:33
Und,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South King County,50 to 85 percent,Cell,1,0.7871,1.3264,1.0574,1.3143,2018-11-01 02:18:31
Rep,18 to 34,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,18 to 39,White,Eastern Wash.,50 to 85 percent,Landline,1,0.5502,0.6652,0.5136,0.73,2018-11-01 02:24:49
Und,65 and older,Some college or trade school,White,Female,Hispanic,Don't know,Don't know,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,65 and older,White,South King County,85 percent or higher,Landline,1,0.97,1.1545,0.6891,1.1205,2018-11-01 02:26:15
Und,65 and older,Some college or trade school,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9621,0.5999,0.2674,0.5831,2018-11-01 02:26:41
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.9162,0.7533,0.4432,0.7311,2018-11-01 02:27:17
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9593,0.7631,0.5311,0.742,2018-11-01 02:28:16
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,40 to 64,White,South King County,Less than 50 percent,Cell,1,0.2541,1.034,2.6699,1.2794,2018-11-01 02:28:39
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,50 to 85 percent,Landline,1,0.6159,1.3391,0.9875,1.4312,2018-11-01 02:29:23
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,18 to 39,White,South King County,85 percent or higher,Landline,1,0.8847,0.7939,0.5268,0.7841,2018-11-01 02:30:53
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Landline,1,0.9394,1.0409,0.5283,1.0161,2018-11-01 02:32:14
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,North King County,50 to 85 percent,Landline,1,0.771,2.1792,2.2185,2.2152,2018-11-01 02:36:08
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,South King County,Less than 50 percent,Landline,1,0.1073,0.9394,4.3104,1.6092,2018-11-01 02:39:24
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9637,0.7272,0.302,0.7066,2018-11-01 02:42:33
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.97,0.8151,0.4487,0.7871,2018-11-01 02:44:21
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9439,1.2215,0.8227,1.1819,2018-11-01 02:44:21
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 39,White,Pierce,85 percent or higher,Landline,1,0.9421,0.6932,0.5165,0.663,2018-11-01 02:48:29
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South King County,Less than 50 percent,Landline,0.4444,0.1084,1.2655,6.2697,0.7206,2018-11-01 02:49:07
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,Less than 50 percent,Landline,1,0.2952,1.1884,3.0917,1.528,2018-11-01 02:54:13
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,Eastern Wash.,50 to 85 percent,Landline,1,0.5857,1.1535,1.171,1.201,2018-11-01 02:54:38
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.97,0.9524,0.6073,0.9244,2018-11-01 02:55:25
Und,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.97,1.04,0.5369,1.0043,2018-11-01 02:57:56
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,North King County,85 percent or higher,Cell,1,0.927,1.1236,0.6803,1.0995,2018-11-01 02:58:07
Rep,35 to 49,High school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,North King County,Less than 50 percent,Landline,0.6667,0.1888,2.7216,9.54,2.952,2018-11-01 02:59:55
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,Nonwhite,Nonwhite,40 to 64,Non-White,North King County,85 percent or higher,Cell,1,0.9534,0.9238,0.4893,0.8993,2018-11-01 03:00:58
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,Unknown,Pierce,Less than 50 percent,Landline,1,0.0944,0.9185,4.8697,1.6327,2018-11-01 03:01:43
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9074,0.8074,0.6514,0.7934,2018-11-01 03:16:54
Dem,50 to 64,Bachelors' degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,Unknown,North King County,50 to 85 percent,Landline,1,0.6017,1.2401,0.9436,1.3326,2018-11-01 03:18:20
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9662,0.823,0.5478,0.7993,2018-11-01 03:23:40
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.97,0.8799,0.4444,0.854,2018-11-01 03:26:40
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9371,0.5258,0.3174,0.5135,2018-11-01 03:27:33
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.936,0.8755,0.557,0.8552,2018-11-01 03:27:51
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,85 percent or higher,Landline,1,0.9384,0.6246,0.3012,0.6098,2018-11-01 03:29:31
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.97,1.0409,0.512,1.0103,2018-11-01 03:29:58
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Cell,1,0.97,0.5563,0.2556,0.5399,2018-11-01 03:31:37
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,40 to 64,Unknown,South King County,85 percent or higher,Cell,1,0.8628,1.0776,0.6622,1.0309,2018-11-01 03:41:06
