response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,18 to 34,Some college or trade school,White,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Democrat,Nonwhite,Bexar,18 to 34,White,Less than 50 percent,Cell,0.6667,0.1185,2.2053,9.9,1.6103
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,85 percent or higher,Landline,1,0.9175,0.6604,0.266,0.6608
Rep,35 to 49,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Rep. Rio Grande,35 to 49,White,50 to 85 percent,Cell,1,0.6171,0.9846,0.6658,1.0472
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,50 to 85 percent,Cell,1,0.799,1.0079,0.3086,1.0275
Dem,65 and older,Some college or trade school,White,Female,Other,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Bexar,50 to 64,White,85 percent or higher,Landline,1,0.884,0.9068,0.2898,0.9114
Dem,65 and older,Bachelors' degree,Hispanic,Female,White,Disapp.,Approve,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Bexar,65 and older,Hispanic,85 percent or higher,Landline,1,0.9348,0.9643,0.2357,0.9507
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Don't know,Don't know,agree,agree,disagree,Dems. take House,Don't know,Unfavorable,Oppose,Oppose,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Dem. Rio Grande,50 to 64,Hispanic,Less than 50 percent,Cell,0.6667,0.2006,0.5243,0.5312,0.3773
Und,50 to 64,High school,White,Female,White,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Don't know,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",Bexar,50 to 64,White,Less than 50 percent,Cell,0,0.3528,2.195,4.6049,0.5646
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Approve,Don't know,agree,agree,Dems. take House,Favorable,Favorable,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,85 percent or higher,Landline,1,0.9329,0.7156,0.2351,0.7055
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Approve,disagree,agree,disagree,Dems. take House,Favorable,Favorable,Oppose,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9187,0.4417,0.1387,0.4353
Und,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Beto O'Rourke,65 and older,Some College Educ.,Other,Female,Not at all likely,[DO NOT READ] Refused,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,Less than 50 percent,Landline,1,0.2669,1.0344,1.3468,0.6507
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.977,0.4166,0.1099,0.4121
Und,50 to 64,Bachelors' degree,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,agree,agree,agree,Don't know,Favorable,Favorable,Support,Support,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Bexar,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.9741,0.5938,0.1961,0.5912
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Unfavorable,Don't know,Support,Oppose,Ted Cruz,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,50 to 64,Hispanic,50 to 85 percent,Cell,1,0.818,1.3036,0.4463,1.3244
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.9539,0.6571,0.2256,0.655
Dem,50 to 64,High school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,Beto O'Rourke,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,85 percent or higher,Landline,1,0.9605,1.0716,0.6599,1.0676
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,Support,Beto O'Rourke,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Rep. Rio Grande,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.4787,1.9555,4.1473,2.1807
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9888,0.8177,0.1691,0.814
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",Bexar,18 to 34,White,Less than 50 percent,Cell,0.8889,0.4426,1.3542,1.6537,1.3658
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,Hispanic,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Bexar,65 and older,Unknown,85 percent or higher,Landline,1,0.9778,0.5384,0.1203,0.536
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,50 to 64,Unknown,85 percent or higher,Landline,1,0.961,0.451,0.1197,0.4493
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Support,Ted Cruz,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Dem. Rio Grande,35 to 49,White,50 to 85 percent,Landline,1,0.5584,0.6595,0.3098,0.7143
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Dem. Rio Grande,50 to 64,White,85 percent or higher,Cell,1,0.9696,0.4867,0.1348,0.4846
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Oppose,Support,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.973,0.6366,0.171,0.6338
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,35 to 49,White,85 percent or higher,Cell,1,0.9174,0.6867,0.3557,0.6768
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,Ted Cruz,18 to 29,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,18 to 34,White,50 to 85 percent,Cell,0.6667,0.6654,1.2712,1.0642,0.9615
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,50 to 85 percent,Cell,0.6667,0.6332,0.7513,0.2959,0.6879
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Dem. Rio Grande,50 to 64,White,50 to 85 percent,Cell,1,0.6652,0.5393,0.1676,0.5662
Rep,35 to 49,Bachelors' degree,Unknown,Female,Black,Disapp.,Approve,agree,agree,agree,Reps. keep House,Don't know,Favorable,Support,Support,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Female,Very likely,Republican,Nonwhite,Bexar,35 to 49,Unknown,Less than 50 percent,Cell,1,0.289,1.2039,1.7353,1.351
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Rep. Rio Grande,50 to 64,White,50 to 85 percent,Cell,1,0.6779,0.4639,0.1502,0.4855
Dem,65 and older,High school,Hispanic,Female,Hispanic,Don't know,Don't know,disagree,Don't know,agree,Dems. take House,Favorable,Don't know,Oppose,Don't know,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,65 and older,Hispanic,Less than 50 percent,Cell,1,0.4068,2.4805,2.689,2.8576
Dem,35 to 49,Bachelors' degree,Other,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Rep. Rio Grande,35 to 49,Other Non-White,85 percent or higher,Cell,0.4444,0.9725,0.5289,0.2982,0.5078
Dem,50 to 64,Some college or trade school,White,Female,Other,Disapp.,Approve,agree,agree,agree,Dems. take House,Unfavorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Republican,Female,Very likely,Democrat,Nonwhite,Rep. Rio Grande,50 to 64,White,50 to 85 percent,Landline,0.8889,0.6095,0.7318,0.3505,0.7191
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9547,0.5747,0.1771,0.5728
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Bexar,50 to 64,Hispanic,50 to 85 percent,Cell,1,0.6972,0.853,0.3064,0.8886
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Don't know,Don't know,agree,agree,disagree,Dems. take House,Don't know,Don't know,Oppose,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,35 to 49,Hispanic,50 to 85 percent,Cell,1,0.807,0.6585,0.2536,0.6703
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,35 to 49,White,Less than 50 percent,Cell,1,0.2035,0.7168,1.5288,0.9627
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9774,0.5516,0.1496,0.5491
Und,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Disapp.,disagree,disagree,disagree,Don't know,Unfavorable,Unfavorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,Rep. Rio Grande,65 and older,Hispanic,85 percent or higher,Landline,1,0.9738,0.8525,0.3443,0.8429
Rep,35 to 49,Bachelors' degree,White,Male,Black,Disapp.,Disapp.,disagree,disagree,agree,Reps. keep House,Unfavorable,Unfavorable,Support,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Bexar,35 to 49,White,Less than 50 percent,Cell,1,0.4127,1.4071,1.3419,1.6163
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,50 to 85 percent,Cell,1,0.6343,0.7555,0.3158,0.7997
Und,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Approve,disagree,Don't know,Don't know,Don't know,Favorable,Favorable,Support,Support,Don't know,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,Unknown,Less than 50 percent,Landline,1,0.492,0.4835,0.2389,0.5363
Dem,50 to 64,[DO NOT READ] Refused,Hispanic,Female,[DO NOT READ] Don't know/Refused,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,Rep. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9661,0.8762,0.645,0.8656
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Approve,Don't know,Don't know,agree,Don't know,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,35 to 49,White,85 percent or higher,Cell,1,0.8682,0.7732,0.3539,0.779
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Favorable,Favorable,Oppose,Support,Ted Cruz,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,35 to 49,White,Less than 50 percent,Cell,1,0.3411,1.0159,1.3243,1.2143
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Approve,Don't know,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Support,Ted Cruz,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Republican,Nonwhite,Dem. Rio Grande,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.4337,2.6479,6.0466,2.7965
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,1,0.8858,0.6967,0.3002,0.7
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Don't know,agree,disagree,agree,Reps. keep House,Favorable,Unfavorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Bexar,35 to 49,Hispanic,50 to 85 percent,Cell,1,0.5846,1.1117,0.7432,1.1939
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9301,0.5747,0.181,0.5742
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",Dem. Rio Grande,35 to 49,White,85 percent or higher,Cell,1,0.956,0.5765,0.2255,0.5745
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,85 percent or higher,Cell,1,0.9466,0.4537,0.1145,0.4526
Und,65 and older,Some college or trade school,White,Male,White,Disapp.,Disapp.,agree,agree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,50 to 85 percent,Cell,1,0.8449,0.7283,0.1661,0.7365
Rep,35 to 49,Bachelors' degree,Asian,Male,Asian,Don't know,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,4-year College Grad.,Republican,Male,Not at all likely,Independent (No party),Nonwhite,Bexar,35 to 49,Other Non-White,85 percent or higher,Cell,0,0.8902,0.8514,0.4902,0.4898
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Don't know,Favorable,Oppose,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,65 and older,Unknown,85 percent or higher,Cell,1,0.9875,0.5384,0.1194,0.536
Rep,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Approve,agree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Ted Cruz,18 to 29,4-year College Grad.,Other,Female,Very likely,Democrat,Nonwhite,Bexar,18 to 34,Hispanic,Less than 50 percent,Cell,1,0.2098,2.3571,7.4748,2.7926
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Democrat,Nonwhite,Bexar,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9185,2.1677,1.8659,2.1687
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,disagree,agree,agree,Don't know,Don't know,Favorable,Don't know,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.89,0.3786,0.1049,0.3732
Rep,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Approve,agree,agree,agree,Dems. take House,Unfavorable,Favorable,Oppose,Oppose,Beto O'Rourke,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,18 to 34,Hispanic,50 to 85 percent,Cell,1,0.5236,1.3846,1.3776,1.5177
Und,35 to 49,Bachelors' degree,Other,Female,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Bexar,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.7891,0.9434,0.499,0.9348
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Bexar,35 to 49,White,85 percent or higher,Cell,1,0.8653,1.0048,0.4928,1.0127
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,50 to 64,White,Less than 50 percent,Cell,1,0.4614,0.7379,0.4339,0.8289
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Don't know,Don't know,disagree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Support,Ted Cruz,30 to 44,Postgraduate Degree,Democratic,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,35 to 49,Unknown,50 to 85 percent,Cell,0.5556,0.6157,0.5012,0.221,0.3746
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Rep. Rio Grande,65 and older,Hispanic,50 to 85 percent,Landline,1,0.7531,1.5825,0.982,1.5731
Rep,65 and older,High school,White,Female,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,50 to 85 percent,Landline,1,0.7439,1.2998,0.7715,1.3397
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Don't know,agree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,50 to 85 percent,Cell,1,0.836,0.5028,0.1164,0.5092
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,50 to 85 percent,Cell,1,0.6478,0.8229,0.317,0.8679
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Beto O'Rourke,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Landline,1,0.9754,0.6095,0.137,0.6028
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9708,0.771,0.2209,0.7677
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,disagree,agree,Don't know,Dems. take House,Don't know,Unfavorable,Don't know,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Dem. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.9447,0.3497,0.082,0.3489
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,50 to 64,White,50 to 85 percent,Cell,1,0.832,0.7513,0.2327,0.7614
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9462,0.3786,0.1005,0.3777
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,50 to 64,White,50 to 85 percent,Cell,1,0.779,0.9762,0.3379,0.999
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,1,0.933,0.6967,0.2866,0.6868
Rep,18 to 34,High school,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Don't know,Oppose,Support,Ted Cruz,65 and older,High School Grad. or Less,Republican,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",Bexar,65 and older,Unknown,85 percent or higher,Cell,1,0.9153,1.5161,0.786,1.4942
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Disapp.,Don't know,Don't know,agree,agree,Dems. take House,Favorable,Don't know,Support,Don't know,Beto O'Rourke,30 to 44,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Dem. Rio Grande,35 to 49,Hispanic,50 to 85 percent,Landline,1,0.7566,1.7959,2.0606,1.5946
