response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.97,0.9305,0.4997,0.9215
Dem,65 and older,High school,Black,Male,Black,Approve,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.8324,0.92490000000000006,0.8995,0.9088
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Unfavorable,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,White,Hamilton,Less than 50 percent,Landline,1,0.3075,1.5561,3.0234,1.8922
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Cell,1,0.5586,1.0001,1.2625,1.0177
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,Non-White,Hamilton,85 percent or higher,Landline,1,0.939,1.1142,0.5181,1.0927
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Don't know,Unfavorable,Don't know,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Cincinnati,85 percent or higher,Cell,1,0.9375,0.8418,0.3613,0.8256
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Hamilton,85 percent or higher,Landline,1,0.97,0.7282,0.25,0.7158
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Cell,0.8889,0.5862,1.1092,0.9452,1.0868
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.97,0.9343,0.4009,0.9253
Und,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Already voted,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,4-year College Grad.,White,Hamilton,85 percent or higher,Cell,1,0.8505,0.9385,0.4714,0.9583
3,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,50 to 85 percent,Cell,1,0.7921,0.9253,0.4388,0.9395
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,Postgraduate Degree,Unknown,Warren,50 to 85 percent,Cell,1,0.5049,0.7089,0.6248,0.8144
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,18 to 39,4-year College Grad.,White,Warren,Less than 50 percent,Cell,1,0.2314,1.3284,3.5751,1.7223
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.9453,0.9524,0.5227,0.945
Dem,50 to 64,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Non-White,Hamilton,85 percent or higher,Cell,1,0.97,0.7389,0.3381,0.7318
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,0.8889,0.9352,1.0382,0.4488,1.0248
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,85 percent or higher,Landline,1,0.9503,0.7459,0.4303,0.7451
Rep,18 to 34,High school,White,Male,Black,Approve,Dems. take House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Male,Very likely,[DO NOT READ] Refused,Nonwhite,18 to 39,No 4-year College Degree,White,Hamilton,Less than 50 percent,Cell,1,0.3389,1.5012,4.7268,1.6341
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Already voted,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Cincinnati,Less than 50 percent,Cell,1,0.2565,1.4485,4.3351,1.9847
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Warren,Less than 50 percent,Landline,1,0.3906,1.1339,1.4728,1.3888
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,1,0.8106,1.017,0.7876,1.029
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Cincinnati,85 percent or higher,Landline,1,0.9699,0.6835,0.3324,0.6803
Dem,65 and older,Graduate or Professional Degree,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Non-White,Hamilton,50 to 85 percent,Cell,1,0.8461,0.7238,0.2982,0.7279
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,50 to 85 percent,Cell,1,0.8123,0.885,0.4496,0.8952
Dem,18 to 34,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,18 to 39,Postgraduate Degree,White,Cincinnati,Less than 50 percent,Cell,1,0.3226,0.9718,2.1246,1.1694
Rep,50 to 64,Graduate or Professional Degree,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,Nonwhite,40 to 64,Postgraduate Degree,White,Hamilton,50 to 85 percent,Cell,1,0.8282,0.8307,0.4453,0.8378
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Warren,85 percent or higher,Landline,1,0.9688,0.7411,0.3747,0.734
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9621,1.0762,0.5017,1.0663
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Don't know,Don't know,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Non-White,Cincinnati,85 percent or higher,Cell,1,0.853,0.6842,0.4649,0.6873
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Cell,1,0.843,1.0001,0.8372,1.0062
Und,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Cell,1,0.7756,1.1233,0.8064,1.1441
Dem,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,Cincinnati,85 percent or higher,Landline,1,0.896,0.6335,0.3391,0.6322
Und,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Already voted,[DO NOT READ] Refused,Nonwhite,65 and older,No 4-year College Degree,White,Cincinnati,Less than 50 percent,Landline,1,0.4591,1.1865,1.4821,1.3952
Rep,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,0.7778,0.7572,1.0367,0.5416,0.9803
Und,50 to 64,Graduate or Professional Degree,Black,Male,Black,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Non-White,Hamilton,50 to 85 percent,Landline,1,0.7145,0.8351,0.5095,0.8617
Dem,50 to 64,High school,White,Female,White,Approve,Dems. take House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Cell,1,0.5753,1.1883,1.8092,1.273
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.8612,1.0558,0.4408,1.0591
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,50 to 85 percent,Cell,1,0.6994,1.1781,0.9086,1.1718
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Cincinnati,85 percent or higher,Cell,1,0.97,0.8088,0.3786,0.801
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Hamilton,85 percent or higher,Cell,1,0.97,0.7252,0.3114,0.7128
Dem,35 to 49,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Non-White,Warren,85 percent or higher,Cell,1,0.9214,1.2486,0.7974,1.242
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cincinnati,85 percent or higher,Landline,1,0.9656,0.9777,0.9418,0.9685
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,1,0.7527,1.0543,0.9754,1.0788
Rep,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,40 to 64,No 4-year College Degree,Unknown,Hamilton,85 percent or higher,Landline,1,0.97,1.0618,0.4525,1.0437
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,50 to 85 percent,Landline,1,0.8208,1.0453,1.0814,1.0556
Dem,18 to 34,High school,Black,Male,Black,Disapp.,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.7575,1.0837,1.4213,1.1078
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0315,0.7596,1.0216
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.9603,0.8449,0.3909,0.8372
Und,18 to 34,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Republican,Male,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 39,No 4-year College Degree,White,Warren,50 to 85 percent,Landline,1,0.8057,1.1814,0.6958,1.2201
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9245,1.0515,0.5119,1.0456
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,50 to 85 percent,Landline,1,0.7757,1.024,1.2284,1.043
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.97,1.0425,0.5897,1.0248
Und,35 to 49,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Non-White,Warren,50 to 85 percent,Cell,1,0.5729,1.0464,0.963,1.1219
Dem,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Cell,1,0.97,0.9602,0.9082,0.9509
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Hamilton,85 percent or higher,Landline,1,0.9349,0.9259,0.3902,0.9079
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Landline,1,0.97,0.9953,0.5278,0.9857
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0693,0.4416,1.0643
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Hamilton,85 percent or higher,Landline,1,0.9221,0.7351,0.36,0.7312
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,85 percent or higher,Cell,1,0.8961,0.7031,0.3892,0.7016
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9419,1.0851,1.1087,1.077
Und,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9073,0.6842,0.4372,0.6337
Dem,50 to 64,Some college or trade school,Black,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,or as a member of another political party,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Hamilton,85 percent or higher,Cell,1,0.8806,1.0957,0.6104,1.0744
Dem,65 and older,Grade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9198,1.0315,0.8009,1.0263
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,1,0.5526,1.0001,1.276,1.1244
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0315,0.7596,1.014
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Cincinnati,Less than 50 percent,Cell,1,0.2523,1.1808,2.5948,1.6252
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.9679,0.7381,0.2754,0.731
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Warren,85 percent or higher,Cell,1,0.9102,0.9396,0.4936,0.921
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,Less than 50 percent,Landline,1,0.2265,1.1255,2.8851,1.4665
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9046,1.0851,0.5832,1.0636
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Hamilton,50 to 85 percent,Cell,1,0.6637,0.6898,0.3426,0.6893
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,Less than 50 percent,Cell,1,0.4807,1.2492,1.5624,1.3844
Und,18 to 34,High school,Unknown,Male,Asian,Don't know,Reps. keep House,Don't know,Don't know,18 to 29,High School Grad. or Less,Other,Male,Very likely,Republican,Nonwhite,18 to 39,No 4-year College Degree,Unknown,Hamilton,Less than 50 percent,Cell,0.4444,0.1004,1.481,9.7055,1.2374
Rep,50 to 64,Graduate or Professional Degree,Asian,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Non-White,Warren,50 to 85 percent,Cell,1,0.6703,0.7488,0.5884,0.7809
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Warren,85 percent or higher,Landline,1,0.9212,1.1982,0.7022,1.192
Dem,50 to 64,High school,White,Female,Black,Don't know,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,0.7778,0.6212,1.1883,1.6758,1.122
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,50 to 85 percent,Cell,1,0.8409,0.885,0.4344,0.8907
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,50 to 85 percent,Landline,1,0.8176,0.7186,0.4251,0.7261
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,50 to 85 percent,Cell,1,0.8098,0.8963,0.5087,0.907
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.97,1.0944,0.8907,1.0839
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Hamilton,50 to 85 percent,Landline,1,0.7159,0.711,0.3162,0.7533
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.97,0.7091,0.2978,0.7023
Dem,50 to 64,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,40 to 64,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.788,0.9428,0.6103,0.958
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.969,1.0944,0.8917,1.0839
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,or as a member of another political party,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,85 percent or higher,Cell,1,0.8957,0.9385,0.4477,0.9483
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Hamilton,50 to 85 percent,Cell,0.8889,0.7303,0.833,0.4452,0.8071
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.947,0.7351,0.3506,0.7347
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.9506,1.0762,0.5077,1.075
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,50 to 85 percent,Landline,1,0.7131,1.0212,1.2205,1.0829
