response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Essex,Less than 50 percent,Landline,1,0.49,1.5395,1.4655,1.7113,2018-10-13 20:21:49
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,1.1589,0.5672,1.1623000000000001,2018-10-13 20:25:52
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.9078,1.0482,0.7944,1.0344,2018-10-13 20:39:02
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Passaic,50 to 85 percent,Cell,1,0.8297,0.9041,0.4641,0.8945,2018-10-13 20:40:41
Dem,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,No 4-year College Degree,Non-White,Passaic,Less than 50 percent,Cell,1,0.4515,1.1437,2.6402,1.2918,2018-10-13 20:41:53
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,No 4-year College Degree,Non-White,Rest,Less than 50 percent,Landline,1,0.11,1.4483,6.7095,1.9381,2018-10-13 20:42:11
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.9452,0.7269,0.3366,0.7261,2018-10-13 20:43:14
Rep,50 to 64,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.8525,1.073,0.5364,1.0604,2018-10-13 20:45:47
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,1.3933,0.7394,1.3895,2018-10-13 20:48:12
Und,50 to 64,Some college or trade school,Black,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Non-White,"Morris, well-educ.",Less than 50 percent,Landline,1,0.2438,1.5151,4.9077,1.9538,2018-10-13 20:50:27
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Rest,50 to 85 percent,Cell,1,0.6275,0.641,0.4876,0.6807,2018-10-13 20:54:57
Und,50 to 64,Bachelors' degree,Unknown,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,50 to 64,4-year College Grad.,Unknown,Passaic,50 to 85 percent,Cell,1,0.6344,1.3114,0.9035,1.3251,2018-10-13 20:56:45
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.9615,0.9895,0.6122,0.987,2018-10-13 20:57:39
Rep,35 to 49,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.965,1.0283,0.6558,1.0255,2018-10-13 20:58:06
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,1,0.5436,0.7581,1.0628,0.8614,2018-10-13 21:01:24
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Essex,85 percent or higher,Cell,1,0.965,0.9521,0.4173,0.9549,2018-10-13 21:02:22
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Essex,Less than 50 percent,Cell,1,0.2483,1.3334,2.4439,1.7123,2018-10-13 21:03:07
Dem,35 to 49,Bachelors' degree,Other,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,4-year College Grad.,Non-White,Passaic,50 to 85 percent,Cell,1,0.8089,1.2137,0.9478,1.2365,2018-10-13 21:07:10
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Landline,1,0.7023,1.3153,0.8862,1.4089,2018-10-13 21:10:10
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Rest,Less than 50 percent,Cell,0,0.1883,1.2236,3.8894,0.349,2018-10-13 21:15:07
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Passaic,50 to 85 percent,Cell,0.7778,0.7992,0.7922,0.5404,0.7558,2018-10-13 21:15:25
Dem,35 to 49,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,4-year College Grad.,Non-White,Passaic,Less than 50 percent,Cell,1,0.4765,1.3931,1.9229,1.4549,2018-10-13 21:18:25
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,"Morris, well-educ.",Less than 50 percent,Cell,1,0.3284,0.8717,1.6031,1.0519,2018-10-13 21:18:52
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Essex,50 to 85 percent,Cell,1,0.7108,0.9965,0.829,1.0645,2018-10-13 21:20:22
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.9489,1.3125,0.6987,1.3105,2018-10-13 21:23:49
3,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,"Morris, well-educ.",Less than 50 percent,Cell,0.2222,0.2348,0.7251,1.7205,0.2709,2018-10-13 21:30:34
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Essex,Less than 50 percent,Cell,1,0.2986,0.7789,1.4257,0.9597,2018-10-13 21:30:43
Und,65 and older,Some college or trade school,White,Female,White,Approve,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Essex,Less than 50 percent,Landline,0,0.386,1.5877,2.8133,0.4238,2018-10-13 22:33:28
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Essex,85 percent or higher,Landline,1,0.8539,1.3977,1.1686,1.4131,2018-10-13 22:34:22
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,1.2067,0.6249,1.2034,2018-10-13 22:34:22
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Rest,85 percent or higher,Landline,1,0.9439,0.4309,0.2141,0.4305,2018-10-13 22:34:49
Und,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Not very likely,or as a member of another political party,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Landline,0.1111,0.7195,0.9782,0.7561,0.5199,2018-10-13 22:35:16
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Essex,50 to 85 percent,Cell,1,0.7537,1.198,1.0192,1.2338,2018-10-13 22:35:43
Dem,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Essex,85 percent or higher,Cell,1,0.8944,1.0556,0.7553,1.0608,2018-10-13 22:35:52
3,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Rest,Less than 50 percent,Cell,0.7778,0.4806,0.6844,0.6858,0.7121,2018-10-13 22:36:10
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,"Morris, well-educ.",Less than 50 percent,Cell,0.6667,0.1131,0.8211,3.2612,0.8351,2018-10-13 22:36:10
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,[DO NOT READ] Don't know/Refused,Unknown,"Morris, well-educ.",85 percent or higher,Cell,1,0.9441,1.183,0.708,1.1818,2018-10-13 22:36:28
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.9023,1.2458,0.6729,1.2654,2018-10-13 22:36:28
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.965,0.7463,0.2958,0.7443,2018-10-13 22:36:55
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,0.9147,0.4205,0.9046,2018-10-13 22:37:22
Dem,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.8971,0.4309,0.2252,0.4329,2018-10-13 22:37:49
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Passaic,85 percent or higher,Cell,1,0.965,0.7103,0.4244,0.7025,2018-10-13 22:38:07
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Passaic,Less than 50 percent,Cell,1,0.463,0.9663,1.8735,1.0129,2018-10-13 22:38:16
Und,65 and older,Bachelors' degree,White,Female,White,Approve,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Landline,0.5556,0.583,1.1392,0.9023,0.8405,2018-10-13 22:40:04
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,"Morris, well-educ.",50 to 85 percent,Cell,1,0.655,0.4309,0.3298,0.4341,2018-10-13 22:40:31
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.9188,0.6303,0.3918,0.6314,2018-10-13 22:41:25
Und,18 to 34,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Rest,Less than 50 percent,Cell,0.1111,0.288,0.8593,2.326,0.2331,2018-10-13 22:42:28
Dem,35 to 49,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,35 to 49,Postgraduate Degree,White,Passaic,Less than 50 percent,Cell,0.8889,0.3177,0.9208,1.6743,0.9646,2018-10-13 22:43:13
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Passaic,50 to 85 percent,Cell,1,0.6941,0.7002,0.8023,0.752,2018-10-13 22:43:22
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Essex,50 to 85 percent,Cell,1,0.8051,1.1017,0.5556,1.1233,2018-10-13 22:43:22
Rep,35 to 49,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,4-year College Grad.,White,Rest,Less than 50 percent,Cell,1,0.4601,1.2003,1.3966,1.3507,2018-10-13 22:45:10
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,0.8232,0.3993,0.821,2018-10-13 22:45:55
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.9397,1.14,1.1298,1.1393,2018-10-13 22:45:55
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,1.3933,0.7394,1.3895,2018-10-13 22:46:13
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Essex,Less than 50 percent,Cell,1,0.4347,0.8269,1.0542,0.8741,2018-10-13 22:46:22
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Essex,50 to 85 percent,Cell,1,0.7199,0.7204,0.5327,0.7674,2018-10-13 22:50:47
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Postgraduate Degree,Non-White,Essex,50 to 85 percent,Cell,1,0.7649,0.5136,0.3635,0.5278,2018-10-14 19:27:27
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.9478,0.7269,0.3357,0.7259,2018-10-14 20:26:02
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Male,Not at all likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,0.4444,0.6443,1.2308,1.1256,0.6426,2018-10-14 20:33:48
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Essex,85 percent or higher,Cell,1,0.965,0.9943,0.6505,0.9916,2018-10-14 20:40:24
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Non-White,Rest,Less than 50 percent,Cell,1,0.3416,0.9343,1.1719,1.0226,2018-10-14 20:43:15
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Essex,Less than 50 percent,Cell,1,0.4172,0.5314,0.6522,0.6443,2018-10-14 20:43:15
Und,18 to 34,Some college or trade school,Unknown,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Not at all likely,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,Unknown,Passaic,Less than 50 percent,Cell,0.1111,0.399,1.1321,2.6,0.3431,2018-10-14 20:43:24
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Somewhat likely,Democrat,Nonwhite,35 to 49,Postgraduate Degree,White,"Morris, well-educ.",Less than 50 percent,Cell,0.7778,0.3753,0.8674,1.3409,0.6889,2018-10-14 20:44:09
Dem,50 to 64,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Non-White,Essex,Less than 50 percent,Cell,1,0.4653,1.0767,1.1453,1.1279,2018-10-14 20:45:30
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Essex,Less than 50 percent,Cell,0,0.3244,0.8373,1.4559,0.2093,2018-10-14 20:55:06
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Postgraduate Degree,Unknown,Passaic,50 to 85 percent,Cell,1,0.8059,0.5618,0.3537,0.5567,2018-10-14 20:59:36
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Essex,Less than 50 percent,Cell,0.8889,0.3505,0.7394,1.1124,0.7655,2018-10-14 21:00:03
Und,18 to 34,Bachelors' degree,White,Male,Other,Don't know,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,18 to 34,4-year College Grad.,White,"Morris, well-educ.",Less than 50 percent,Cell,1,0.354,0.7794,1.2657,0.9859,2018-10-14 21:01:33
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Essex,50 to 85 percent,Cell,1,0.5655,0.7826,0.5568,0.8467,2018-10-14 21:02:09
Dem,18 to 34,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,Postgraduate Degree,Non-White,Passaic,Less than 50 percent,Cell,1,0.4489,0.7471,1.0885,0.7864,2018-10-14 21:04:33
Dem,18 to 34,Bachelors' degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 34,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.85,0.6316,0.372,0.6242,2018-10-14 21:12:43
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Cell,1,0.5574,1.2093,1.0155,1.3659,2018-10-14 21:14:58
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.9295,0.703,0.3821,0.7033,2018-10-14 21:16:55
Rep,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,35 to 49,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Cell,1,0.6864,0.9099,0.7145,0.9515,2018-10-14 21:17:15
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Passaic,Less than 50 percent,Cell,1,0.4506,0.9785,1.9843,1.1638,2018-10-14 21:17:58
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,"Morris, well-educ.",50 to 85 percent,Cell,0.8889,0.6513,0.8354,0.5725,0.8619,2018-10-14 21:19:48
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Passaic,85 percent or higher,Cell,1,0.965,0.8738,0.4221,0.8715,2018-10-14 21:21:00
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,Unknown,"Morris, well-educ.",85 percent or higher,Cell,1,0.8574,1.2483,0.6944,1.2614,2018-10-14 21:21:27
Dem,35 to 49,Graduate or Professional Degree,Other,Male,Asian,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,Non-White,Rest,Less than 50 percent,Cell,0.7778,0.4185,0.8451,1.0802,0.8166,2018-10-14 21:21:36
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Essex,50 to 85 percent,Cell,1,0.7376,1.0712,0.8861,1.107,2018-10-14 21:25:12
Und,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Essex,50 to 85 percent,Cell,0.6667,0.5587,0.8632,0.7641,0.7887,2018-10-14 21:26:06
