response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.9798,0.7696,0.3608,0.7691,2018-09-28 00:17:37
Dem,65 and older,Grade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9847,1.4175,1.1223,1.4247,2018-09-28 00:20:28
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,50 to 85 percent,Landline,1,0.6057,0.8287,0.6568,0.8485,2018-09-28 00:20:37
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Cell,1,0.986,0.74,0.3135,0.7437,2018-09-28 00:23:01
Rep,65 and older,High school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,85 percent or higher,Cell,1,0.9749,1.3798,0.9339,1.387,2018-09-28 00:24:31
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9189,0.7057,0.3358,0.7129,2018-09-28 00:24:58
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Warren,85 percent or higher,Landline,1,0.959,0.8737,0.3955,0.8791,2018-09-28 00:26:37
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Non-White,Warren,50 to 85 percent,Landline,1,0.5937,1.4018,0.9539,1.516,2018-09-28 00:28:07
Dem,50 to 64,Some college or trade school,Black,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9458,0.8245,0.4616,0.8305,2018-09-28 00:28:43
Dem,35 to 49,Bachelors' degree,Black,Male,Black,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Don't know,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Non-White,Cincinnati,Less than 50 percent,Cell,1,0.2425,0.7696,2.4661,1.002,2018-09-28 00:30:13
Und,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Favorable,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Hamilton,Less than 50 percent,Cell,1,0.4729,0.6379,0.653,0.6726,2018-09-28 00:31:24
Rep,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Reps. keep House,Favorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Hamilton,85 percent or higher,Landline,0.7778,0.8802,1.3798,1.0341,1.3726,2018-09-28 00:32:00
Und,[DO NOT READ] Refused,Some college or trade school,White,Female,Black,Don't know,Disapp.,Check,Don't know,Dems. take House,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9267,0.7454,0.3504,0.7523,2018-09-28 00:32:00
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9812,0.7454,0.3311,0.7492,2018-09-28 00:34:42
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Favorable,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Warren,50 to 85 percent,Landline,0.8889,0.5959,0.8501,0.6004,0.8955,2018-09-28 00:36:30
Dem,35 to 49,Graduate or Professional Degree,Black,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Non-White,Cincinnati,50 to 85 percent,Cell,1,0.7966,0.9261,0.7652,0.9538,2018-09-28 00:38:00
Rep,50 to 64,Bachelors' degree,White,Female,White,oppose,Approve,Check,support,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Warren,85 percent or higher,Cell,1,0.9557,0.8018,0.30620000000000003,0.807,2018-09-28 00:38:09
Rep,65 and older,High school,White,Female,White,Don't know,Disapp.,Support,Don't know,Dems. take House,Don't know,Favorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Cincinnati,50 to 85 percent,Landline,1,0.6786,1.7585,1.8769,1.858,2018-09-28 00:38:27
Dem,50 to 64,High school,Black,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.8316,1.6408,1.2857,1.6791,2018-09-28 00:38:36
Rep,18 to 34,High school,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,agree,30 to 44,High School Grad. or Less,Republican,Male,Not very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Hamilton,Less than 50 percent,Cell,0.7778,0.2863,2.1975,6.1683,1.4234,2018-09-28 00:40:15
Rep,50 to 64,Some college or trade school,White,Male,Other,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,White,Hamilton,85 percent or higher,Cell,1,0.8722,0.7471,0.3742,0.7596,2018-09-28 00:40:33
Dem,65 and older,Some college or trade school,Black,Female,Black,oppose,Disapp.,Don't know,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9859,0.7906,0.4348,0.7946,2018-09-28 00:43:51
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,agree,18 to 29,Some College Educ.,Democratic,Male,Not very likely,Republican,"White, No 4-Year College Degree",18 to 34,Unknown,Hamilton,Less than 50 percent,Cell,0.3333,0.3977,1.5406,2.1545,0.7263,2018-09-28 00:47:05
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Don't know,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Warren,85 percent or higher,Cell,1,0.9354,0.8634,0.3467,0.8706,2018-09-28 00:48:17
Dem,35 to 49,Some college or trade school,Black,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Non-White,Cincinnati,Less than 50 percent,Landline,1,0.4886,0.8599,1.547,0.9644,2018-09-28 00:52:11
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Disapp.,Support,oppose,Reps. keep House,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Not very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Hamilton,50 to 85 percent,Landline,0.1111,0.6057,0.8542,0.6949,0.4022,2018-09-28 00:54:08
Und,35 to 49,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,support,Reps. keep House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,Unknown,Warren,Less than 50 percent,Cell,0.8889,0.3268,1.1666,1.8087,1.2282,2018-09-28 00:55:02
Rep,50 to 64,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.971,1.439,0.9554,1.4468,2018-09-28 00:55:29
Rep,65 and older,High school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Warren,50 to 85 percent,Landline,1,0.7805,1.9185,1.65,1.9818,2018-09-28 00:56:14
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Cincinnati,85 percent or higher,Landline,1,0.9702,1.538,1.2775,1.5463,2018-09-28 00:56:32
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Hamilton,85 percent or higher,Landline,1,0.9814,0.8257,0.3575,0.8298,2018-09-28 00:57:08
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Warren,85 percent or higher,Cell,1,0.982,0.8894,0.3574,0.8892,2018-09-28 00:57:26
Dem,35 to 49,High school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,Cincinnati,50 to 85 percent,Cell,1,0.8425,1.9648,2.4022,2.007,2018-09-28 00:57:35
Rep,18 to 34,High school,White,Male,White,support,Approve,Check,support,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Hamilton,85 percent or higher,Cell,0.8889,0.9182,2.0433,1.8718,2.0144,2018-09-28 00:58:47
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Hamilton,50 to 85 percent,Cell,1,0.5032,1.044,1.2531,1.1643,2018-09-28 00:59:41
Rep,65 and older,Bachelors' degree,White,Female,White,support,Disapp.,Check,support,Reps. keep House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Hamilton,50 to 85 percent,Landline,0.7778,0.7267,0.8213,0.4033,0.71,2018-09-28 00:59:59
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Hamilton,85 percent or higher,Landline,1,0.977,0.6299,0.2592,0.6332,2018-09-28 01:02:59
Rep,65 and older,Some college or trade school,Asian,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Non-White,Hamilton,85 percent or higher,Landline,1,0.9748,0.7947,0.3633,0.7936,2018-09-28 01:02:59
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Hamilton,85 percent or higher,Cell,1,0.9453,0.7696,0.4698,0.7752,2018-09-28 01:03:35
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Cell,1,0.8764,0.6767,0.3455,0.6875,2018-09-28 01:04:29
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Don't know,Check,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Cincinnati,85 percent or higher,Landline,1,0.9689,0.7163,0.3587,0.7202,2018-09-28 01:05:41
Rep,50 to 64,High school,Black,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9363,1.4817,1.2091,1.4939,2018-09-28 01:05:59
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Cincinnati,85 percent or higher,Landline,1,0.9666,0.9111,0.527,0.9089,2018-09-28 01:08:23
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Hamilton,85 percent or higher,Landline,1,0.9615,0.7678,0.4593,0.7724,2018-09-28 01:08:50
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,White,Cincinnati,85 percent or higher,Landline,1,0.9751,0.7787,0.4596,0.7828,2018-09-28 01:09:44
Dem,65 and older,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Landline,0.8889,0.9846,0.7906,0.4353,0.7928,2018-09-28 01:10:38
Dem,50 to 64,High school,White,Female,Black,Don't know,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,Nonwhite,50 to 64,White,Hamilton,50 to 85 percent,Landline,1,0.7224,1.4423,1.3138,1.3347,2018-09-28 01:10:47
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Warren,85 percent or higher,Landline,1,0.9717,0.8114,0.3521,0.8158,2018-09-28 01:10:47
Dem,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Cincinnati,50 to 85 percent,Cell,1,0.5308,0.915,1.0646,0.9509,2018-09-28 01:11:05
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Warren,85 percent or higher,Landline,1,0.9762,0.8591,0.4661,0.8635,2018-09-28 01:12:44
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Warren,85 percent or higher,Landline,1,0.9823,0.9915,0.448,0.9914,2018-09-28 01:14:14
Und,35 to 49,Bachelors' degree,White,Female,White,oppose,Don't know,Don't know,Don't know,Don't know,Don't know,Favorable,agree,30 to 44,4-year College Grad.,Republican,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Hamilton,85 percent or higher,Cell,0.6667,0.9759,0.7164,0.4128,0.6899,2018-09-28 01:16:57
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Cincinnati,85 percent or higher,Landline,1,0.9293,0.8837,0.5595,0.8522,2018-09-28 01:17:24
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Hamilton,85 percent or higher,Cell,1,0.9729,0.8026,0.3701,0.8069,2018-09-28 01:17:51
Dem,35 to 49,Bachelors' degree,White,Female,White,support,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Cincinnati,85 percent or higher,Landline,1,0.9418,0.7656,0.5708,0.7715,2018-09-28 01:18:18
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Hamilton,85 percent or higher,Landline,1,0.9597,0.8004,0.5293,0.8053,2018-09-28 01:20:42
Und,50 to 64,Some college or trade school,Unknown,Female,White,Don't know,Disapp.,Support,Don't know,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Hamilton,50 to 85 percent,Cell,0.4444,0.7741,1.0135,0.5993,0.7915,2018-09-28 01:21:00
Dem,65 and older,Graduate or Professional Degree,White,Female,White,support,Disapp.,Check,support,Dems. take House,Favorable,Favorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.9078,0.6751,0.3318,0.683,2018-09-28 01:21:09
Dem,65 and older,High school,Black,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Hamilton,85 percent or higher,Cell,1,0.9823,1.4216,0.9235,1.4288,2018-09-28 01:23:06
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Warren,85 percent or higher,Landline,1,0.8877,0.8439,0.5537,0.8561,2018-09-28 01:24:18
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.9818,0.8268,0.3969,0.8266,2018-09-28 01:28:30
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.9867,0.727,0.3386,0.7276,2018-09-28 01:28:30
Dem,65 and older,Graduate or Professional Degree,Black,Female,Other,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.8442,0.7502,0.4934,0.7661,2018-09-28 01:37:45
Rep,50 to 64,Some college or trade school,White,Male,White,support,Disapp.,Check,Don't know,Dems. take House,Don't know,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Warren,50 to 85 percent,Cell,1,0.539,1.0387,0.8539,1.0775,2018-09-28 01:38:21
Und,50 to 64,Some college or trade school,Black,Male,Black,Don't know,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Hamilton,85 percent or higher,Cell,1,0.8925,0.7697,0.3644,0.7803,2018-09-28 01:42:24
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Warren,85 percent or higher,Cell,1,0.9475,0.8459,0.5218,0.8519,2018-09-28 21:16:44
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Cincinnati,Less than 50 percent,Cell,1,0.4016,0.7166,1.0335,0.8358,2018-09-28 21:36:08
Dem,35 to 49,Some college or trade school,Black,Female,Black,support,Disapp.,Check,oppose,Dems. take House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Cincinnati,50 to 85 percent,Cell,1,0.5018,0.9805,1.2841,1.094,2018-09-28 21:45:25
Dem,35 to 49,Some college or trade school,Black,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Non-White,Hamilton,50 to 85 percent,Cell,1,0.6533,0.89,0.878,0.9464,2018-09-28 21:45:35
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Hamilton,50 to 85 percent,Landline,1,0.7282,0.8069,0.4349,0.8426,2018-09-28 21:46:10
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Warren,85 percent or higher,Cell,1,0.9795,0.925,0.4098,0.9297,2018-09-28 21:46:55
Dem,35 to 49,Some college or trade school,White,Male,Black,support,Disapp.,Don't know,support,Don't know,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,White,Hamilton,50 to 85 percent,Cell,1,0.6328,1.023,0.9207,1.0939,2018-09-28 21:48:34
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Cincinnati,85 percent or higher,Cell,1,0.9822,0.7909,0.4198,0.7949,2018-09-28 21:48:34
Und,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Check,support,Reps. keep House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Warren,50 to 85 percent,Cell,1,0.5459,1.0267,0.8757,1.0634,2018-09-28 21:53:13
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Don't know,oppose,Reps. keep House,Unfavorable,Don't know,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 34,White,Hamilton,50 to 85 percent,Cell,1,0.775,1.0223,0.6963,1.0572,2018-09-28 21:54:25
Dem,50 to 64,High school,White,Female,White,support,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Hamilton,85 percent or higher,Cell,1,0.9496,1.3364,0.8809,1.3313,2018-09-28 21:55:10
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9801,0.7468,0.4132,0.7506,2018-09-28 21:58:37
Dem,18 to 34,High school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,18 to 29,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Non-White,Cincinnati,Less than 50 percent,Landline,1,0.3261,1.9018,6.4607,2.3181,2018-09-28 22:01:31
Und,35 to 49,Bachelors' degree,White,Female,White,support,Disapp.,Don't know,oppose,Don't know,Unfavorable,Favorable,agree,30 to 44,4-year College Grad.,Republican,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Hamilton,50 to 85 percent,Landline,0,0.7545,0.8542,0.5584,0.373,2018-09-28 22:01:58
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,Hamilton,50 to 85 percent,Cell,1,0.5634,1.0253,1.0396,1.1195,2018-09-28 22:03:10
Rep,18 to 34,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,18 to 34,White,Cincinnati,50 to 85 percent,Cell,0.5556,0.7969,1.4557,1.175,1.3983,2018-09-28 22:03:10
