response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Other,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,Nonwhite,35 to 49,Other Non-White,State Sen. 5,85 percent or higher,Cell,1,0.9624,0.6285,0.2193,0.6219
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Unknown,State Sen. 5,85 percent or higher,Landline,1,0.96,0.488,0.1148,0.4831
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,State Sen. 5,50 to 85 percent,Cell,1,0.795,0.7122,0.4443,0.7175
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9338,0.9323,0.572,0.9194
Und,65 and older,High school,White,Female,White,Approve,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,Less than 50 percent,Cell,0.4444,0.4708,2.022,3.1004,1.8148
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,State Sen. 5,50 to 85 percent,Cell,1,0.7731,0.8167,0.5215,0.8262
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9613,0.4719,0.18,0.4642
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 34,White,State Sen. 5,85 percent or higher,Cell,1,0.9254,0.9924,0.5806,0.9797
Dem,50 to 64,High school,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,State Sen. 8,Less than 50 percent,Landline,0.4444,0.478,2.4048,3.3555,1.5602
Dem,35 to 49,High school,White,Male,Other,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),Nonwhite,35 to 49,White,State Sen. 5,85 percent or higher,Cell,1,0.8756,1.8176,1.051,1.8316
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Hispanic,State Sen. 5,50 to 85 percent,Cell,1,0.5625,0.7557,0.5843,0.8071
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9419,0.7922,0.4849,0.7714
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Cell,1,0.9118,0.743,0.4701,0.7427
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Cell,1,0.9235,0.7922,0.4943,0.7898
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,State Sen. 12,85 percent or higher,Cell,1,0.9317,1.3015,0.8888,1.2838
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Cell,1,0.97,0.7081,0.3474,0.6962
Rep,65 and older,Some college or trade school,Hispanic,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,Hispanic,State Sen. 5,85 percent or higher,Cell,1,0.9601,0.6175,0.3077,0.6113
Und,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,State Sen. 5,50 to 85 percent,Cell,1,0.7108,0.7122,0.4955,0.7302
Dem,18 to 34,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Already voted,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,18 to 34,White,State Sen. 5,50 to 85 percent,Cell,1,0.7921,1.0405,0.8418,1.0707
Rep,50 to 64,High school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,White,State Sen. 5,50 to 85 percent,Landline,1,0.5408,1.974,1.6557,2.1235
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Cell,1,0.8902,0.743,0.4812,0.7232
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Other Non-White,State Sen. 5,85 percent or higher,Cell,1,0.9128,1.1451,0.5839,1.1143
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,State Sen. 8,50 to 85 percent,Cell,1,0.8424,0.8018,0.4698,0.8009
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Unknown,State Sen. 5,85 percent or higher,Landline,1,0.97,0.7145,0.1837,0.7025
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,State Sen. 8,50 to 85 percent,Cell,1,0.7526,0.9643,0.7696,0.9796
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,State Sen. 12,85 percent or higher,Cell,1,0.9237,1.2403,0.7004,1.2245
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9297,0.743,0.4613,0.7233
Rep,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9243,0.6456,0.2478,0.6284
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Democrat,"White, No 4-Year College Degree",35 to 49,White,State Sen. 8,85 percent or higher,Cell,1,0.942,0.7948,0.4912,0.7895
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,State Sen. 5,85 percent or higher,Landline,1,0.9688,0.9688,0.4655,0.9526
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9156,0.7922,0.4985,0.7829
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,White,State Sen. 5,85 percent or higher,Cell,1,0.8561,0.8577,0.6197,0.8549
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 34,White,State Sen. 5,Less than 50 percent,Cell,1,0.2633,0.6686,1.3576,0.903
Und,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Cell,1,0.9611,0.7523,0.4915,0.7446
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Cell,1,0.9392,0.7057,0.4722,0.6955
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,State Sen. 8,85 percent or higher,Cell,1,0.9613,0.9809,0.5162,0.9708
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,State Sen. 8,85 percent or higher,Cell,1,0.8753,0.6738,0.2249,0.6696
Und,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,Unknown,State Sen. 5,Less than 50 percent,Landline,1,0.4195,1.1332,1.2,1.1871
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,State Sen. 5,85 percent or higher,Cell,1,0.8529,0.5069,0.2547,0.5055
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,State Sen. 8,50 to 85 percent,Cell,1,0.5781,0.5169,0.3614,0.5492
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,State Sen. 5,85 percent or higher,Landline,1,0.9447,0.6617,0.2871,0.6518
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Hispanic,State Sen. 5,85 percent or higher,Landline,1,0.8669,0.9232,0.5742,0.8991
Dem,65 and older,High school,Hispanic,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,Hispanic,State Sen. 5,85 percent or higher,Landline,1,0.9328,1.4298,0.6883,1.4102
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,White,State Sen. 5,85 percent or higher,Cell,1,0.959,0.5582,0.2619,0.5527
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,65 and older,White,State Sen. 5,Less than 50 percent,Landline,1,0.4834,0.6985,0.7785,0.8052
Dem,65 and older,Bachelors' degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Other Non-White,State Sen. 5,85 percent or higher,Landline,1,0.9669,0.817,0.3458,0.797
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Hispanic,Male,Hispanic,Disapp.,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,65 and older,Hispanic,State Sen. 12,85 percent or higher,Landline,1,0.8978,0.8514,0.8011,0.8434
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9591,1.0839,0.6393,1.0664
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,State Sen. 5,85 percent or higher,Cell,1,0.9444,0.9144,0.5995,0.9008
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9686,0.725,0.3737,0.7074
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,State Sen. 12,85 percent or higher,Cell,1,0.9464,1.1634,0.6421,1.1459
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,Other,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Hispanic,State Sen. 5,50 to 85 percent,Landline,1,0.8477,0.6003,0.2696,0.5851
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Unknown,State Sen. 12,85 percent or higher,Cell,1,0.917,0.9003,0.3282,0.8762
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9302,0.6814,0.4282,0.6784
Und,18 to 34,Bachelors' degree,White,Male,Other,Disapp.,Don't know,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 34,White,State Sen. 5,50 to 85 percent,Cell,1,0.5898,0.8323,0.6439,0.8357
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Unknown,State Sen. 5,50 to 85 percent,Cell,1,0.617,0.5738,0.1941,0.6027
Dem,65 and older,Some college or trade school,White,Male,Asian,Approve,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,Nonwhite,65 and older,White,State Sen. 5,Less than 50 percent,Landline,0.7778,0.3673,0.7993,1.4102,0.6254
Dem,18 to 34,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,State Sen. 5,50 to 85 percent,Cell,0.8889,0.797,2.1876,1.597,2.1005
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,50 to 85 percent,Landline,1,0.8469,0.7244,0.4142,0.7061
Dem,65 and older,High school,Unknown,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Already voted,Independent (No party),Nonwhite,65 and older,Unknown,State Sen. 5,85 percent or higher,Cell,1,0.926,1.4932,0.4575,1.488
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Landline,1,0.97,0.7057,0.4576,0.6938
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,State Sen. 5,Less than 50 percent,Cell,1,0.3091,0.8063,1.5046,0.9723
Rep,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,18 to 34,White,State Sen. 5,85 percent or higher,Cell,1,0.9318,0.9684,0.4855,0.9639
Dem,18 to 34,Some college or trade school,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,Other Non-White,State Sen. 8,50 to 85 percent,Cell,1,0.5622,1.1402,1.2119,1.151
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,State Sen. 5,85 percent or higher,Cell,1,0.893,0.8174,0.4656,0.8102
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,State Sen. 5,85 percent or higher,Landline,1,0.9204,1.0162,0.6278,0.989
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,State Sen. 8,85 percent or higher,Cell,1,0.9585,0.9421,0.5227,0.927
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",35 to 49,White,State Sen. 8,85 percent or higher,Landline,1,0.8716,0.8276,0.5247,0.8347
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),Nonwhite,35 to 49,Hispanic,State Sen. 5,85 percent or higher,Cell,1,0.8877,0.4648,0.2282,0.4671
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,State Sen. 12,85 percent or higher,Cell,1,0.9339,0.8238,0.4411,0.8124
Rep,50 to 64,Some college or trade school,White,Male,Black,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),Nonwhite,50 to 64,White,State Sen. 5,50 to 85 percent,Cell,1,0.534,0.9297,0.8196,1.0462
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,Unknown,State Sen. 8,85 percent or higher,Landline,1,0.942,0.6928,0.1977,0.6882
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,State Sen. 12,50 to 85 percent,Cell,1,0.5949,2.3064,2.3782,2.4383
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Hispanic,State Sen. 5,85 percent or higher,Landline,1,0.959,0.4285,0.1576,0.4242
Rep,65 and older,Some college or trade school,Hispanic,Male,White,Don't know,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Hispanic,State Sen. 8,85 percent or higher,Cell,1,0.9381,0.6252,0.3458,0.6087
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,State Sen. 8,85 percent or higher,Cell,1,0.9336,0.4355,0.1328,0.4334
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Hispanic,State Sen. 5,85 percent or higher,Landline,1,0.97,0.4019,0.1471,0.3972
Dem,65 and older,Some college or trade school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,White,State Sen. 12,85 percent or higher,Landline,1,0.9334,0.8166,0.4897,0.8054
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,State Sen. 8,85 percent or higher,Cell,1,0.9247,1.0645,0.4224,1.0509
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9428,0.5554,0.213,0.5472
Dem,65 and older,[DO NOT READ] Refused,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Democrat,Nonwhite,65 and older,Hispanic,State Sen. 5,50 to 85 percent,Cell,0.7778,0.806,0.8251,0.8658,0.8054
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9636,0.7549,0.372,0.7362
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,State Sen. 8,85 percent or higher,Cell,1,0.9313,0.9809,0.5323,0.9549
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,State Sen. 5,Less than 50 percent,Landline,0.2222,0.1327,0.733,3.1832,0.254
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,35 to 49,Hispanic,State Sen. 5,50 to 85 percent,Cell,1,0.6154,0.7782,0.722,0.7779
Rep,50 to 64,Some college or trade school,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9625,0.992,0.5036,0.9758
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9577,1.0329,0.5011,1.0163
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Cell,1,0.9645,0.6909,0.2949,0.6834
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,State Sen. 8,85 percent or higher,Landline,1,0.9603,0.4593,0.2194,0.4546
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9591,0.8533,0.4408,0.8318
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,State Sen. 8,50 to 85 percent,Cell,1,0.5559,1.0636,0.6754,1.1854
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Hispanic,State Sen. 8,85 percent or higher,Cell,1,0.8759,0.5132,0.2727,0.51
Dem,65 and older,Some college or trade school,Hispanic,Male,Asian,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Independent (No party),Nonwhite,65 and older,Hispanic,State Sen. 5,85 percent or higher,Cell,1,0.8577,0.6175,0.3429,0.6249
