response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_white,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,High school,White,Female,White,Disapp.,Don't know,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,White,50 to 85 percent,Landline,1,0.8409,2.0439,0.9427,2.0456,2018-10-13 21:25:37
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9321,0.8451,0.3257,0.8349,2018-10-13 21:26:31
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Dem. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9639,0.7529,0.4406,0.7354,2018-10-13 21:29:22
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,18 to 39,White,Less than 50 percent,Cell,1,0.1728,0.842,1.9835,1.1627,2018-10-13 21:30:52
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9162,0.8451,0.3308,0.8237,2018-10-13 21:31:19
Und,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Republican,Nonwhite,Dem. Rio Grande,65 and older,Non-White,85 percent or higher,Landline,1,0.9563,0.5314,0.2287,0.5238,2018-10-13 21:31:55
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,Bexar,65 and older,White,85 percent or higher,Landline,1,0.965,0.8078,0.2997,0.8002,2018-10-13 22:17:12
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.9578,0.662,0.1973,0.6524,2018-10-13 22:18:06
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Landline,1,0.965,0.9277,0.329,0.9138,2018-10-13 22:18:24
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9493,0.8451,0.3205,0.8335,2018-10-13 22:19:09
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Not very likely,Democrat,Nonwhite,Dem. Rio Grande,18 to 39,Non-White,Less than 50 percent,Landline,0.6667,0.0314,1.3207,8.5276,0.7967,2018-10-13 22:19:45
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,50 to 85 percent,Landline,0.4444,0.8413,0.4765,0.1332,0.3825,2018-10-13 22:19:54
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rep. Rio Grande,40 to 64,White,85 percent or higher,Cell,1,0.8804,0.6415,0.2447,0.638,2018-10-13 22:20:12
Und,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Don't know,Don't know,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,50 to 85 percent,Cell,0.5556,0.7902,1.3796,0.5168,1.2363,2018-10-13 22:20:39
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,Nonwhite,Rep. Rio Grande,40 to 64,Non-White,Less than 50 percent,Cell,1,0.4093,0.6403,0.7222,0.7287,2018-10-13 22:20:48
Dem,65 and older,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,65 and older,White,85 percent or higher,Landline,1,0.8761,1.5504,0.684,1.543,2018-10-13 22:21:33
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Don't know,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,40 to 64,Non-White,85 percent or higher,Landline,1,0.8991,0.6932,0.4056,0.6877,2018-10-13 22:21:51
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.951,1.4567,0.8065,1.4468,2018-10-13 22:22:00
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,40 to 64,White,50 to 85 percent,Landline,1,0.7555,0.714,0.2538,0.7261,2018-10-13 22:23:21
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Landline,1,0.8905,0.7343,0.3744,0.7293,2018-10-13 22:23:21
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,40 to 64,White,85 percent or higher,Landline,1,0.965,1.2103,0.5637,1.1923,2018-10-13 22:23:39
Rep,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Republican,Nonwhite,Dem. Rio Grande,18 to 39,Non-White,Less than 50 percent,Landline,0.4444,0.1583,1.5167,8.9711,0.879,2018-10-13 22:24:42
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,Non-White,50 to 85 percent,Landline,1,0.6798,0.8584,0.5473,0.8881,2018-10-13 22:24:42
Dem,50 to 64,High school,Hispanic,Female,Hispanic,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,40 to 64,Non-White,50 to 85 percent,Landline,1,0.7023,2.5453,2.5268,2.6191,2018-10-13 22:25:36
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Landline,1,0.3894,0.6121,0.7159,0.7037,2018-10-13 22:25:45
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Bexar,40 to 64,Unknown,85 percent or higher,Cell,1,0.935,0.6713,0.2036,0.6546,2018-10-13 22:25:54
Rep,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.9623,0.7841,0.2775,0.7725,2018-10-13 22:25:54
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.5824,0.1945,0.569,2018-10-13 22:26:03
Dem,65 and older,Some college or trade school,Hispanic,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,Bexar,65 and older,Non-White,Less than 50 percent,Landline,1,0.3889,0.888,0.7457,1.0212,2018-10-13 22:27:15
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rep. Rio Grande,65 and older,Non-White,50 to 85 percent,Landline,1,0.6983,2.1898,1.0018,2.2555,2018-10-13 22:28:36
Rep,65 and older,High school,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.965,2.5582,1.2622,2.4993,2018-10-13 22:29:30
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.4465,0.1847,0.4398,2018-10-13 22:29:30
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Bexar,65 and older,Non-White,50 to 85 percent,Landline,1,0.7319,1.0577,0.3803,1.081,2018-10-13 22:29:30
Rep,65 and older,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Rep. Rio Grande,65 and older,Non-White,85 percent or higher,Landline,1,0.916,1.7132,0.7765,1.67,2018-10-13 22:30:15
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.5824,0.1945,0.569,2018-10-13 22:31:00
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,65 and older,Unknown,85 percent or higher,Landline,1,0.965,0.6999,0.1863,0.6895,2018-10-13 22:31:09
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.9613,0.95,0.281,0.9361,2018-10-13 22:31:36
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,1,0.965,0.7343,0.3481,0.7234,2018-10-13 22:34:22
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,Less than 50 percent,Landline,1,0.0454,0.4002,0.7563,0.7641,2018-10-13 22:34:22
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Landline,1,0.965,1.1025,0.54,1.0771,2018-10-13 22:36:10
Rep,50 to 64,High school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,Dem. Rio Grande,40 to 64,White,85 percent or higher,Landline,0.8889,0.8665,1.6931,2.2298,1.67,2018-10-13 22:41:43
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.8714,0.8451,0.346,0.8417,2018-10-13 22:41:52
Rep,65 and older,Graduate or Professional Degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Bexar,65 and older,Non-White,85 percent or higher,Landline,1,0.965,0.6828,0.2527,0.667,2018-10-13 22:43:13
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,50 to 85 percent,Landline,1,0.8217,1.0685,0.5131,1.0447,2018-10-13 22:43:22
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Landline,1,0.965,0.4752,0.1509,0.4681,2018-10-13 22:45:19
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.8892,0.8451,0.3398,0.8395,2018-10-13 22:46:39
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Landline,1,0.9617,0.9277,0.33,0.914,2018-10-13 22:47:06
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Landline,0,0.965,0.9277,0.329,0.8338,2018-10-13 22:47:43
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,Less than 50 percent,Cell,1,0.4462,0.5046,0.5101,0.5643,2018-10-13 22:49:03
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.965,0.7358,0.2879,0.7189,2018-10-13 22:50:33
Dem,18 to 34,Some college or trade school,Hispanic,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Dem. Rio Grande,18 to 39,Non-White,Less than 50 percent,Cell,1,0.1874,1.5167,7.5831,2.0544,2018-10-13 22:53:15
Dem,65 and older,High school,Hispanic,Male,Hispanic,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,Dem. Rio Grande,65 and older,Non-White,85 percent or higher,Landline,1,0.8531,1.5263,1.1832,1.5488,2018-10-13 22:54:27
Rep,65 and older,Grade school,White,Female,Asian,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,Nonwhite,Rep. Rio Grande,65 and older,White,50 to 85 percent,Landline,0.4444,0.7429,1.3691,0.7383,1.2494,2018-10-13 22:55:48
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.8998,0.4281,0.1376,0.4247,2018-10-13 22:56:06
Rep,18 to 34,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,Rep. Rio Grande,18 to 39,White,Less than 50 percent,Landline,0.7778,0.3068,0.8422,1.3448,0.8237,2018-10-13 22:59:33
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9488,0.5824,0.1973,0.5682,2018-10-13 22:59:42
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,40 to 64,White,85 percent or higher,Cell,1,0.905,0.5825,0.3222,0.5774,2018-10-14 19:18:18
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Cell,1,0.965,0.96,0.4898,0.9457,2018-10-14 19:34:53
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Democrat,Nonwhite,Bexar,18 to 39,Non-White,85 percent or higher,Cell,1,0.9171,1.6503,0.9809,1.6333,2018-10-14 19:52:19
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Dem. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.8538,0.3358,0.1977,0.3354,2018-10-14 19:53:04
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Cell,1,0.963,0.981,0.3138,0.9582,2018-10-14 19:55:01
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Dem. Rio Grande,18 to 39,White,50 to 85 percent,Cell,1,0.7146,1.0261,0.7249,1.0529,2018-10-14 20:19:26
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,50 to 85 percent,Cell,0.8889,0.6532,0.5233,0.3022,0.5066,2018-10-14 20:47:09
Und,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.863,0.47,0.147,0.4687,2018-10-14 20:51:03
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.8259,0.6826,0.2602,0.6849,2018-10-14 20:52:06
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Bexar,18 to 39,Non-White,85 percent or higher,Cell,1,0.965,1.9995,0.946,1.9697,2018-10-14 20:53:18
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,1,0.9364,0.7343,0.3577,0.7252,2018-10-14 20:57:21
Dem,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Dem. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.9462,0.3358,0.1817,0.3276,2018-10-14 21:02:43
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9191,1.5991,0.8707,1.5588,2018-10-14 21:04:15
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,40 to 64,White,50 to 85 percent,Cell,1,0.7728,0.8457,0.3559,0.857,2018-10-14 21:05:16
Rep,35 to 49,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Bexar,18 to 39,White,Less than 50 percent,Cell,1,0.4469,1.1682,1.5251,1.306,2018-10-14 21:06:19
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Rep. Rio Grande,40 to 64,Non-White,85 percent or higher,Cell,1,0.8679,1.3374,0.7373,1.3327,2018-10-14 21:24:03
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Cell,0.8889,0.946,0.8105,0.3442,0.7953,2018-10-14 21:25:33
Rep,50 to 64,High school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),Nonwhite,Rep. Rio Grande,40 to 64,Non-White,50 to 85 percent,Cell,1,0.644,2.4877,1.7321,2.4794,2018-10-14 21:26:36
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Cell,1,0.9537,0.96,0.4952,0.937,2018-10-14 21:27:57
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Bexar,18 to 39,White,Less than 50 percent,Cell,0.4444,0.2601,0.805,1.4917,0.478,2018-10-14 21:28:06
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,50 to 85 percent,Cell,0.5556,0.6666,0.6826,0.3141,0.5163,2018-10-14 21:36:03
Rep,[DO NOT READ] Refused,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Republican,Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Cell,1,0.965,1.2395,0.4758,1.2109,2018-10-14 21:38:54
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,1,0.965,0.8341,0.3356,0.8217,2018-10-14 21:39:30
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Rep. Rio Grande,18 to 39,Non-White,85 percent or higher,Cell,0.8889,0.9256,1.2553,0.5509,1.213,2018-10-14 21:41:45
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,85 percent or higher,Cell,1,0.965,0.752,0.296,0.7408,2018-10-14 21:43:15
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,18 to 39,White,Less than 50 percent,Cell,0.8889,0.1591,1.0641,4.0332,1.4015,2018-10-14 21:47:09
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Cell,0.7778,0.4791,0.6952,0.5662,0.7148,2018-10-14 21:48:03
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,40 to 64,White,85 percent or higher,Cell,1,0.965,0.6394,0.317,0.6299,2018-10-14 21:51:04
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Rep. Rio Grande,40 to 64,Unknown,85 percent or higher,Cell,1,0.8521,0.8319,0.3297,0.812,2018-10-14 21:52:07
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Bexar,40 to 64,White,85 percent or higher,Cell,1,0.965,1.0816,0.6342,1.0654,2018-10-14 21:53:46
