response,ager,educ,file_race,gender,race_eth,approve,CRIMES,FEMINISM,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_party_region,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,agree,agree,agree,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Nonwhite,Rest,65 and older,"Rest, Democratic",Black,50 to 85 percent,Landline,1,0.8176,0.413,0.2627,0.3802,2018-09-10 20:28:15
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,35 to 49,"Fayette, Democratic",Black,85 percent or higher,Cell,1,0.8791,0.5954,0.3732,0.593,2018-09-10 20:29:18
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,agree,oppose,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",Other Non-White,85 percent or higher,Cell,1,0.9677,0.5794,0.4706,0.5714,2018-09-10 20:22:15
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Republican",White,Less than 50 percent,Cell,1,0.3999,1.0501,1.036,1.2022,2018-09-10 20:21:30
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.9666,0.96,0.3352,0.9468,2018-09-10 20:21:30
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9862,0.7875,0.4764,0.7762,2018-09-10 20:31:06
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,disagree,Don't know,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,Don't know,disagree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,35 to 49,"Rest, Republican",White,50 to 85 percent,Cell,1,0.5565,1.1498,0.8632,1.2339,2018-09-10 20:25:33
Rep,65 and older,Bachelors' degree,White,Female,White,Don't know,disagree,support,Reps. keep House,Don't know,Favorable,oppose,Don't know,no,agree,Don't know,disagree,65 and older,4-year College Grad.,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,"Rest, Republican",White,50 to 85 percent,Cell,1,0.7134,0.706,0.2754,0.6979,2018-09-10 20:17:00
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,disagree,support,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,"Rest, Republican",White,50 to 85 percent,Cell,1,0.822,0.7388,0.2618,0.7427,2018-09-10 20:21:57
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,support,no,disagree,disagree,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,35 to 49,"Rest, Republican",White,85 percent or higher,Cell,1,0.9702,1.0191,0.4854,1.0048,2018-09-10 20:24:57
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9635,0.603,0.2808,0.5898,2018-09-10 20:23:54
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,disagree,Don't know,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,35 to 49,"Rest, Republican",White,Less than 50 percent,Cell,1,0.3094,1.5118,4.2873,1.8278,2018-09-10 20:17:36
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,disagree,Don't know,Reps. keep House,Unfavorable,Don't know,oppose,oppose,no,disagree,agree,agree,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Female,Somewhat likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Landline,0.7778,0.9737,0.9025,0.3598,0.8575,2018-09-10 20:23:54
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,disagree,oppose,Reps. keep House,Favorable,Favorable,oppose,support,no,disagree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Fayette,50 to 64,"Fayette, Republican",White,85 percent or higher,Landline,1,0.9848,0.9169,0.4054,0.9037,2018-09-10 20:22:15
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.964,0.9174,0.3111,0.9048,2018-09-10 20:29:27
Dem,65 and older,High school,White,Female,White,Disapp.,agree,oppose,Dems. take House,Favorable,Unfavorable,oppose,oppose,yes,agree,agree,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,50 to 85 percent,Cell,1,0.6882,1.4519,1.2096,1.5009,2018-09-10 20:24:12
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,oppose,Don't know,yes,agree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,35 to 49,"Fayette, Democratic",White,85 percent or higher,Cell,1,0.9893,1.0469,0.7286,1.032,2018-09-10 20:21:21
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,agree,oppose,Don't know,Unfavorable,Don't know,oppose,oppose,no,agree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9188,0.7643,0.6025,0.7459,2018-09-10 20:27:03
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,agree,oppose,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9725,0.5463,0.2539,0.5348,2018-09-10 20:27:30
Dem,35 to 49,Some college or trade school,White,Male,White,Approve,agree,support,Dems. take House,Don't know,Don't know,Don't know,support,no,agree,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,Fayette,35 to 49,"Fayette, Democratic",White,Less than 50 percent,Cell,0.6667,0.3943,1.3613,3.9442,0.8258,2018-09-10 20:29:18
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,agree,support,Dems. take House,Unfavorable,Unfavorable,oppose,support,yes,agree,agree,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Fayette,50 to 64,"Fayette, Democratic",Other Non-White,50 to 85 percent,Cell,0.5556,0.7917,0.7983,0.4769,0.7517,2018-09-10 20:20:27
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,agree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Cell,1,0.9724,0.6802,0.3096,0.6706,2018-09-10 20:31:06
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,agree,oppose,Dems. take House,Favorable,Unfavorable,oppose,support,yes,agree,agree,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,18 to 34,"Rest, Democratic",White,Less than 50 percent,Landline,0.8889,0.2672,1.2911,4.3581,1.3678,2018-09-10 20:18:30
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Democratic",Unknown,85 percent or higher,Landline,1,0.9722,0.4855,0.1916,0.4786,2018-09-10 20:21:03
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,35 to 49,"Rest, Republican",White,85 percent or higher,Cell,1,0.9538,0.9738,0.4555,0.9612,2018-09-10 20:20:45
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,agree,Don't know,Don't know,Favorable,Unfavorable,oppose,oppose,yes,disagree,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9724,0.7722,0.3168,0.7613,2018-09-10 20:26:45
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,disagree,Don't know,Don't know,Favorable,Favorable,oppose,oppose,yes,Don't know,disagree,disagree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,"Rest, Republican",White,85 percent or higher,Landline,1,0.8932,0.6054,0.1853,0.5909,2018-09-10 20:19:33
Rep,65 and older,High school,White,Female,White,Approve,disagree,oppose,Don't know,Unfavorable,Favorable,oppose,oppose,no,disagree,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,50 to 85 percent,Landline,1,0.844,1.4519,0.9919,1.4195,2018-09-10 20:19:51
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,agree,support,Dems. take House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,Less than 50 percent,Landline,1,0.3539,0.7368,1.7728,0.8653,2018-09-10 20:28:51
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Democratic",White,50 to 85 percent,Cell,1,0.7032,0.8986,0.4035,0.9255,2018-09-10 20:30:39
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9801,0.6596,0.3391,0.6465,2018-09-10 20:31:06
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,disagree,oppose,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,agree,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Republican",White,85 percent or higher,Landline,1,0.9823,0.7679,0.2889,0.7569,2018-09-10 20:26:18
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,agree,agree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,18 to 34,"Rest, Democratic",White,Less than 50 percent,Cell,1,0.2887,1.6532,4.6518,2.0295,2018-09-10 20:18:48
Rep,65 and older,High school,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,disagree,agree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,50 to 85 percent,Landline,1,0.8124,1.4519,1.0293,1.4621,2018-09-10 20:24:21
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,disagree,oppose,Reps. keep House,Favorable,Favorable,oppose,support,yes,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,50 to 64,"Rest, Democratic",White,50 to 85 percent,Cell,0.6667,0.6189,0.9037,0.6298,0.5319,2018-09-10 20:17:45
Rep,65 and older,[DO NOT READ] Refused,White,Male,Black,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,disagree,agree,agree,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,Fayette,65 and older,"Fayette, Republican",White,50 to 85 percent,Cell,1,0.7774,1.0473,0.8312,1.0616,2018-09-10 20:17:00
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Don't know,support,Dems. take House,Unfavorable,Don't know,support,support,yes,disagree,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,35 to 49,"Rest, Democratic",White,Less than 50 percent,Cell,1,0.4709,1.216,2.6748,1.3471,2018-09-10 20:21:21
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,agree,Don't know,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9828,0.6596,0.3382,0.6501,2018-09-10 20:22:51
Dem,65 and older,Some college or trade school,White,Male,Black,Don't know,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.983,0.85,0.4675,0.8377,2018-09-10 20:27:21
Und,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,agree,Don't know,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Fayette,50 to 64,"Fayette, Democratic",Black,50 to 85 percent,Landline,1,0.691,0.5547,0.2592,0.573,2018-09-10 20:17:00
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,disagree,support,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,disagree,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,65 and older,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9722,0.5197,0.2617,0.5124,2018-09-10 20:26:45
Rep,50 to 64,Grade school,White,Male,White,Approve,agree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,High School Grad. or Less,Democratic,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Fayette,50 to 64,"Fayette, Democratic",White,Less than 50 percent,Cell,0.7778,0.438,2.331,4.1944,1.8475,2018-09-10 20:26:27
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.9786,0.6918,0.2533,0.6819,2018-09-10 20:25:51
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,50 to 64,Other,White,Less than 50 percent,Landline,0.8889,0.2633,1.2912,2.7041,1.5357,2018-09-10 20:23:54
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,agree,oppose,Dems. take House,Favorable,Favorable,oppose,oppose,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9625,0.6205,0.3701,0.6121,2018-09-10 20:21:39
Dem,18 to 34,High school,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,agree,18 to 29,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,18 to 34,"Rest, Republican",White,Less than 50 percent,Cell,1,0.111,3.2095,10.12,4.9399,2018-09-10 20:28:15
Rep,35 to 49,Some college or trade school,White,Male,White,Don't know,agree,support,Don't know,Unfavorable,Favorable,oppose,oppose,no,Don't know,agree,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,"Rest, Democratic",White,85 percent or higher,Cell,1,0.8898,0.7998,0.6736,0.7954,2018-09-10 20:23:36
Dem,50 to 64,High school,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,agree,agree,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,50 to 64,"Rest, Democratic",White,50 to 85 percent,Cell,0.8889,0.6399,1.9611,1.5224,1.9028,2018-09-10 20:19:42
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,agree,Don't know,Dems. take House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Landline,1,0.8685,0.5556,0.2315,0.5426,2018-09-10 20:26:18
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,Don't know,Dems. take House,Favorable,Unfavorable,support,oppose,no,agree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,"Rest, Democratic",White,50 to 85 percent,Landline,1,0.7829,0.5604,0.3074,0.5674,2018-09-10 20:25:24
Rep,65 and older,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,disagree,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,Don't know,yes,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Fayette,65 and older,"Fayette, Republican",White,85 percent or higher,Cell,1,0.9505,0.7551,0.363,0.7377,2018-09-10 20:17:09
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,agree,Don't know,Dems. take House,Don't know,Unfavorable,support,support,no,disagree,disagree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,50 to 64,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9806,0.8009,0.3908,0.785,2018-09-10 20:22:42
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,agree,Don't know,Don't know,Unfavorable,Unfavorable,oppose,oppose,yes,disagree,disagree,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Republican",White,85 percent or higher,Landline,1,0.9657,0.831,0.2829,0.8195,2018-09-10 20:17:36
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,50 to 64,Other,White,85 percent or higher,Landline,1,0.9674,0.7166,0.1873,0.7067,2018-09-10 20:23:09
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Reps. keep House,Unfavorable,Unfavorable,Don't know,Don't know,no,agree,agree,agree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,"Rest, Republican",White,Less than 50 percent,Landline,1,0.4396,1.0878,1.9102,1.2216,2018-09-10 20:27:39
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,disagree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.9505,0.7229,0.2421,0.7137,2018-09-10 20:21:12
Rep,50 to 64,High school,White,Female,White,Approve,disagree,support,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9513,1.3087,0.6833,1.2921,2018-09-10 20:21:21
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,Don't know,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,35 to 49,"Rest, Democratic",White,85 percent or higher,Cell,1,0.956,0.9351,0.6133,0.9229,2018-09-10 20:19:06
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,Don't know,no,agree,agree,agree,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Republican",White,85 percent or higher,Cell,1,0.9842,0.8306,0.3684,0.8147,2018-09-10 20:20:45
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9672,0.5051,0.202,0.4981,2018-09-10 20:17:18
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Fayette,65 and older,"Fayette, Democratic",Black,50 to 85 percent,Cell,1,0.6161,0.5657,0.4356,0.567,2018-09-10 20:18:03
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,agree,support,Don't know,Favorable,Favorable,oppose,oppose,yes,disagree,disagree,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,35 to 49,"Rest, Democratic",White,85 percent or higher,Cell,0.8889,0.9702,0.8501,0.5761,0.8352,2018-09-10 20:26:00
Rep,65 and older,Some college or trade school,White,Female,White,Approve,disagree,Don't know,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,disagree,agree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.865,0.5929,0.3776,0.5918,2018-09-10 20:19:24
Dem,65 and older,Some college or trade school,White,Female,Hispanic,Disapp.,agree,support,Don't know,Favorable,Unfavorable,oppose,Don't know,no,agree,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Inner Bluegrass,65 and older,"Rest, Democratic",White,Less than 50 percent,Landline,0.8889,0.042,0.9785,6.0493,1.724,2018-09-10 20:28:06
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Don't know,oppose,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,disagree,Don't know,18 to 29,Some College Educ.,Republican,Male,Not very likely,Republican,"White, No 4-Year College Degree",White,Fayette,18 to 34,"Fayette, Republican",White,Less than 50 percent,Cell,0.1111,0.1777,2.0544,10.12,0.649,2018-09-10 20:20:00
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,disagree,support,Dems. take House,Favorable,Don't know,support,support,yes,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,50 to 85 percent,Landline,1,0.6392,0.669,0.5237,0.7003,2018-09-10 20:22:06
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,Don't know,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Cell,1,0.9795,0.8122,0.4333,0.8005,2018-09-10 20:27:21
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Democratic",White,50 to 85 percent,Landline,1,0.7354,0.7569,0.3773,0.7464,2018-09-10 20:24:21
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,support,yes,disagree,agree,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.9726,0.7683,0.2217,0.7575,2018-09-10 20:22:51
