response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,35 to 49,Bachelors' degree,White,Female,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Favorable,Don't know,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.78,1.1175,0.8734,1.163,2018-09-14 01:08:21
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9942,0.6605,0.3319,0.6692,2018-09-14 01:10:45
Rep,65 and older,High school,White,Female,White,Don't know,Don't know,Disapp.,Don't know,Oppose,disagree,Dems. take House,Don't know,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,0.7778,0.9462,1.0915,0.8463,1.0788,2018-09-14 01:13:09
Rep,18 to 34,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,18 to 29,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Shawnee,50 to 85 percent,Cell,0.6667,0.8043,0.5575,0.3528,0.4825,2018-09-14 01:13:27
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Central,85 percent or higher,Cell,0.8889,0.894,1.5288,0.9808,1.547,2018-09-14 01:13:27
Rep,65 and older,High school,White,Female,[DO NOT READ] Don't know/Refused,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9943,1.4249,0.9724,1.4401,2018-09-14 01:14:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Shawnee,85 percent or higher,Cell,1,0.9684,0.6467,0.3195,0.655,2018-09-14 01:15:24
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Rest,85 percent or higher,Cell,1,0.9893,0.8852,0.422,0.8964,2018-09-14 01:15:24
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Rest,50 to 85 percent,Landline,0,0.8151,0.5557,0.345,0.4354,2018-09-14 01:15:33
Rep,35 to 49,Some college or trade school,White,Female,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,85 percent or higher,Cell,1,0.973,1.6811,1.3637,1.7024,2018-09-14 01:16:40
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Shawnee,85 percent or higher,Cell,1,0.9929,0.7313,0.2264,0.7386,2018-09-14 01:18:01
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Douglas,Less than 50 percent,Cell,1,0.4096,0.5685,0.9545,0.6653,2018-09-14 01:19:58
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,disagree,Approve,support,Support,agree,Don't know,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Cell,1,0.9323,1.6123,0.9281,1.6383,2018-09-14 01:20:43
Rep,65 and older,High school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Favorable,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Central,85 percent or higher,Cell,1,0.8667,1.4167,1.2637,1.4213,2018-09-14 01:22:40
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Landline,0.8889,0.9909,0.7505,0.3373,0.756,2018-09-14 01:22:58
Dem,35 to 49,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,85 percent or higher,Cell,1,0.9673,1.2877,1.1362,1.3044,2018-09-14 01:24:10
Rep,65 and older,Some college or trade school,White,Male,White,Support,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9926,1.2101,0.6083,1.2222,2018-09-14 01:25:31
Rep,35 to 49,Graduate or Professional Degree,White,Male,Other,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,35 to 49,White,Shawnee,85 percent or higher,Landline,1,0.994,0.9144,0.5747,0.9264,2018-09-14 01:25:49
Dem,18 to 34,High school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Shawnee,Less than 50 percent,Cell,0.4444,0.4485,0.9188,2.439,0.4063,2018-09-14 01:26:34
Rep,65 and older,High school,White,Female,White,Oppose,disagree,Approve,oppose,Support,Don't know,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.6027,1.2041,1.0992,1.2426,2018-09-14 01:26:34
Und,50 to 64,Some college or trade school,White,Female,Other,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,50 to 64,White,Rest,Less than 50 percent,Cell,1,0.4063,1.8316,3.5737,2.1469,2018-09-14 01:27:10
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9717,0.506,0.2813,0.5124,2018-09-14 01:28:31
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown,Douglas,85 percent or higher,Cell,1,0.912,0.4368,0.3334,0.4449,2018-09-14 01:30:28
Dem,65 and older,Grade school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,0,0.9811,1.4804,0.9827,1.4104,2018-09-14 01:32:09
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Rest,Less than 50 percent,Cell,0.6667,0.3961,0.8099,2.7149,0.8374,2018-09-14 01:32:36
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,Don't know,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Central,Less than 50 percent,Landline,1,0.4358,1.0775,1.9454,1.1568,2018-09-14 01:33:39
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Don't know,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Shawnee,85 percent or higher,Cell,1,0.885,0.8139,0.6704,0.832,2018-09-14 01:35:09
Rep,35 to 49,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Central,50 to 85 percent,Cell,1,0.5978,1.9932,2.9817,2.1687,2018-09-14 01:35:27
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Cell,1,0.9969,0.519,0.1926,0.526,2018-09-14 01:36:21
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Douglas,50 to 85 percent,Cell,1,0.6762,0.6968,0.3938,0.7421,2018-09-14 01:38:18
Dem,65 and older,Bachelors' degree,Black,Female,Other,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Shawnee,85 percent or higher,Cell,1,0.9239,0.6005,0.3603,0.6107,2018-09-14 01:38:54
Und,65 and older,Some college or trade school,White,Female,White,Don't know,disagree,Approve,support,Don't know,agree,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,0.4444,0.8845,1.2807,0.8551,1.2312,2018-09-14 01:40:06
Dem,65 and older,Grade school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Cell,1,0.9367,1.0815,0.7628,1.0846,2018-09-14 01:42:12
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9817,1.2689,0.6874,1.2779,2018-09-14 01:42:12
Rep,65 and older,Some college or trade school,White,Female,White,Support,agree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9887,1.2214,0.6845,1.232,2018-09-14 01:42:21
Und,18 to 34,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,oppose,Oppose,disagree,Don't know,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Rest,Less than 50 percent,Cell,0.3333,0.0956,0.8258,5.7045,0.2522,2018-09-14 01:44:54
Und,18 to 34,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Support,agree,Don't know,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Rest,Less than 50 percent,Cell,0.4444,0.382,0.5075,1.106,0.3248,2018-09-14 01:45:30
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Don't know,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,White,Shawnee,50 to 85 percent,Cell,0.8889,0.5313,0.6803,0.4311,0.7343,2018-09-14 01:46:42
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Rest,85 percent or higher,Cell,0.8889,0.9395,0.7413,0.6308,0.7482,2018-09-14 01:46:46
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Landline,1,0.9728,0.778,0.2685,0.7879,2018-09-14 01:49:46
Rep,65 and older,High school,White,Male,White,Don't know,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9832,1.4804,0.9805,1.4988,2018-09-14 01:49:55
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,agree,Approve,support,Don't know,Don't know,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9756,1.2807,0.7752,1.2968,2018-09-14 01:50:58
Rep,18 to 34,Bachelors' degree,Unknown,Female,White,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,Unknown,Rest,Less than 50 percent,Cell,0.6667,0.195,0.4517,2.2504,0.4402,2018-09-14 01:51:52
Rep,35 to 49,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Central,50 to 85 percent,Cell,0.7778,0.7814,1.9932,2.2811,1.9298,2018-09-14 01:52:37
Dem,18 to 34,High school,White,Male,White,Support,agree,Disapp.,support,Support,agree,Dems. take House,Unfavorable,Unfavorable,agree,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Central,Less than 50 percent,Cell,0.6667,0.2499,0.9051,4.4238,0.6641,2018-09-14 01:52:46
Dem,50 to 64,High school,White,Female,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest,Less than 50 percent,Landline,0.4444,0.1155,1.6537,8.1319,0.7475,2018-09-14 01:54:34
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,agree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Rest,Less than 50 percent,Landline,1,0.4439,0.6239,0.9093,0.7183,2018-09-14 01:54:43
Dem,65 and older,High school,White,Female,White,Oppose,disagree,Disapp.,Don't know,Oppose,Don't know,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.8718,1.1445,1.0266,1.1722,2018-09-14 01:54:43
Rep,35 to 49,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,support,Oppose,agree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest,50 to 85 percent,Landline,0.7778,0.8183,1.1175,0.8326,1.0847,2018-09-14 01:55:10
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9879,0.7462,0.3832,0.7555,2018-09-14 01:55:55
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Support,agree,Approve,support,Support,agree,Dems. take House,Don't know,Favorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Rest,85 percent or higher,Landline,0.4444,0.9598,0.4794,0.3271,0.4718,2018-09-14 01:55:55
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,agree,Disapp.,oppose,Support,Don't know,Reps. keep House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,35 to 49,White,Shawnee,Less than 50 percent,Cell,1,0.4112,1.1627,2.3859,1.3594,2018-09-14 01:57:43
Dem,65 and older,Bachelors' degree,White,Female,White,Support,Don't know,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9966,0.6028,0.3104,0.611,2018-09-14 01:57:52
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9459,0.9541,0.4715,0.9572,2018-09-14 01:58:10
Und,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,Don't know,Support,agree,Reps. keep House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9772,0.787,0.3822,0.7919,2018-09-14 01:58:46
Rep,50 to 64,Some college or trade school,White,Female,White,Support,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9842,1.6123,0.8791,1.6246,2018-09-14 01:59:49
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Support,agree,Don't know,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Shawnee,50 to 85 percent,Landline,0.3333,0.6369,1.5864,1.1308,1.0801,2018-09-14 02:02:32
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,agree,Approve,support,Oppose,agree,Reps. keep House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.9858,0.7031,0.3702,0.7119,2018-09-14 02:05:05
Dem,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.994,0.7436,0.3,0.7533,2018-09-14 02:07:29
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.8132,1.3213,0.8652,1.2115,2018-09-14 02:12:53
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Shawnee,85 percent or higher,Landline,1,0.9947,0.8364,0.3351,0.8474,2018-09-14 02:13:11
Dem,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9199,0.7393,0.3671,0.7523,2018-09-14 02:18:59
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Douglas,50 to 85 percent,Cell,0.5556,0.6762,1.4013,0.954,1.3496,2018-09-14 02:21:14
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Don't know,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Douglas,85 percent or higher,Landline,1,0.9941,1.1203,0.4457,1.1349,2018-09-14 02:21:14
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,agree,Disapp.,oppose,Oppose,agree,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,Shawnee,85 percent or higher,Landline,1,0.9106,1.219,0.7555,1.222,2018-09-14 02:21:23
Rep,65 and older,High school,White,Male,White,Support,disagree,Approve,oppose,Don't know,agree,Reps. keep House,Unfavorable,Unfavorable,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9699,1.4036,1.0074,1.4216,2018-09-14 02:21:32
Rep,65 and older,High school,White,Male,White,Oppose,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.8931,1.134,0.8941,1.1579,2018-09-14 02:22:44
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,White,Shawnee,85 percent or higher,Landline,1,0.9694,0.6467,0.3191,0.65,2018-09-14 02:23:56
Rep,65 and older,Some college or trade school,White,Female,White,Support,agree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.964,1.2807,0.7845,1.2976,2018-09-14 02:24:14
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.8136,1.0321,0.5699,1.0384,2018-09-14 02:25:26
Und,65 and older,Bachelors' degree,White,Female,White,Don't know,disagree,Don't know,Don't know,Oppose,disagree,Reps. keep House,Favorable,Don't know,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9855,0.787,0.379,0.7968,2018-09-14 02:27:59
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9947,0.6644,0.2929,0.6731,2018-09-14 02:29:02
Rep,50 to 64,High school,White,Female,White,Oppose,disagree,Don't know,support,Oppose,agree,Don't know,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Central,85 percent or higher,Landline,1,0.9388,1.7835,1.3345,1.8109,2018-09-14 02:30:32
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,agree,Dems. take House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Landline,0.4444,0.9163,1.2351,0.7821,1.0558,2018-09-14 02:30:41
Rep,65 and older,Some college or trade school,White,Female,White,Support,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.8052,1.3213,0.8739,1.3301,2018-09-14 02:31:08
Dem,50 to 64,High school,White,Female,White,Oppose,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Douglas,85 percent or higher,Landline,1,0.9398,1.8236,1.1563,1.8514,2018-09-14 02:42:43
