response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_party_model,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Duluth,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,1,0.753,0.3303,0.2932,0.3476,2018-10-11 23:57:11
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.9594,0.811,0.9776,2018-10-11 23:58:53
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,Unknown/Non-White,50 to 85 percent,Landline,1,0.7419,0.9934,1.1639,0.9338,2018-10-12 00:02:14
Dem,65 and older,Grade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.5109,1.2691,1.5482,2018-10-12 00:06:22
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.4746,1.357,1.5025,2018-10-12 00:07:07
Und,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Minn. Exurbs,40 to 64,Probably Trump,White,85 percent or higher,Landline,0.4444,0.9296,1.1421,1.1337,1.0895,2018-10-12 00:07:29
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,40 to 64,Most Trump,White,85 percent or higher,Landline,1,0.965,1.4195,1.1636,1.4344,2018-10-12 00:07:47
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.089,0.9355,1.1004,2018-10-12 00:08:14
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Duluth,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,0.3738,0.269,0.3778,2018-10-12 00:08:46
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.3312,1.1002,1.364,2018-10-12 00:09:13
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.3428,1.2164,1.3682,2018-10-12 00:13:25
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.3312,1.1002,1.3451,2018-10-12 00:14:37
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Most Trump,White,85 percent or higher,Landline,1,0.965,1.1479,0.9479,1.1599,2018-10-12 00:15:49
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 39,Unknown,White,Less than 50 percent,Cell,0.3333,0.4301,1.1658,2.4739,0.5705,2018-10-12 00:16:30
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,Rest,18 to 39,Most Trump,White,50 to 85 percent,Cell,1,0.8112,1.126,0.9559,1.1396,2018-10-12 00:18:27
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,50 to 85 percent,Cell,1,0.8205,0.8403,0.8083,0.873,2018-10-12 00:18:36
Dem,18 to 34,High school,White,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,Nonwhite,Iron Range,18 to 39,Unknown,White,85 percent or higher,Cell,1,0.965,2.0599,2.0232,2.0816,2018-10-12 00:20:33
3,35 to 49,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.8773,1.1865,1.0951,1.2212,2018-10-12 00:22:48
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,Most Trump,White,85 percent or higher,Cell,1,0.965,0.6464,0.4292,0.6623,2018-10-12 00:26:51
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.956,1.6462,1.3634,1.6622,2018-10-12 00:31:13
Und,18 to 34,Bachelors' degree,White,Female,White,Don't know,Don't know,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,18 to 39,Unknown,White,Less than 50 percent,Cell,1,0.4903,0.9756,1.5696,1.1078,2018-10-12 00:32:16
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Most Trump,White,85 percent or higher,Cell,1,0.8826,1.4195,1.2722,1.4599,2018-10-12 00:34:49
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,White,85 percent or higher,Cell,1,0.965,1.1138,1.0082,1.1348,2018-10-12 00:36:55
Und,65 and older,Some college or trade school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,50 to 85 percent,Cell,1,0.7644,0.872,0.9214,0.8858,2018-10-12 00:40:22
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Duluth,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.902,1.1391,1.0585,1.1683,2018-10-12 00:40:49
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Cell,1,0.965,0.6506,0.536,0.6629,2018-10-12 00:47:40
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.6468,0.6121,0.6528,0.6606,2018-10-12 00:48:34
Rep,18 to 34,Some college or trade school,White,Female,Asian,Approve,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Republican,Nonwhite,Nonwhite,Minn. Exurbs,18 to 39,Probably Trump,White,85 percent or higher,Cell,1,0.8659,1.3521,1.4897,1.394,2018-10-12 00:53:22
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,Iron Range,18 to 39,Probably Clinton,White,85 percent or higher,Cell,1,0.88,1.4578,1.2804,1.4998,2018-10-12 01:00:07
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.8524,1.2541,1.3793,1.2958,2018-10-12 01:01:48
Rep,18 to 34,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,18 to 39,Probably Trump,Unknown/Non-White,85 percent or higher,Cell,1,0.9109,1.0221,0.8961,1.0471,2018-10-12 01:01:57
Dem,18 to 34,Bachelors' degree,White,Male,Other,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,Iron Range,18 to 39,Probably Trump,White,50 to 85 percent,Cell,1,0.5205,0.8981,1.2647,1.0535,2018-10-12 01:05:06
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,1,0.7192,0.8052,0.772,0.8537,2018-10-12 01:07:39
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,50 to 85 percent,Cell,1,0.631,1.1314,1.3553,1.1687,2018-10-12 01:08:15
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,Unknown/Non-White,85 percent or higher,Cell,1,0.8551,1.0317,1.0784,1.0416,2018-10-12 01:08:42
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Minn. Exurbs,18 to 39,Most Trump,White,85 percent or higher,Cell,1,0.965,0.8692,0.7019,0.8856,2018-10-12 01:09:00
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Cell,1,0.965,1.4746,1.357,1.5025,2018-10-12 01:09:18
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Cell,0.6667,0.8834,1.1322,1.079,1.1271,2018-10-12 01:10:39
Rep,35 to 49,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,18 to 39,Probably Trump,Unknown/Non-White,85 percent or higher,Cell,1,0.859,1.2321,1.4529,1.2436,2018-10-12 01:11:51
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,Other,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Iron Range,40 to 64,Unknown,Unknown/Non-White,85 percent or higher,Cell,1,0.8852,0.6141,0.5773,0.6313,2018-10-12 01:19:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Minn. Exurbs,18 to 39,Probably Trump,White,85 percent or higher,Cell,1,0.9414,0.7265,0.6157,0.7417,2018-10-12 01:19:58
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Duluth,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,1,0.6665,0.6299,0.6896,0.6763,2018-10-12 01:21:55
Und,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Duluth,65 and older,Probably Clinton,White,50 to 85 percent,Cell,1,0.7614,0.2799,0.2381,0.2844,2018-10-12 01:22:22
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,85 percent or higher,Cell,1,0.965,1.413,1.1359,1.4479,2018-10-12 01:28:13
Und,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Don't know,Reps. keep House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Duluth,40 to 64,Probably Clinton,Unknown/Non-White,85 percent or higher,Cell,1,0.9642,0.3852,0.2656,0.3892,2018-10-12 01:29:07
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,40 to 64,Most Trump,White,85 percent or higher,Cell,1,0.9548,1.4001,1.2065,1.4277,2018-10-12 01:29:52
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Minn. Exurbs,40 to 64,Unknown,White,85 percent or higher,Cell,0.7778,0.911,1.0848,0.9649,1.0706,2018-10-12 01:33:25
Und,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Most Trump,White,85 percent or higher,Cell,1,0.965,1.3545,1.1545,1.3802,2018-10-12 01:34:37
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Cell,0.7778,0.8512,1.1322,1.1198,1.1085,2018-10-12 01:35:49
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Minn. Exurbs,18 to 39,Probably Trump,Unknown/Non-White,50 to 85 percent,Cell,1,0.7692,0.5301,0.5687,0.5561,2018-10-12 01:36:10
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Duluth,40 to 64,Unknown,White,50 to 85 percent,Cell,0.7778,0.6785,0.3447,0.3887,0.3346,2018-10-12 01:36:19
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Duluth,18 to 39,Unknown,White,50 to 85 percent,Cell,0.8889,0.516,0.7782,1.3026,0.7919,2018-10-12 01:37:10
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,50 to 85 percent,Cell,1,0.7069,0.5396,0.5829,0.5737,2018-10-12 01:38:43
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Duluth,18 to 39,Probably Clinton,Unknown/Non-White,85 percent or higher,Cell,1,0.9561,0.4451,0.3506,0.4538,2018-10-12 01:38:43
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.528,0.4007,0.4787,0.4222,2018-10-12 01:39:01
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,50 to 85 percent,Cell,1,0.8045,0.8611,0.7711,0.8718,2018-10-12 01:42:28
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Cell,1,0.965,0.5851,0.4203,0.5913,2018-10-12 01:42:52
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.5876,0.9533,1.1566,1.0464,2018-10-12 01:44:40
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.5203,0.609,0.8361,0.6428,2018-10-12 01:47:12
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,50 to 85 percent,Cell,1,0.7521,0.7121,0.724,0.7496,2018-10-12 01:48:33
Dem,[DO NOT READ] Refused,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.5549,1.0098,1.4708,1.1201,2018-10-12 01:52:41
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Clinton,White,85 percent or higher,Cell,1,0.9553,1.2017,1.0302,1.2253,2018-10-12 01:52:41
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,Duluth,18 to 39,Probably Clinton,Unknown/Non-White,85 percent or higher,Cell,1,0.965,0.8487,0.723,0.8697,2018-10-12 01:52:59
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,18 to 39,Unknown,White,Less than 50 percent,Cell,0.6667,0.49370000000000003,1.1399,2.0001,1.161,2018-10-12 01:54:11
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.965,0.6705,0.5639,0.6832,2018-10-12 01:55:59
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,18 to 39,Probably Clinton,White,85 percent or higher,Cell,1,0.8973,0.7606,0.6214,0.7806,2018-10-12 01:57:20
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.965,1.1322,0.9878,1.1536,2018-10-12 02:01:50
Und,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,Unknown/Non-White,85 percent or higher,Cell,1,0.965,1.1429,1.1786,1.1645,2018-10-12 02:02:38
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Cell,1,0.965,0.5711,0.4494,0.5819,2018-10-12 02:03:23
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.965,1.1322,0.9878,1.1536,2018-10-12 02:03:41
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Probably Trump,White,Less than 50 percent,Cell,1,0.4621,0.7431,1.2846,0.8536,2018-10-12 02:05:20
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,18 to 29,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,18 to 39,Unknown,White,50 to 85 percent,Cell,1,0.6635,1.0194,1.1445,1.0953,2018-10-12 02:05:20
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Cell,1,0.965,1.089,0.9355,1.1004,2018-10-12 02:05:54
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,Unknown/Non-White,85 percent or higher,Cell,1,0.9033,0.6141,0.5657,0.6298,2018-10-12 02:05:56
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Duluth,18 to 39,Unknown,White,85 percent or higher,Cell,1,0.9204,0.5222,0.4205,0.5344,2018-10-12 02:06:41
Und,50 to 64,High school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,0.6667,0.6412,1.3351,1.6245,1.088,2018-10-12 02:06:50
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,Duluth,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,1,0.5638,0.5271,0.5895,0.6067,2018-10-12 02:09:05
3,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,0.6667,0.5328,0.7457,1.0559,0.6958,2018-10-12 02:09:59
3,50 to 64,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,50 to 85 percent,Cell,0.4444,0.5844,0.9066,1.2724,0.7726,2018-10-12 02:10:08
3,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,50 to 85 percent,Cell,1,0.8175,1.0042,1.122,1.0634,2018-10-12 02:11:02
Rep,18 to 34,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,High School Grad. or Less,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Iron Range,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,0.4444,0.8308,1.5805,1.5346,1.302,2018-10-12 02:11:29
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Iron Range,65 and older,Unknown,Unknown/Non-White,85 percent or higher,Cell,1,0.965,0.5332,0.4066,0.5388,2018-10-12 02:14:18
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,0.4444,0.9126,0.9027,0.7689,0.8534,2018-10-12 02:19:03
