response,ager,educ,file_race,gender,race_eth,approve,GOVHR,NFLA,NFLRIGHT,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Major City,40 to 64,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.2836,1.2394,1.8001,1.5426
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Major City,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9411,0.8813,0.3206,0.8796
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rural,65 and older,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.9917,0.6905,0.318,0.6875
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rural,65 and older,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.7064,0.7667,0.4425,0.7969
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Major City,65 and older,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.9896,0.7682,0.2678,0.7648
Dem,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,support,support,Favorable,Dem.,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Rural,40 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,0.6667,0.6112,1.0189,0.9537,0.9988
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.5514,0.8172,0.5318,0.8872
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,Major Suburbs,40 to 64,No 4-year College Degree,Other Non-White,85 percent or higher,Cell,1,0.8514,1.2339,1.0531,1.2464
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,Unknown,85 percent or higher,Landline,1,0.8632,1.1236,0.7468,1.1329
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,Other,Disapp.,Dem.,support,support,Favorable,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,Major City,40 to 64,Postgraduate Degree,White,Less than 50 percent,Cell,1,0.4928,0.8877,0.8091,0.922
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rural,18 to 39,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9476,1.1644,0.9373,1.1614
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Rio Grande/South,18 to 39,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.136,1.0356,5.0137,1.532
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Minor City,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9059,0.7839,0.2946,0.7856
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Rural,65 and older,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.8652,0.9488,0.534,0.9564
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Rural,18 to 39,4-year College Grad.,White,Less than 50 percent,Cell,0.8889,0.3523,0.7247,1.2457,0.7489
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Rio Grande/South,40 to 64,Postgraduate Degree,Hispanic,50 to 85 percent,Landline,1,0.8181,0.9753,0.6028,0.9908
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Rep.,oppose,support,Don't know,Rep.,Don't know,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Republican,"White, 4-Year College Grads",Minor City,18 to 39,4-year College Grad.,White,Less than 50 percent,Cell,0.7778,0.1642,0.8553,2.502,0.6806
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Rural,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8921,1.0064,0.6718,1.0104
Dem,35 to 49,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Lib./Don't know,support,support,Favorable,Don't know,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Major Suburbs,40 to 64,4-year College Grad.,White,Less than 50 percent,Cell,1,0.4806,0.8161,0.6905,0.9093
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Rural,65 and older,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.9535,0.6601,0.296,0.6514
Und,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9573,1.0353,0.6059,1.0317
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",Major City,40 to 64,Postgraduate Degree,White,50 to 85 percent,Cell,0.5556,0.5415,0.889,0.6507,0.644
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dem.,oppose,oppose,Favorable,Dem.,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,Major City,18 to 39,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.1204,1.3132,4.4936,2.001
Dem,35 to 49,Bachelors' degree,Unknown,Male,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Rio Grande/South,18 to 39,4-year College Grad.,Unknown,50 to 85 percent,Cell,1,0.7525,0.6743,0.4621,0.6938
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rural,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.8956,0.6791,0.2808,0.6814
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Minor City,40 to 64,4-year College Grad.,Hispanic,Less than 50 percent,Cell,0.6667,0.0399,1.0095,2.6811,0.8088
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Dem.,Favorable,30 to 44,Some College Educ.,Other,Female,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",Minor City,18 to 39,No 4-year College Degree,Unknown,Less than 50 percent,Cell,0.7778,0.2679,1.2959,3.5009,1.0197
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Not very likely,Republican,"White, No 4-Year College Degree",Minor City,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9046,1.2218,0.6002,1.112
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Rep.,oppose,support,Unfavorable,Rep.,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Rural,18 to 39,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.808,0.7231,0.4702,0.736
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Major Suburbs,40 to 64,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.7106,0.7994,0.4676,0.8301
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dem.,oppose,oppose,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,0.8889,0.7155,0.7974,0.3528,0.7773
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,support,Unfavorable,Don't know,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Major City,18 to 39,4-year College Grad.,White,50 to 85 percent,Cell,1,0.7278,0.8982,0.4345,0.9291
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Minor City,40 to 64,4-year College Grad.,White,Less than 50 percent,Landline,1,0.3118,0.7392,0.8889,0.8195
3,35 to 49,Some college or trade school,White,Male,White,Approve,Lib./Don't know,support,support,Unfavorable,Don't know,Unfavorable,30 to 44,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,0.6667,0.6877,1.1622,0.7575,0.7312
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Rio Grande/South,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9911,0.6232,0.2659,0.6205
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dem.,oppose,Don't know,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rio Grande/South,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.9823,1.4171,1.0074,1.4105
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,65 and older,4-year College Grad.,White,50 to 85 percent,Cell,1,0.8139,0.7842,0.2686,0.7973
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Don't know,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,Less than 50 percent,Cell,0.6667,0.3102,1.2442,2.4673,0.905
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Rural,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.9603,1.4139,0.8764,1.4087
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rio Grande/South,40 to 64,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.8683,0.9035,0.5106,0.9103
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Major City,18 to 39,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.8693,1.6947,1.24,1.6714
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Rep.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Major Suburbs,40 to 64,Postgraduate Degree,Other Non-White,85 percent or higher,Cell,1,0.994,0.7724,0.3815,0.7674
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,support,support,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9078,1.0996,0.5873,1.1016
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9148,1.0353,0.6341,1.0363
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Major Suburbs,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9536,1.0996,0.5592,1.0961
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,White,Less than 50 percent,Cell,1,0.2623,0.7473,1.1272,0.9466
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dem.,Don't know,Don't know,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Major City,40 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.987,0.8206,0.3145,0.8168
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,30 to 44,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,Major Suburbs,18 to 39,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,1,0.4907,1.6485,2.6621,1.7131
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Rep.,oppose,support,Don't know,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Minor City,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8767,1.1877,0.6399,1.1951
Rep,50 to 64,High school,Hispanic,Female,White,Approve,Rep.,support,support,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",Major City,40 to 64,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,0.4444,0.2374,1.8895,4.9598,0.6945
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,Hispanic,50 to 85 percent,Cell,1,0.7477,1.1369,0.492,1.1709
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dem.,support,support,Favorable,Dem.,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,Democrat,Nonwhite,Rio Grande/South,18 to 39,4-year College Grad.,Hispanic,50 to 85 percent,Cell,0.8889,0.5161,0.9674,0.992,0.9623
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Major Suburbs,40 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9572,0.7212,0.2416,0.7187
Dem,50 to 64,Bachelors' degree,Asian,Female,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Major Suburbs,40 to 64,4-year College Grad.,Other Non-White,85 percent or higher,Landline,1,0.9884,0.7897,0.3386,0.783
Rep,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Republican,Nonwhite,Minor City,18 to 39,Postgraduate Degree,White,Less than 50 percent,Cell,1,0.2347,0.7661,1.7674,0.9954
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Minor City,18 to 39,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.6444,1.2181,1.0006,1.2858
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Rep.,oppose,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Major City,40 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9919,0.7845,0.2801,0.7812
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9629,1.1306,0.6761,1.1262
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,Rep.,oppose,oppose,Don't know,Rep.,Favorable,30 to 44,4-year College Grad.,Other,Female,Not very likely,Republican,"White, 4-Year College Grads",Rural,40 to 64,4-year College Grad.,White,Less than 50 percent,Cell,0.2222,0.135,0.7469,2.4869,0.2624
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Rep.,oppose,oppose,Don't know,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,Major Suburbs,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9891,0.7925,0.2878,0.789
Dem,65 and older,Some college or trade school,Black,Male,White,Approve,Dem.,oppose,support,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,Other Non-White,50 to 85 percent,Cell,1,0.6223,1.1943,1.2541,1.2685
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.1944,1.1393,3.5083,1.3683
Dem,50 to 64,Some college or trade school,Other,Male,Asian,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Major City,40 to 64,No 4-year College Degree,Other Non-White,Less than 50 percent,Cell,1,0.3207,1.3262,2.9194,1.6066
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9075,0.7925,0.3137,0.794
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Major Suburbs,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9782,1.1311,0.5275,1.1259
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Minor City,40 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.7867,1.1497,0.6208,1.1394
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Major City,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9687,1.2579,0.5648,1.2526
Rep,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Minor City,18 to 39,Postgraduate Degree,Unknown,50 to 85 percent,Cell,1,0.6375,0.7767,0.4922,0.8214
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Major Suburbs,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9939,0.7591,0.2851,0.7541
Dem,65 and older,Some college or trade school,White,Male,White,Don't know,Rep.,oppose,oppose,Unfavorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rio Grande/South,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9617,0.9502,0.6318,0.9466
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Major Suburbs,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9899,0.776,0.2526,0.7726
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Major City,40 to 64,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.7196,0.8293,0.3772,0.8593
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Minor City,40 to 64,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9662,0.6978,0.2542,0.695
Dem,50 to 64,High school,Black,Female,Black,Don't know,Dem.,support,support,Don't know,Dem.,Don't know,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,[DO NOT READ] Refused,Nonwhite,Major City,40 to 64,No 4-year College Degree,Other Non-White,Less than 50 percent,Landline,0.6667,0.3117,1.4483,3.3723,1.0537
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",Rural,65 and older,Postgraduate Degree,White,50 to 85 percent,Landline,1,0.557,0.6725,0.4977,0.7287
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Rep.,oppose,support,Favorable,Rep.,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.5929,0.7484,0.4407,0.7606
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Major Suburbs,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9083,1.2352,0.6377,1.2174
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Rep.,oppose,support,Don't know,Rep.,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Major Suburbs,18 to 39,No 4-year College Degree,White,Less than 50 percent,Cell,0.6667,0.3485,1.2071,2.5835,1.1107
3,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,Nonwhite,Major City,40 to 64,4-year College Grad.,Hispanic,50 to 85 percent,Landline,1,0.562,1.2412,0.8026,1.269
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rio Grande/South,40 to 64,Postgraduate Degree,White,50 to 85 percent,Landline,1,0.7411,0.6841,0.4566,0.7055
Rep,65 and older,High school,White,Male,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.981,1.0353,0.5913,1.0249
Dem,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,Major Suburbs,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9468,1.0532,0.5606,1.0505
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,Nonwhite,Major Suburbs,65 and older,Postgraduate Degree,Hispanic,50 to 85 percent,Landline,1,0.7407,1.0476,0.4854,1.0427
