response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Don't know,Don't know,Support,agree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Aurora,50 to 85 percent,Landline,1,0.8031,1.2502,1.1125,1.3116,2018-09-13 01:05:34
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,Other,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Nonwhite,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.8674,0.9271,0.8012,0.8756,2018-09-13 01:06:28
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Adams,85 percent or higher,Cell,1,0.9647,0.5789,0.4183,0.5889,2018-09-13 01:07:49
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Support,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Democrat,Nonwhite,Nonwhite,35 to 49,Hispanic,Aurora,Less than 50 percent,Cell,0.4444,0.2582,1.126,2.674,0.6958,2018-09-13 01:09:28
Dem,50 to 64,High school,White,Female,White,Support,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Adams,50 to 85 percent,Landline,0.6667,0.7154,1.1851,1.3418,0.9996,2018-09-13 01:09:55
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9919,1.0367,0.6848,1.0631,2018-09-13 01:11:34
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9986,0.8521,0.5974,0.875,2018-09-13 01:12:01
Rep,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Don't know,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Postgraduate Degree,Republican,Male,Somewhat likely,Republican,Nonwhite,Nonwhite,18 to 34,Hispanic,Aurora,Less than 50 percent,Cell,0.6667,0.2688,0.6503,1.3327,0.4841,2018-09-13 01:13:58
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Douglas,85 percent or higher,Landline,1,0.991,1.7032,1.1043,1.7464,2018-09-13 01:15:37
Und,50 to 64,High school,Unknown,Female,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Unknown,Adams,50 to 85 percent,Cell,0.4444,0.7718,1.2263,1.3783,0.9754,2018-09-13 01:16:02
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9974,0.9654,0.5786,0.9909,2018-09-13 01:16:11
Dem,18 to 34,Bachelors' degree,Unknown,Female,Black,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,Unknown,Aurora,Less than 50 percent,Cell,0.4444,0.114,0.5786,3.0086,0.3495,2018-09-13 01:16:38
Dem,50 to 64,Some college or trade school,Black,Male,Black,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Other Non-White,Aurora,85 percent or higher,Cell,1,0.9273,1.2645,1.0839,1.3016,2018-09-13 01:16:47
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,Other,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Hispanic,Aurora,85 percent or higher,Cell,1,0.991,1.3226,0.7142,1.3561,2018-09-13 01:17:32
Und,35 to 49,Bachelors' degree,White,Male,White,Oppose,agree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Favorable,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.8415,1.0436,0.7726,1.0875,2018-09-13 01:17:50
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Hispanic,Aurora,Less than 50 percent,Cell,1,0.0996,0.6394,3.0139,0.8973,2018-09-13 01:19:02
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9949,1.0255,0.6191,1.052,2018-09-13 01:19:20
Und,18 to 34,Graduate or Professional Degree,Hispanic,Male,[DO NOT READ] Don't know/Refused,Oppose,agree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Not at all likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,Hispanic,Rest of Araphahoe,50 to 85 percent,Cell,0.7778,0.5829,1.2221,1.1451,0.7839,2018-09-13 01:19:56
Dem,65 and older,Some college or trade school,White,Female,Black,Don't know,disagree,Disapp.,support,Support,agree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Aurora,85 percent or higher,Cell,1,0.9779,0.9723,0.8126,0.9907,2018-09-13 01:20:14
Dem,18 to 34,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Rest of Araphahoe,50 to 85 percent,Cell,0.2222,0.5302,0.8022,1.1505,0.3913,2018-09-13 01:20:14
Rep,50 to 64,Bachelors' degree,Hispanic,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,Hispanic,Douglas,50 to 85 percent,Landline,1,0.5708,1.4846,1.3749,1.6493,2018-09-13 01:20:41
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.8915,0.9271,0.7795,0.9587,2018-09-13 01:20:50
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9985,1.0367,0.6802,1.0645,2018-09-13 01:21:44
Rep,18 to 34,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Support,disagree,Don't know,Don't know,Favorable,disagree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Aurora,85 percent or higher,Cell,0.8889,0.8682,0.5639,0.4814,0.5652,2018-09-13 01:22:11
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Aurora,Less than 50 percent,Cell,0.7778,0.331,0.4918,1.1774,0.5544,2018-09-13 01:22:20
Und,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,65 and older,White,Aurora,85 percent or higher,Cell,1,0.989,0.9617,0.7287,0.986,2018-09-13 01:22:38
Und,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Oppose,disagree,Don't know,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Adams,85 percent or higher,Cell,0.8889,0.9379,0.6167,0.4475,0.6302,2018-09-13 01:23:41
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown,Adams,85 percent or higher,Cell,0.6667,0.9292,0.3937,0.3586,0.3882,2018-09-13 01:24:17
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.8364,1.1531,0.9906,1.2026,2018-09-13 01:24:35
Und,50 to 64,High school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest of Araphahoe,Less than 50 percent,Cell,0.6667,0.3137,1.3998,3.337,1.0492,2018-09-13 01:24:44
Dem,35 to 49,Some college or trade school,White,Male,White,Oppose,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Adams,50 to 85 percent,Cell,1,0.7617,0.6502,0.6922,0.6876,2018-09-13 01:25:47
Dem,18 to 34,High school,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,High School Grad. or Less,Other,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Aurora,Less than 50 percent,Cell,0.3333,0.3259,0.7158,2.1253,0.3269,2018-09-13 01:26:05
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,agree,Approve,oppose,Oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.586,1.0849,1.4265,1.1995,2018-09-13 01:26:32
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,Hispanic,Douglas,50 to 85 percent,Cell,1,0.662,2.3741,2.256,2.5692,2018-09-13 01:26:32
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.9109,1.0251,0.9124,1.0572,2018-09-13 01:27:35
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,Don't know,Reps. keep House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Adams,50 to 85 percent,Cell,1,0.6256,0.6276,0.708,0.6532,2018-09-13 01:27:53
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,agree,Disapp.,support,Support,agree,Dems. take House,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Adams,85 percent or higher,Cell,1,0.8804,0.7088,0.5493,0.7341,2018-09-13 01:28:29
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Adams,85 percent or higher,Landline,1,0.9502,0.5789,0.4247,0.5945,2018-09-13 01:28:47
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,Hispanic,Adams,50 to 85 percent,Cell,1,0.63,1.0767,0.788,1.1752,2018-09-13 01:28:56
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Hispanic,Adams,85 percent or higher,Cell,1,0.933,0.4319,0.3505,0.4443,2018-09-13 01:29:14
Dem,65 and older,Bachelors' degree,White,Male,White,Oppose,agree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Aurora,85 percent or higher,Cell,1,0.9955,0.8194,0.6288,0.8406,2018-09-13 01:29:41
Dem,35 to 49,High school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Adams,50 to 85 percent,Cell,1,0.813,0.9165,1.0462,0.9597,2018-09-13 01:30:58
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Support,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,18 to 29,4-year College Grad.,Republican,Male,Somewhat likely,Republican,Nonwhite,Nonwhite,18 to 34,White,Rest of Araphahoe,Less than 50 percent,Cell,0.8889,0.2808,0.4785,1.1772,0.4197,2018-09-13 01:31:16
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Unknown,Aurora,50 to 85 percent,Landline,1,0.785,1.6048,1.5214,1.6382,2018-09-13 01:31:25
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Don't know,disagree,Don't know,oppose,Don't know,Don't know,Reps. keep House,Don't know,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.994,1.0381,0.5953,1.0647,2018-09-13 01:31:34
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9125,0.8557,0.6626,0.8823,2018-09-13 01:32:46
Dem,18 to 34,Bachelors' degree,Hispanic,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Hispanic,Rest of Araphahoe,50 to 85 percent,Cell,0.2222,0.8008,0.9645,0.6111,0.8205,2018-09-13 01:33:13
Dem,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Aurora,Less than 50 percent,Cell,1,0.4756,0.6943,1.3642,0.7983,2018-09-13 01:33:40
Dem,18 to 34,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9532,0.6327,0.4629,0.6496,2018-09-13 01:36:13
Dem,18 to 34,High school,White,Male,White,Oppose,agree,Approve,support,Oppose,disagree,Reps. keep House,Favorable,Unfavorable,agree,18 to 29,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Douglas,Less than 50 percent,Cell,0.8889,0.4524,1.2364,2.5921,1.2815,2018-09-13 01:36:22
Rep,65 and older,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Aurora,85 percent or higher,Landline,1,0.8943,1.351,1.2034,1.3964,2018-09-13 01:36:31
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.7029,0.6761,0.6836,0.7243,2018-09-13 01:37:07
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.998,1.0083,0.7789,1.0339,2018-09-13 01:39:04
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Aurora,85 percent or higher,Cell,1,0.9712,0.6072,0.4935,0.6226,2018-09-13 01:39:49
Und,50 to 64,Bachelors' degree,White,Female,Asian,Don't know,disagree,Don't know,Don't know,Don't know,disagree,Don't know,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Aurora,85 percent or higher,Cell,0,0.9135,1.1333,0.8152,0.718,2018-09-13 01:40:07
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Hispanic,Rest of Araphahoe,85 percent or higher,Cell,1,0.8607,0.9712,0.7642,1.0089,2018-09-13 01:40:07
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,0.7778,0.9316,0.9974,0.7567,0.9948,2018-09-13 01:41:01
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.9969,0.8854,0.6722,0.9086,2018-09-13 01:41:28
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Adams,85 percent or higher,Cell,1,0.9799,0.4821,0.4185,0.4914,2018-09-13 01:41:55
Rep,18 to 34,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Adams,85 percent or higher,Cell,1,0.8951,0.3322,0.315,0.3433,2018-09-13 01:42:13
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,White,Aurora,Less than 50 percent,Cell,1,0.4903,0.4955,0.8112,0.5664,2018-09-13 01:42:58
Dem,65 and older,Some college or trade school,Black,Male,Black,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,Other Non-White,Rest of Araphahoe,85 percent or higher,Cell,1,0.98,1.1623000000000001,0.8804,1.1914,2018-09-13 01:43:07
Und,65 and older,Graduate or Professional Degree,White,Female,White,Support,agree,Disapp.,support,Support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9955,0.976,0.6391,1.0013,2018-09-13 01:44:28
Rep,65 and older,Some college or trade school,White,Female,White,Support,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.8943,1.0792,0.8509,1.0955,2018-09-13 01:45:04
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,support,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.9928,1.8365,1.1013,1.8834,2018-09-13 01:45:31
Dem,65 and older,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Aurora,85 percent or higher,Landline,1,0.8572,0.8489,0.8692,0.8626,2018-09-13 01:46:34
Rep,35 to 49,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Aurora,85 percent or higher,Cell,0.8889,0.8931,1.0038,0.7881,1.0075,2018-09-13 01:46:43
Dem,35 to 49,Bachelors' degree,Asian,Male,Other,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Other Non-White,Douglas,50 to 85 percent,Cell,0.7778,0.5558,2.5981,2.9502,2.7328,2018-09-13 01:47:46
Dem,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Adams,85 percent or higher,Landline,1,0.8902,0.5312,0.51,0.5494,2018-09-13 01:48:13
Und,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Hispanic,Adams,Less than 50 percent,Cell,0.6667,0.2665,0.5772,1.5164,0.5554,2018-09-13 01:48:22
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Douglas,50 to 85 percent,Cell,1,0.8308,2.1984,1.983,2.2949,2018-09-13 01:48:22
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9958,0.9083,0.5846,0.9301,2018-09-13 01:48:31
Dem,35 to 49,Bachelors' degree,Unknown,Male,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Unknown,Adams,85 percent or higher,Cell,0.8889,0.8894,0.5324,0.5134,0.5457,2018-09-13 01:49:25
