response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Essex/Union,Less than 50 percent,Cell,0.8889,0.4541,0.7567,0.8856,0.7527,2018-10-29 01:02:23
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Somerset,85 percent or higher,Cell,1,0.963,0.6646,0.2859,0.6546,2018-10-29 01:03:35
Dem,50 to 64,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Non-White,Somerset,50 to 85 percent,Cell,1,0.6826,0.8577,0.5032,0.8865,2018-10-29 01:06:53
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Non-White,Somerset,85 percent or higher,Landline,1,0.97,0.5944,0.2772,0.5852,2018-10-29 01:10:56
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Essex/Union,85 percent or higher,Cell,1,0.97,0.7772,0.3307,0.7651,2018-10-29 20:44:07
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9222,1.2786,0.6524,1.2643,2018-10-29 21:39:51
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Somerset,85 percent or higher,Landline,1,0.97,0.7748,0.3288,0.7628,2018-10-29 21:41:03
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Somerset,50 to 85 percent,Landline,1,0.84,0.8902,0.4391,0.8908,2018-10-29 21:47:37
Rep,50 to 64,Some college or trade school,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Non-White,Morris,85 percent or higher,Landline,1,0.965,0.7026,0.5364,0.6862,2018-10-29 21:49:07
Dem,35 to 49,Bachelors' degree,Unknown,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,4-year College Grad.,Unknown,Somerset,85 percent or higher,Landline,0.8889,0.9644,1.0366,0.4979,1.0167,2018-10-29 21:49:25
Dem,18 to 34,Some college or trade school,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,No 4-year College Degree,Non-White,Morris,85 percent or higher,Cell,1,0.8505,0.6107,0.6183,0.6101,2018-10-29 21:50:26
Und,65 and older,Some college or trade school,White,Male,Other,Don't know,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Somerset,85 percent or higher,Cell,1,0.8972,1.2904,0.9705,1.2069,2018-10-29 21:51:47
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Somerset,50 to 85 percent,Landline,1,0.7053,1.4383,1.41,1.4785,2018-10-29 21:53:44
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Not at all likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Somerset,Less than 50 percent,Landline,0,0.1579,1.2593,3.7719,0.265,2018-10-29 21:57:49
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.7403,1.6243,0.9204,1.6567,2018-10-29 21:58:34
Dem,50 to 64,Some college or trade school,Unknown,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,No 4-year College Degree,Unknown,Hunterdon/Warren,85 percent or higher,Landline,1,0.9282,1.4403,1.4124,1.4232,2018-10-29 21:59:01
Und,65 and older,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Somerset,85 percent or higher,Landline,1,0.97,1.1664,0.8655,1.1484,2018-10-29 22:00:34
Und,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,4-year College Grad.,Non-White,Essex/Union,Less than 50 percent,Cell,0.8889,0.1926,1.249,2.9745,1.3841,2018-10-29 22:01:07
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Morris,50 to 85 percent,Landline,0,0.8054,1.0799,0.9052,0.8821,2018-10-29 22:01:07
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Somerset,85 percent or higher,Cell,1,0.9271,1.007,0.4266,1.0046,2018-10-29 22:02:08
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Essex/Union,Less than 50 percent,Cell,0.8889,0.42,0.9752,1.0114,0.9776,2018-10-29 22:03:20
Und,50 to 64,Grade school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.8026,1.8334,1.7551,1.8467,2018-10-29 22:03:34
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.7868,1.5766,0.9058,1.5928,2018-10-29 22:03:43
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Somerset,85 percent or higher,Landline,1,0.9078,0.7546,0.323,0.7475,2018-10-29 22:06:25
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Essex/Union,50 to 85 percent,Cell,1,0.5207,0.9834,0.7495,1.067,2018-10-29 22:08:36
Und,35 to 49,Graduate or Professional Degree,Black,Male,Black,Disapp.,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Essex/Union,Less than 50 percent,Cell,1,0.3677,0.7712,1.0592,0.9539,2018-10-29 22:08:45
Und,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Essex/Union,Less than 50 percent,Cell,0.6667,0.1201,1.2682,3.9942,0.915,2018-10-29 22:09:21
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.5109,1.579,2.38,1.6143,2018-10-29 22:11:04
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Essex/Union,85 percent or higher,Cell,1,0.9371,0.6212,0.3099,0.6185,2018-10-29 22:11:58
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Essex/Union,85 percent or higher,Landline,1,0.9552,1.2007,0.9078,1.1913,2018-10-29 22:12:43
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Already voted,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Somerset,85 percent or higher,Landline,1,0.97,1.1069,0.7751,1.0953,2018-10-29 22:12:43
Und,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Don't know,Reps. keep House,Don't know,Don't know,18 to 29,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,Unknown,Essex/Union,Less than 50 percent,Cell,0.6667,0.2821,0.7648,1.5544,0.7997,2018-10-29 22:13:33
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Morris,Less than 50 percent,Cell,1,0.4388,0.8116,0.9772,0.9104,2018-10-29 22:15:52
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Hunterdon/Warren,Less than 50 percent,Cell,1,0.2659,0.7917,1.8392,0.9885,2018-10-29 22:16:46
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Somerset,50 to 85 percent,Cell,1,0.7928,0.8482,0.4166,0.8559,2018-10-29 22:17:00
Dem,65 and older,Grade school,White,Female,Other,Approve,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Not at all likely,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Somerset,50 to 85 percent,Landline,0.4444,0.5422,1.5215,1.907,0.7107,2018-10-29 22:18:07
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Unknown,Somerset,Less than 50 percent,Landline,1,0.3763,0.8333,1.2301,0.9646,2018-10-29 22:18:34
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Morris,Less than 50 percent,Cell,0.2222,0.0909,0.777,2.8444,0.2028,2018-10-29 22:18:43
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Not very likely,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Essex/Union,50 to 85 percent,Cell,0,0.8027,1.3919,0.761,0.7632,2018-10-29 22:25:28
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Essex/Union,85 percent or higher,Cell,1,0.9647,0.8145,0.4148,0.8067,2018-10-29 22:25:37
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Morris,85 percent or higher,Landline,1,0.8565,0.8279,0.6911,0.8077,2018-10-29 22:26:31
Dem,65 and older,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,4-year College Grad.,White,Somerset,85 percent or higher,Landline,1,0.97,1.0611,0.4553,1.0447,2018-10-29 22:27:50
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,Unknown,Essex/Union,85 percent or higher,Cell,1,0.9343,1.2976,1.0465,1.2813,2018-10-29 22:29:31
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Morris,85 percent or higher,Landline,1,0.8881,0.8279,0.6665,0.8069,2018-10-29 22:29:47
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.5573,1.7855,2.3242,1.9128,2018-10-29 22:30:23
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Essex/Union,85 percent or higher,Landline,1,0.8638,0.5411,0.3019,0.5475,2018-10-29 22:32:02
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Somerset,50 to 85 percent,Landline,1,0.8093,0.9554,0.4668,0.9611,2018-10-29 22:32:56
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Essex/Union,Less than 50 percent,Landline,1,0.1033,0.992,3.6943,1.5518,2018-10-29 22:51:21
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Hunterdon/Warren,Less than 50 percent,Cell,1,0.4439,1.3684,3.2296,1.5315,2018-10-29 22:52:13
Rep,65 and older,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,Non-White,Morris,85 percent or higher,Landline,1,0.97,0.7256,0.299,0.7144,2018-10-29 22:54:30
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Morris,85 percent or higher,Cell,1,0.97,0.5104,0.2431,0.5051,2018-10-29 22:55:49
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.8914,0.8439,0.4699,0.8378,2018-10-29 22:56:00
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,Postgraduate Degree,Unknown,Essex/Union,50 to 85 percent,Cell,1,0.7469,1.0384,0.5726,1.0212,2018-10-29 22:57:01
Rep,50 to 64,Grade school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Non-White,Somerset,85 percent or higher,Landline,1,0.9643,1.0665,0.726,1.0503,2018-10-29 22:57:39
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Hunterdon/Warren,Less than 50 percent,Landline,1,0.4449,1.5959,2.1468,1.6608,2018-10-29 23:00:57
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,No 4-year College Degree,Non-White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.5165,1.2764,2.2166,1.3032,2018-10-29 23:03:04
Rep,65 and older,Graduate or Professional Degree,Asian,Female,White,Disapp.,Don't know,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Non-White,Morris,85 percent or higher,Landline,1,0.97,0.4329,0.2007,0.4231,2018-10-29 23:03:57
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Somerset,85 percent or higher,Landline,1,0.97,0.6035,0.2899,0.5942,2018-10-29 23:04:15
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Essex/Union,85 percent or higher,Cell,1,0.8578,0.6842,0.3316,0.6827,2018-10-29 23:06:58
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,White,Essex/Union,85 percent or higher,Cell,1,0.8578,0.6693,0.3229,0.653,2018-10-29 23:07:07
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,18 to 34,4-year College Grad.,Non-White,Essex/Union,Less than 50 percent,Cell,1,0.372,0.914,1.3906,1.127,2018-10-29 23:09:58
Dem,35 to 49,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Non-White,Essex/Union,50 to 85 percent,Cell,0.8889,0.5017,0.7381,0.6387,0.7813,2018-10-29 23:11:01
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Somerset,Less than 50 percent,Cell,1,0.4596,1.3931,1.3443,1.5484,2018-10-29 23:12:40
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Somerset,50 to 85 percent,Cell,1,0.536,1.1418,0.9233,1.1606,2018-10-29 23:13:07
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Essex/Union,Less than 50 percent,Cell,1,0.3929,1.3356,1.4971,1.4141,2018-10-29 23:14:37
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.8772,1.2105,1.1256,1.2042,2018-10-29 23:22:22
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Essex/Union,85 percent or higher,Landline,1,0.97,0.721,0.3274,0.7134,2018-10-29 23:22:55
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Essex/Union,85 percent or higher,Landline,1,0.97,1.1467,0.4368,1.129,2018-10-29 23:24:19
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Essex/Union,85 percent or higher,Landline,1,0.97,1.0923,0.4703,1.0754,2018-10-29 23:29:58
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.6137,1.1008,0.8407,1.1589,2018-10-29 23:31:19
Und,65 and older,High school,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Essex/Union,85 percent or higher,Landline,1,0.8949,1.3283,1.0049,1.3181,2018-10-29 23:32:46
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Essex/Union,50 to 85 percent,Cell,1,0.5427,1.2839,0.9444,1.3822,2018-10-29 23:35:45
Und,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Morris,Less than 50 percent,Cell,0.8889,0.3425,0.7075,1.0554,0.7995,2018-10-29 23:38:36
Und,35 to 49,Bachelors' degree,Asian,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Non-White,Somerset,50 to 85 percent,Landline,1,0.8274,0.9819,0.5192,0.9847,2018-10-29 23:42:21
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.5533,1.3332,1.2123,1.4301,2018-10-29 23:42:39
Und,35 to 49,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,Postgraduate Degree,White,Essex/Union,50 to 85 percent,Landline,1,0.633,0.766,0.5435,0.802,2018-10-29 23:43:24
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.97,1.4055,1.179,1.3734,2018-10-29 23:44:00
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9071,0.8661,0.4741,0.844,2018-10-29 23:49:08
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Morris,85 percent or higher,Cell,1,0.8644,0.7012,0.6776,0.6839,2018-10-29 23:50:11
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Somerset,50 to 85 percent,Cell,1,0.7397,1.1418,0.6691,1.1647,2018-10-29 23:51:23
