response,ager,educ,file_race,gender,race_eth,approve,GAHORSERACE,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fulton,85 percent or higher,Cell,1,0.97,1.1613,0.7014,1.1482,2018-10-30 00:39:46
Dem,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,40 to 64,4-year College Grad.,Black,Cobb,85 percent or higher,Cell,1,0.97,0.7104,0.4727,0.7023,2018-10-30 00:52:06
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Fulton,85 percent or higher,Cell,1,0.97,1.033,0.8389,1.0161,2018-10-30 00:52:51
Und,50 to 64,Bachelors' degree,White,Male,White,Don't know,Abrams (D),Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Dekalb,Less than 50 percent,Cell,0.4444,0.4953,0.7528,0.8578,0.4927,2018-10-30 00:53:45
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Dekalb,Less than 50 percent,Cell,1,0.4172,0.7528,1.0182,0.8524,2018-10-30 00:58:42
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Cell,1,0.97,0.727,0.4856,0.7188,2018-10-30 00:58:51
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Kemp (R),Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Dekalb,50 to 85 percent,Cell,1,0.8254,0.8215,0.7738,0.8383,2018-10-30 00:59:45
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Black,Dekalb,85 percent or higher,Cell,1,0.97,0.611,0.3902,0.5966,2018-10-30 01:05:28
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Abrams (D),Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Fulton,85 percent or higher,Cell,1,0.9557,0.7817,0.63,0.7748,2018-10-30 01:11:37
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Dekalb,85 percent or higher,Landline,1,0.9623,0.8062,0.4351,0.7982,2018-10-30 01:14:24
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Cell,1,0.97,0.9607,0.6563,0.9498,2018-10-30 01:20:33
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Black,Fulton,Less than 50 percent,Cell,1,0.4721,0.6798,1.2368,0.7886,2018-10-30 01:21:54
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Black,Dekalb,85 percent or higher,Cell,1,0.97,0.6761,0.6178,0.6684,2018-10-30 01:24:54
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Fulton,50 to 85 percent,Cell,1,0.6426,0.8952,0.741,0.934,2018-10-30 01:29:06
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,40 to 64,4-year College Grad.,Black,Cobb,85 percent or higher,Landline,1,0.97,0.7104,0.4727,0.6936,2018-10-30 21:47:52
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,18 to 39,4-year College Grad.,Black,Dekalb,85 percent or higher,Cell,1,0.9366,0.8847,0.5442,0.8801,2018-10-30 21:50:52
Rep,65 and older,Grade school,White,Male,White,Disapp.,Kemp (R),Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cobb,85 percent or higher,Landline,1,0.9629,0.8935,0.752,0.8845,2018-10-30 21:53:34
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),Nonwhite,65 and older,4-year College Grad.,Black,Cobb,85 percent or higher,Landline,1,0.97,1.1349,0.7948,1.1221,2018-10-30 21:54:10
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Black,Fulton,85 percent or higher,Landline,1,0.97,1.1303,0.8054,1.1118,2018-10-30 21:57:19
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,No 4-year College Degree,Black,Fulton,85 percent or higher,Landline,1,0.97,0.9465,0.9435,0.9358,2018-10-30 22:01:34
Rep,50 to 64,Graduate or Professional Degree,Black,Male,Black,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Black,Fulton,Less than 50 percent,Cell,1,0.4786,0.5145,0.9028,0.5948,2018-10-30 22:10:07
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Dekalb,85 percent or higher,Landline,1,0.97,0.9748,0.5371,0.9638,2018-10-30 22:15:58
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Dekalb,85 percent or higher,Landline,1,0.9608,0.9445,0.6578,0.9296,2018-10-30 22:16:07
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Dekalb,85 percent or higher,Landline,1,0.97,0.9178,0.526,0.9028,2018-10-30 22:17:55
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Lib./Don't know,Dems. take House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Cobb,85 percent or higher,Landline,1,0.909,1.5018,1.1897,1.4861,2018-10-30 22:20:28
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Cobb,85 percent or higher,Cell,1,0.9644,0.9082,0.6381,0.8936,2018-10-30 22:25:07
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Dekalb,85 percent or higher,Landline,1,0.9302,0.8163,0.6561,0.8132,2018-10-30 22:25:25
Dem,18 to 34,High school,Black,Female,Black,Approve,Abrams (D),Dems. take House,Favorable,Favorable,18 to 29,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Black,Dekalb,85 percent or higher,Landline,1,0.9204,0.979,0.8768,0.9772,2018-10-30 22:26:55
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Dekalb,85 percent or higher,Landline,1,0.97,0.8297,0.5347,0.8203,2018-10-30 22:30:24
Und,65 and older,Bachelors' degree,White,Female,White,Approve,Lib./Don't know,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Dekalb,85 percent or higher,Landline,1,0.9229,1.2128,0.7472,1.1809,2018-10-30 22:35:21
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Cobb,85 percent or higher,Cell,1,0.97,1.3967,0.8722,1.3808,2018-10-30 22:40:00
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Dekalb,85 percent or higher,Cell,1,0.97,1.2162,0.9014,1.1963,2018-10-30 22:50:59
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Fulton,50 to 85 percent,Landline,1,0.7779,1.4036,1.0385,1.4506,2018-10-30 22:53:41
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Fulton,50 to 85 percent,Landline,1,0.5427,1.6809,1.6114,1.8851,2018-10-30 23:01:41
Dem,65 and older,High school,White,Female,White,Disapp.,Abrams (D),Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cobb,50 to 85 percent,Landline,0,0.5031,1.1547,1.9132,0.3473,2018-10-30 23:03:02
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Abrams (D),Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Dekalb,85 percent or higher,Landline,1,0.8538,0.7686,0.7001,0.7788,2018-10-30 23:05:35
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Lib./Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Dekalb,85 percent or higher,Landline,1,0.9645,0.7734,0.4214,0.7654,2018-10-30 23:08:17
Rep,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,65 and older,4-year College Grad.,White,Fulton,85 percent or higher,Landline,1,0.9029,1.0626,0.6937,1.0647,2018-10-30 23:09:47
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Cell,1,0.97,0.9607,0.6563,0.9498,2018-10-30 23:10:41
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Abrams (D),Dems. take House,Don't know,Unfavorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Dekalb,Less than 50 percent,Cell,1,0.1353,1.2062,6.0382,1.7648,2018-10-30 23:12:11
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Dekalb,85 percent or higher,Landline,1,0.97,0.9748,0.5371,0.9638,2018-10-30 23:14:52
Und,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Kemp (R),Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Fulton,85 percent or higher,Landline,0.4444,0.8649,1.0936,0.897,1.0166,2018-10-30 23:15:37
Dem,50 to 64,Graduate or Professional Degree,Other,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,Fulton,85 percent or higher,Cell,1,0.9451,1.1457,0.8463,1.1379,2018-10-30 23:17:43
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Lib./Don't know,Dems. take House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Dekalb,85 percent or higher,Landline,1,0.97,1.0032,0.6653,0.9868,2018-10-30 23:18:55
Und,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Lib./Don't know,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Cobb,50 to 85 percent,Cell,1,0.6198,1.1657,1.034,1.0448,2018-10-30 23:21:28
Und,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Abrams (D),Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Fulton,85 percent or higher,Cell,1,0.8887,1.1833,0.7586,1.1742,2018-10-30 23:28:04
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cobb,85 percent or higher,Cell,1,0.9634,0.739,0.6041,0.7272,2018-10-30 23:33:03
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Dekalb,50 to 85 percent,Cell,1,0.6704,0.7809,0.7233,0.8089,2018-10-30 23:33:03
Dem,18 to 34,Bachelors' degree,Other,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Other Non-White,Dekalb,50 to 85 percent,Landline,1,0.6026,1.8389,1.5165,1.9405,2018-10-30 23:34:15
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Cobb,85 percent or higher,Landline,1,0.97,1.396,0.689,1.3732,2018-10-30 23:38:00
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Cobb,50 to 85 percent,Landline,1,0.7201,1.1657,0.8899,1.1487,2018-10-30 23:41:18
Dem,65 and older,Graduate or Professional Degree,Black,Male,White,Disapp.,Lib./Don't know,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Black,Dekalb,85 percent or higher,Landline,1,0.9319,0.5417,0.4536,0.5394,2018-10-30 23:45:03
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Fulton,85 percent or higher,Cell,1,0.97,1.0626,0.6457,1.0506,2018-10-30 23:45:28
Rep,50 to 64,High school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,[DO NOT READ] Don't know/Refused,40 to 64,No 4-year College Degree,White,Fulton,85 percent or higher,Cell,1,0.97,0.9725,0.8216,0.9615,2018-10-30 23:47:43
Und,35 to 49,Bachelors' degree,White,Male,Hispanic,Don't know,Lib./Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,White,Fulton,Less than 50 percent,Cell,1,0.1211,1.2621,4.6814,2.1265,2018-10-30 23:48:01
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Fulton,85 percent or higher,Landline,1,0.9636,1.2724,0.8943,1.2593,2018-10-30 23:49:49
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Fulton,85 percent or higher,Landline,1,0.97,1.1759,1.0223,1.1566,2018-10-30 23:50:52
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Other Non-White,Fulton,50 to 85 percent,Landline,1,0.7854,1.2549,0.9685,1.2942,2018-10-31 00:02:41
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Abrams (D),Reps. keep House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Cobb,85 percent or higher,Landline,1,0.9583,0.6873,0.4751,0.6809,2018-10-31 00:03:44
Rep,35 to 49,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 39,Postgraduate Degree,White,Fulton,85 percent or higher,Cell,1,0.9138,1.3096,0.9189,1.2951,2018-10-31 00:07:20
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Landline,1,0.97,0.727,0.4856,0.7188,2018-10-31 00:10:20
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,Less than 50 percent,Cell,1,0.4084,0.897,1.5817,1.0201,2018-10-31 00:26:40
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Fulton,Less than 50 percent,Cell,1,0.4129,1.1363,2.0064,1.2892,2018-10-31 00:26:40
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Hispanic,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Black,Cobb,85 percent or higher,Cell,1,0.9628,0.731,0.5899,0.7194,2018-10-31 00:37:23
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Black,Dekalb,85 percent or higher,Cell,1,0.97,0.8074,0.5274,0.7942,2018-10-31 00:41:17
Dem,50 to 64,Bachelors' degree,White,Male,Asian,Don't know,Lib./Don't know,Don't know,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,White,Cobb,85 percent or higher,Cell,1,0.9079,0.9373,0.5587,0.9277,2018-10-31 00:41:26
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,Postgraduate Degree,Black,Fulton,85 percent or higher,Cell,1,0.97,0.8803,0.7382,0.8703,2018-10-31 00:43:23
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Kemp (R),Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Cobb,85 percent or higher,Landline,1,0.9333,0.9082,0.6593,0.8961,2018-10-31 00:44:53
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fulton,50 to 85 percent,Cell,1,0.6752,0.8785,0.7116,0.9367,2018-10-31 00:45:03
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Lib./Don't know,Don't know,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Cell,1,0.8548,0.727,0.5511,0.7251,2018-10-31 00:47:27
Rep,50 to 64,Some college or trade school,Black,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Black,Fulton,85 percent or higher,Cell,1,0.8967,0.5578,0.5945,0.5529,2018-10-31 00:55:33
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Black,Dekalb,85 percent or higher,Cell,1,0.97,0.5117,0.4572,0.5059,2018-10-31 00:56:36
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Hispanic,Disapp.,Abrams (D),Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,or as a member of another political party,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Cobb,85 percent or higher,Cell,1,0.959,0.9247,0.6218,0.916,2018-10-31 00:59:00
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Other Non-White,Dekalb,Less than 50 percent,Cell,1,0.2401,1.1562,3.5807,1.4763,2018-10-31 01:07:32
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cobb,85 percent or higher,Cell,1,0.9493,1.1807,1.0309,1.1632,2018-10-31 01:07:41
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Lib./Don't know,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cobb,85 percent or higher,Cell,1,0.9655,0.8935,0.75,0.8791,2018-10-31 01:10:14
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Fulton,50 to 85 percent,Cell,1,0.8347,0.7198,0.695,0.7328,2018-10-31 01:12:38
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Lib./Don't know,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cobb,85 percent or higher,Cell,0.7778,0.97,1.0372,0.8279,0.9799,2018-10-31 01:16:33
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cobb,85 percent or higher,Cell,1,0.97,0.8935,0.7465,0.8834,2018-10-31 01:19:15
