response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_noblack,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Landline,1,0.97,0.676,0.2706,0.6763,2018-10-23 14:05:36
Dem,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Postgraduate Degree,Asian,San Bernardino,85 percent or higher,Cell,1,0.8637,0.9629,0.615,0.9496,2018-10-23 14:05:36
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Asian,Los Angeles,85 percent or higher,Cell,1,0.9365,0.9445,0.7003,0.9428,2018-10-23 14:05:36
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Orange,Less than 50 percent,Cell,1,0.4195,0.8664,1.3206,0.9916,2018-10-23 14:05:45
Rep,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,18 to 34,No 4-year College Degree,Hispanic,San Bernardino,50 to 85 percent,Cell,1,0.7383,1.0492,0.7513,1.0824,2018-10-23 14:05:45
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,Hispanic,Orange,50 to 85 percent,Cell,1,0.8229,0.6359,0.3703,0.6284,2018-10-23 14:05:45
Dem,35 to 49,Bachelors' degree,Asian,Female,Asian,Approve,Dems. take House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,35 to 49,4-year College Grad.,Asian,Los Angeles,Less than 50 percent,Cell,1,0.2911,1.2109,2.5755,1.6108,2018-10-23 14:05:45
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,Asian,Orange,85 percent or higher,Cell,1,0.9132,0.6218,0.3325,0.6223,2018-10-23 14:05:45
Rep,35 to 49,Some college or trade school,Hispanic,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,Hispanic,Orange,Less than 50 percent,Cell,1,0.4463,0.7847,0.9098,0.887,2018-10-23 14:05:45
Dem,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.9148,0.9913,0.481,0.992,2018-10-23 14:05:45
Rep,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,35 to 49,Postgraduate Degree,Asian,Orange,85 percent or higher,Cell,1,0.9171,0.8051,0.5219,0.8054,2018-10-23 14:05:45
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,No 4-year College Degree,White,Los Angeles,85 percent or higher,Cell,1,0.9664,1.507,1.1033,1.5004,2018-10-23 14:05:45
Dem,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,50 to 64,4-year College Grad.,Hispanic,Los Angeles,Less than 50 percent,Cell,1,0.083,1.2557,3.9239,1.7732,2018-10-23 14:05:45
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Orange,50 to 85 percent,Cell,1,0.8427,1.0793,0.6982,1.0653,2018-10-23 14:05:54
Dem,18 to 34,Some college or trade school,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Democratic,Male,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,Asian,Los Angeles,85 percent or higher,Cell,0.8889,0.8904,0.9594,0.7551,0.8695,2018-10-23 14:05:54
Dem,65 and older,Some college or trade school,White,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Los Angeles,50 to 85 percent,Cell,1,0.6377,1.0893,0.8717,1.1905,2018-10-23 14:05:54
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Orange,85 percent or higher,Landline,1,0.97,1.2169,0.6356,1.2113,2018-10-23 14:05:54
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Los Angeles,85 percent or higher,Landline,1,0.8826,1.1108,0.5327,1.1163,2018-10-23 14:05:54
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,San Bernardino,50 to 85 percent,Landline,1,0.5942,0.8596,0.5685,0.9202,2018-10-23 14:05:54
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Postgraduate Degree,Asian,Los Angeles,50 to 85 percent,Cell,0.8889,0.8459,0.7168,0.4576,0.7161,2018-10-23 14:05:54
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Orange,50 to 85 percent,Cell,1,0.5842,0.7236,0.6706,0.777,2018-10-23 14:05:54
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Orange,Less than 50 percent,Cell,1,0.4214,0.8787,1.4843,1.0048,2018-10-23 14:05:54
Rep,18 to 34,Bachelors' degree,Asian,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Already voted,or as a member of another political party,Nonwhite,18 to 34,4-year College Grad.,Asian,Los Angeles,50 to 85 percent,Cell,1,0.84,0.9967,0.6867,1.0255,2018-10-23 14:06:03
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,Asian,Orange,50 to 85 percent,Cell,1,0.7975,0.8238,0.6462,0.8397,2018-10-23 14:06:03
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.9593,1.2408,0.8089,1.2437,2018-10-23 14:06:03
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.907,0.9487,0.5866,0.9503,2018-10-23 14:06:03
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.8894,0.7381,0.333,0.7507,2018-10-23 14:06:03
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,18 to 34,4-year College Grad.,Hispanic,Los Angeles,50 to 85 percent,Cell,1,0.687,0.7694,0.4964,0.8269,2018-10-23 14:06:12
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,San Bernardino,85 percent or higher,Landline,1,0.9612,0.9011,0.3036,0.8974,2018-10-23 14:06:21
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.97,0.9008,0.4428,0.8967,2018-10-23 14:06:21
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Orange,85 percent or higher,Cell,1,0.9678,0.6311,0.2722,0.6283,2018-10-23 14:06:30
Rep,65 and older,Bachelors' degree,Asian,Male,Asian,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,4-year College Grad.,Asian,Los Angeles,85 percent or higher,Cell,1,0.9463,1.2664,0.5934,1.2628,2018-10-23 14:06:30
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,No 4-year College Degree,Hispanic,Los Angeles,50 to 85 percent,Cell,1,0.8362,0.7578,0.5119,0.7672,2018-10-23 14:06:30
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.9546,0.7062,0.4198,0.7037,2018-10-23 14:06:30
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 34,No 4-year College Degree,Hispanic,Orange,Less than 50 percent,Cell,1,0.2661,0.8179,1.9697,0.9301,2018-10-23 14:06:30
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Orange,50 to 85 percent,Cell,1,0.7722,0.543,0.3101,0.5563,2018-10-23 14:06:30
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Orange,85 percent or higher,Landline,1,0.97,1.2169,0.6356,1.2023,2018-10-23 14:06:39
Rep,35 to 49,Some college or trade school,Hispanic,Female,Other,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Republican,Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Orange,50 to 85 percent,Cell,1,0.7069,0.8474,0.7051,0.9049,2018-10-23 14:06:39
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.9593,0.941,0.6834,0.9373,2018-10-23 14:06:39
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Other,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Postgraduate Degree,Asian,Orange,85 percent or higher,Cell,1,0.946,0.8129,0.3728,0.8106,2018-10-23 14:06:39
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.97,0.676,0.2706,0.6729,2018-10-23 14:06:48
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,Asian,Orange,Less than 50 percent,Cell,1,0.4511,1.061,1.239,1.1143,2018-10-23 14:06:48
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Orange,85 percent or higher,Landline,1,0.97,0.8834,0.3518,0.8838,2018-10-23 14:06:57
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Orange,85 percent or higher,Landline,1,0.9651,0.7381,0.3068,0.7349,2018-10-23 14:06:57
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.97,0.6998,0.2714,0.6966,2018-10-23 14:06:57
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Postgraduate Degree,White,Orange,Less than 50 percent,Landline,1,0.2448,0.8293,1.4823,1.0668,2018-10-23 14:07:06
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Asian,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Not very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,50 to 64,[DO NOT READ] Don't know/Refused,Asian,Orange,50 to 85 percent,Cell,0,0.8301,1.0241,1.0345,0.5944,2018-10-23 14:07:06
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Orange,50 to 85 percent,Cell,1,0.8295,0.8796,0.3875,0.8915,2018-10-23 14:07:15
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.9575,0.9646,0.402,0.9672,2018-10-23 14:07:15
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Los Angeles,85 percent or higher,Cell,1,0.9484,0.8965,0.429,0.8938,2018-10-23 14:07:15
Rep,35 to 49,Graduate or Professional Degree,White,Female,Asian,Don't know,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.97,0.7257,0.4723,0.7224,2018-10-23 14:07:15
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.9578,1.1986,0.808,1.2017,2018-10-23 14:07:15
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Landline,1,0.9248,0.9569,0.5863,0.9429,2018-10-23 14:07:15
Dem,18 to 34,Some college or trade school,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,No 4-year College Degree,Asian,Los Angeles,50 to 85 percent,Landline,1,0.802,0.9552,0.7896,0.9453,2018-10-23 14:07:24
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Orange,50 to 85 percent,Cell,0.8889,0.751,1.3133,0.9944,1.2779,2018-10-23 14:07:24
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Orange,Less than 50 percent,Cell,1,0.2579,1.171,3.9681,1.4885,2018-10-23 14:07:24
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Orange,85 percent or higher,Landline,1,0.9582,1.084,0.6519,1.0698,2018-10-23 14:07:33
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,50 to 85 percent,Cell,0.7778,0.6527,1.2354,1.1198,1.0354,2018-10-23 14:07:33
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,[DO NOT READ] Don't know/Refused,White,Orange,85 percent or higher,Cell,1,0.97,1.1681,1.2403,1.1627,2018-10-23 14:07:33
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.962,1.3088,0.9074,1.3112,2018-10-23 14:07:33
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,San Bernardino,85 percent or higher,Landline,0.8889,0.9498,1.1699,0.511,1.1602,2018-10-23 14:07:33
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.9559,0.9646,0.4027,0.9518,2018-10-23 14:07:33
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,San Bernardino,85 percent or higher,Landline,1,0.9659,1.1384,0.4395,1.1243,2018-10-23 14:07:42
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,San Bernardino,85 percent or higher,Landline,1,0.9493,0.9011,0.3075,0.9049,2018-10-23 14:07:42
Rep,18 to 34,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Orange,50 to 85 percent,Cell,0.3333,0.8268,0.9766,0.964,0.7529,2018-10-23 14:07:42
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Orange,Less than 50 percent,Cell,1,0.2684,0.6511,1.1456,0.8203,2018-10-23 14:07:42
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Orange,85 percent or higher,Landline,1,0.97,0.8834,0.3518,0.8794,2018-10-23 14:07:42
Und,35 to 49,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Orange,85 percent or higher,Cell,0.4444,0.9296,0.6832,0.3903,0.6534,2018-10-23 14:07:42
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.85,1.2835,0.8159,1.2665,2018-10-23 14:07:51
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.8845,0.6998,0.2976,0.7031,2018-10-23 14:07:51
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,Nonwhite,50 to 64,No 4-year College Degree,White,Los Angeles,85 percent or higher,Cell,1,0.9435,1.1946,0.7056,1.201,2018-10-23 14:07:51
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Orange,50 to 85 percent,Cell,1,0.6949,0.7349,0.4014,0.6712,2018-10-23 14:07:51
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,Less than 50 percent,Cell,1,0.3323,1.2067,2.0156,1.4502,2018-10-23 14:08:00
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Los Angeles,Less than 50 percent,Cell,1,0.4564,1.4005,1.6281,1.4685,2018-10-23 14:08:00
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.948,1.1986,0.8163,1.195,2018-10-23 14:08:00
Dem,50 to 64,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,4-year College Grad.,Asian,Los Angeles,50 to 85 percent,Cell,1,0.6979,1.3666,0.9747,1.4229,2018-10-23 14:08:00
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Orange,85 percent or higher,Cell,1,0.9536,1.1222,0.6569,1.1071,2018-10-23 14:08:09
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.9334,0.5454,0.2724,0.5446,2018-10-23 14:08:09
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Not at all likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Orange,Less than 50 percent,Cell,1,0.1532,1.3299,5.6378,0.8191,2018-10-23 14:08:09
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,Unknown,Orange,50 to 85 percent,Cell,1,0.5018,0.6817,0.7134,0.7883,2018-10-23 14:08:09
Rep,18 to 34,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,18 to 34,4-year College Grad.,White,Orange,50 to 85 percent,Cell,1,0.7133,0.932,0.7766,0.9668,2018-10-23 14:08:09
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Unknown,Orange,85 percent or higher,Cell,1,0.8855,0.8991,0.7639,0.9151,2018-10-23 14:08:18
