response,ager,educ,file_race,gender,race_eth,approve,CHECK,CLIMATE,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",50 to 85 percent,Landline,1,0.8269,1.0511,0.3933,1.0816
Und,65 and older,High school,White,Female,White,Disapp.,Check,Very or somewhat,oppose,Don't know,Unfavorable,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",Less than 50 percent,Landline,1,0.3423,1.4462,2.5924,1.7525
Rep,65 and older,High school,White,Female,White,Approve,Support,Very or somewhat,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9316,1.2563,0.7333,1.2732
Und,65 and older,Bachelors' degree,White,Female,White,Don't know,Don't know,Not or not very,oppose,Don't know,Don't know,Don't know,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",50 to 85 percent,Landline,1,0.7771,1.0892,0.5482,1.1312
Dem,65 and older,Graduate or Professional Degree,Black,Male,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Black,"Rest, Clinton",85 percent or higher,Landline,1,0.9369,0.7268,0.3065,0.7362
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,Don't know,Don't know,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9034,0.8261,0.3652,0.8401
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",18 to 34,White,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.4938,1.0466,1.1635,0.9582
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Don't know,Support,Very or somewhat,support,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,"Rest, Trump",85 percent or higher,Landline,1,0.8689,0.9866,0.7236,1.0083
Rep,65 and older,High school,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",Less than 50 percent,Landline,0.7778,0.3548,1.4462,2.5015,1.4329
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9493,1.0278,0.5317,1.0286
Und,35 to 49,High school,Black,Female,White,Don't know,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,Black,"Rest, Trump",50 to 85 percent,Cell,0.7778,0.8419,1.377,1.1986,1.3781
Dem,50 to 64,Bachelors' degree,Other,Male,White,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Other Non-White,"Virginia Beach, Clinton",Less than 50 percent,Landline,0.4444,0.3717,0.9324,1.3709,0.3856
Und,50 to 64,Graduate or Professional Degree,Other,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Other Non-White,"Rest, Trump",85 percent or higher,Landline,1,0.911,1.0231,0.4954,1.0229
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,18 to 29,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,White,"Rest, Trump",Less than 50 percent,Landline,0.7778,0.4391,1.2525,1.8028,1.2226
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,50 to 64,Black,"Rest, Clinton",Less than 50 percent,Cell,1,0.3196,0.8469,1.6124,1.0415
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,oppose,Don't know,Favorable,Unfavorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",85 percent or higher,Landline,1,0.8926,0.8978,0.3574,0.9143
Dem,65 and older,High school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8903,1.2435,0.8371,1.2435
Rep,18 to 34,High school,Black,Male,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Unfavorable,Favorable,agree,18 to 29,High School Grad. or Less,Other,Male,Very likely,Democrat,Nonwhite,18 to 34,Black,"Rest, Trump",Less than 50 percent,Landline,0.8889,0.3683,1.54,3.2756,1.6065
Rep,65 and older,High school,Asian,Female,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Favorable,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Other Non-White,"Rest, Trump",85 percent or higher,Landline,1,0.8859,1.5519,1.2078,1.5821
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Support,Very or somewhat,Don't know,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Clinton",50 to 85 percent,Cell,1,0.8073,0.9097,0.4952,0.9394
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Clinton",50 to 85 percent,Landline,1,0.8314,0.8929,0.4804,0.9181
Rep,50 to 64,Bachelors' degree,White,Female,Black,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,White,"Rest, Trump",85 percent or higher,Landline,1,0.8502,0.9304,0.4916,0.9316
Dem,65 and older,High school,White,Female,Black,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9263,1.2435,0.8046,1.261
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.4283,0.9477,1.1484,1.0961
Dem,65 and older,Some college or trade school,Black,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Black,"Rest, Clinton",85 percent or higher,Landline,1,0.9494,0.8387,0.5489,0.8394
Und,65 and older,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Support,Very or somewhat,support,Reps. keep House,Don't know,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9338,0.9204,0.4345,0.9326
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,50 to 64,White,"Rest, Trump",85 percent or higher,Landline,0.2222,0.963,0.9584,0.4877,0.9258
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9017,0.8848,0.4565,0.9
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Clinton",85 percent or higher,Cell,1,0.9739,0.9131,0.4823,0.9222
Rep,50 to 64,Grade school,Unknown,Male,Hispanic,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Unknown,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8708,1.3058,1.1102,1.3341
Dem,18 to 34,High school,Hispanic,Female,Hispanic,Disapp.,Support,Very or somewhat,support,Dems. take House,Unfavorable,Unfavorable,agree,18 to 29,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Other Non-White,"Virginia Beach, Trump",Less than 50 percent,Landline,0.5556,0.2764,1.8858,6.7591,1.9018
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Support,Very or somewhat,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Rest, Clinton",85 percent or higher,Cell,1,0.8805,0.844,0.5457,0.861
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.3284,0.9401,1.7338,1.1494
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Support,Very or somewhat,oppose,Don't know,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.929,0.8282,0.3102,0.8396
Dem,18 to 34,Bachelors' degree,White,Female,Other,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,Nonwhite,18 to 34,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.4255,1.158,1.7527,1.3411
Dem,35 to 49,Graduate or Professional Degree,Black,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Black,"Rest, Clinton",85 percent or higher,Cell,1,0.8516,0.7196,0.4304,0.73740000000000006
Rep,65 and older,Bachelors' degree,Black,Male,White,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Black,"Rest, Clinton",85 percent or higher,Cell,1,0.911,0.7911,0.4203,0.8038
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 34,White,"Rest, Trump",Less than 50 percent,Cell,0.6667,0.3019,1.3021,2.9114,0.9595
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Black,"Rest, Clinton",50 to 85 percent,Cell,1,0.6754,0.9425,1.0371,1.0012
Rep,35 to 49,Bachelors' degree,White,Male,Black,Don't know,Check,Not or not very,oppose,Reps. keep House,Favorable,Favorable,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,White,"Rest, Trump",Less than 50 percent,Cell,1,0.2154,0.9705,2.5335,1.3049
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Rest, Trump",Less than 50 percent,Cell,0.8889,0.2973,1.0089,2.0378,1.201
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Support,Very or somewhat,support,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8971,0.9192,0.525,0.9356
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Asian,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,Other Non-White,"Rest, Trump",Less than 50 percent,Cell,1,0.4552,1.0672,1.2944,1.2193
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.8924,0.8374,0.3143,0.8373
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,0.7778,0.86,0.9267,0.5935,0.9267
Dem,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Check,Not or not very,oppose,Dems. take House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Not at all likely,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,0.2222,0.9366,0.9099,0.5486,0.6719
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Favorable,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.879,0.8339,0.5873,0.851
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.3597,0.9338,1.2894,1.1197
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Rest, Clinton",50 to 85 percent,Cell,1,0.7537,0.9126,0.4496,0.9524
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Don't know,Unfavorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Clinton",50 to 85 percent,Cell,1,0.7891,0.9286,0.5662,0.9335
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9544,0.8456,0.3189,0.8551
Und,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Check,Not or not very,Don't know,Dems. take House,Favorable,Favorable,agree,45 to 64,Some College Educ.,Democratic,Female,Not at all likely,Independent (No party),Nonwhite,50 to 64,Black,"Rest, Clinton",85 percent or higher,Cell,1,0.9284,0.8131,0.58,0.7318
Rep,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Don't know,Very or somewhat,oppose,Dems. take House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Black,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.422,0.9419,1.4789,1.0926
Rep,50 to 64,[DO NOT READ] Refused,White,Male,White,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9326,0.9198,0.7304,0.9321
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Virginia Beach, Trump",85 percent or higher,Cell,0.8889,0.8683,1.0769,0.7655,1.0894
Rep,50 to 64,Some college or trade school,Black,Female,Hispanic,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,or as a member of another political party,Nonwhite,50 to 64,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.7919,0.8762,0.5614,0.9073
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,0.5556,0.7735,1.0434,0.6413,0.8542
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9134,0.8172,0.4061,0.83
Dem,65 and older,Graduate or Professional Degree,White,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9238,0.8816,0.3284,0.8943
Dem,35 to 49,High school,White,Male,Black,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,White,"Rest, Trump",Less than 50 percent,Cell,1,0.4318,1.3772,2.3624,1.5901
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Don't know,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Black,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.8603,0.7739,0.6103,0.792
Rep,65 and older,[DO NOT READ] Refused,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.8802,0.9972,0.8094,1.0174
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.8306,1.1413,0.6755,1.1737
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Other Non-White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9153,1.0369,0.7941,1.0529
Und,50 to 64,High school,White,Male,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,"Rest, Trump",Less than 50 percent,Cell,0,0.1221,1.3487,5.5057,0.2835
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.947,0.8251,0.4045,0.8349
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9508,0.8583,0.3971,0.8682
Rep,50 to 64,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Don't know,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,35 to 49,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9459,0.8792,0.4179,0.8898
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9053,0.9557,0.5776,0.9717
Dem,65 and older,High school,Black,Male,Black,Disapp.,Check,Very or somewhat,oppose,Don't know,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Black,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.8963,0.9963,0.6194,1.0142
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Support,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9255,0.9482,0.4926,0.9616
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,Don't know,Very or somewhat,support,Dems. take House,Favorable,Don't know,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.772,1.0029,0.6894,1.0096
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Support,Very or somewhat,support,Reps. keep House,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,0.8889,0.6221,0.9773,0.5416,0.9731
Und,18 to 34,Some college or trade school,White,Male,White,Approve,Check,Very or somewhat,oppose,Reps. keep House,Don't know,Don't know,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 34,White,"Virginia Beach, Trump",Less than 50 percent,Cell,0.7778,0.0709,1.2013,5.2924,1.0333
Und,18 to 34,Some college or trade school,White,Male,White,Approve,Support,Very or somewhat,support,Don't know,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Virginia Beach, Trump",Less than 50 percent,Landline,0.7778,0.2615,1.2013,3.0359,1.2239
Dem,18 to 34,High school,White,Female,White,Disapp.,Check,Not or not very,Don't know,Don't know,Don't know,Unfavorable,agree,30 to 44,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Virginia Beach, Trump",Less than 50 percent,Cell,0.4444,0.0383,1.6548,8.8058,0.5882
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Not or not very,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",50 to 85 percent,Landline,1,0.7855,1.019,0.4278,1.0566
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.7292,0.895,0.4089,0.9389
Rep,50 to 64,Grade school,White,Male,Hispanic,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,Nonwhite,50 to 64,White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.4496,1.2935,1.842,1.4816
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.8903,0.8424,0.4543,0.8582
Rep,35 to 49,High school,Hispanic,Male,Hispanic,Disapp.,Support,Very or somewhat,support,Don't know,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Other Non-White,"Virginia Beach, Trump",Less than 50 percent,Landline,1,0.3781,1.5053,3.8278,1.7861
Dem,65 and older,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Black,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9482,0.7817,0.4338,0.7909
