response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedd,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Grade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cochise,50 to 85 percent,Cell,1,0.6904,1.175,1.424,1.2475,2018-09-27 03:58:02
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,Unknown,Pima,85 percent or higher,Cell,1,0.9961,0.6086,0.3881,0.617,2018-09-27 03:58:29
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,Cochise,85 percent or higher,Cell,1,0.9759,0.7399,0.5301,0.7495,2018-09-27 03:59:14
Und,18 to 34,High school,White,Male,White,support,Approve,Don't know,oppose,Don't know,Favorable,Don't know,agree,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Pima,85 percent or higher,Cell,0.4444,0.9788,0.9823,0.6276,0.9398,2018-09-27 03:59:23
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9733,0.6954,0.4326,0.7044,2018-09-27 04:01:00
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,45 to 64,4-year College Grad.,White,Cochise,85 percent or higher,Landline,1,0.9126,0.7816,0.6232,0.7839,2018-09-27 04:02:30
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Don't know,Don't know,Don't know,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9867,0.7549,0.4925,0.7646,2018-09-27 04:03:15
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Pima,85 percent or higher,Cell,1,0.9912,0.7009,0.4624,0.7079,2018-09-27 04:03:24
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.992,0.8819,0.4954,0.8936,2018-09-27 04:03:42
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,support,Disapp.,Support,oppose,Dems. take House,Favorable,Favorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9419,0.6343,0.3956,0.6192,2018-09-27 04:04:18
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9893,1.1567,0.7356,1.1674,2018-09-27 04:04:45
Rep,65 and older,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,White,Cochise,85 percent or higher,Cell,1,0.9912,0.6011,0.5062,0.607,2018-09-27 04:05:39
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Don't know,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.8735,0.7363,0.5728,0.7542,2018-09-27 04:10:18
Rep,65 and older,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9918,1.1951,0.8072,1.2108,2018-09-27 04:11:12
Dem,50 to 64,Some college or trade school,Black,Male,Black,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,45 to 64,No 4-year College Degree,Non-White,Pima,50 to 85 percent,Landline,1,0.5195,1.3272,1.5791,1.4825,2018-09-27 04:11:39
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cochise,85 percent or higher,Landline,1,0.987,0.9516,0.8376,0.9639,2018-09-27 04:11:57
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9927,0.7931,0.5135,0.8036,2018-09-27 04:12:06
Dem,65 and older,High school,White,Male,White,support,Approve,Support,support,Dems. take House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9947,1.1951,0.8049,1.2113,2018-09-27 04:12:06
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Cochise,85 percent or higher,Landline,1,0.9767,0.9002,0.6903,0.9119,2018-09-27 04:13:09
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Other,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9492,1.1656,0.8685,1.1828,2018-09-27 04:13:18
Dem,50 to 64,Bachelors' degree,Unknown,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,45 to 64,4-year College Grad.,Unknown,Pima,85 percent or higher,Landline,1,0.9391,0.9341,0.5975,0.9372,2018-09-27 04:13:54
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Disapp.,Check,oppose,Reps. keep House,Don't know,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9925,0.7549,0.4896,0.7649,2018-09-27 04:14:03
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9272,0.6343,0.4019,0.6363,2018-09-27 04:16:48
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9517,0.6954,0.4424,0.7055,2018-09-27 04:17:06
Rep,50 to 64,Graduate or Professional Degree,White,Male,Other,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.8576,0.6554,0.478,0.673,2018-09-27 04:18:00
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.9927,1.0673,0.6156,1.0784,2018-09-27 04:19:12
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9917,1.2557,0.8469,1.2722,2018-09-27 04:21:54
Rep,65 and older,High school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cochise,50 to 85 percent,Landline,1,0.7032,1.2346,1.4666,1.3067,2018-09-27 04:22:21
Dem,65 and older,Graduate or Professional Degree,White,Female,White,support,Disapp.,Check,Don't know,Reps. keep House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9634,0.7931,0.5292,0.7971,2018-09-27 04:23:51
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Approve,Support,Don't know,Dems. take House,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Cochise,85 percent or higher,Landline,1,0.9644,0.5964,0.4593,0.5995,2018-09-27 04:24:09
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cochise,85 percent or higher,Landline,1,0.979,0.9443,0.7455,0.9509,2018-09-27 04:24:27
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.8801,0.9632,0.7532,0.9857,2018-09-27 04:25:48
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,45 to 64,Postgraduate Degree,Non-White,Pima,85 percent or higher,Landline,1,0.9224,0.737,0.5239,0.7392,2018-09-27 04:25:57
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,oppose,Disapp.,Don't know,support,Don't know,Unfavorable,Unfavorable,agree,30 to 44,Some College Educ.,Other,Male,Not very likely,or as a member of another political party,Nonwhite,18 to 44,No 4-year College Degree,Non-White,Pima,Less than 50 percent,Cell,0.1111,0.1397,1.46,7.2649,0.4629,2018-09-27 04:27:36
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Disapp.,Check,Don't know,Reps. keep House,Favorable,Favorable,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,18 to 44,4-year College Grad.,Non-White,Pima,Less than 50 percent,Cell,1,0.1686,1.4154,5.6953,1.7752,2018-09-27 04:28:21
Rep,35 to 49,Some college or trade school,White,Male,Hispanic,oppose,Disapp.,Check,support,Reps. keep House,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 44,No 4-year College Degree,White,Cochise,85 percent or higher,Landline,0.7778,0.9495,0.7387,0.5622,0.731,2018-09-27 04:29:24
Dem,65 and older,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Pima,85 percent or higher,Landline,1,0.9986,1.0758,0.6661,1.0905,2018-09-27 04:29:33
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.9981,1.0673,0.6123,1.0826,2018-09-27 04:29:42
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9116,1.0043,0.6735,1.0233,2018-09-27 04:30:09
Rep,18 to 34,Some college or trade school,Unknown,Male,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,Unknown,Pima,50 to 85 percent,Cell,0.6667,0.5551,1.1925,1.4748000000000001,0.9393,2018-09-27 22:53:23
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Don't know,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,0.8889,0.7112,1.0982,1.0381,1.1384,2018-09-27 22:53:23
Rep,65 and older,Some college or trade school,Unknown,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Pima,Less than 50 percent,Cell,1,0.3951,1.673,3.4819,1.8214,2018-09-27 23:24:30
Und,35 to 49,Bachelors' degree,White,Male,White,support,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.8568,0.9064,0.602,0.9309,2018-09-27 23:28:06
Dem,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Dems. take House,Favorable,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,Less than 50 percent,Cell,1,0.2886,1.3377,3.627,1.5279,2018-09-27 23:35:34
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Unfavorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Cochise,50 to 85 percent,Cell,1,0.5917,1.1392,1.4638,1.2423,2018-09-27 23:37:04
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,45 to 64,Postgraduate Degree,Unknown,Pima,50 to 85 percent,Cell,1,0.6871,0.7386,0.7804,0.7848,2018-09-27 23:42:37
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.8792,1.0755,0.7874,1.1008,2018-09-27 23:57:36
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.9866,1.1951,0.8115,1.2105,2018-09-28 00:00:36
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9776,0.8414,0.5179,0.8523,2018-09-28 00:11:57
Dem,65 and older,High school,Unknown,Female,White,oppose,Approve,Check,Don't know,Dems. take House,Favorable,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Pima,85 percent or higher,Cell,1,0.9668,1.1659,0.8193,1.1815,2018-09-28 00:15:15
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9987,0.8819,0.4921,0.8948,2018-09-28 00:23:57
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Favorable,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,Pima,50 to 85 percent,Cell,1,0.547,1.0056,1.0007,1.1125,2018-09-28 00:26:03
Dem,50 to 64,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,Unknown,Pima,85 percent or higher,Cell,1,0.9961,0.9635,0.6395,0.9768,2018-09-28 00:34:46
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.9793,1.1094,0.8024,1.1237,2018-09-28 00:35:58
Dem,50 to 64,High school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,1,0.5137,1.2095,1.4634,1.354,2018-09-28 00:41:40
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 44,No 4-year College Degree,Non-White,Cochise,85 percent or higher,Cell,1,0.9928,0.8516,0.6156,0.8629,2018-09-28 00:45:43
Und,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.9821,1.2557,0.8551,1.2718,2018-09-28 00:47:05
Und,18 to 34,Some college or trade school,White,Male,Hispanic,oppose,Disapp.,Check,support,Don't know,Unfavorable,Don't know,agree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 44,No 4-year College Degree,White,Pima,Less than 50 percent,Cell,1,0.0877,1.2664,6.346,2.122,2018-09-28 00:47:41
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",45 to 64,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.9807,1.012,0.7091,1.0251,2018-09-28 00:48:53
Dem,65 and older,Bachelors' degree,White,Female,White,support,Disapp.,Check,oppose,Reps. keep House,Favorable,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Pima,85 percent or higher,Cell,1,0.9229,1.0673,0.6622,1.0704,2018-09-28 00:49:11
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9979,0.6343,0.3734,0.6434,2018-09-28 00:57:17
Rep,65 and older,High school,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Pima,85 percent or higher,Cell,1,0.8637,1.2657,1.0584,1.2985,2018-09-28 01:00:08
Dem,50 to 64,Some college or trade school,White,Male,Black,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,45 to 64,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,1,0.5073,1.1512,1.4126,1.2122,2018-09-28 01:02:07
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,50 to 85 percent,Cell,1,0.8075,1.0704,0.8441,1.0778,2018-09-28 01:08:43
Rep,50 to 64,Some college or trade school,White,Female,Black,Don't know,Approve,Check,Don't know,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,45 to 64,No 4-year College Degree,White,Cochise,50 to 85 percent,Landline,1,0.7769,0.9951,1.0991,1.0366,2018-09-28 01:09:55
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Don't know,Don't know,Don't know,support,Don't know,Don't know,Don't know,Don't know,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 44,No 4-year College Degree,Non-White,Pima,Less than 50 percent,Cell,0.4444,0.3649,1.5222,2.7656,1.4164,2018-09-28 01:10:31
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,oppose,Reps. keep House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 44,4-year College Grad.,White,Pima,Less than 50 percent,Cell,1,0.4652,1.2588,1.7505,1.3402,2018-09-28 01:12:37
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,4-year College Grad.,Unknown,Pima,85 percent or higher,Cell,1,0.8636,0.889,0.6194,0.912,2018-09-28 01:15:10
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,support,Approve,Support,support,Reps. keep House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,Non-White,Pima,50 to 85 percent,Cell,1,0.7494,0.9562,0.8044,1.0017,2018-09-28 01:19:01
Dem,50 to 64,High school,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,45 to 64,No 4-year College Degree,Non-White,Cochise,85 percent or higher,Cell,1,0.9913,0.8996,0.6778,0.9085,2018-09-28 01:19:28
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,Non-White,Cochise,85 percent or higher,Cell,1,0.9812,1.1248,0.9368,1.1331,2018-09-28 01:24:25
Dem,35 to 49,Some college or trade school,White,Male,White,support,Disapp.,Check,oppose,Dems. take House,Favorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.991,0.9049,0.5372,0.9137,2018-09-28 01:24:52
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Cochise,Less than 50 percent,Landline,1,0.2887,1.0779,3.0628,1.2311,2018-09-28 01:25:37
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,White,Pima,85 percent or higher,Cell,1,0.8845,0.9581,0.7151,0.9798,2018-09-28 01:27:34
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,50 to 85 percent,Cell,1,0.8126,1.0622,0.7406,1.0991,2018-09-28 01:28:10
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",45 to 64,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9129,0.6037,0.3891,0.6151,2018-09-28 01:28:37
Dem,35 to 49,Some college or trade school,White,Female,Hispanic,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,agree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 44,No 4-year College Degree,White,Pima,50 to 85 percent,Cell,1,0.5635,1.145,1.2134,1.1909,2018-09-28 01:32:04
