response,ager,educ,file_race,gender,race_eth,approve,GOVHR,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Eastern Cities,85 percent or higher,Landline,1,0.9679,0.8759,0.6111,0.8668,2018-10-09 21:47:11
Dem,65 and older,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Rep.,Favorable,Rep.,Unfavorable,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,No 4-year College Degree,White,Eastern Cities,Less than 50 percent,Landline,1,0.3739,0.834,2.1467,0.8939,2018-10-09 21:48:05
Dem,65 and older,Grade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,Less than 50 percent,Landline,1,0.3968,0.757,1.4593,0.8711,2018-10-09 21:48:32
Rep,65 and older,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9286,1.0545,0.7305,1.0329,2018-10-09 21:48:50
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Dem.,Favorable,Don't know,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Nashville Area,85 percent or higher,Cell,1,0.8859,0.6845,0.4401,0.6416,2018-10-09 21:50:11
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Eastern Cities,50 to 85 percent,Cell,1,0.8412,1.0601,0.9402,1.066,2018-10-09 21:50:20
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,East,85 percent or higher,Cell,1,0.9523,0.6409,0.3559,0.635,2018-10-09 21:50:47
Dem,65 and older,Bachelors' degree,White,Female,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,65 and older,4-year College Grad.,White,East,50 to 85 percent,Landline,1,0.7952,0.8256,0.575,0.837,2018-10-09 21:51:14
Rep,50 to 64,Grade school,White,Male,Other,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,East,85 percent or higher,Cell,1,0.9486,1.0938,0.5748,1.084,2018-10-09 21:55:35
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Cell,1,0.8593,1.0938,0.6346,1.0966,2018-10-09 21:55:53
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Nashville Area,85 percent or higher,Cell,1,0.9787,0.9702,0.5869,0.9597,2018-10-09 21:56:56
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,East,85 percent or higher,Cell,1,0.9593,0.658,0.3749,0.6516,2018-10-09 21:57:41
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,East,85 percent or higher,Landline,1,0.9303,0.7435,0.3812,0.7382,2018-10-09 21:57:50
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,East,50 to 85 percent,Cell,1,0.8272,0.8735,0.4517,0.8805,2018-10-09 21:58:08
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Eastern Cities,Less than 50 percent,Cell,1,0.282,1.1314,3.052,1.2668,2018-10-09 21:58:44
Dem,65 and older,High school,White,Male,White,Disapp.,Lib./Don't know,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Landline,1,0.9491,1.1971,0.8004,1.1736,2018-10-09 22:01:26
Rep,50 to 64,High school,Hispanic,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Non-White,East,Less than 50 percent,Landline,1,0.3716,1.0822,2.3577,1.2624,2018-10-09 22:04:19
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Eastern Cities,85 percent or higher,Cell,1,0.983,0.9267,0.4917,0.9167,2018-10-09 22:04:19
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Lib./Don't know,Unfavorable,Rep.,Don't know,45 to 64,Some College Educ.,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Nashville Area,50 to 85 percent,Landline,0.4444,0.6645,1.341,1.2684,0.8305,2018-10-09 22:04:37
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,East,85 percent or higher,Cell,1,0.9692,0.7795,0.4129,0.7713,2018-10-09 22:05:31
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,50 to 85 percent,Cell,1,0.722,1.0254,0.875,1.0553,2018-10-09 22:05:31
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Rep.,Don't know,Rep.,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Nashville Area,85 percent or higher,Landline,1,0.9799,0.7054,0.3064,0.6938,2018-10-09 22:05:58
Rep,65 and older,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Rep.,Unfavorable,Rep.,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,East,Less than 50 percent,Landline,1,0.4303,0.6858,1.2781,0.7762,2018-10-09 22:07:10
Rep,35 to 49,High school,White,Female,Asian,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,18 to 39,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Cell,1,0.8577,1.3629,1.428,1.3668,2018-10-09 22:07:28
Dem,50 to 64,High school,White,Female,White,Disapp.,Lib./Don't know,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,85 percent or higher,Cell,1,0.9567,0.9111,0.5612,0.9023,2018-10-09 22:08:13
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Don't know,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9171,1.0545,0.7396,1.0486,2018-10-09 22:08:58
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Eastern Cities,85 percent or higher,Landline,1,0.8587,0.8993,0.7309,0.9017,2018-10-09 22:11:40
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9114,0.7054,0.3294,0.7019,2018-10-09 22:14:04
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Dem.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Eastern Cities,50 to 85 percent,Cell,1,0.8128,0.8071,0.5755,0.8156,2018-10-09 22:14:40
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Cell,1,0.9573,1.057,0.5869,1.0468,2018-10-09 22:14:49
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Rep.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,50 to 85 percent,Landline,1,0.8146,1.1586,0.7649,1.1387,2018-10-09 22:15:07
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Cell,1,0.9775,1.1738,0.7287,1.1611,2018-10-09 22:16:37
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Landline,1,0.9638,1.1391,0.9597,1.1275,2018-10-09 22:17:05
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.8786,1.0938,0.6207,1.0718,2018-10-09 22:17:32
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,50 to 85 percent,Landline,0.8889,0.836,1.0458,0.806,1.0397,2018-10-09 22:17:32
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Lib./Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Cell,1,0.8541,1.0938,0.6384,1.0975,2018-10-09 22:18:26
Dem,35 to 49,Some college or trade school,Unknown,Male,Black,Disapp.,Dem.,Don't know,Dem.,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Unknown,Eastern Cities,Less than 50 percent,Cell,1,0.2976,1.0777,2.4081,1.3189,2018-10-09 22:19:38
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Nashville Area,85 percent or higher,Landline,1,0.8627,1.0545,0.7863,1.0337,2018-10-09 22:20:05
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Eastern Cities,85 percent or higher,Landline,1,0.9661,1.1391,0.9574,1.1273,2018-10-09 22:22:02
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Eastern Cities,85 percent or higher,Cell,1,0.9745,0.7061,0.482,0.6986,2018-10-09 22:22:02
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Non-White,Nashville Area,50 to 85 percent,Cell,1,0.5758,1.1726,1.151,1.2549,2018-10-09 22:23:14
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Eastern Cities,85 percent or higher,Cell,0.8889,0.8577,0.8588,0.6466,0.8519,2018-10-09 22:24:08
Rep,65 and older,High school,Unknown,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,East,Less than 50 percent,Landline,0.8889,0.4752,0.7403,1.0767,0.737,2018-10-09 22:25:38
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.934,1.0938,0.5839,1.0856,2018-10-09 22:26:14
Rep,50 to 64,High school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,50 to 85 percent,Landline,1,0.8428,1.0211,0.5948,1.0264,2018-10-09 22:29:32
Dem,18 to 34,High school,White,Male,White,Approve,Rep.,Favorable,Dem.,Unfavorable,30 to 44,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Nashville Area,50 to 85 percent,Landline,1,0.5037,1.6801,2.5075,1.7294,2018-10-09 22:30:58
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9662,0.9808,0.5847,0.9707,2018-10-09 22:31:34
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.9433,1.0615,0.7507,1.0525,2018-10-09 22:32:10
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Nashville Area,85 percent or higher,Landline,1,0.9606,1.0583,0.5125,1.0478,2018-10-09 22:32:19
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Lib./Don't know,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Memphis,50 to 85 percent,Cell,1,0.6402,1.4778,1.1098,1.5521,2018-10-09 22:32:46
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Nashville Area,85 percent or higher,Cell,1,0.9709,1.007,0.6174,0.9891,2018-10-09 22:35:37
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,East,50 to 85 percent,Cell,1,0.8355,1.0945,0.6701,1.0744,2018-10-09 22:36:40
Rep,18 to 34,Bachelors' degree,White,Female,White,Don't know,Rep.,Don't know,Rep.,Favorable,18 to 29,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,East,50 to 85 percent,Landline,0.5556,0.5566,1.0143,1.1542,0.7347,2018-10-09 22:36:49
Dem,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,Favorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Cell,1,0.96,1.0938,0.568,1.083,2018-10-09 22:37:18
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dem.,Don't know,Dem.,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Non-White,West,85 percent or higher,Landline,1,0.9223,1.0567,0.7635,1.0501,2018-10-09 22:39:15
Dem,65 and older,High school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,50 to 85 percent,Landline,1,0.712,1.0458,0.9464,1.0788,2018-10-09 22:40:18
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dem.,Don't know,Dem.,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,West,Less than 50 percent,Landline,1,0.415,0.9442,1.8774,0.997,2018-10-09 22:41:01
Und,18 to 34,Bachelors' degree,Black,Female,Black,Don't know,Dem.,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,4-year College Grad.,Non-White,Nashville Area,50 to 85 percent,Cell,1,0.5471,1.087,1.2287,1.1743,2018-10-09 22:41:10
Rep,50 to 64,High school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,50 to 85 percent,Landline,1,0.6233,0.9216,0.8698,0.9259,2018-10-09 22:41:12
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Memphis,85 percent or higher,Cell,1,0.9474,0.9487,0.3406,0.9403,2018-10-09 22:43:16
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Cell,1,0.8876,1.0137,0.705,0.9506,2018-10-09 22:44:12
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,Less than 50 percent,Landline,1,0.0296,0.973,3.9997,1.6744,2018-10-09 22:45:24
Dem,35 to 49,Some college or trade school,White,Female,Black,Disapp.,Lib./Don't know,Don't know,Dem.,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Nashville Area,Less than 50 percent,Landline,1,0.4492,0.9706,1.6126,1.0892,2018-10-09 22:46:00
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,East,85 percent or higher,Cell,1,0.9009,0.6711,0.4257,0.6688,2018-10-09 22:46:04
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,West,Less than 50 percent,Cell,1,0.4176,0.7311,1.0491,0.8325,2018-10-09 22:46:36
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Don't know,Rep.,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,West,85 percent or higher,Landline,1,0.9141,0.6359,0.4053,0.6326,2018-10-09 22:46:58
Dem,65 and older,High school,Black,Male,[DO NOT READ] Don't know/Refused,Don't know,Dem.,Favorable,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,No 4-year College Degree,Non-White,East,50 to 85 percent,Landline,0.8889,0.786,1.2498,0.8658,1.2504,2018-10-09 22:48:19
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,Postgraduate Degree,Unknown,Nashville Area,85 percent or higher,Landline,1,0.8661,0.7599,0.4678,0.761,2018-10-09 22:48:55
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,Less than 50 percent,Cell,1,0.4904,0.8009,0.965,0.8834,2018-10-09 22:49:04
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Memphis,85 percent or higher,Cell,1,0.9779,0.9934,0.3734,0.9827,2018-10-09 22:49:31
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Favorable,Rep.,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,East,85 percent or higher,Cell,1,0.9033,0.658,0.3981,0.6555,2018-10-09 22:50:07
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.9444,1.0338,0.7066,1.025,2018-10-09 22:54:10
Dem,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Lib./Don't know,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,65 and older,Postgraduate Degree,Non-White,Memphis,50 to 85 percent,Cell,1,0.6469,1.4651,0.9198,1.536,2018-10-09 22:54:28
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Favorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.9378,1.0137,0.6672,1.0057,2018-10-09 22:58:31
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Nashville Area,85 percent or higher,Landline,1,0.9285,0.6367,0.3497,0.6237,2018-10-09 22:58:58
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Cell,0.8889,0.9562,1.0938,0.5703,1.0663,2018-10-09 22:59:07
Rep,65 and older,Graduate or Professional Degree,Asian,Female,White,Approve,Lib./Don't know,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Non-White,Memphis,85 percent or higher,Landline,1,0.9842,1.0196,0.4934,1.0086,2018-10-09 22:59:16
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Unknown,West,50 to 85 percent,Cell,1,0.7424,1.2186,0.8427,1.2486,2018-10-09 23:00:01
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,Rep.,Don't know,Rep.,Don't know,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Nashville Area,50 to 85 percent,Cell,0.5556,0.6336,0.8042,0.6483,0.7033,2018-10-09 23:00:19
Rep,50 to 64,High school,Asian,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Non-White,East,85 percent or higher,Landline,1,0.9567,1.1227,0.7579,1.1012,2018-10-09 23:00:28
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Lib./Don't know,Favorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,East,85 percent or higher,Landline,1,0.943,0.658,0.3813,0.6449,2018-10-09 23:01:51
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,East,85 percent or higher,Cell,1,0.9251,0.7101,0.3388,0.7054,2018-10-09 23:02:45
