response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9789,0.7006,0.5387,0.7227,2018-09-10 20:24:48
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.8659,0.7819,0.7066,0.8167,2018-09-10 20:21:12
Dem,50 to 64,High school,Unknown,Male,Black,Approve,oppose,disagree,Dems. take House,Don't know,Favorable,agree,no,agree,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Maybe Trump,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.9039,2.0034,1.8424,2.0812,2018-09-10 20:21:48
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9396,1.363,1.2478,1.41,2018-09-10 20:27:39
Rep,50 to 64,Bachelors' degree,White,Male,Black,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9844,1.273,0.8795,1.3132,2018-09-10 20:30:03
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Maybe Trump,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9343,1.1944,0.9341,1.2362,2018-09-10 20:19:24
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Reps. keep House,Don't know,Don't know,agree,yes,disagree,agree,45 to 64,4-year College Grad.,Other,Female,Not very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Maybe Trump,Unknown,Well-educ. Clinton,85 percent or higher,Cell,0.2222,0.9492,1.467,1.0491,1.2354,2018-09-10 20:26:36
Rep,65 and older,High school,White,Female,White,Approve,oppose,Don't know,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9954,1.429,1.294,1.4723,2018-09-10 20:18:39
Dem,18 to 34,High school,Black,Female,Black,Don't know,support,disagree,Dems. take House,Don't know,Favorable,disagree,no,disagree,agree,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Most Clinton,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,0.4444,0.7257,0.7306,0.8819,0.6532,2018-09-10 20:30:12
Und,50 to 64,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Unfavorable,agree,no,disagree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Maybe Trump,White,Less educ. Trump,85 percent or higher,Cell,0.4444,0.9028,1.4589,1.4136,1.4355,2018-09-10 20:20:00
Rep,65 and older,Some college or trade school,White,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9954,0.8672,0.7697,0.8934,2018-09-10 20:21:03
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.996,1.2638,1.0639,1.3048,2018-09-10 20:27:03
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Maybe Trump,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9021,1.4208,1.1136,1.4763,2018-09-10 20:23:27
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Less educ. Trump,50 to 85 percent,Cell,1,0.8037,1.1801,1.0841,1.2457,2018-09-10 20:25:15
Dem,35 to 49,Bachelors' degree,Asian,Female,Asian,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,Don't know,no,disagree,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Not very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Most Clinton,Non-White,Well-educ. Clinton,50 to 85 percent,Cell,0.3333,0.6006,0.95,1.14,0.5401,2018-09-10 20:20:09
Rep,50 to 64,High school,Unknown,Male,White,Disapp.,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Maybe Trump,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.9462,1.6261,1.4197,1.681,2018-09-10 20:30:48
Dem,35 to 49,Some college or trade school,White,Female,White,Approve,support,disagree,Dems. take House,Don't know,Favorable,agree,no,agree,disagree,30 to 44,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,0.8889,0.8866,1.4767,1.4661,1.4908,2018-09-10 20:19:42
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Trump,Unknown,Less educ. Trump,85 percent or higher,Cell,1,0.8793,0.9229,0.7338,0.962,2018-09-10 20:26:09
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9581,0.879,0.6861,0.8993,2018-09-10 20:26:54
Und,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Reps. keep House,Don't know,Favorable,agree,yes,disagree,disagree,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Less-educ. Clinton,50 to 85 percent,Landline,0.5556,0.8008,0.9124,0.8948,0.775,2018-09-10 20:24:12
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Other,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,yes,disagree,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Probably Clinton,Non-White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9562,0.8368,0.682,0.8643,2018-09-10 20:22:42
Rep,50 to 64,Some college or trade school,Other,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,agree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,0.2222,0.7709,0.8891,1.0413,0.6442,2018-09-10 20:23:45
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Most Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9002,0.6732,0.5723,0.6997,2018-09-10 20:30:57
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.868,1.273,0.9974,1.3292,2018-09-10 20:23:09
Rep,35 to 49,High school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,yes,disagree,agree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,35 to 49,Maybe Trump,White,Less educ. Trump,50 to 85 percent,Cell,1,0.7442,2.022,2.4406,2.1598,2018-09-10 20:24:03
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6226,1.1958,1.3903,1.3162,2018-09-10 20:29:36
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9819,1.582,1.1209,1.632,2018-09-10 20:18:12
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Most Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Landline,1,0.9986,0.4666,0.3206,0.4822,2018-09-10 20:28:51
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,oppose,Don't know,Reps. keep House,Favorable,Unfavorable,agree,Don't know,Don't know,agree,65 and older,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.917,0.7038,0.6738,0.6687,2018-09-10 20:25:06
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,yes,agree,agree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,0.7778,0.951,0.9811,0.8021,0.9891,2018-09-10 20:26:36
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,disagree,yes,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Most Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9368,0.7691,0.7205,0.7859,2018-09-10 20:17:45
Dem,18 to 34,Some college or trade school,White,Female,Asian,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,no,disagree,Don't know,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.6692,0.6541,0.8184,0.711,2018-09-10 20:21:39
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,agree,disagree,18 to 29,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Less-educ. Clinton,50 to 85 percent,Cell,0.8889,0.7275,0.6638,0.7613,0.6703,2018-09-10 20:29:18
Dem,35 to 49,Graduate or Professional Degree,Other,Male,Asian,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,agree,no,disagree,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Probably Clinton,Non-White,Well-educ. Clinton,50 to 85 percent,Cell,0.8889,0.7882,0.9528,0.9176,0.9938,2018-09-10 20:23:09
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,oppose,agree,Reps. keep House,Favorable,Favorable,disagree,no,disagree,agree,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Maybe Trump,White,Less educ. Trump,85 percent or higher,Cell,0.7778,0.9405,0.8626,0.6819,0.8675,2018-09-10 20:21:21
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,agree,no,agree,disagree,18 to 29,Postgraduate Degree,Democratic,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,0.6667,0.7115,0.5285,0.5298,0.4479,2018-09-10 20:17:45
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,agree,no,agree,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Well-educ. Trump,85 percent or higher,Cell,1,0.8666,1.0313,0.8957,1.0771,2018-09-10 20:22:42
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.997,0.7135,0.5318,0.7368,2018-09-10 20:18:12
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.6634,1.0238,1.3233,1.1145,2018-09-10 20:26:00
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9362,1.7505,1.3303,1.8114,2018-09-10 20:21:21
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,agree,yes,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Most Clinton,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.6377,0.5202,0.6913,0.5701,2018-09-10 20:28:51
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,yes,disagree,disagree,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,Maybe Trump,White,Well-educ. Trump,50 to 85 percent,Cell,0.7778,0.7448,0.8193,0.7302,0.731,2018-09-10 20:29:27
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9923,0.7051,0.5581,0.7276,2018-09-10 20:25:06
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,yes,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Probably Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.9525,1.0837,0.7979,1.1082,2018-09-10 20:29:09
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,yes,disagree,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Most Clinton,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.7869,0.6261,0.615,0.663,2018-09-10 20:20:54
Dem,50 to 64,High school,White,Female,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,0.6667,0.8685,1.3483,1.5424,1.2288,2018-09-10 20:30:21
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7544,1.1241,1.1776,1.1982,2018-09-10 20:27:03
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,no,agree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Probably Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Cell,0.8889,0.8916,1.0837,0.8524,1.1175,2018-09-10 20:19:42
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,30 to 44,Some College Educ.,Republican,Male,Not very likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,Probably Trump,White,Less-educ. Clinton,50 to 85 percent,Cell,0.4444,0.6751,1.3193,1.6595,0.8596,2018-09-10 20:27:57
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Most Clinton,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.8667,0.4819,0.3544,0.5033,2018-09-10 20:17:18
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Unfavorable,disagree,yes,agree,disagree,18 to 29,Some College Educ.,Other,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Maybe Trump,Unknown,Well-educ. Trump,50 to 85 percent,Landline,0.4444,0.5585,0.6731,0.8639,0.3346,2018-09-10 20:27:39
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.6728,1.7525,1.836,1.9033,2018-09-10 20:29:45
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,disagree,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.6169,1.7525,2.0023,1.8382,2018-09-10 20:17:45
Dem,65 and older,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9616,0.9805,0.9684,1.0124,2018-09-10 20:23:54
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9634,0.7038,0.6414,0.7204,2018-09-10 20:27:12
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,agree,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.9777,0.8074,0.6204,0.8279,2018-09-10 20:26:00
Rep,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,disagree,no,disagree,agree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Most Clinton,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,0.7778,0.5258,0.5245,0.8076,0.5183,2018-09-10 20:30:03
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9789,0.9695,0.8139,1.0001,2018-09-10 20:19:24
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.9039,0.5861,0.5205,0.6089,2018-09-10 20:24:03
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,disagree,yes,agree,disagree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Well-educ. Trump,50 to 85 percent,Cell,0.8889,0.6093,0.5546,0.7519,0.4994,2018-09-10 20:18:57
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,agree,no,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9912,1.0543,0.8523,1.0879,2018-09-10 20:28:06
Dem,18 to 34,Bachelors' degree,Hispanic,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Most Clinton,Non-White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.533,0.5316,0.6836,0.5668,2018-09-10 20:21:57
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,Don't know,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,35 to 49,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.8802,1.4673,1.406,1.5293,2018-09-10 20:27:12
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9235,0.895,0.7314,0.9275,2018-09-10 20:31:24
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Maybe Trump,White,Less educ. Trump,Less than 50 percent,Cell,1,0.4686,1.1882,1.8912,1.379,2018-09-10 20:27:21
Und,35 to 49,High school,Black,Female,Black,Disapp.,oppose,disagree,Dems. take House,Unfavorable,Favorable,agree,yes,disagree,agree,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Nonwhite,35 to 49,Most Clinton,Non-White,Less-educ. Clinton,Less than 50 percent,Cell,1,0.3206,1.5476,4.6632,1.4612,2018-09-10 20:16:51
Dem,35 to 49,Some college or trade school,Unknown,Female,Black,Disapp.,support,agree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Most Clinton,Unknown,Less-educ. Clinton,50 to 85 percent,Cell,1,0.829,0.6413,0.6149,0.6567,2018-09-10 20:24:57
Dem,18 to 34,Graduate or Professional Degree,Other,Male,Black,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,yes,Don't know,agree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Probably Clinton,Non-White,Less-educ. Clinton,85 percent or higher,Cell,0.7778,0.9537,0.5733,0.4296,0.5784,2018-09-10 20:31:24
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Maybe Trump,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9385,1.4208,1.0703,1.4699,2018-09-10 20:24:39
Und,50 to 64,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Favorable,Favorable,agree,no,disagree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9337,0.9678,0.952,1.0018,2018-09-10 20:23:54
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,30 to 44,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.6688,0.8231,1.0784,0.8565,2018-09-10 20:31:06
