response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Bachelors' degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,Other Non-White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.8465,1.4548,0.9988,1.4329,2018-10-27 20:00:41
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.5062,0.7689,0.8938,0.8648,2018-10-27 20:04:09
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.7537,0.5126,0.7311,2018-10-27 20:04:36
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Already voted,or as a member of another political party,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2889,0.6637,1.5297,0.8623,2018-10-27 20:10:18
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8614,0.6484,0.4367,0.6468,2018-10-27 20:15:15
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9451,0.666,0.4405,0.6523,2018-10-27 20:17:40
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,Asian,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,Nonwhite,Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.9087,0.8448,0.434,0.8338,2018-10-27 20:23:31
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,No 4-year College Degree,Hispanic,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2348,0.6297,2.019,0.797,2018-10-27 20:25:10
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.9143,0.5018,0.2613,0.4894,2018-10-27 20:29:49
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4631,1.0223,1.9292,1.1751,2018-10-27 20:29:58
Rep,18 to 34,Some college or trade school,White,Female,Asian,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Female,Already voted,Republican,Nonwhite,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.291,0.677,1.5281,0.8779,2018-10-27 20:31:01
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,0.8889,0.7881,0.8822,0.7185,0.8359,2018-10-27 20:31:01
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.9617,0.7577,0.4991,0.7354,2018-10-27 20:33:25
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9665,0.7179,0.3797,0.6966,2018-10-27 20:37:37
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,4-year College Grad.,Other Non-White,Irvine,Less than 50 percent,Cell,1,0.455,1.1107,1.2148,1.2189,2018-10-27 20:48:58
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,85 percent or higher,Landline,1,0.9357,0.7575,0.3447,0.7434,2018-10-27 21:17:29
Und,65 and older,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9608,0.9396,0.5178,0.912,2018-10-27 21:20:38
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,85 percent or higher,Landline,1,0.9623,0.75,0.3799,0.7323,2018-10-27 21:24:05
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9526,1.0121,0.6781,0.9899,2018-10-27 21:29:11
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,Unknown,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,0.9483,0.6373,0.9247,2018-10-27 21:29:20
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9674,1.0222,0.5891,0.9972,2018-10-27 21:29:20
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,Unknown,Irvine,85 percent or higher,Cell,1,0.97,1.1622,0.614,1.1274,2018-10-27 21:33:17
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,Unknown,Irvine,85 percent or higher,Landline,1,0.97,0.9862,0.5734,0.9616,2018-10-27 21:34:56
Dem,65 and older,Some college or trade school,Asian,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,No 4-year College Degree,Other Non-White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.949,1.1063,0.7438,1.0749,2018-10-27 21:37:02
Rep,65 and older,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.967,1.091,0.5888,1.0643,2018-10-27 21:37:20
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,Unknown,Assembly Dist. 68,50 to 85 percent,Landline,1,0.8423,1.1079,0.687,1.1104,2018-10-27 21:41:23
Rep,65 and older,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,Nonwhite,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,1.0839,0.7022,1.0569,2018-10-27 21:41:41
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,1.1454,0.7954,1.1029,2018-10-27 21:43:11
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.807,0.993,0.6942,1.0042,2018-10-27 21:43:47
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,85 percent or higher,Landline,1,0.97,0.7838,0.4612,0.7603,2018-10-27 21:43:47
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,50 to 85 percent,Landline,1,0.8078,0.9152,0.6844,0.9075,2018-10-27 21:46:13
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.6664,0.8344,0.7446,0.8532,2018-10-27 21:46:20
Rep,65 and older,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",No 4-year College Degree,Hispanic,Irvine,85 percent or higher,Landline,1,0.9643,0.9407,0.604,0.9129,2018-10-27 21:47:25
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,[DO NOT READ] Don't know/Refused,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.97,0.6373,0.3507,0.6137,2018-10-27 21:51:55
Rep,18 to 34,[DO NOT READ] Refused,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,[DO NOT READ] Don't know/Refused,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",[DO NOT READ] Don't know/Refused,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,0.6665,0.4007,0.6499,2018-10-27 21:52:58
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9244,1.153,0.8029,1.1232,2018-10-27 21:52:58
Rep,[DO NOT READ] Refused,High school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,0.9439,0.7052,0.9089,2018-10-27 21:59:16
Und,50 to 64,[DO NOT READ] Refused,Asian,Male,Other,Approve,Reps. keep House,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Very likely,Republican,Nonwhite,[DO NOT READ] Don't know/Refused,Other Non-White,Assembly Dist. 73/74,50 to 85 percent,Landline,0.7778,0.7823,1.5656,1.2088,1.452,2018-10-27 22:01:31
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,50 to 85 percent,Landline,1,0.8233,1.4922,1.0727,1.5027,2018-10-27 22:03:46
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Landline,1,0.795,1.1138,0.919,1.1071,2018-10-27 22:04:40
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,0.6825,0.3698,0.6655,2018-10-27 22:04:49
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9511,0.6332,0.4279,0.6195,2018-10-27 22:05:43
Dem,65 and older,Some college or trade school,Unknown,Female,Asian,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,No 4-year College Degree,Unknown,Assembly Dist. 68,85 percent or higher,Landline,1,0.9133,1.2493,0.9525,1.2185,2018-10-27 22:05:52
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,1.0277,0.7092,0.9895,2018-10-27 22:06:37
Dem,35 to 49,Bachelors' degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,Other Non-White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9683,1.4118,0.8411,1.3698,2018-10-27 22:07:49
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,Unknown,Irvine,85 percent or higher,Landline,1,0.902,1.6715,1.1698,1.6328,2018-10-27 22:09:55
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,85 percent or higher,Landline,1,0.9552,0.7028,0.383,0.687,2018-10-27 22:16:51
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,1.0277,0.7092,1.002,2018-10-27 22:17:45
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Landline,1,0.888,0.9095,0.4557,0.8901,2018-10-27 22:21:03
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Postgraduate Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Landline,1,0.958,0.5724,0.387,0.5505,2018-10-27 22:22:06
Rep,65 and older,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9118,0.9963,0.6521,0.9826,2018-10-27 22:23:36
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.97,1.0222,0.5875,0.9843,2018-10-27 22:26:09
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Dems. take House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,Less than 50 percent,Landline,1,0.3072,0.6546,1.373,0.7088,2018-10-27 22:26:27
Und,65 and older,Some college or trade school,White,Female,Black,Approve,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.97,0.8991,0.6731,0.8723,2018-10-27 22:30:48
Rep,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Postgraduate Degree,Hispanic,Assembly Dist. 68,50 to 85 percent,Landline,1,0.7912,0.6511,0.4531,0.6612,2018-10-27 22:33:22
Rep,65 and older,Grade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.921,0.9081,0.6254,0.8939,2018-10-27 22:34:43
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",4-year College Grad.,White,Irvine,85 percent or higher,Landline,1,0.9386,1.203,0.6525,1.1799,2018-10-27 22:53:22
Rep,65 and older,Bachelors' degree,Asian,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",4-year College Grad.,Other Non-White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.964,1.3558,0.7286,1.3046,2018-10-27 23:03:13
Und,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,Other Non-White,Irvine,50 to 85 percent,Cell,1,0.7584,1.0783,0.7261,1.1051,2018-10-27 23:07:07
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.7537,0.5126,0.7311,2018-10-27 23:07:25
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.97,1.1762,0.7701,1.1411,2018-10-27 23:07:34
Rep,18 to 34,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8895,0.7299,0.4184,0.701,2018-10-27 23:11:55
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.6332,0.4195,0.6174,2018-10-27 23:12:04
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.9629,0.7098,0.9272,2018-10-27 23:14:37
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Democrat,Nonwhite,Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Cell,1,0.8675,0.9706,0.4661,0.9669,2018-10-27 23:16:39
Dem,18 to 34,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,Unknown,Irvine,Less than 50 percent,Cell,1,0.4975,1.107,1.6555,1.1938,2018-10-27 23:18:45
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Postgraduate Degree,Unknown,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9499,0.9483,0.6508,0.9213,2018-10-27 23:21:18
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9198,1.0596,0.7601,1.0327,2018-10-27 23:21:36
Dem,50 to 64,Bachelors' degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",4-year College Grad.,Other Non-White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.7679,1.7033,1.4105,1.741,2018-10-27 23:23:51
Dem,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",4-year College Grad.,Other Non-White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9517,1.3229,0.8564,1.2717,2018-10-27 23:26:06
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Postgraduate Degree,Unknown,Assembly Dist. 68,85 percent or higher,Cell,1,0.9182,0.5983,0.3681,0.5833,2018-10-27 23:27:36
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,50 to 85 percent,Landline,1,0.6865,0.8344,0.7227,0.8143,2018-10-28 19:58:00
Dem,18 to 34,Grade school,White,Male,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,High School Grad. or Less,Republican,Male,Already voted,Republican,Nonwhite,No 4-year College Degree,White,Irvine,50 to 85 percent,Landline,1,0.8162,0.9988,0.6278,1.0076,2018-10-28 20:08:28
Und,18 to 34,Graduate or Professional Degree,Unknown,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Postgraduate Degree,Unknown,Irvine,50 to 85 percent,Cell,1,0.8231,1.2912,0.9855,1.2768,2018-10-28 20:31:41
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,Unknown,Irvine,85 percent or higher,Cell,1,0.9213,1.1622,0.6465,1.1325,2018-10-28 20:41:08
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",No 4-year College Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Landline,1,0.9017,0.8914,0.7349,0.8708,2018-10-28 20:44:26
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,4-year College Grad.,Other Non-White,Irvine,Less than 50 percent,Cell,1,0.4422,1.6772,2.5103,1.9501,2018-10-28 20:51:29
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9415,0.694,0.4182,0.6748,2018-10-28 20:56:26
Rep,65 and older,Grade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.8235,1.1577,1.0537,1.1658,2018-10-28 20:56:35
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Irvine,50 to 85 percent,Landline,1,0.5827,1.3107,1.3475,1.1559,2018-10-28 20:58:05
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.9629,0.7098,0.9342,2018-10-28 21:15:53
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9308,1.1568,0.7312,1.1363,2018-10-28 21:16:02
