response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,oppose,Approve,Dems. take House,Unfavorable,No,Favorable,Support,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Sarpy,50 to 85 percent,Cell,0.8889,0.7937,1.0945,0.9732,1.1275,2018-09-24 23:23:31
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9752,0.6976,0.3918,0.7067,2018-09-24 23:23:58
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9902,0.8799,0.4663,0.8973,2018-09-24 23:25:47
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Rest of Douglas,85 percent or higher,Cell,1,0.9414,0.8966,0.5671,0.9057,2018-09-24 23:26:49
Dem,50 to 64,Some college or trade school,Asian,Male,Asian,Support,Don't know,Don't know,Dems. take House,Favorable,No,Unfavorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,Sarpy,50 to 85 percent,Cell,1,0.7447,1.1429,0.9613,1.1647,2018-09-24 23:27:43
Dem,35 to 49,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Support,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Sarpy,85 percent or higher,Cell,0.8889,0.9089,0.8257,0.5779,0.8406,2018-09-24 23:28:10
Und,35 to 49,Bachelors' degree,White,Female,White,Oppose,support,Approve,Don't know,Don't know,No,Don't know,Support,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9209,1.0639,0.5959,1.0741,2018-09-24 23:28:46
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Support,support,Disapp.,Dems. take House,Don't know,Yes,Don't know,Oppose,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.985,0.7287,0.3405,0.7396,2018-09-24 23:29:13
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,Don't know,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Sarpy,85 percent or higher,Cell,1,0.9859,0.9939,0.5784,1.0133,2018-09-24 23:29:22
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Rest of Douglas,Less than 50 percent,Cell,1,0.3114,0.8859,1.7287,1.1064,2018-09-24 23:31:20
Rep,65 and older,High school,White,Female,White,Support,support,Disapp.,Reps. keep House,Don't know,No,Don't know,Oppose,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Trump",50 to 85 percent,Cell,1,0.7943,1.3441,1.4172,1.4048,2018-09-24 23:34:17
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Cell,1,0.995,0.9161,0.44,0.9347,2018-09-24 23:34:44
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Cell,1,0.8681,1.0092,0.7647,1.0195,2018-09-24 23:34:53
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Support,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Clinton",50 to 85 percent,Cell,0.8889,0.7469,1.0581,0.6884,1.0975,2018-09-24 23:35:20
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Oppose,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9117,0.7886,0.4715,0.8089,2018-09-24 23:38:02
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.8996,0.8736,0.5625,0.8975,2018-09-24 23:38:47
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Support,support,Disapp.,Reps. keep House,Don't know,No,Favorable,Support,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Sarpy,50 to 85 percent,Cell,1,0.7725,1.0083,0.7291,1.0583,2018-09-24 23:39:14
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Not at all likely,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,"Omaha, Clinton",Less than 50 percent,Cell,0,0.165,1.1848,4.0743,0.2598,2018-09-24 23:45:32
Rep,50 to 64,High school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Clinton",Less than 50 percent,Landline,1,0.3777,1.2677,3.0603,1.5191,2018-09-24 23:47:00
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Support,oppose,Disapp.,Dems. take House,Unfavorable,Yes,Favorable,Oppose,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,"Omaha, Trump",85 percent or higher,Cell,1,0.9448,0.7331,0.3792,0.7492,2018-09-24 23:47:38
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Trump",Less than 50 percent,Cell,1,0.3912,1.1157,1.7145,1.2245,2018-09-24 23:49:03
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Support,support,Disapp.,Dems. take House,Favorable,No,Favorable,Support,30 to 44,Some College Educ.,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,Unknown,"Omaha, Trump",50 to 85 percent,Cell,0.4444,0.5012,0.7352,0.9162,0.3428,2018-09-24 23:49:24
Rep,35 to 49,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Favorable,Oppose,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,"Omaha, Clinton",Less than 50 percent,Cell,0.7778,0.3486,0.9267,1.7598,0.7506,2018-09-24 23:50:45
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Trump",85 percent or higher,Landline,1,0.9851,1.1544,0.6516,1.177,2018-09-24 23:51:27
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9961,0.7486,0.3751,0.7639,2018-09-24 23:51:30
Rep,35 to 49,Some college or trade school,White,Female,White,Support,oppose,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,"Omaha, Clinton",50 to 85 percent,Cell,1,0.8331,1.0411,0.8509,1.0535,2018-09-24 23:51:57
Rep,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Support,support,Disapp.,Reps. keep House,Don't know,No,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,Unknown,Sarpy,85 percent or higher,Cell,1,0.9708,0.6237,0.4496,0.6361,2018-09-24 23:52:51
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Unknown,Rest of Douglas,Less than 50 percent,Cell,1,0.2489,0.806,2.2708,1.0583,2018-09-24 23:53:36
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Sarpy,85 percent or higher,Cell,0,0.9727,0.9939,0.5862,0.9379,2018-09-24 23:53:45
Dem,35 to 49,Some college or trade school,White,Male,White,Oppose,Don't know,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Rest of Douglas,85 percent or higher,Cell,0.8889,0.9588,1.0598,0.6729,1.0768,2018-09-24 23:54:12
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Oppose,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9344,0.8561,0.5091,0.8757,2018-09-24 23:55:06
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Cell,1,0.981,1.0691,0.6044,1.09,2018-09-24 23:55:15
Rep,50 to 64,Bachelors' degree,White,Female,Other,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Rest of Douglas,85 percent or higher,Cell,1,0.9747,1.1394,0.6535,1.1618,2018-09-24 23:56:54
Dem,65 and older,High school,Unknown,Male,White,Support,support,Approve,Reps. keep House,Favorable,No,Unfavorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,"Omaha, Clinton",85 percent or higher,Cell,1,0.8839,1.198,1.1715,1.2098,2018-09-24 23:57:36
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest of Douglas,85 percent or higher,Cell,1,0.9912,1.1663,0.6572,1.1857,2018-09-24 23:58:42
Dem,35 to 49,Some college or trade school,White,Female,White,Support,Don't know,Disapp.,Dems. take House,Don't know,No,Don't know,Support,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Sarpy,Less than 50 percent,Cell,1,0.2143,0.7697,2.5222,1.0462,2018-09-25 00:02:21
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Sarpy,50 to 85 percent,Cell,1,0.8298,0.7755,0.6103,0.8054,2018-09-25 00:02:48
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9824,0.9584,0.5325,0.9721,2018-09-25 00:06:15
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Sarpy,50 to 85 percent,Cell,1,0.5135,0.7131,0.7122,0.8036,2018-09-25 00:07:54
Dem,18 to 34,Bachelors' degree,White,Female,White,Support,Don't know,Don't know,Dems. take House,Don't know,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Sarpy,Less than 50 percent,Cell,0.7778,0.3281,0.7599,1.5046,0.8531,2018-09-25 00:11:03
Rep,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Support,support,Disapp.,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,Unknown,Sarpy,50 to 85 percent,Cell,1,0.6279,0.6327,0.6866,0.6873,2018-09-25 00:12:33
Dem,35 to 49,Bachelors' degree,White,Female,White,Oppose,support,Disapp.,Dems. take House,Favorable,No,Don't know,Oppose,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Sarpy,50 to 85 percent,Cell,0.6667,0.7919,1.0033,0.6582,0.9562,2018-09-25 00:14:21
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9852,0.9474,0.4691,0.966,2018-09-25 00:15:15
Dem,35 to 49,Some college or trade school,Unknown,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Support,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Unknown,"Omaha, Clinton",85 percent or higher,Cell,1,0.8874,0.7175,0.5085,0.7245,2018-09-25 00:16:09
Dem,18 to 34,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Clinton",50 to 85 percent,Cell,1,0.5232,0.8807,0.9138,0.989,2018-09-25 00:18:11
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Landline,1,0.9904,1.1969,0.6583,1.2206,2018-09-25 00:18:20
Dem,18 to 34,Bachelors' degree,White,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Trump",Less than 50 percent,Cell,0.5556,0.3591,0.9241,1.6078,0.5213,2018-09-25 00:23:17
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Support,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Rest of Douglas,50 to 85 percent,Cell,0.6667,0.5262,0.8441,0.8175,0.7885,2018-09-25 00:25:05
Dem,35 to 49,Graduate or Professional Degree,White,Female,Asian,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Oppose,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,"Omaha, Trump",Less than 50 percent,Cell,1,0.2042,0.7048,1.9402,0.8595,2018-09-25 00:25:05
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Oppose,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9738,0.9174,0.612,0.9355,2018-09-25 00:25:41
Dem,50 to 64,Bachelors' degree,Other,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Non-White,Rest of Douglas,50 to 85 percent,Cell,1,0.8056,1.388,0.8867,1.4476,2018-09-25 00:28:05
Rep,18 to 34,High school,White,Female,White,Oppose,support,Approve,Dems. take House,Favorable,No,Favorable,Support,18 to 29,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,"Omaha, Clinton",50 to 85 percent,Cell,0.5556,0.764,1.3206,1.6546,1.2186,2018-09-25 00:28:32
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest of Douglas,50 to 85 percent,Cell,0.6667,0.6315,1.0174,0.8196,0.8273,2018-09-25 00:28:41
Rep,35 to 49,Bachelors' degree,White,Female,White,Support,oppose,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Sarpy,85 percent or higher,Cell,1,0.9799,1.0209,0.6484,1.0409,2018-09-25 00:29:17
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,Don't know,Don't know,Don't know,Favorable,No,Favorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9898,0.7486,0.3775,0.7634,2018-09-25 00:29:35
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,oppose,Don't know,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Sarpy,50 to 85 percent,Landline,0.8889,0.6766,0.8875,0.6849,0.8882,2018-09-25 00:30:02
Rep,35 to 49,Some college or trade school,Black,Male,White,Oppose,support,Approve,Reps. keep House,Favorable,No,Favorable,Support,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Non-White,"Omaha, Trump",Less than 50 percent,Cell,0.7778,0.2901,1.1604,2.9782,0.9358,2018-09-25 00:31:23
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,30 to 44,High School Grad. or Less,Democratic,Female,Not very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Non-White,"Omaha, Clinton",Less than 50 percent,Cell,0.4444,0.2485,1.3968,5.3517,0.671,2018-09-25 00:31:41
Rep,65 and older,High school,White,Female,White,Support,support,Disapp.,Don't know,Favorable,Yes,Don't know,Oppose,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9898,1.2834,0.9566,1.3088,2018-09-25 00:32:08
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9559,0.8799,0.483,0.8983,2018-09-25 00:35:44
Dem,65 and older,Some college or trade school,White,Male,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.992,0.9243,0.5192,0.9428,2018-09-25 00:37:05
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,support,Don't know,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9804,0.8203,0.4561,0.8363,2018-09-25 00:38:35
Dem,65 and older,Some college or trade school,White,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9972,0.8561,0.4771,0.8739,2018-09-25 00:38:35
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,"Omaha, Trump",50 to 85 percent,Cell,1,0.8389,0.8849,0.5942,0.9175,2018-09-25 00:38:53
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,"Omaha, Trump",85 percent or higher,Landline,1,0.9901,0.8723,0.5098,0.8864,2018-09-25 00:44:17
Und,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Support,oppose,Disapp.,Don't know,Don't know,No,Don't know,Support,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Sarpy,50 to 85 percent,Cell,1,0.8,1.0546,0.6331,1.0695,2018-09-25 00:44:17
Und,65 and older,Grade school,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Approve,Don't know,Don't know,No,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,"Omaha, Trump",85 percent or higher,Landline,1,0.9923,1.4832,1.263,1.5128,2018-09-25 00:44:44
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Support,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9702,0.9243,0.5309,0.9428,2018-09-25 00:46:05
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Support,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Sarpy,85 percent or higher,Cell,1,0.9923,0.9794,0.5199,0.9989,2018-09-25 00:46:41
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Sarpy,85 percent or higher,Cell,1,0.9835,0.9184,0.5606,0.9317,2018-09-25 00:47:40
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Trump",50 to 85 percent,Cell,0.7778,0.8248,0.8406,0.5517,0.7621,2018-09-25 00:47:44
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,Don't know,Disapp.,Don't know,Favorable,No,Unfavorable,Oppose,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Clinton",50 to 85 percent,Cell,0.7778,0.6843,1.1147,0.8643,1.0835,2018-09-25 00:48:02
Dem,18 to 34,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Oppose,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9924,0.8769,0.5026,0.8944,2018-09-25 00:48:07
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,"Omaha, Trump",85 percent or higher,Landline,1,0.9917,0.676,0.3955,0.6894,2018-09-25 00:48:20
Dem,35 to 49,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9858,0.9316,0.4803,0.9499,2018-09-25 00:48:43
Rep,50 to 64,Bachelors' degree,Unknown,Male,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,Unknown,Rest of Douglas,85 percent or higher,Cell,0.8889,0.9882,1.0081,0.5013,1.0214,2018-09-25 00:48:47
