response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,1,0.8585,0.8476,0.5906,0.8597,2018-09-20 03:05:52
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,Less than 50 percent,Cell,1,0.4434,1.2742,1.6234,1.3488,2018-09-20 03:06:28
Rep,50 to 64,Some college or trade school,Unknown,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,Unknown,50 to 85 percent,Cell,1,0.7279,1.7064,1.9685,1.7742,2018-09-20 03:07:58
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.9788,1.3377,0.807,1.3307,2018-09-20 03:07:58
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Don't know,Support,Support,agree,18 to 29,4-year College Grad.,Republican,Female,Not very likely,Republican,"White, 4-Year College Grads",Orange,18 to 34,4-year College Grad.,White,Less than 50 percent,Cell,0.7778,0.4319,1.4428,2.4331,0.9791,2018-09-20 03:08:43
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Don't know,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Orange,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.9856,1.332,0.7676,1.3328,2018-09-20 03:08:52
Und,65 and older,High school,White,Male,White,support,Disapp.,Don't know,Don't know,Don't know,Support,Don't know,Support,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Orange,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.8838,1.2742,2.1572,1.2875,2018-09-20 03:09:14
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Orange,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9753,1.2742,0.7544,1.2751,2018-09-20 03:12:10
Dem,18 to 34,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,Unknown,85 percent or higher,Landline,1,0.8599,0.844,0.885,0.8559,2018-09-20 03:12:10
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9798,1.138,0.6525,1.1387,2018-09-20 03:12:46
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,support,Disapp.,Don't know,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,Unknown,85 percent or higher,Landline,1,0.9871,0.6737,0.5419,0.6742,2018-09-20 03:17:26
Dem,50 to 64,High school,Hispanic,Male,Hispanic,support,Disapp.,Reps. keep House,Favorable,Favorable,Support,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,San Diego,50 to 64,No 4-year College Degree,Hispanic,50 to 85 percent,Cell,0.8889,0.7298,0.8639,1.3902,0.846,2018-09-20 03:19:37
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9817,0.7553,0.3999,0.7558,2018-09-20 03:20:13
Dem,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,oppose,Don't know,Dems. take House,Favorable,Favorable,Don't know,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,San Diego,50 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.7678,1.1377,0.8301,1.1353,2018-09-20 03:20:22
Rep,50 to 64,Graduate or Professional Degree,Other,Male,Asian,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Other,Male,Not at all likely,[DO NOT READ] Refused,Nonwhite,Orange,50 to 64,Postgraduate Degree,Other Non-White,50 to 85 percent,Cell,0,0.8433,0.6407,0.4302,0.3306,2018-09-20 03:21:07
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Orange,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.8286,1.2185,0.8609,1.2421,2018-09-20 03:21:20
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Orange,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.968,1.2742,0.7601,1.2755,2018-09-20 03:22:50
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,oppose,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9376,0.5217,0.3112,0.5236,2018-09-20 03:23:22
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Orange,35 to 49,Postgraduate Degree,Hispanic,50 to 85 percent,Cell,1,0.7581,0.7475,0.4597,0.7723,2018-09-20 03:23:22
Rep,35 to 49,Bachelors' degree,Hispanic,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",San Diego,35 to 49,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.8672,1.7234,0.9398,1.7457,2018-09-20 03:24:52
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8742,1.2725,0.8535,1.2876,2018-09-20 03:25:10
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.9685,1.1897,0.6788,1.1909,2018-09-20 03:26:08
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.9302,1.186,0.5883,1.0597,2018-09-20 03:27:25
Und,18 to 34,High school,Hispanic,Male,Hispanic,Don't know,Approve,Dems. take House,Don't know,Don't know,Don't know,Don't know,Support,agree,18 to 29,High School Grad. or Less,Democratic,Male,Not very likely,Democrat,Nonwhite,San Diego,18 to 34,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,0.4444,0.2283,0.8105,5.2002,0.378,2018-09-20 03:29:04
Dem,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Support,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Orange,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.954,0.4303,0.2392,0.43120000000000003,2018-09-20 03:29:49
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,San Diego,50 to 64,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.9301,0.8737,0.3999,0.8776,2018-09-20 03:34:21
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Support,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.6771,0.9016,0.7475,0.9486,2018-09-20 03:34:48
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.994,1.1897,0.6614,1.1882,2018-09-20 03:36:54
Und,18 to 34,High school,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,San Diego,18 to 34,No 4-year College Degree,Hispanic,50 to 85 percent,Cell,1,0.5524,0.7237,1.9027,0.7895,2018-09-20 03:38:24
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,50 to 85 percent,Cell,0.4444,0.6565,0.5392,0.4811,0.4959,2018-09-20 03:38:51
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.972,1.138,0.6578,1.139,2018-09-20 03:39:19
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9723,0.9118,0.4945,0.9126,2018-09-20 03:40:03
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,Hispanic,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9775,0.6807,0.4081,0.6811,2018-09-20 03:40:31
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9552,1.3377,0.8269,1.3404,2018-09-20 03:40:39
Rep,65 and older,Bachelors' degree,White,Male,Hispanic,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Orange,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9865,1.332,0.7669,1.3328,2018-09-20 03:40:48
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9762,0.5217,0.2989,0.5221,2018-09-20 03:40:57
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Oppose,Support,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.7779,1.4774,1.1725,1.5201,2018-09-20 03:42:09
Dem,18 to 34,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Unfavorable,Don't know,Don't know,Don't know,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Orange,18 to 34,No 4-year College Degree,White,Less than 50 percent,Cell,0.7778,0.4067,1.0168,1.7078,1.0857,2018-09-20 03:43:30
Rep,65 and older,Bachelors' degree,Other,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,65 and older,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,Other Non-White,85 percent or higher,Cell,1,0.9503,1.176,0.6775,1.1663,2018-09-20 03:44:33
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9921,0.5217,0.2941,0.5222,2018-09-20 03:47:59
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Don't know,Approve,Reps. keep House,Don't know,Unfavorable,Support,Support,Support,Don't know,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,San Diego,18 to 34,No 4-year College Degree,Hispanic,50 to 85 percent,Cell,1,0.8168,0.9824,0.7307,1.0035,2018-09-20 03:50:23
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,oppose,Don't know,Reps. keep House,Unfavorable,Don't know,Support,Support,Support,disagree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Orange,18 to 34,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,0.8889,0.2302,1.0955,2.8051,1.3585,2018-09-20 03:50:50
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9287,0.4322,0.2565,0.4341,2018-09-20 03:51:26
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.9782,0.8358,0.3698,0.8363,2018-09-20 03:52:47
Rep,18 to 34,High school,White,Female,White,Don't know,Approve,Reps. keep House,Don't know,Don't know,Don't know,Support,Don't know,agree,18 to 29,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,50 to 85 percent,Cell,0.3333,0.8015,1.0194,2.4225,0.601,2018-09-20 03:52:47
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,San Diego,35 to 49,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.9678,0.7264,0.3473,0.7215,2018-09-20 03:53:32
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Support,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9885,0.5638,0.3296,0.5642,2018-09-20 04:00:22
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,agree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,Unknown,Less than 50 percent,Cell,1,0.3144,1.6456,4.198,1.8316,2018-09-20 04:00:53
Rep,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Support,Support,agree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.9499,1.1019,0.6595,1.1045,2018-09-20 04:02:43
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.7784,1.008,0.7588,1.0371,2018-09-20 04:02:55
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,85 percent or higher,Cell,0.8889,0.8525,0.6768,0.5414,0.6795,2018-09-20 04:04:16
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.9793,0.6026,0.4681,0.5995,2018-09-20 04:04:16
Dem,18 to 34,Graduate or Professional Degree,Other,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Orange,18 to 34,Postgraduate Degree,Other Non-White,50 to 85 percent,Cell,0.6667,0.6408,0.5795,0.6155,0.5336,2018-09-20 04:04:16
Dem,50 to 64,Bachelors' degree,White,Female,Hispanic,support,Don't know,Dems. take House,Don't know,Don't know,Support,Support,Support,disagree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,0.8889,0.8929,1.0195,0.6283,0.9988,2018-09-20 04:04:52
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9732,0.6053,0.4064,0.6058,2018-09-20 04:07:34
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.8323,1.0884,0.7447,1.0809,2018-09-20 04:07:43
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Favorable,Favorable,Oppose,Support,Support,agree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",San Diego,18 to 34,4-year College Grad.,White,50 to 85 percent,Cell,1,0.796,1.0717,0.9965,1.067,2018-09-20 04:12:13
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,San Diego,50 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9384,0.9808,0.5987,0.9843,2018-09-20 04:14:37
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,18 to 34,4-year College Grad.,White,85 percent or higher,Cell,1,0.8997,0.7639,0.5536,0.7701,2018-09-20 04:16:04
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Don't know,Favorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9679,0.7654,0.4952,0.7662,2018-09-20 04:16:13
Und,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,agree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",San Diego,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9748,0.7021,0.4248,0.698,2018-09-20 04:16:40
Dem,35 to 49,Some college or trade school,White,Male,Asian,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,San Diego,35 to 49,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9363,1.0499,0.6073,1.0539,2018-09-20 04:17:25
Dem,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9015,0.628,0.3936,0.633,2018-09-20 04:17:25
Dem,50 to 64,Bachelors' degree,Unknown,Female,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,San Diego,50 to 64,4-year College Grad.,Unknown,85 percent or higher,Cell,1,0.8698,1.0532,0.8685,1.0441,2018-09-20 04:17:34
Dem,50 to 64,Some college or trade school,White,Female,Asian,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Don't know,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,San Diego,50 to 64,No 4-year College Degree,White,50 to 85 percent,Cell,1,0.8036,1.2169,0.9002,1.2108,2018-09-20 04:18:01
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,San Diego,50 to 64,Postgraduate Degree,Hispanic,50 to 85 percent,Landline,1,0.7938,0.5777,0.3592,0.5926,2018-09-20 04:19:52
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Orange,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9771,0.7621,0.4699,0.7626,2018-09-20 04:20:46
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9434,1.1841,0.7292,1.1876,2018-09-20 04:21:10
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,Less than 50 percent,Cell,1,0.1077,0.8152,3.3983,1.0997,2018-09-20 04:21:28
Dem,18 to 34,Graduate or Professional Degree,White,Female,Black,oppose,Disapp.,Dems. take House,Unfavorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,San Diego,18 to 34,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9441,0.437,0.3201,0.4383,2018-09-20 04:21:37
Rep,65 and older,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Unfavorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9681,1.138,0.6604,1.1392,2018-09-20 04:23:01
Dem,35 to 49,Bachelors' degree,Other,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",San Diego,35 to 49,4-year College Grad.,Other Non-White,85 percent or higher,Cell,1,0.8959,1.5811,0.9585,1.5666,2018-09-20 04:23:16
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Oppose,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9902,0.5638,0.329,0.5643,2018-09-20 04:23:25
