response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,Other,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Somerset,85 percent or higher,Cell,1,0.8728,1.0272,0.5244,1.0542,2018-09-18 23:42:22
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9834,1.2422,0.5585,1.2542,2018-09-18 23:43:25
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9002,0.9441,0.4509,0.9652,2018-09-18 23:45:04
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Support,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Essex/Union,50 to 85 percent,Cell,1,0.6548,0.6364,0.5073,0.6829,2018-09-18 23:56:11
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Morris,85 percent or higher,Cell,0.8889,0.8661,0.6116,0.4656,0.5739,2018-09-18 23:57:23
Rep,50 to 64,High school,Hispanic,Female,Hispanic,Don't know,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Don't know,Support,agree,45 to 64,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,Nonwhite,Nonwhite,50 to 64,Hispanic,Somerset,Less than 50 percent,Landline,0.7778,0.3427,2.117,4.5319,1.7054,2018-09-19 00:03:57
Rep,35 to 49,Bachelors' degree,White,Male,Other,Don't know,Approve,Reps. keep House,Don't know,Don't know,Support,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,35 to 49,White,Morris,50 to 85 percent,Cell,0.5556,0.6126,0.9763,1.1088,0.9427,2018-09-19 00:05:36
Dem,18 to 34,Some college or trade school,Other,Male,Asian,oppose,Approve,Dems. take House,Favorable,Favorable,Support,Oppose,Support,agree,18 to 29,Some College Educ.,Democratic,Male,Not very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Somerset,Less than 50 percent,Cell,0.6667,0.4561,0.4886,0.6111,0.3144,2018-09-19 00:06:03
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,35 to 49,Hispanic,Somerset,Less than 50 percent,Cell,1,0.2652,0.9793,2.253,1.2613,2018-09-19 00:08:09
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9452,1.1334,0.6412,1.1526,2018-09-19 00:09:39
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Other Non-White,Essex/Union,85 percent or higher,Landline,1,0.8687,0.8706,0.5744,0.8941,2018-09-19 00:14:27
Und,18 to 34,Some college or trade school,White,Male,White,oppose,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Essex/Union,Less than 50 percent,Cell,0.4444,0.3518,0.5576,0.7523,0.5205,2018-09-19 00:15:39
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Support,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,50 to 85 percent,Landline,1,0.7725,1.2885,0.7254,1.3458,2018-09-19 00:22:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Favorable,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Morris,50 to 85 percent,Landline,1,0.821,0.7623,0.4393,0.7682,2018-09-19 00:23:12
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,White,Essex/Union,50 to 85 percent,Cell,1,0.6605,0.6364,0.5029,0.6819,2018-09-19 00:24:24
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,50 to 85 percent,Cell,1,0.5178,1.3077,1.2232,1.4643,2018-09-19 00:25:27
Dem,35 to 49,Graduate or Professional Degree,Other,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Other Non-White,Essex/Union,50 to 85 percent,Cell,1,0.8419,0.7346,0.4586,0.7577,2018-09-19 00:28:27
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Somerset,85 percent or higher,Landline,1,0.9034,1.0654,0.4866,1.0887,2018-09-19 00:29:12
Dem,18 to 34,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Don't know,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Unknown,Somerset,50 to 85 percent,Cell,0.8889,0.501,0.648,0.8957,0.5659,2018-09-19 00:29:57
Rep,65 and older,High school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Don't know,Don't know,Oppose,Support,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,50 to 85 percent,Landline,0.8889,0.7924,1.588,1.4118,1.5743,2018-09-19 00:32:09
Und,65 and older,Bachelors' degree,White,Male,White,Don't know,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.8954,1.2422,0.6135,1.2707,2018-09-19 00:33:48
Rep,65 and older,High school,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Essex/Union,Less than 50 percent,Cell,1,0.1571,2.2436,9.0708,2.856,2018-09-19 00:35:36
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9025,0.804,0.4324,0.8217,2018-09-19 00:37:24
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Oppose,Oppose,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Not at all likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Essex/Union,50 to 85 percent,Cell,0.6667,0.7365,0.4492,0.3169,0.3009,2018-09-19 00:39:39
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,oppose,Don't know,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,or as a member of another political party,Nonwhite,Nonwhite,50 to 64,Other Non-White,Somerset,85 percent or higher,Cell,0.6667,0.9228,1.0101,0.5547,0.9839,2018-09-19 00:41:00
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Essex/Union,50 to 85 percent,Cell,1,0.5901,0.6239,0.5435,0.682,2018-09-19 00:41:27
Dem,65 and older,High school,Hispanic,Female,Hispanic,Don't know,Disapp.,Dems. take House,Favorable,Favorable,Support,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Hispanic,Morris,50 to 85 percent,Landline,1,0.7886,1.7001,1.6912,1.7702,2018-09-19 00:42:39
Dem,18 to 34,Graduate or Professional Degree,Black,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Essex/Union,Less than 50 percent,Cell,1,0.4962,0.5592,0.6178,0.6313,2018-09-19 00:42:48
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Support,agree,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,50 to 85 percent,Cell,0.8889,0.7339,0.8836,0.6215,0.8773,2018-09-19 00:45:21
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Don't know,Oppose,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Somerset,85 percent or higher,Cell,1,0.9585,0.6672,0.3827,0.6778,2018-09-19 00:48:35
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Somerset,Less than 50 percent,Landline,1,0.3147,1.2281,1.8504,1.5228,2018-09-19 00:49:02
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Morris,85 percent or higher,Cell,1,0.9299,0.6116,0.4337,0.623,2018-09-19 00:59:41
Dem,35 to 49,Bachelors' degree,White,Female,White,support,Disapp.,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,50 to 85 percent,Cell,0.7778,0.5864,1.2957,1.2956,1.2553,2018-09-19 01:01:02
Dem,[DO NOT READ] Refused,Some college or trade school,Black,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Other Non-White,Essex/Union,85 percent or higher,Cell,1,0.9147,1.3629,0.6313,1.3907,2018-09-19 01:03:57
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Don't know,Disapp.,Don't know,Don't know,Don't know,Support,Oppose,Oppose,Don't know,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Somerset,50 to 85 percent,Cell,0.6667,0.7369,0.7573,0.6491,0.7132,2018-09-19 01:04:06
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9636,1.5994,1.4725,1.624,2018-09-19 01:05:27
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Support,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Somerset,50 to 85 percent,Cell,1,0.7264,1.0612,0.7539,1.1193,2018-09-19 01:05:36
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Don't know,Favorable,Favorable,Oppose,Support,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.7187,1.0722,0.6838,1.0905,2018-09-19 01:07:42
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Reps. keep House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Morris,Less than 50 percent,Cell,0.6667,0.2374,0.5068,1.3638,0.4868,2018-09-19 01:07:51
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Somerset,50 to 85 percent,Cell,1,0.6695,0.3925,0.317,0.4017,2018-09-19 01:08:36
Rep,65 and older,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Somerset,50 to 85 percent,Cell,1,0.834,1.7226,1.3547,1.779,2018-09-19 01:11:09
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Essex/Union,50 to 85 percent,Landline,1,0.7254,0.7305,0.6017,0.7707,2018-09-19 01:15:52
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.8805,1.0272,0.5198,1.053,2018-09-19 01:16:24
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,support,Approve,Reps. keep House,Don't know,Unfavorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Hispanic,Somerset,85 percent or higher,Landline,1,0.8539,1.5979,0.8481,1.6075,2018-09-19 01:16:24
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,85 percent or higher,Cell,1,0.8791,1.0472,0.6705,1.0737,2018-09-19 01:16:37
Und,18 to 34,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Hunterdon/Warren,50 to 85 percent,Cell,1,0.616,0.536,0.5861,0.5814,2018-09-19 01:16:46
Dem,18 to 34,Some college or trade school,Asian,Male,Asian,support,Approve,Dems. take House,Don't know,Don't know,Support,Don't know,Support,Don't know,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,18 to 34,Other Non-White,Somerset,50 to 85 percent,Cell,0.5556,0.5748,0.6647,0.7153,0.5916,2018-09-19 01:18:52
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Somerset,85 percent or higher,Landline,1,0.8952,1.8117,1.0435,1.8534,2018-09-19 01:23:13
Dem,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Essex/Union,50 to 85 percent,Landline,1,0.5903,0.5291,0.4763,0.5484,2018-09-19 01:24:52
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,85 percent or higher,Cell,1,0.9706,1.4679,0.6958,1.4899,2018-09-19 01:28:01
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Somerset,85 percent or higher,Cell,1,0.9453,0.5998,0.3789,0.61,2018-09-19 01:29:04
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Support,Oppose,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.8539,0.973,0.5278,1.0015,2018-09-19 01:30:34
Rep,50 to 64,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.8698,1.7791,1.6709,1.7887,2018-09-19 01:44:57
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Support,Support,agree,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Somerset,Less than 50 percent,Cell,0.6667,0.4663,0.7848,1.08,0.6032,2018-09-19 20:47:37
Dem,18 to 34,Bachelors' degree,Black,Female,Black,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Somerset,Less than 50 percent,Cell,0.7778,0.308,0.6557,1.2682,0.7397,2018-09-19 20:53:01
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Essex/Union,50 to 85 percent,Cell,1,0.7984,0.6941,0.4114,0.7213,2018-09-19 20:56:19
Rep,50 to 64,High school,Unknown,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Unknown,Hunterdon/Warren,50 to 85 percent,Landline,1,0.7166,1.7932,2.2131,1.8955,2018-09-19 20:58:25
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Favorable,Don't know,Support,Support,Support,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Somerset,50 to 85 percent,Cell,1,0.8099,0.7992,0.5992,0.806,2018-09-19 21:02:16
Dem,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Unfavorable,Don't know,Support,Support,agree,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Somerset,85 percent or higher,Cell,1,0.9721,1.2789,0.6752,1.2888,2018-09-19 21:05:43
Und,50 to 64,Bachelors' degree,Asian,Male,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Other Non-White,Somerset,50 to 85 percent,Cell,1,0.7157,1.3699,0.8354,1.3937,2018-09-19 21:08:25
Rep,18 to 34,Some college or trade school,White,Female,White,Don't know,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Somerset,Less than 50 percent,Cell,0.6667,0.3126,0.6084,1.2328,0.4513,2018-09-19 21:33:50
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Disapp.,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,disagree,30 to 44,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Somerset,Less than 50 percent,Cell,0.6667,0.4809,0.6072,0.6668,0.5645,2018-09-19 21:33:50
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Don't know,Don't know,Favorable,Support,Support,Support,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Somerset,Less than 50 percent,Cell,1,0.3489,1.1114,2.0528,1.3478,2018-09-19 21:37:53
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Essex/Union,Less than 50 percent,Cell,1,0.4857,0.9671,1.1992,1.0963,2018-09-19 21:45:23
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Don't know,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Morris,85 percent or higher,Cell,1,0.9767,0.9034,0.4772,0.9167,2018-09-19 21:45:50
Und,18 to 34,Some college or trade school,White,Male,White,oppose,Don't know,Reps. keep House,Unfavorable,Unfavorable,Oppose,Support,Don't know,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Hunterdon/Warren,50 to 85 percent,Cell,0.7778,0.641,0.5101,0.5091,0.5232,2018-09-19 21:46:08
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Don't know,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Somerset,85 percent or higher,Landline,1,0.9912,1.2539,0.6395,1.2726,2018-09-19 21:46:17
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Support,Oppose,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Not at all likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,Other Non-White,Morris,50 to 85 percent,Landline,0.3333,0.7554,0.5758,0.4901,0.3227,2018-09-19 21:51:15
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,support,Don't know,Dems. take House,Don't know,Favorable,Support,Support,Oppose,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Other Non-White,Somerset,50 to 85 percent,Cell,0.7778,0.8081,0.6764,0.4382,0.6574,2018-09-19 21:54:15
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9784,1.2215,0.6052,1.2395,2018-09-19 21:55:00
Und,35 to 49,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Unfavorable,Support,Oppose,Support,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,50 to 85 percent,Cell,0.7778,0.5284,0.9146,1.0103,0.889,2018-09-19 21:58:09
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.9336,1.3784,0.687,1.3853,2018-09-19 21:59:03
Und,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,support,Disapp.,Dems. take House,Unfavorable,Unfavorable,Don't know,Don't know,Oppose,agree,18 to 29,Postgraduate Degree,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Somerset,50 to 85 percent,Cell,0.7778,0.5621,0.4294,0.4325,0.3589,2018-09-19 21:59:48
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Cell,0.8889,0.9808,1.2459,0.6253,1.2529,2018-09-19 22:00:33
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Somerset,Less than 50 percent,Cell,0.8889,0.3657,0.4149,0.6326,0.4776,2018-09-19 22:01:55
