response,ager,educ,file_race,gender,race_eth,approve,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.7852,0.9825,0.6845,0.9977,2018-10-17 00:23:46
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Unfavorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Rest of Maricopa,Less than 50 percent,Cell,0.8889,0.142,1.1436,5.9505,1.5503,2018-10-17 00:31:33
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9951,0.8157,0.4741,0.8072,2018-10-17 00:32:00
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Approve,Unfavorable,Rep.,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,18 to 34,White,Pima,Less than 50 percent,Cell,0.8889,0.3723,1.1412,1.4782,1.2763,2018-10-17 00:32:46
Dem,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Non-White,Rest of Maricopa,50 to 85 percent,Cell,1,0.808,0.9784,0.7601,0.9893,2018-10-17 00:44:36
Rep,65 and older,Some college or trade school,Unknown,Male,Other,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,65 and older,Unknown,Rest,Less than 50 percent,Cell,1,0.4514,0.9241,1.2545,1.0357,2018-10-17 00:47:13
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Don't know,Rep.,Don't know,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9448,0.942,0.5345,0.941,2018-10-17 00:57:07
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Other,Female,Already voted,Independent (No party),Nonwhite,65 and older,White,Rest,50 to 85 percent,Landline,1,0.5563,0.8165,0.8107,0.9155,2018-10-17 01:00:34
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9961,0.6406,0.3371,0.6329,2018-10-17 01:06:00
Und,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Unfavorable,Rep.,Unfavorable,30 to 44,Some College Educ.,Republican,Male,Not very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",18 to 34,Unknown,Rest of Maricopa,Less than 50 percent,Cell,0.3333,0.4293,1.2269,2.0966,0.5827,2018-10-17 01:18:54
Dem,65 and older,High school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Pima,85 percent or higher,Landline,1,0.9963,1.1656,0.5483,1.1551,2018-10-17 01:19:12
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,Rest,85 percent or higher,Cell,1,0.9931,0.7549,0.4162,0.7449,2018-10-17 01:27:18
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Phoenix/Tempe,85 percent or higher,Landline,1,0.9785,0.7381,0.4379,0.7256,2018-10-17 01:27:36
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Don't know,Dem.,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,35 to 49,White,Rest,Less than 50 percent,Landline,1,0.3422,0.9593,1.9382,1.0415,2018-10-17 01:30:36
Rep,18 to 34,High school,White,Male,Other,Approve,Don't know,Rep.,Don't know,30 to 44,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),Nonwhite,18 to 34,White,Rest,Less than 50 percent,Cell,0.4444,0.2161,1.7776,6.2637,0.8142,2018-10-17 01:39:39
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.99,0.7663,0.4674,0.7579,2018-10-17 01:44:09
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9933,0.6459,0.3272,0.6402,2018-10-17 01:46:42
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9928,1.0598,0.6609,1.0505,2018-10-17 01:49:44
Rep,[DO NOT READ] Refused,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Other,Male,Very likely,Republican,Nonwhite,65 and older,Non-White,Rest of Maricopa,50 to 85 percent,Landline,1,0.79,1.0838,0.7356,1.0668,2018-10-17 01:52:08
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9759,1.1525,0.7462,1.1398,2018-10-17 01:58:44
Dem,50 to 64,Some college or trade school,Black,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,50 to 64,Non-White,Rest of Maricopa,Less than 50 percent,Cell,1,0.3866,1.3036,2.4423,1.5991,2018-10-17 02:02:39
Dem,65 and older,Bachelors' degree,White,Female,White,Don't know,Favorable,Don't know,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9956,0.8335,0.4607,0.826,2018-10-17 02:09:24
Und,65 and older,Graduate or Professional Degree,Other,Female,White,Don't know,Don't know,Dem.,Don't know,65 and older,Postgraduate Degree,Other,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, 4-Year College Grads",65 and older,Non-White,Rest of Maricopa,85 percent or higher,Landline,0.4444,0.8726,0.791,0.5207,0.6284,2018-10-17 02:12:06
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9213,0.9068,0.6391,0.9011,2018-10-17 02:12:06
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Cell,1,0.9935,0.775,0.4956,0.7681,2018-10-17 02:14:48
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9088,0.7599,0.5261,0.744,2018-10-17 02:20:05
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Pima,85 percent or higher,Landline,1,0.9955,0.9289,0.4344,0.9205,2018-10-17 02:23:14
Dem,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,Non-White,Rest,50 to 85 percent,Cell,1,0.5372,1.2254,1.4583,1.3854,2018-10-17 02:24:17
Rep,50 to 64,High school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.8852,1.5475,1.1026,1.5156,2018-10-17 02:25:29
Rep,65 and older,Grade school,Unknown,Male,White,Approve,Don't know,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Pima,85 percent or higher,Landline,1,0.9888,1.3324,0.6471,1.321,2018-10-17 02:32:22
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.8376,0.9153,0.6504,0.9207,2018-10-17 02:34:28
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Phoenix/Tempe,50 to 85 percent,Cell,1,0.591,1.0478,1.1503,1.1158,2018-10-17 02:37:01
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Unfavorable,Rep.,Favorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Landline,1,0.9061,0.7733,0.532,0.7787,2018-10-17 02:40:19
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,1,0.191,1.1049,3.4466,1.3224,2018-10-17 02:49:06
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9789,0.8354,0.4431,0.8261,2018-10-17 02:49:51
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Cell,1,0.9572,0.6533,0.3612,0.6468,2018-10-17 02:49:51
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,65 and older,Unknown,Rest,50 to 85 percent,Landline,1,0.7709,0.6788,0.418,0.6912,2018-10-17 02:51:30
Und,[DO NOT READ] Refused,Some college or trade school,Asian,Male,White,Don't know,Don't know,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,Non-White,Pima,Less than 50 percent,Landline,0.1111,0.2211,1.4162,3.4967,0.3582,2018-10-17 02:57:39
Rep,50 to 64,Some college or trade school,Hispanic,Male,White,Approve,Don't know,Rep.,Don't know,45 to 64,Some College Educ.,Democratic,Male,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",50 to 64,Non-White,Rest of Maricopa,50 to 85 percent,Cell,1,0.5049,1.1308,1.2367,0.9525,2018-10-17 02:59:27
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.977,0.9013,0.5512,0.8951,2018-10-17 03:01:30
Und,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Unfavorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Rest,85 percent or higher,Landline,0.4444,0.9395,0.9171,0.6668,0.8746,2018-10-17 03:09:45
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9932,0.8128,0.4417,0.8055,2018-10-17 03:18:48
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Pima,85 percent or higher,Cell,1,0.9954,0.8305,0.2892,0.823,2018-10-17 03:19:42
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,Rest of Maricopa,50 to 85 percent,Cell,1,0.7338,1.0806,0.865,1.109,2018-10-17 03:20:27
Rep,18 to 34,High school,White,Male,Black,Disapp.,Unfavorable,Rep.,Don't know,18 to 29,High School Grad. or Less,Other,Male,Not at all likely,[DO NOT READ] Refused,Nonwhite,18 to 34,White,Rest of Maricopa,Less than 50 percent,Landline,0.3333,0.3683,1.7924,3.5574,0.6514,2018-10-17 03:20:54
3,50 to 64,High school,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,85 percent or higher,Landline,1,0.9339,1.4767,1.0886,1.4782,2018-10-17 03:26:18
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Favorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.5246,0.9153,1.0384,0.9372,2018-10-17 03:26:27
Dem,50 to 64,Some college or trade school,White,Female,Other,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9093,0.9144,0.6268,0.8953,2018-10-17 03:26:45
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Favorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Pima,85 percent or higher,Landline,1,0.987,0.7209,0.305,0.7099,2018-10-17 03:28:33
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.8979,0.8823,0.5129,0.89,2018-10-17 03:30:12
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Favorable,Rep.,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Phoenix/Tempe,50 to 85 percent,Cell,1,0.6074,0.9971,0.8946,1.0042,2018-10-17 03:32:18
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9954,0.8881,0.5352,0.8772,2018-10-17 03:35:42
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Favorable,Rep.,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.9901,0.7383,0.3844,0.7302,2018-10-17 03:36:45
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Pima,85 percent or higher,Cell,1,0.996,0.8256,0.3342,0.8182,2018-10-17 03:37:48
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Don't know,Unfavorable,Rep.,Favorable,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,or as a member of another political party,Nonwhite,18 to 34,Non-White,Pima,Less than 50 percent,Cell,0.5556,0.4838,1.6415,1.8393,1.155,2018-10-17 03:40:03
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9856,0.8582,0.4978,0.8486,2018-10-17 03:43:21
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Pima,85 percent or higher,Landline,1,0.9699,0.783,0.3131,0.7746,2018-10-17 03:43:39
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.5277,0.8068,0.8209,0.9161,2018-10-17 03:48:43
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.8816,0.7527,0.4266,0.7372,2018-10-17 03:48:43
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.5622,0.7472,0.6605,0.803,2018-10-17 03:49:01
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Pima,85 percent or higher,Cell,1,0.9849,0.6561,0.2504,0.6488,2018-10-17 03:49:46
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Don't know,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.6839,0.9307,0.9635,0.9662,2018-10-17 03:53:22
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.996,0.7096,0.3983,0.7032,2018-10-17 04:01:01
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Favorable,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9891,0.7191,0.4028,0.7112,2018-10-17 04:02:58
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9775,0.8709,0.5075,0.8613,2018-10-17 04:05:58
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9956,0.8335,0.4607,0.8233,2018-10-17 04:06:16
Rep,35 to 49,Some college or trade school,White,Female,Hispanic,Approve,Unfavorable,Rep.,Don't know,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,Nonwhite,35 to 49,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.985,0.9514,0.6848,0.9438,2018-10-17 04:06:43
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest of Maricopa,Less than 50 percent,Landline,1,0.4075,1.1475,2.2434,1.3129,2018-10-17 04:07:37
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.981,0.7663,0.4717,0.7605,2018-10-17 04:07:46
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,1,0.4323,0.9301,1.5151,1.0515,2018-10-17 04:09:07
Dem,[DO NOT READ] Refused,Some college or trade school,Hispanic,Female,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Dem.,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,Non-White,Pima,Less than 50 percent,Cell,1,0.488,1.3242,1.4681,1.4616,2018-10-17 04:10:19
Dem,65 and older,Bachelors' degree,White,Female,Black,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9938,0.8335,0.4616,0.8247,2018-10-17 04:11:31
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Rest of Maricopa,Less than 50 percent,Cell,1,0.4186,1.3827,2.1384,1.5734,2018-10-17 04:11:40
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9818,0.6825,0.3972,0.6714,2018-10-17 04:14:58
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,Favorable,Dem.,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",35 to 49,White,Pima,50 to 85 percent,Landline,1,0.5241,0.8947,0.7952,1.0175,2018-10-17 04:17:34
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.985,0.6825,0.3959,0.6718,2018-10-17 04:19:13
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,Rest,85 percent or higher,Landline,1,0.9652,0.7549,0.4282,0.747,2018-10-17 04:19:31
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9909,0.7663,0.467,0.7596,2018-10-17 04:20:25
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Phoenix/Tempe,85 percent or higher,Landline,1,0.9821,0.928,0.5866,0.9176,2018-10-17 04:20:43
Dem,65 and older,High school,White,Female,White,Disapp.,Don't know,Dem.,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Pima,85 percent or higher,Landline,1,0.9949,1.1656,0.5491,1.1509,2018-10-17 04:24:46
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9018,1.0029,0.7129,0.999,2018-10-17 04:24:46
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Pima,50 to 85 percent,Landline,1,0.8463,0.7654,0.3223,0.7688,2018-10-17 04:24:46
Dem,65 and older,High school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9957,1.1474,0.723,1.1371,2018-10-17 04:30:55
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9514,0.8335,0.4821,0.8256,2018-10-17 04:31:40
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.947,0.8176,0.4006,0.8101,2018-10-17 04:31:58
Dem,65 and older,High school,White,Female,White,Disapp.,Don't know,Dem.,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,0,0.0353,1.3929,6.7932,0.2866,2018-10-17 04:34:14
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,Unknown,Phoenix/Tempe,85 percent or higher,Landline,1,0.9929,0.8391,0.411,0.8317,2018-10-17 04:36:20
Rep,65 and older,High school,White,Female,White,Approve,Favorable,Rep.,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.7983,1.2137,1.0343,1.2294,2018-10-17 04:36:29
