response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,St. Clair,White,85 percent or higher,Landline,1,0.9795,0.6954,0.28,0.7158
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,yes,agree,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9578,0.674,0.2289,0.6945
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Don't know,support,disagree,Don't know,Favorable,Unfavorable,disagree,yes,agree,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,St. Clair,Unknown,85 percent or higher,Cell,1,0.948,0.8269,0.2332,0.8528
Dem,65 and older,High school,Black,Female,Black,Disapp.,support,agree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,St. Clair,Black,Less than 50 percent,Cell,0.7778,0.1467,1.1963,6.6109,1.3312
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,support,Don't know,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Landline,1,0.9446,0.4588,0.1896,0.4734
Rep,65 and older,High school,White,Female,White,Disapp.,oppose,agree,Reps. keep House,Favorable,Favorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Landline,1,0.8185,0.953,0.7067,1.0011
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Unfavorable,agree,no,agree,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,St. Clair,White,50 to 85 percent,Cell,1,0.8462,1.1162,0.6338,1.1395
Dem,18 to 34,Bachelors' degree,Black,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,St. Clair,Black,85 percent or higher,Cell,1,0.8815,1.2527,1.1488,1.2771
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,White,85 percent or higher,Cell,1,0.9227,1.3006,0.7977,1.3449
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,St. Clair,White,Less than 50 percent,Landline,1,0.1646,0.7806,1.8709,1.1403
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Landline,1,0.9293,0.6122,0.2303,0.6326
Und,65 and older,Graduate or Professional Degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Madison,White,85 percent or higher,Cell,1,0.9383,0.6878,0.3194,0.71
Rep,65 and older,Some college or trade school,White,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,St. Clair,White,50 to 85 percent,Landline,1,0.8235,1.2287,0.667,1.2896
Und,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Don't know,Don't know,Don't know,agree,no,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Cell,1,0.8775,1.4195,0.8065,1.4768
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,oppose,Don't know,Reps. keep House,Don't know,Don't know,disagree,no,disagree,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.917,0.8946,0.3685,0.9258
Und,18 to 34,Graduate or Professional Degree,White,Female,Other,Disapp.,support,disagree,Don't know,Don't know,Don't know,agree,yes,disagree,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,Rest,White,50 to 85 percent,Cell,0.7778,0.7797,0.5828,0.4487,0.5248
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,St. Clair,Unknown,85 percent or higher,Landline,1,0.9726,0.8586,0.3346,0.884
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,agree,no,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9785,0.6122,0.2188,0.6302
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,Other Non-White,85 percent or higher,Cell,1,0.9695,0.5179,0.2079,0.5292
Rep,65 and older,High school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9768,0.8342,0.5841,0.8588
Dem,65 and older,High school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Favorable,disagree,no,disagree,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Landline,1,0.6204,1.3989,1.2358,1.5372
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Reps. keep House,Favorable,Favorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Landline,1,0.9674,0.4588,0.1852,0.4725
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,St. Clair,Unknown,85 percent or higher,Landline,1,0.9849,0.5696,0.2125,0.5863
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9712,0.9228,0.3428,0.9501
Dem,50 to 64,Bachelors' degree,Black,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,St. Clair,Black,85 percent or higher,Landline,1,0.9853,1.3818,0.7211,1.4223
Und,35 to 49,Some college or trade school,Hispanic,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,30 to 44,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,Other Non-White,Less than 50 percent,Cell,0.4444,0.1522,1.4817,4.3054,0.6871
Und,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,White,85 percent or higher,Landline,1,0.905,0.9521,0.4601,0.9868
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,St. Clair,White,50 to 85 percent,Landline,0.7778,0.822,1.5252,1.4462,1.5574
Rep,65 and older,High school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Reps. keep House,Don't know,Favorable,agree,no,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Rest,White,50 to 85 percent,Landline,1,0.8032,1.0369,0.6365,0.9638
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,Black,85 percent or higher,Cell,1,0.9377,0.9014,0.4923,0.9306
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,yes,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9667,0.749,0.3486,0.7714
Rep,35 to 49,Graduate or Professional Degree,White,Male,Other,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,White,50 to 85 percent,Cell,1,0.739,0.6607,0.2347,0.705
Rep,65 and older,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,yes,agree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.8707,0.6916,0.3199,0.7203
Rep,65 and older,High school,Unknown,Female,White,Approve,Don't know,agree,Reps. keep House,Don't know,Don't know,agree,no,Don't know,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,Unknown,85 percent or higher,Landline,1,0.9236,0.6659,0.371,0.6886
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Madison,White,85 percent or higher,Landline,1,0.9068,0.8415,0.5203,0.8719
Dem,65 and older,High school,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,disagree,no,agree,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9548,0.8129,0.4703,0.8297
Und,35 to 49,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,yes,agree,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.8601,0.8704,0.5563,0.888
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,disagree,Don't know,Don't know,Favorable,disagree,yes,agree,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9699,0.8704,0.4933,0.8896
Und,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,agree,Don't know,Don't know,Don't know,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9081,0.947,0.4657,0.9651
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Nonwhite,St. Clair,Black,85 percent or higher,Landline,1,0.946,1.1427,0.5529,1.1208
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Landline,1,0.9376,1.0103,0.3913,1.043
Und,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,support,disagree,Don't know,Don't know,Unfavorable,Don't know,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9613,0.6195,0.2581,0.6382
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9796,0.5935,0.2219,0.611
Rep,65 and older,High school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,disagree,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9309,0.9076,0.5417,0.9377
Und,65 and older,Some college or trade school,White,Female,White,Don't know,support,agree,Reps. keep House,Favorable,Favorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9806,0.6357,0.3214,0.6543
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,no,agree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,St. Clair,Unknown,85 percent or higher,Cell,1,0.9359,1.1295,0.4175,1.1663
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,yes,agree,agree,18 to 29,Some College Educ.,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,Less than 50 percent,Cell,0.4444,0.0415,1.0052,5.5778,0.4787
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,no,disagree,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,Less than 50 percent,Cell,1,0.3562,1.1088,1.6479,1.2455
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,agree,yes,agree,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,White,Less than 50 percent,Cell,1,0.4417,0.9251,0.9503,1.0839
Rep,50 to 64,High school,Unknown,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,agree,no,disagree,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,Unknown,Less than 50 percent,Landline,1,0.359,1.9653,3.0577,2.4031
Rep,35 to 49,Some college or trade school,Other,Female,White,Approve,oppose,agree,Don't know,Don't know,Favorable,agree,no,agree,disagree,30 to 44,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Rest,Other Non-White,85 percent or higher,Cell,0.6667,0.8873,0.6875,0.35,0.632
Und,35 to 49,Some college or trade school,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,support,disagree,Reps. keep House,Don't know,Don't know,disagree,yes,disagree,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,St. Clair,Black,Less than 50 percent,Cell,1,0.0442,1.7762,7.4615,3.5674
Rep,65 and older,Some college or trade school,White,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,White,Less than 50 percent,Cell,0.5556,0.4503,0.7443,0.9715,0.6645
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,18 to 29,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,St. Clair,Unknown,Less than 50 percent,Cell,0.8889,0.4813,0.6506,0.6058,0.6732
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9098,0.4588,0.1969,0.4753
Rep,35 to 49,Some college or trade school,Hispanic,Female,White,Approve,support,disagree,Don't know,Don't know,Don't know,disagree,no,Don't know,agree,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,Other Non-White,50 to 85 percent,Cell,0.6667,0.8461,0.8313,0.4657,0.7467
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Dems. take House,Favorable,Favorable,disagree,no,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,St. Clair,White,85 percent or higher,Landline,1,0.8621,1.0481,0.4947,1.093
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Unfavorable,agree,no,agree,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,St. Clair,White,85 percent or higher,Cell,1,0.9625,1.4727,0.8548,1.5039
Dem,50 to 64,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Favorable,agree,no,disagree,agree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,Less than 50 percent,Cell,0,0.1439,1.3375,8.017,0.2911
Rep,65 and older,High school,White,Female,White,Don't know,support,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Rest,White,Less than 50 percent,Landline,1,0.0824,0.9768,5.2797,1.0452
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,yes,disagree,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Madison,White,85 percent or higher,Cell,1,0.8845,0.7969,0.3661,0.8282
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Madison,White,85 percent or higher,Cell,1,0.8931,1.4195,0.7925,1.4736
Dem,35 to 49,[DO NOT READ] Refused,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Don't know,disagree,no,disagree,disagree,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Landline,1,0.9626,0.6651,0.1601,0.6792
Rep,35 to 49,Bachelors' degree,White,Female,Black,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,no,disagree,disagree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,St. Clair,White,50 to 85 percent,Cell,1,0.7921,1.4036,0.7528,1.4379
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,agree,no,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",White,St. Clair,White,85 percent or higher,Cell,0.7778,0.9089,1.0358,0.4049,1.0331
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Favorable,disagree,yes,agree,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,White,50 to 85 percent,Cell,1,0.7334,0.9944,0.6614,1.0242
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,yes,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Madison,Unknown,50 to 85 percent,Cell,0.8889,0.7674,1.0524,0.3161,1.0986
Und,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,disagree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,Unknown,50 to 85 percent,Cell,1,0.7427,0.5645,0.2202,0.6019
Rep,50 to 64,High school,Unknown,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,disagree,yes,agree,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,Unknown,Less than 50 percent,Cell,1,0.3414,0.7914,1.4104,0.8946
Dem,35 to 49,High school,Unknown,Male,White,Disapp.,oppose,Don't know,Dems. take House,Don't know,Unfavorable,disagree,no,agree,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,Unknown,50 to 85 percent,Cell,1,0.8049,1.1044,0.456,1.1629
Dem,65 and older,High school,White,Female,White,Approve,oppose,agree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.8897,1.1423,0.9736,1.1644
Dem,65 and older,Grade school,Black,Female,Black,Disapp.,support,disagree,Dems. take House,Favorable,Don't know,Don't know,no,disagree,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,Black,50 to 85 percent,Landline,1,0.7662,1.5747,1.4177,1.6707
Dem,18 to 34,Some college or trade school,White,Female,White,Don't know,support,agree,Don't know,Favorable,Don't know,Don't know,yes,disagree,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.9299,0.8013,0.3236,0.828
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,support,agree,Dems. take House,Don't know,Don't know,disagree,no,disagree,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,Madison,White,85 percent or higher,Cell,1,0.9507,0.9529,0.5547,0.9825
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Reps. keep House,Don't know,Don't know,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,Rest,White,Less than 50 percent,Landline,0.6667,0.3167,0.7356,1.1919,0.554
Und,35 to 49,High school,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,yes,agree,agree,30 to 44,High School Grad. or Less,Other,Female,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,St. Clair,Unknown,Less than 50 percent,Cell,0,0.2655,1.7066,3.7373,0.4149
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9519,0.5316,0.2033,0.5481
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,support,disagree,Don't know,Favorable,Don't know,disagree,no,Don't know,disagree,30 to 44,Some College Educ.,Other,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,St. Clair,White,50 to 85 percent,Cell,1,0.6036,2.1443,1.656,2.3679
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,White,50 to 85 percent,Cell,1,0.7865,0.6994,0.2759,0.739
Und,65 and older,Grade school,Black,Female,Black,Don't know,Don't know,disagree,Don't know,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,Black,50 to 85 percent,Landline,0.7778,0.7026,1.5747,1.5459,1.6251
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,White,85 percent or higher,Cell,1,0.9839,0.5627,0.2462,0.5792
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,support,agree,Don't know,Favorable,Unfavorable,agree,yes,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,White,85 percent or higher,Cell,1,0.8507,0.8704,0.5625,0.9093
Dem,65 and older,High school,Black,Female,Black,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,Nonwhite,Madison,Black,50 to 85 percent,Landline,0.7778,0.6048,1.9315,3.3308,1.897
Dem,65 and older,High school,White,Female,White,Disapp.,Don't know,disagree,Dems. take House,Favorable,Don't know,agree,no,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,St. Clair,White,85 percent or higher,Landline,1,0.8673,1.3755,0.8903,1.3357
Rep,65 and older,Some college or trade school,Unknown,Female,White,Don't know,support,agree,Don't know,Don't know,Favorable,agree,no,disagree,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,Unknown,85 percent or higher,Landline,1,0.9445,0.5074,0.2004,0.5235
Rep,65 and older,Some college or trade school,White,Male,Other,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,Madison,White,85 percent or higher,Landline,1,0.9746,1.0367,0.4783,1.0673
