response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9909,1.0994,0.6428,1.1545,2018-09-18 23:46:56
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Don't know,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Linn,85 percent or higher,Landline,0.8889,0.92,1.0994,0.6922,1.1517,2018-09-18 23:48:23
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Cell,0.8889,0.9074,0.6533,0.4741,0.6722,2018-09-18 23:48:26
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump >60%",50 to 85 percent,Cell,0.5556,0.8131,0.9164,0.5697,0.65,2018-09-18 23:50:14
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Dubuque,50 to 85 percent,Cell,0.7778,0.6155,0.9898,1.3498000000000001,0.9913,2018-09-18 23:50:23
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Linn,85 percent or higher,Cell,1,0.9837,1.1334,0.7921,1.1899,2018-09-18 23:50:32
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Support,Support,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.8695,1.1155,0.9614,1.1852,2018-09-18 23:50:41
Dem,50 to 64,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump >60%",Less than 50 percent,Landline,0.7778,0.2687,1.0037,2.3259,0.833,2018-09-18 23:51:35
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Dubuque,85 percent or higher,Cell,1,0.9111,0.6269,0.4359,0.6621,2018-09-18 23:52:02
Dem,18 to 34,Some college or trade school,White,Male,White,support,Approve,Don't know,Favorable,Unfavorable,Support,Support,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,18 to 34,White,Linn,50 to 85 percent,Cell,1,0.7341,1.2394,1.5205,1.302,2018-09-18 23:52:29
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Don't know,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,35 to 49,Unknown/Non-White,Linn,50 to 85 percent,Cell,0.6667,0.563,1.5616,1.5539,1.2781,2018-09-18 23:52:56
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Disapp.,Don't know,Don't know,Favorable,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Black Hawk,50 to 85 percent,Cell,0.6667,0.5097,0.8319,1.2384,0.6698,2018-09-18 23:54:44
Dem,18 to 34,Some college or trade school,White,Male,Other,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Linn,50 to 85 percent,Cell,1,0.8462,1.0697,1.1908,1.1406,2018-09-18 23:55:47
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,Disapp.,Reps. keep House,Don't know,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Linn,85 percent or higher,Cell,0.7778,0.862,0.845,0.9108,0.8784,2018-09-18 23:56:14
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.9872,0.4402,0.2565,0.4622,2018-09-18 23:57:35
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,Support,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,"Rest, Trump >60%",50 to 85 percent,Cell,1,0.6271,1.1872,1.1408,1.3282,2018-09-18 23:57:50
Dem,65 and older,Bachelors' degree,White,Female,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Black Hawk,85 percent or higher,Landline,1,0.9794,0.6743,0.4316,0.708,2018-09-18 23:57:53
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Linn,85 percent or higher,Landline,1,0.9314,1.0066,0.7065,1.0467,2018-09-18 23:59:23
Dem,65 and older,High school,White,Female,Black,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Black Hawk,50 to 85 percent,Cell,1,0.8442,0.8764,0.7179,0.9349,2018-09-19 00:00:18
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Not very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Black Hawk,Less than 50 percent,Cell,0.4444,0.2415,0.6205,2.2562,0.3058,2018-09-19 00:01:21
Und,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Don't know,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9829,0.6763,0.429,0.7064,2018-09-19 00:01:39
Und,65 and older,High school,White,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",Less than 50 percent,Landline,0.4444,0.2076,1.661,5.5938,1.409,2018-09-19 00:04:03
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.927,1.1924,0.7833,1.2571,2018-09-19 00:04:30
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Dubuque,85 percent or higher,Cell,1,0.9654,0.612,0.4262,0.6376,2018-09-19 00:04:39
Rep,65 and older,Bachelors' degree,Unknown,Female,White,support,Don't know,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9939,0.9653,0.4861,1.014,2018-09-19 00:05:15
Und,18 to 34,Some college or trade school,Unknown,Female,White,Don't know,Approve,Reps. keep House,Don't know,Don't know,Oppose,Don't know,Support,agree,30 to 44,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Unknown/Non-White,"Rest, Trump >60%",50 to 85 percent,Cell,0.5556,0.7695,0.7653,0.7134,0.65,2018-09-19 00:06:27
Dem,18 to 34,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Don't know,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Linn,50 to 85 percent,Cell,0.3333,0.8159,0.7981,0.917,0.643,2018-09-19 00:08:06
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Black Hawk,85 percent or higher,Cell,1,0.9683,1.1387,0.914,1.196,2018-09-19 00:08:06
Und,35 to 49,High school,Hispanic,Female,Hispanic,Don't know,Don't know,Don't know,Don't know,Favorable,Don't know,Don't know,Don't know,Don't know,30 to 44,High School Grad. or Less,Democratic,Female,Not very likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,35 to 49,Unknown/Non-White,Dubuque,Less than 50 percent,Cell,0.4444,0.1717,1.8354,8.5147,0.8745,2018-09-19 00:08:24
Rep,18 to 34,Graduate or Professional Degree,Unknown,Male,White,support,Disapp.,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,Linn,85 percent or higher,Cell,1,0.9808,1.0552,0.7382,1.1018,2018-09-19 00:08:42
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Linn,85 percent or higher,Cell,0,0.9917,1.6998,1.3909,1.7421,2018-09-19 00:08:42
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.8933,0.6862,0.5407,0.7265,2018-09-19 00:09:00
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Don't know,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Dubuque,85 percent or higher,Landline,1,0.9243,0.9735,0.6404,1.0266,2018-09-19 00:09:36
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9933,0.8879,0.6156,0.9327,2018-09-19 00:09:45
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9196,0.8089,0.4873,0.8535,2018-09-19 00:09:45
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Black Hawk,50 to 85 percent,Cell,1,0.736,0.5111,0.4144,0.5566,2018-09-19 00:10:03
Dem,65 and older,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Disapp.,Don't know,Don't know,Unfavorable,Don't know,Oppose,Don't know,disagree,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,0.1111,0.9156,0.7598,0.8148,0.6093,2018-09-19 00:10:21
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Support,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9923,0.7175,0.4864,0.7513,2018-09-19 00:10:30
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9914,0.597,0.5082,0.627,2018-09-19 00:11:15
Dem,50 to 64,Some college or trade school,White,Female,White,support,Disapp.,Reps. keep House,Favorable,Unfavorable,Oppose,Oppose,Support,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9412,0.6521,0.518,0.6864,2018-09-19 00:12:54
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Support,Oppose,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Linn,50 to 85 percent,Cell,1,0.6995,1.0329,0.9312,1.1342,2018-09-19 00:13:03
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Oppose,Support,disagree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.8536,1.0002,0.6966,1.0653,2018-09-19 00:13:03
Dem,50 to 64,High school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9414,1.0191,0.7405,1.06,2018-09-19 00:13:03
Rep,50 to 64,Some college or trade school,White,Female,White,support,Disapp.,Don't know,Don't know,Favorable,Support,Oppose,Support,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,Dubuque,50 to 85 percent,Cell,1,0.8245,0.8233,0.6673,0.8812,2018-09-19 00:13:15
Rep,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Support,Support,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Black Hawk,85 percent or higher,Cell,1,0.9947,0.6518,0.4293,0.6848,2018-09-19 00:13:30
Dem,50 to 64,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Support,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Landline,1,0.9947,0.7663,0.555,0.8051,2018-09-19 00:13:39
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.8763,0.9871,0.6279,1.0477,2018-09-19 00:14:33
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,"Rest, Trump <60%",50 to 85 percent,Cell,0.8889,0.6002,0.7256,1.0344,0.7976,2018-09-19 00:14:51
Und,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Don't know,Support,Don't know,Support,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Linn,50 to 85 percent,Landline,0.3333,0.8255,0.9736,0.6897,0.937,2018-09-19 00:15:03
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.9402,1.0827,0.8176,1.1398,2018-09-19 00:16:00
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Linn,50 to 85 percent,Cell,1,0.8104,0.8897,0.8226,0.9547,2018-09-19 00:16:36
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump >60%",50 to 85 percent,Cell,0.8889,0.7727,1.4699,0.965,1.5639,2018-09-19 00:16:36
Dem,50 to 64,High school,Unknown,Female,White,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Don't know,Support,Support,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,Dubuque,85 percent or higher,Cell,1,0.9391,1.0374,0.682,1.0922,2018-09-19 00:16:54
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9712,0.8884,0.5175,0.9329,2018-09-19 00:18:42
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.854,0.8078,0.6684,0.8409,2018-09-19 00:19:09
Und,65 and older,Bachelors' degree,White,Male,Other,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9702,1.148,0.8065,1.2056,2018-09-19 00:20:12
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Unknown/Non-White,Black Hawk,Less than 50 percent,Cell,0.6667,0.3293,0.9128,2.1841,0.7027,2018-09-19 00:20:48
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Disapp.,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Dubuque,85 percent or higher,Cell,1,0.9188,0.8646,0.5442,0.9124,2018-09-19 00:20:48
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.9088,1.503,1.0218,1.588,2018-09-19 00:23:30
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9933,0.6192,0.4387,0.6504,2018-09-19 00:23:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Dubuque,85 percent or higher,Cell,1,0.9352,0.5248,0.3137,0.5457,2018-09-19 00:24:24
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Other,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9853,0.8262,0.4146,0.8634,2018-09-19 00:24:27
Dem,35 to 49,Some college or trade school,Asian,Male,White,Don't know,Disapp.,Don't know,Favorable,Unfavorable,Support,Oppose,Support,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Unknown/Non-White,Linn,50 to 85 percent,Cell,1,0.5236,1.6904,2.1603,1.9544,2018-09-19 00:24:42
Und,18 to 34,Some college or trade school,White,Male,White,support,Don't know,Don't know,Favorable,Favorable,Don't know,Support,Support,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,"Rest, Trump <60%",50 to 85 percent,Cell,0.7778,0.8465,0.9102,1.0511,0.9184,2018-09-19 00:25:18
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,"Rest, Trump >60%",Less than 50 percent,Cell,1,0.4581,1.0187,1.8703,1.2085,2018-09-19 00:26:03
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9864,0.8299,0.5943,0.8713,2018-09-19 00:26:03
Rep,65 and older,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Dubuque,85 percent or higher,Landline,1,0.922,1.573,1.2342,1.6352,2018-09-19 00:26:30
Und,35 to 49,Some college or trade school,White,Male,Other,oppose,Don't know,Don't know,Don't know,Unfavorable,Oppose,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,"Rest, Trump >60%",50 to 85 percent,Cell,1,0.7275,1.1872,0.9836,1.2953,2018-09-19 00:26:39
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,oppose,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Support,Support,agree,65 and older,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",50 to 85 percent,Cell,0.5556,0.826,0.7867,0.5439,0.6904,2018-09-19 00:27:51
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Linn,85 percent or higher,Landline,1,0.9852,1.4023,1.1183,1.4722,2018-09-19 00:27:51
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.9756,0.7973,0.5417,0.8371,2018-09-19 00:28:00
Dem,50 to 64,High school,White,Male,White,support,Don't know,Dems. take House,Don't know,Don't know,Oppose,Support,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Black Hawk,Less than 50 percent,Landline,0.4444,0.0925,1.8457,8.4818,0.6628,2018-09-19 00:28:00
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Support,Oppose,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9875,0.7227,0.4016,0.7588,2018-09-19 00:28:12
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9973,0.8807,0.5309,0.9258,2018-09-19 00:29:21
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9101,0.9659,0.7753,1.0204,2018-09-19 00:29:39
